acc,accuracy,average_response_time,avg_rt,background,bidi,block,block_picker,browser_codename,browser_name,browser_version,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_keyboard_response,correct_response,count_backward_mask,count_block_1,count_block_2,count_block_3,count_correct,count_counter_balance,count_experiment,count_fix,count_forward_mask,count_incorrect,count_instructions_1,count_instructions_2,count_instructions_3,count_instructions_4,count_keyboard_response,count_logger,count_osweb,count_practice_loop,count_prime,count_target,count_trials,date_startdate,date_startdateUTC,date_starttime,datetime,description,disable_garbage_collection,experiment_debug,experiment_parameters,experiment_path,experiment_pilot,experiment_taskname,experiment_taskversion,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,jatosStudyResultId,jatosVersion,keyboard_backend,mouse_backend,num_letters,opensesame_codename,opensesame_version,penwidth,prime,queryParams_batchId,queryParams_generalMultiple,repeat_cycle,response,response_instructions_1,response_instructions_2,response_instructions_3,response_instructions_4,response_keyboard_response,response_time,response_time_instructions_1,response_time_instructions_2,response_time_instructions_3,response_time_instructions_4,response_time_keyboard_response,round_decimals,sampler_backend,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,sessionid,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,system_os,target,time_backward_mask,time_block_1,time_block_2,time_block_3,time_correct,time_counter_balance,time_fix,time_forward_mask,time_incorrect,time_instructions_1,time_instructions_2,time_instructions_3,time_instructions_4,time_keyboard_response,time_logger,time_practice_loop,time_prime,time_target,title,total_correct,total_response_time,total_responses,type,uniform_coordinates,width
100,100,1338,1338,black,no,practice,2,Mozilla,Netscape,5.0 (Windows),psycho,psycho,psycho,0,practice,uniform,1,1,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27-10-22,27-10-22,14:55:24,Sun Nov 27 2022 14:55:24 GMT+0100 (Centraleuropæisk normaltid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,924,3.6.1,psycho,psycho,5,osweb,1.4.11,1,#####,262,,0,f,m,m,a,,f,1338,4309482,1119,1840,,1338,2,psycho,672,1280,24,720,24,-7,-7,1280,1669557156776,1024,2,48000,-16,experiment,0,even,Win32,apple,4313366,57,57,57,,44,4312602,4313265,,57,4309576,4310705,,4313416,4314761,57,4313316,4313415,ExPsyLing2022_Class1,1,1338,1,fruit_veg,yes,1024
100,100,935,935,black,no,practice,2,Mozilla,Netscape,5.0 (Windows),psycho,psycho,psycho,0,practice,uniform,1,1,a,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,27-10-22,27-10-22,14:55:24,Sun Nov 27 2022 14:55:24 GMT+0100 (Centraleuropæisk normaltid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,924,3.6.1,psycho,psycho,4,osweb,1.4.11,1,#####,262,,0,a,m,m,a,,a,532,4309482,1119,1840,,532,2,psycho,672,1280,24,720,24,-7,-7,1280,1669557156776,1024,2,48000,-16,experiment,0,even,Win32,wolf,4316080,57,57,57,4314771,44,4315321,4315982,,57,4309576,4310705,,4316130,4316677,57,4316032,4316130,ExPsyLing2022_Class1,2,1870,2,animal,yes,1024
67,67,895,895,black,no,practice,2,Mozilla,Netscape,5.0 (Windows),psycho,psycho,psycho,0,practice,uniform,0,0,f,2,0,0,0,2,0,0,2,2,2,0,0,0,0,2,2,0,0,2,2,2,27-10-22,27-10-22,14:55:24,Sun Nov 27 2022 14:55:24 GMT+0100 (Centraleuropæisk normaltid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,924,3.6.1,psycho,psycho,5,osweb,1.4.11,1,#####,262,,0,a,m,m,a,,a,815,4309482,1119,1840,,815,2,psycho,672,1280,24,720,24,-7,-7,1280,1669557156776,1024,2,48000,-16,experiment,0,even,Win32,melon,4317996,57,57,57,4316683,44,4317232,4317895,,57,4309576,4310705,,4318046,4318875,57,4317946,4318046,ExPsyLing2022_Class1,2,2685,3,fruit_veg,yes,1024
75,75,854,854,black,no,practice,2,Mozilla,Netscape,5.0 (Windows),psycho,psycho,psycho,0,practice,uniform,1,1,a,3,0,0,0,3,0,0,3,3,3,0,0,0,0,3,3,0,0,3,3,3,27-10-22,27-10-22,14:55:24,Sun Nov 27 2022 14:55:24 GMT+0100 (Centraleuropæisk normaltid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,924,3.6.1,psycho,psycho,5,osweb,1.4.11,1,#####,262,,0,a,m,m,a,,a,732,4309482,1119,1840,,732,2,psycho,672,1280,24,720,24,-7,-7,1280,1669557156776,1024,2,48000,-16,experiment,0,even,Win32,hound,4320195,57,57,57,4316683,44,4319431,4320095,4318879,57,4309576,4310705,,4320245,4320992,57,4320145,4320244,ExPsyLing2022_Class1,3,3417,4,animal,yes,1024
80,80,809,809,black,no,practice,2,Mozilla,Netscape,5.0 (Windows),psycho,psycho,psycho,0,practice,uniform,1,1,f,4,0,0,0,4,0,0,4,4,4,0,0,0,0,4,4,0,0,4,4,4,27-10-22,27-10-22,14:55:24,Sun Nov 27 2022 14:55:24 GMT+0100 (Centraleuropæisk normaltid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,924,3.6.1,psycho,psycho,6,osweb,1.4.11,1,#####,262,,0,f,m,m,a,,f,627,4309482,1119,1840,,627,2,psycho,672,1280,24,720,24,-7,-7,1280,1669557156776,1024,2,48000,-16,experiment,0,even,Win32,tomato,4322279,57,57,57,4320999,44,4321536,4322194,4318879,57,4309576,4310705,,4322327,4322958,57,4322244,4322327,ExPsyLing2022_Class1,4,4044,5,fruit_veg,yes,1024
83,83,774,774,black,no,practice,2,Mozilla,Netscape,5.0 (Windows),psycho,psycho,psycho,0,practice,uniform,1,1,a,5,0,0,0,5,0,0,5,5,5,0,0,0,0,5,5,0,0,5,5,5,27-10-22,27-10-22,14:55:24,Sun Nov 27 2022 14:55:24 GMT+0100 (Centraleuropæisk normaltid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,924,3.6.1,psycho,psycho,6,osweb,1.4.11,1,#####,262,,0,a,m,m,a,,a,599,4309482,1119,1840,,599,2,psycho,672,1280,24,720,24,-7,-7,1280,1669557156776,1024,2,48000,-16,experiment,0,even,Win32,spider,4324261,57,57,57,4322963,44,4323502,4324160,4318879,57,4309576,4310705,,4324311,4324923,57,4324210,4324310,ExPsyLing2022_Class1,5,4643,6,animal,yes,1024
86,86,767,767,black,no,block2,2,Mozilla,Netscape,5.0 (Windows),psycho,psycho,psycho,0,fully-scrambled,uniform,1,1,f,6,0,0,0,6,0,0,6,6,6,0,0,0,0,6,6,0,0,6,6,6,27-10-22,27-10-22,14:55:24,Sun Nov 27 2022 14:55:24 GMT+0100 (Centraleuropæisk normaltid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,924,3.6.1,psycho,psycho,6,osweb,1.4.11,1,eperpp,262,,0,f,m,m,a,f,f,724,4309482,1119,1840,1026,724,2,psycho,672,1280,24,720,24,-7,-7,1280,1669557156776,1024,2,48000,-16,experiment,0,even,Win32,pepper,4327276,57,57,57,4324928,44,4326521,4327176,4318879,57,4309576,4310705,4325454,4327325,4328056,57,4327226,4327325,ExPsyLing2022_Class1,6,5367,7,fruit_veg,yes,1024
88,88,739,739,black,no,block2,2,Mozilla,Netscape,5.0 (Windows),psycho,psycho,psycho,0,semi-scrambled,uniform,1,1,f,7,0,0,0,7,0,0,7,7,7,0,0,0,0,7,7,0,0,7,7,7,27-10-22,27-10-22,14:55:24,Sun Nov 27 2022 14:55:24 GMT+0100 (Centraleuropæisk normaltid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,924,3.6.1,psycho,psycho,8,osweb,1.4.11,1,bclorcoi,262,,0,f,m,m,a,f,f,544,4309482,1119,1840,1026,544,2,psycho,672,1280,24,720,24,-7,-7,1280,1669557156776,1024,2,48000,-16,experiment,0,even,Win32,broccoli,4329343,57,57,57,4328062,44,4328604,4329259,4318879,57,4309576,4310705,4325454,4329392,4329939,57,4329308,4329392,ExPsyLing2022_Class1,7,5911,8,fruit_veg,yes,1024
89,89,725,725,black,no,block2,2,Mozilla,Netscape,5.0 (Windows),psycho,psycho,psycho,0,identical,uniform,1,1,f,8,0,0,0,8,0,0,8,8,8,0,0,0,0,8,8,0,0,8,8,8,27-10-22,27-10-22,14:55:24,Sun Nov 27 2022 14:55:24 GMT+0100 (Centraleuropæisk normaltid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,924,3.6.1,psycho,psycho,7,osweb,1.4.11,1,rhubarb,262,,0,f,m,m,a,f,f,613,4309482,1119,1840,1026,613,2,psycho,672,1280,24,720,24,-7,-7,1280,1669557156776,1024,2,48000,-16,experiment,0,even,Win32,rhubarb,4331241,57,57,57,4329944,44,4330482,4331139,4318879,57,4309576,4310705,4325454,4331290,4331903,57,4331190,4331290,ExPsyLing2022_Class1,8,6524,9,fruit_veg,yes,1024
90,90,724,724,black,no,block2,2,Mozilla,Netscape,5.0 (Windows),psycho,psycho,psycho,0,fully-scrambled,uniform,1,1,a,9,0,0,0,9,0,0,9,9,9,0,0,0,0,9,9,0,0,9,9,9,27-10-22,27-10-22,14:55:24,Sun Nov 27 2022 14:55:24 GMT+0100 (Centraleuropæisk normaltid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,924,3.6.1,psycho,psycho,7,osweb,1.4.11,1,tupocsu,262,,0,a,m,m,a,f,a,713,4309482,1119,1840,1026,713,2,psycho,672,1280,24,720,24,-7,-7,1280,1669557156776,1024,2,48000,-16,experiment,0,even,Win32,octupus,4333209,57,57,57,4331909,44,4332447,4333109,4318879,57,4309576,4310705,4325454,4333258,4333987,57,4333162,4333258,ExPsyLing2022_Class1,9,7237,10,animal,yes,1024
