acc,accuracy,average_response_time,avg_rt,background,bidi,block,block_picker,browser_codename,browser_name,browser_version,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_keyboard_response,correct_response,count_backward_mask,count_block_1,count_block_2,count_block_3,count_break,count_correct,count_counter_balance,count_experiment,count_fix,count_forward_mask,count_incorrect,count_instructions_1,count_instructions_2,count_instructions_3,count_instructions_4,count_keyboard_response,count_logger,count_osweb,count_practice_loop,count_prime,count_target,count_trials,date_startdate,date_startdateUTC,date_starttime,datetime,description,disable_garbage_collection,experiment_debug,experiment_parameters,experiment_path,experiment_pilot,experiment_taskname,experiment_taskversion,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,jatosStudyResultId,jatosVersion,keyboard_backend,mouse_backend,num_letters,opensesame_codename,opensesame_version,penwidth,prime,queryParams_batchId,queryParams_fbclid,queryParams_generalMultiple,repeat_cycle,response,response_break,response_instructions_1,response_instructions_2,response_instructions_3,response_instructions_4,response_keyboard_response,response_time,response_time_break,response_time_instructions_1,response_time_instructions_2,response_time_instructions_3,response_time_instructions_4,response_time_keyboard_response,round_decimals,sampler_backend,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,sessionid,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,system_os,target,time_backward_mask,time_block_1,time_block_2,time_block_3,time_break,time_correct,time_counter_balance,time_fix,time_forward_mask,time_incorrect,time_instructions_1,time_instructions_2,time_instructions_3,time_instructions_4,time_keyboard_response,time_logger,time_practice_loop,time_prime,time_target,title,total_correct,total_response_time,total_responses,type,uniform_coordinates,width
0,0,888,888,black,no,practice,3,Mozilla,Netscape,5.0 (Macintosh),psycho,psycho,psycho,0,practice,uniform,0,0,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05-11-22,05-11-22,12:00:53,Mon Dec 05 2022 12:00:53 GMT+0100 (Central European Standard Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,1005,3.6.1,psycho,psycho,5,osweb,1.4.11,1,#####,268,,,0,a,,f,f,f,,a,888,,20898,4159,2204,,888,2,psycho,875,1440,30,900,30,0,25,1440,1670238072813,1024,2,48000,-16,experiment,1,odd,MacIntel,apple,28101,24,24,24,,,22,27338,28000,,24,20932,25100,,28150,29049,24,28050,28150,ExPsyLing2022_Class1,0,888,1,fruit_veg,yes,1024
50,50,959,959,black,no,practice,3,Mozilla,Netscape,5.0 (Macintosh),psycho,psycho,psycho,0,practice,uniform,1,1,a,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,05-11-22,05-11-22,12:00:53,Mon Dec 05 2022 12:00:53 GMT+0100 (Central European Standard Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,1005,3.6.1,psycho,psycho,4,osweb,1.4.11,1,#####,268,,,0,a,,f,f,f,,a,1029,,20898,4159,2204,,1029,2,psycho,875,1440,30,900,30,0,25,1440,1670238072813,1024,2,48000,-16,experiment,1,odd,MacIntel,wolf,30317,24,24,24,,,22,29581,30234,29053,24,20932,25100,,30367,31399,24,30285,30367,ExPsyLing2022_Class1,1,1917,2,animal,yes,1024
67,67,837,837,black,no,practice,3,Mozilla,Netscape,5.0 (Macintosh),psycho,psycho,psycho,0,practice,uniform,1,1,f,2,0,0,0,2,2,0,0,2,2,2,0,0,0,0,2,2,0,0,2,2,2,05-11-22,05-11-22,12:00:53,Mon Dec 05 2022 12:00:53 GMT+0100 (Central European Standard Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,1005,3.6.1,psycho,psycho,5,osweb,1.4.11,1,#####,268,,,0,f,,f,f,f,,f,594,,20898,4159,2204,,594,2,psycho,875,1440,30,900,30,0,25,1440,1670238072813,1024,2,48000,-16,experiment,1,odd,MacIntel,melon,32665,24,24,24,,31401,22,31933,32597,29053,24,20932,25100,,32700,33299,24,32634,32700,ExPsyLing2022_Class1,2,2511,3,fruit_veg,yes,1024
75,75,817,817,black,no,practice,3,Mozilla,Netscape,5.0 (Macintosh),psycho,psycho,psycho,0,practice,uniform,1,1,a,3,0,0,0,3,3,0,0,3,3,3,0,0,0,0,3,3,0,0,3,3,3,05-11-22,05-11-22,12:00:53,Mon Dec 05 2022 12:00:53 GMT+0100 (Central European Standard Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,1005,3.6.1,psycho,psycho,5,osweb,1.4.11,1,#####,268,,,0,a,,f,f,f,,a,757,,20898,4159,2204,,757,2,psycho,875,1440,30,900,30,0,25,1440,1670238072813,1024,2,48000,-16,experiment,1,odd,MacIntel,hound,34567,24,24,24,,33301,22,33828,34483,29053,24,20932,25100,,34616,35380,24,34533,34616,ExPsyLing2022_Class1,3,3268,4,animal,yes,1024
80,80,773,773,black,no,practice,3,Mozilla,Netscape,5.0 (Macintosh),psycho,psycho,psycho,0,practice,uniform,1,1,f,4,0,0,0,4,4,0,0,4,4,4,0,0,0,0,4,4,0,0,4,4,4,05-11-22,05-11-22,12:00:53,Mon Dec 05 2022 12:00:53 GMT+0100 (Central European Standard Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,1005,3.6.1,psycho,psycho,6,osweb,1.4.11,1,#####,268,,,0,f,,f,f,f,,f,599,,20898,4159,2204,,599,2,psycho,875,1440,30,900,30,0,25,1440,1670238072813,1024,2,48000,-16,experiment,1,odd,MacIntel,tomato,36666,24,24,24,,35383,22,35915,36583,29053,24,20932,25100,,36713,37315,24,36632,36713,ExPsyLing2022_Class1,4,3867,5,fruit_veg,yes,1024
83,83,784,784,black,no,practice,3,Mozilla,Netscape,5.0 (Macintosh),psycho,psycho,psycho,0,practice,uniform,1,1,a,5,0,0,0,5,5,0,0,5,5,5,0,0,0,0,5,5,0,0,5,5,5,05-11-22,05-11-22,12:00:53,Mon Dec 05 2022 12:00:53 GMT+0100 (Central European Standard Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,1005,3.6.1,psycho,psycho,6,osweb,1.4.11,1,#####,268,,,0,a,,f,f,f,,a,835,,20898,4159,2204,,835,2,psycho,875,1440,30,900,30,0,25,1440,1670238072813,1024,2,48000,-16,experiment,1,odd,MacIntel,spider,38581,24,24,24,,37317,22,37847,38514,29053,24,20932,25100,,38631,39482,24,38550,38631,ExPsyLing2022_Class1,5,4702,6,animal,yes,1024
86,86,772,772,black,no,block3,3,Mozilla,Netscape,5.0 (Macintosh),psycho,psycho,psycho,0,identical,uniform,1,1,a,6,0,0,0,6,6,0,0,6,6,6,0,0,0,0,6,6,0,0,6,6,6,05-11-22,05-11-22,12:00:53,Mon Dec 05 2022 12:00:53 GMT+0100 (Central European Standard Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,1005,3.6.1,psycho,psycho,4,osweb,1.4.11,1,goat,268,,,0,a,,f,f,f,a,a,701,,20898,4159,2204,9661,701,2,psycho,875,1440,30,900,30,0,25,1440,1670238072813,1024,2,48000,-16,experiment,1,odd,MacIntel,goat,50416,24,24,24,,39484,22,49678,50334,29053,24,20932,25100,40000,50450,51164,24,50384,50450,ExPsyLing2022_Class1,6,5403,7,animal,yes,1024
88,88,744,744,black,no,block3,3,Mozilla,Netscape,5.0 (Macintosh),psycho,psycho,psycho,0,semi-scrambled,uniform,1,1,a,7,0,0,0,7,7,0,0,7,7,7,0,0,0,0,7,7,0,0,7,7,7,05-11-22,05-11-22,12:00:53,Mon Dec 05 2022 12:00:53 GMT+0100 (Central European Standard Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,1005,3.6.1,psycho,psycho,7,osweb,1.4.11,1,glilroa,268,,,0,a,,f,f,f,a,a,547,,20898,4159,2204,9661,547,2,psycho,875,1440,30,900,30,0,25,1440,1670238072813,1024,2,48000,-16,experiment,1,odd,MacIntel,gorilla,52415,24,24,24,,51165,22,51696,52348,29053,24,20932,25100,40000,52451,53013,24,52382,52451,ExPsyLing2022_Class1,7,5950,8,animal,yes,1024
89,89,734,734,black,no,block3,3,Mozilla,Netscape,5.0 (Macintosh),psycho,psycho,psycho,0,fully-scrambled,uniform,1,1,a,8,0,0,0,8,8,0,0,8,8,8,0,0,0,0,8,8,0,0,8,8,8,05-11-22,05-11-22,12:00:53,Mon Dec 05 2022 12:00:53 GMT+0100 (Central European Standard Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,1005,3.6.1,psycho,psycho,4,osweb,1.4.11,1,amup,268,,,0,a,,f,f,f,a,a,652,,20898,4159,2204,9661,652,2,psycho,875,1440,30,900,30,0,25,1440,1670238072813,1024,2,48000,-16,experiment,1,odd,MacIntel,puma,54283,24,24,24,,53014,22,53547,54200,29053,24,20932,25100,40000,54331,54996,24,54248,54330,ExPsyLing2022_Class1,8,6602,9,animal,yes,1024
80,80,719,719,black,no,block3,3,Mozilla,Netscape,5.0 (Macintosh),psycho,psycho,psycho,0,fully-scrambled,uniform,0,0,a,9,0,0,0,9,9,0,0,9,9,9,0,0,0,0,9,9,0,0,9,9,9,05-11-22,05-11-22,12:00:53,Mon Dec 05 2022 12:00:53 GMT+0100 (Central European Standard Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,1005,3.6.1,psycho,psycho,7,osweb,1.4.11,1,ekhicnc,268,,,0,f,,f,f,f,a,f,588,,20898,4159,2204,9661,588,2,psycho,875,1440,30,900,30,0,25,1440,1670238072813,1024,2,48000,-16,experiment,1,odd,MacIntel,chicken,56266,24,24,24,,54999,22,55532,56199,29053,24,20932,25100,40000,56315,56914,24,56233,56315,ExPsyLing2022_Class1,8,7190,10,animal,yes,1024
