,condition,num_letters,type,prime,target,correct_response,block
3,identical,4,animal,calf,calf,a,block2
12,identical,4,animal,lamb,lamb,a,block2
21,identical,4,animal,puma,puma,a,block2
30,identical,5,animal,horse,horse,a,block2
39,identical,5,animal,panda,panda,a,block2
48,identical,6,animal,wombat,wombat,a,block2
57,identical,6,animal,donkey,donkey,a,block2
66,identical,6,animal,turtle,turtle,a,block2
75,identical,7,animal,chicken,chicken,a,block2
84,identical,7,animal,hamster,hamster,a,block2
93,identical,7,animal,penguin,penguin,a,block2
102,identical,8,animal,elephant,elephant,a,block2
111,identical,8,animal,seahorse,seahorse,a,block2
3,identical,4,fruit_veg,date,date,f,block2
12,identical,4,fruit_veg,pear,pear,f,block2
21,identical,4,fruit_veg,kale,kale,f,block2
30,identical,5,fruit_veg,lemon,lemon,f,block2
39,identical,5,fruit_veg,olive,olive,f,block2
48,identical,6,fruit_veg,citrus,citrus,f,block2
57,identical,6,fruit_veg,garlic,garlic,f,block2
66,identical,6,fruit_veg,potato,potato,f,block2
75,identical,7,fruit_veg,avocado,avocado,f,block2
84,identical,7,fruit_veg,rhubarb,rhubarb,f,block2
93,identical,7,fruit_veg,parsnip,parsnip,f,block2
102,identical,8,fruit_veg,scallion,scallion,f,block2
111,identical,8,fruit_veg,beetroot,beetroot,f,block2
7,semi-scrambled,4,animal,gaot,goat,a,block2
16,semi-scrambled,4,animal,loin,lion,a,block2
25,semi-scrambled,5,animal,boisn,bison,a,block2
34,semi-scrambled,5,animal,kaloa,koala,a,block2
43,semi-scrambled,5,animal,rnhio,rhino,a,block2
52,semi-scrambled,6,animal,bveear,beaver,a,block2
61,semi-scrambled,6,animal,juaagr,jaguar,a,block2
70,semi-scrambled,6,animal,wualrs,walrus,a,block2
79,semi-scrambled,7,animal,dlhoipn,dolphin,a,block2
88,semi-scrambled,7,animal,rooaccn,raccoon,a,block2
97,semi-scrambled,8,animal,apnleote,antelope,a,block2
106,semi-scrambled,8,animal,fgliamno,flamingo,a,block2
115,semi-scrambled,8,animal,pylaputs,platypus,a,block2
7,semi-scrambled,4,fruit_veg,pmoe,pome,f,block2
16,semi-scrambled,4,fruit_veg,pulm,plum,f,block2
25,semi-scrambled,5,fruit_veg,ooinn,onion,f,block2
34,semi-scrambled,5,fruit_veg,gapre,grape,f,block2
43,semi-scrambled,5,fruit_veg,punre,prune,f,block2
52,semi-scrambled,6,fruit_veg,croart,carrot,f,block2
61,semi-scrambled,6,fruit_veg,ograne,orange,f,block2
70,semi-scrambled,6,fruit_veg,susqah,squash,f,block2
79,semi-scrambled,7,fruit_veg,ccunoot,coconut,f,block2
88,semi-scrambled,7,fruit_veg,piukpmn,pumpkin,f,block2
97,semi-scrambled,8,fruit_veg,bclorcoi,broccoli,f,block2
106,semi-scrambled,8,fruit_veg,zcnhcuii,zucchini,f,block2
115,semi-scrambled,8,fruit_veg,ccbmeuur,cucumber,f,block2
2,fully-scrambled,4,animal,lulb,bull,a,block2
11,fully-scrambled,4,animal,ehar,hare,a,block2
20,fully-scrambled,4,animal,imkn,mink,a,block2
29,fully-scrambled,5,animal,alemc,camel,a,block2
38,fully-scrambled,5,animal,umeso,mouse,a,block2
47,fully-scrambled,5,animal,reigt,tiger,a,block2
56,fully-scrambled,6,animal,aruocg,cougar,a,block2
65,fully-scrambled,6,animal,briatb,rabbit,a,block2
74,fully-scrambled,7,animal,louaffb,buffalo,a,block2
83,fully-scrambled,7,animal,rgolial,gorilla,a,block2
92,fully-scrambled,7,animal,tupocsu,octupus,a,block2
101,fully-scrambled,8,animal,uchikmpn,chipmunk,a,block2
110,fully-scrambled,8,animal,stotoeir,tortoise,a,block2
119,fully-scrambled,8,animal,ooarkang,kangaroo,a,block2
2,fully-scrambled,4,fruit_veg,naeb,bean,f,block2
11,fully-scrambled,4,fruit_veg,ronc,corn,f,block2
20,fully-scrambled,4,fruit_veg,elim,lime,f,block2
29,fully-scrambled,5,fruit_veg,alagi,galia,f,block2
38,fully-scrambled,5,fruit_veg,gmoan,mango,f,block2
47,fully-scrambled,5,fruit_veg,cpeha,peach,f,block2
56,fully-scrambled,6,fruit_veg,hcreyr,cherry,f,block2
65,fully-scrambled,6,fruit_veg,eperpp,pepper,f,block2
74,fully-scrambled,7,fruit_veg,iotrapc,apricot,f,block2
83,fully-scrambled,7,fruit_veg,panhcsi,spinach,f,block2
92,fully-scrambled,7,fruit_veg,tleutec,lettuce,f,block2
101,fully-scrambled,8,fruit_veg,genlgtpa,eggplant,f,block2
110,fully-scrambled,8,fruit_veg,srommhuo,mushroom,f,block2
119,fully-scrambled,8,fruit_veg,ekahiccp,chickpea,f,block2
