condition,num_letters,type,prime,target
identical,4,animal,bull,bull
semi-scrambled,4,animal,blul,bull
fully-scrambled,4,animal,lulb,bull
identical,4,animal,calf,calf
semi-scrambled,4,animal,claf,calf
fully-scrambled,4,animal,lcfa,calf
identical,4,animal,goat,goat
semi-scrambled,4,animal,gaot,goat
fully-scrambled,4,animal,aotg,goat
identical,4,animal,hare,hare
semi-scrambled,4,animal,hrae,hare
fully-scrambled,4,animal,ehar,hare
identical,4,animal,lamb,lamb
semi-scrambled,4,animal,lmab,lamb
fully-scrambled,4,animal,bmal,lamb
identical,4,animal,lion,lion
semi-scrambled,4,animal,loin,lion
fully-scrambled,4,animal,niol,lion
identical,4,animal,mink,mink
semi-scrambled,4,animal,mnik,mink
fully-scrambled,4,animal,imkn,mink
identical,4,animal,puma,puma
semi-scrambled,4,animal,pmua,puma
fully-scrambled,4,animal,amup,puma
identical,5,animal,bison,bison
semi-scrambled,5,animal,boisn,bison
fully-scrambled,5,animal,noibs,bison
identical,5,animal,camel,camel
semi-scrambled,5,animal,cmeal,camel
fully-scrambled,5,animal,alemc,camel
identical,5,animal,horse,horse
semi-scrambled,5,animal,hrsoe,horse
fully-scrambled,5,animal,rhseo,horse
identical,5,animal,koala,koala
semi-scrambled,5,animal,kaloa,koala
fully-scrambled,5,animal,akoal,koala
identical,5,animal,mouse,mouse
semi-scrambled,5,animal,msoue,mouse
fully-scrambled,5,animal,umeso,mouse
identical,5,animal,panda,panda
semi-scrambled,5,animal,pdana,panda
fully-scrambled,5,animal,anpad,panda
identical,5,animal,rhino,rhino
semi-scrambled,5,animal,rnhio,rhino
fully-scrambled,5,animal,iohrn,rhino
identical,5,animal,tiger,tiger
semi-scrambled,5,animal,teigr,tiger
fully-scrambled,5,animal,reigt,tiger
identical,6,animal,wombat,wombat
semi-scrambled,6,animal,wabmot,wombat
fully-scrambled,6,animal,bmotwa,wombat
identical,6,animal,beaver,beaver
semi-scrambled,6,animal,bveear,beaver
fully-scrambled,6,animal,ebreav,beaver
identical,6,animal,cougar,cougar
semi-scrambled,6,animal,cgaour,cougar
fully-scrambled,6,animal,aruocg,cougar
identical,6,animal,donkey,donkey
semi-scrambled,6,animal,dekony,donkey
fully-scrambled,6,animal,oynked,donkey
identical,6,animal,jaguar,jaguar
semi-scrambled,6,animal,juaagr,jaguar
fully-scrambled,6,animal,guajra,jaguar
identical,6,animal,rabbit,rabbit
semi-scrambled,6,animal,rbiabt,rabbit
fully-scrambled,6,animal,briatb,rabbit
identical,6,animal,turtle,turtle
semi-scrambled,6,animal,tlurte,turtle
fully-scrambled,6,animal,ettlur,turtle
identical,6,animal,walrus,walrus
semi-scrambled,6,animal,wualrs,walrus
fully-scrambled,6,animal,uswlra,walrus
identical,7,animal,buffalo,buffalo
semi-scrambled,7,animal,bluaffo,buffalo
fully-scrambled,7,animal,louaffb,buffalo
identical,7,animal,chicken,chicken
semi-scrambled,7,animal,cikechn,chicken
fully-scrambled,7,animal,ekhicnc,chicken
identical,7,animal,dolphin,dolphin
semi-scrambled,7,animal,dlhoipn,dolphin
fully-scrambled,7,animal,inhlpdo,dolphin
identical,7,animal,gorilla,gorilla
semi-scrambled,7,animal,glilroa,gorilla
fully-scrambled,7,animal,rgolial,gorilla
identical,7,animal,hamster,hamster
semi-scrambled,7,animal,hmaestr,hamster
fully-scrambled,7,animal,rhtamse,hamster
identical,7,animal,raccoon,raccoon
semi-scrambled,7,animal,rooaccn,raccoon
fully-scrambled,7,animal,ocaornc,raccoon
identical,7,animal,octupus,octupus
semi-scrambled,7,animal,oputucs,octupus
fully-scrambled,7,animal,tupocsu,octupus
identical,7,animal,penguin,penguin
semi-scrambled,7,animal,pneigun,penguin
fully-scrambled,7,animal,nieugnp,penguin
identical,8,animal,antelope,antelope
semi-scrambled,8,animal,apnleote,antelope
fully-scrambled,8,animal,etlaopen,antelope
identical,8,animal,chipmunk,chipmunk
semi-scrambled,8,animal,cunhpmik,chipmunk
fully-scrambled,8,animal,uchikmpn,chipmunk
identical,8,animal,elephant,elephant
semi-scrambled,8,animal,eanhplet,elephant
fully-scrambled,8,animal,teneahpl,elephant
identical,8,animal,flamingo,flamingo
semi-scrambled,8,animal,fgliamno,flamingo
fully-scrambled,8,animal,lnafomg,flamingo
identical,8,animal,tortoise,tortoise
semi-scrambled,8,animal,ttosorie,tortoise
fully-scrambled,8,animal,stotoeir,tortoise
identical,8,animal,seahorse,seahorse
semi-scrambled,8,animal,shesaore,seahorse
fully-scrambled,8,animal,aaesoehr,seahorse
identical,8,animal,platypus,platypus
semi-scrambled,8,animal,pylaputs,platypus
fully-scrambled,8,animal,lypustap,platypus
identical,8,animal,kangaroo,kangaroo
semi-scrambled,8,animal,knroaoga,kangaroo
fully-scrambled,8,animal,ooarkang,kangaroo
identical,4,fruit_veg,bean,bean
semi-scrambled,4,fruit_veg,baen,bean
fully-scrambled,4,fruit_veg,naeb,bean
identical,4,fruit_veg,date,date
semi-scrambled,4,fruit_veg,dtae,date
fully-scrambled,4,fruit_veg,taed,date
identical,4,fruit_veg,pome,pome
semi-scrambled,4,fruit_veg,pmoe,pome
fully-scrambled,4,fruit_veg,opem,pome
identical,4,fruit_veg,corn,corn
semi-scrambled,4,fruit_veg,cron,corn
fully-scrambled,4,fruit_veg,ronc,corn
identical,4,fruit_veg,pear,pear
semi-scrambled,4,fruit_veg,paer,pear
fully-scrambled,4,fruit_veg,epra,pear
identical,4,fruit_veg,plum,plum
semi-scrambled,4,fruit_veg,pulm,plum
fully-scrambled,4,fruit_veg,mpul,plum
identical,4,fruit_veg,lime,lime
semi-scrambled,4,fruit_veg,lmie,lime
fully-scrambled,4,fruit_veg,elim,lime
identical,4,fruit_veg,kale,kale
semi-scrambled,4,fruit_veg,klae,kale
fully-scrambled,4,fruit_veg,lkea,kale
identical,5,fruit_veg,onion,onion
semi-scrambled,5,fruit_veg,ooinn,onion
fully-scrambled,5,fruit_veg,niono,onion
identical,5,fruit_veg,galia,galia
semi-scrambled,5,fruit_veg,giala,galia
fully-scrambled,5,fruit_veg,alagi,galia
identical,5,fruit_veg,lemon,lemon
semi-scrambled,5,fruit_veg,loemn,lemon
fully-scrambled,5,fruit_veg,monel,lemon
identical,5,fruit_veg,grape,grape
semi-scrambled,5,fruit_veg,gapre,grape
fully-scrambled,5,fruit_veg,rpgea,grape
identical,5,fruit_veg,mango,mango
semi-scrambled,5,fruit_veg,mgano,mango
fully-scrambled,5,fruit_veg,gmoan,mango
identical,5,fruit_veg,olive,olive
