Block,Category,Mod_level,Prime_word,acc,accuracy,average_response_time,avg_rt,background,bidi,block_picker,browser_codename,browser_name,browser_version,canvas_backend,category,clock_backend,color_backend,compensation,coordinates,correct,correct_keyboard_response,correct_response,count_block1,count_block2,count_block3,count_block4,count_correct,count_counter_balance,count_experiment,count_fixation,count_incorrect,count_instructions1,count_instructions2,count_instructions3,count_keyboard_response,count_logger,count_mask1,count_mask2,count_osweb,count_practice,count_prime,count_target,count_thanks,count_trial_sequence,date_startdate,date_startdateUTC,date_starttime,datetime,description,disable_garbage_collection,experiment_debug,experiment_parameters,experiment_path,experiment_pilot,experiment_taskname,experiment_taskversion,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,jatosStudyResultId,jatosVersion,keyboard_backend,mouse_backend,opensesame_codename,opensesame_version,penwidth,prime,queryParams_batchId,queryParams_generalMultiple,repeat_cycle,response,response_instructions1,response_instructions2,response_instructions3,response_keyboard_response,response_time,response_time_instructions1,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,round_decimals,sampler_backend,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,sessionid,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,system_os,target,time_block1,time_block2,time_block3,time_block4,time_correct,time_counter_balance,time_fixation,time_incorrect,time_instructions1,time_instructions2,time_instructions3,time_keyboard_response,time_logger,time_mask1,time_mask2,time_practice,time_prime,time_target,title,total_correct,total_response_time,total_responses,uniform_coordinates,width,word_length
practice,,practice,,100,100,1888,1888,black,no,4,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",psycho,natural,psycho,psycho,0,uniform,1,1,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05-11-22,05-11-22,14:19:10,Mon Dec 05 2022 14:19:10 GMT+0100 (Centraleuropæisk normaltid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class2,0,0,0,no,mono,no,18,no,white,no,no,768,1007,3.6.1,psycho,psycho,osweb,1.4.11,1,*****,269,,0,n,space,space,,n,1888,15021,4474,,1888,2,psycho,733,1280,24,800,24,0,23,1280,1670246417547,1024,2,48000,-16,experiment,1,odd,MacIntel,VINE,91,91,91,91,,85,19746,,90,15114,,20532,22431,20415,20497,91,20463,20531,ExPsyLing2022_Class2,1,1888,1,yes,1024,4
practice,,practice,,100,100,1398,1398,black,no,4,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",psycho,manmade,psycho,psycho,0,uniform,1,1,M,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,1,05-11-22,05-11-22,14:19:10,Mon Dec 05 2022 14:19:10 GMT+0100 (Centraleuropæisk normaltid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class2,0,0,0,no,mono,no,18,no,white,no,no,768,1007,3.6.1,psycho,psycho,osweb,1.4.11,1,*****,269,,0,m,space,space,,m,908,15021,4474,,908,2,psycho,733,1280,24,800,24,0,23,1280,1670246417547,1024,2,48000,-16,experiment,1,odd,MacIntel,BOAT,91,91,91,91,22432,85,23051,,90,15114,,23848,24764,23716,23798,91,23765,23848,ExPsyLing2022_Class2,2,2796,2,yes,1024,4
practice,,practice,,100,100,1291,1291,black,no,4,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",psycho,manmade,psycho,psycho,0,uniform,1,1,M,0,0,0,0,2,0,0,2,2,0,0,0,2,2,2,2,0,0,2,2,0,2,05-11-22,05-11-22,14:19:10,Mon Dec 05 2022 14:19:10 GMT+0100 (Centraleuropæisk normaltid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class2,0,0,0,no,mono,no,18,no,white,no,no,768,1007,3.6.1,psycho,psycho,osweb,1.4.11,1,*****,269,,0,m,space,space,,m,1077,15021,4474,,1077,2,psycho,733,1280,24,800,24,0,23,1280,1670246417547,1024,2,48000,-16,experiment,1,odd,MacIntel,STAIRS,91,91,91,91,24765,85,25379,,90,15114,,26167,27250,26035,26118,91,26084,26167,ExPsyLing2022_Class2,3,3873,3,yes,1024,6
practice,,practice,,75,75,1473,1473,black,no,4,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",psycho,natural,psycho,psycho,0,uniform,0,0,N,0,0,0,0,3,0,0,3,3,0,0,0,3,3,3,3,0,0,3,3,0,3,05-11-22,05-11-22,14:19:10,Mon Dec 05 2022 14:19:10 GMT+0100 (Centraleuropæisk normaltid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class2,0,0,0,no,mono,no,18,no,white,no,no,768,1007,3.6.1,psycho,psycho,osweb,1.4.11,1,*****,269,,0,None,space,space,,None,2018,15021,4474,,2018,2,psycho,733,1280,24,800,24,0,23,1280,1670246417547,1024,2,48000,-16,experiment,1,odd,MacIntel,ZEBRA,91,91,91,91,27251,85,27870,,90,15114,,28668,30688,28535,28619,91,28586,28668,ExPsyLing2022_Class2,3,5891,4,yes,1024,5
block4,natural,unrelated,BEAD,80,80,1339,1339,black,no,4,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",psycho,natural,psycho,psycho,0,uniform,1,1,N,0,0,0,0,4,0,0,4,4,0,0,0,4,4,4,4,0,0,4,4,0,4,05-11-22,05-11-22,14:19:10,Mon Dec 05 2022 14:19:10 GMT+0100 (Centraleuropæisk normaltid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class2,0,0,0,no,mono,no,18,no,white,no,no,768,1007,3.6.1,psycho,psycho,osweb,1.4.11,1,*****,269,,0,n,space,space,n,n,802,15021,4474,2528,802,2,psycho,733,1280,24,800,24,0,23,1280,1670246417547,1024,2,48000,-16,experiment,1,odd,MacIntel,PEAR,91,91,91,91,27251,85,33908,30689,90,15114,31203,34689,35504,34573,34655,91,34621,34689,ExPsyLing2022_Class2,4,6693,5,yes,1024,4
block4,natural,unrelated,BEAST,83,83,1226,1226,black,no,4,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",psycho,natural,psycho,psycho,0,uniform,1,1,N,0,0,0,0,5,0,0,5,5,0,0,0,5,5,5,5,0,0,5,5,0,5,05-11-22,05-11-22,14:19:10,Mon Dec 05 2022 14:19:10 GMT+0100 (Centraleuropæisk normaltid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class2,0,0,0,no,mono,no,18,no,white,no,no,768,1007,3.6.1,psycho,psycho,osweb,1.4.11,1,*****,269,,0,n,space,space,n,n,661,15021,4474,2528,661,2,psycho,733,1280,24,800,24,0,23,1280,1670246417547,1024,2,48000,-16,experiment,1,odd,MacIntel,EGGS,91,91,91,91,35506,85,36141,30689,90,15114,31203,36938,37604,36806,36889,91,36855,36938,ExPsyLing2022_Class2,5,7354,6,yes,1024,4
block4,natural,exact,CATS,86,86,1148,1148,black,no,4,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",psycho,natural,psycho,psycho,0,uniform,1,1,N,0,0,0,0,6,0,0,6,6,0,0,0,6,6,6,6,0,0,6,6,0,6,05-11-22,05-11-22,14:19:10,Mon Dec 05 2022 14:19:10 GMT+0100 (Centraleuropæisk normaltid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class2,0,0,0,no,mono,no,18,no,white,no,no,768,1007,3.6.1,psycho,psycho,osweb,1.4.11,1,*****,269,,0,n,space,space,n,n,685,15021,4474,2528,685,2,psycho,733,1280,24,800,24,0,23,1280,1670246417547,1024,2,48000,-16,experiment,1,odd,MacIntel,CATS,91,91,91,91,37605,85,38248,30689,90,15114,31203,39038,39738,38907,38990,91,38955,39038,ExPsyLing2022_Class2,6,8039,7,yes,1024,4
block4,natural,two_modifications,)OG5,88,88,1091,1091,black,no,4,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",psycho,natural,psycho,psycho,0,uniform,1,1,N,0,0,0,0,7,0,0,7,7,0,0,0,7,7,7,7,0,0,7,7,0,7,05-11-22,05-11-22,14:19:10,Mon Dec 05 2022 14:19:10 GMT+0100 (Centraleuropæisk normaltid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class2,0,0,0,no,mono,no,18,no,white,no,no,768,1007,3.6.1,psycho,psycho,osweb,1.4.11,1,*****,269,,0,n,space,space,n,n,691,15021,4474,2528,691,2,psycho,733,1280,24,800,24,0,23,1280,1670246417547,1024,2,48000,-16,experiment,1,odd,MacIntel,DOGS,91,91,91,91,39740,85,40348,30689,90,15114,31203,41123,41822,41007,41074,91,41041,41123,ExPsyLing2022_Class2,7,8730,8,yes,1024,4
block4,natural,one_modification,)UCK,89,89,1072,1072,black,no,4,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",psycho,natural,psycho,psycho,0,uniform,1,1,N,0,0,0,0,8,0,0,8,8,0,0,0,8,8,8,8,0,0,8,8,0,8,05-11-22,05-11-22,14:19:10,Mon Dec 05 2022 14:19:10 GMT+0100 (Centraleuropæisk normaltid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class2,0,0,0,no,mono,no,18,no,white,no,no,768,1007,3.6.1,psycho,psycho,osweb,1.4.11,1,*****,269,,0,n,space,space,n,n,915,15021,4474,2528,915,2,psycho,733,1280,24,800,24,0,23,1280,1670246417547,1024,2,48000,-16,experiment,1,odd,MacIntel,DUCK,91,91,91,91,41824,85,42452,30689,90,15114,31203,43224,44140,43109,43191,91,43157,43224,ExPsyLing2022_Class2,8,9645,9,yes,1024,4
block4,manmade,two_modifications,)1SH,90,90,1045,1045,black,no,4,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",psycho,natural,psycho,psycho,0,uniform,1,1,M,0,0,0,0,9,0,0,9,9,0,0,0,9,9,9,9,0,0,9,9,0,9,05-11-22,05-11-22,14:19:10,Mon Dec 05 2022 14:19:10 GMT+0100 (Centraleuropæisk normaltid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class2,0,0,0,no,mono,no,18,no,white,no,no,768,1007,3.6.1,psycho,psycho,osweb,1.4.11,1,*****,269,,0,m,space,space,n,m,804,15021,4474,2528,804,2,psycho,733,1280,24,800,24,0,23,1280,1670246417547,1024,2,48000,-16,experiment,1,odd,MacIntel,DISH,91,91,91,91,44141,85,44789,30689,90,15114,31203,45575,46390,45443,45526,91,45492,45575,ExPsyLing2022_Class2,9,10449,10,yes,1024,4
