,Mod_level,Prime_word,Target,Category,correct_response,word_length,Block
24,unrelated,FROG,LAMP,manmade,M,4.0,block4
44,unrelated,APLE,TOOL,manmade,M,4.0,block4
88,unrelated,FLAG,CAGE,manmade,M,4.0,block4
124,unrelated,KNACK,KNIFE,manmade,M,5.0,block4
152,unrelated,MOOSE,PAPER,manmade,M,5.0,block4
176,unrelated,TYRE,SINK,manmade,M,4.0,block4
13,exact,WALL,WALL,manmade,M,4.0,block4
29,exact,CAKE,CAKE,manmade,M,4.0,block4
49,exact,LIST,LIST,manmade,M,4.0,block4
97,exact,CANDY,CANDY,manmade,M,5.0,block4
137,exact,LOCK,LOCK,manmade,M,4.0,block4
161,exact,PHONE,PHONE,manmade,M,5.0,block4
197,exact,TOYS,TOYS,manmade,M,4.0,block4
18,one_modification,I3ALL,BALL,manmade,M,4.0,block4
38,one_modification,TR(_)CK,TRUCK,manmade,M,5.0,block4
54,one_modification,|*AGE,PAGE,manmade,M,4.0,block4
114,one_modification,)ESK,DESK,manmade,M,4.0,block4
142,one_modification,MA1L,MAIL,manmade,M,4.0,block4
166,one_modification,|*IZZA,PIZZA,manmade,M,5.0,block4
206,one_modification,\\/ASE,VASE,manmade,M,4.0,block4
23,two_modifications,C04T,COAT,manmade,M,4.0,block4
43,two_modifications,I3RE4D,BREAD,manmade,M,5.0,block4
87,two_modifications,13O0K,BOOK,manmade,M,4.0,block4
119,two_modifications,)1SH,DISH,manmade,M,4.0,block4
151,two_modifications,OV3И,OVEN,manmade,M,4.0,block4
175,two_modifications,S#0E,SHOE,manmade,M,4.0,block4
32,unrelated,BIRDS,APPLE,natural,N,5.0,block4
68,unrelated,DOOR,WOLF,natural,N,4.0,block4
92,unrelated,CHEAT,CAMEL,natural,N,5.0,block4
120,unrelated,BEAST,EGGS,natural,N,4.0,block4
156,unrelated,BEAD,PEAR,natural,N,4.0,block4
188,unrelated,WATER,STONE,natural,N,5.0,block4
1,exact,NUTS,NUTS,natural,N,4.0,block4
57,exact,WATER,WATER,natural,N,5.0,block4
73,exact,BIRD,BIRD,natural,N,4.0,block4
101,exact,CATS,CATS,natural,N,4.0,block4
129,exact,LAMB,LAMB,natural,N,4.0,block4
169,exact,PLUM,PLUM,natural,N,4.0,block4
193,exact,TIGER,TIGER,natural,N,5.0,block4
6,one_modification,R4IN,RAIN,natural,N,4.0,block4
62,one_modification,)UCK,DUCK,natural,N,4.0,block4
78,one_modification,|*ONY,PONY,natural,N,4.0,block4
106,one_modification,ST0RM,STORM,natural,N,4.0,block4
134,one_modification,1EAF,LEAF,natural,N,4.0,block4
182,one_modification,5NAIL,SNAIL,natural,N,5.0,block4
202,one_modification,TUN4,TUNA,natural,N,4.0,block4
11,two_modifications,SH33P,SHEEP,natural,N,5.0,block4
67,two_modifications,)OG5,DOGS,natural,N,4.0,block4
83,two_modifications,I3E4K,BEAK,natural,N,4.0,block4
111,two_modifications,[R0W,CROW,natural,N,4.0,block4
147,two_modifications,M00N,MOON,natural,N,4.0,block4
187,two_modifications,SИ0W,SNOW,natural,N,4.0,block4
