"acc","accuracy","average_response_time","avg_rt","background","block_position","canvas_backend","compensation","coordinates","correct","correct_instructions","correct_new_mouse_response","count_corsi","count_corsi4","count_corsi5","count_corsi6","count_corsi_isa","count_corsi_response_sequence","count_corsi_sequence","count_experiment","count_instructions","count_logger","count_new_logger","count_new_loop","count_new_mouse_response","count_new_sequence_1","count_new_sketchpad","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","live_row","live_row_new_loop","logfile","opensesame_codename","opensesame_version","repeat_cycle","response","response_corsi4","response_corsi5","response_corsi6","response_instructions","response_new_mouse_response","response_time","response_time_corsi4","response_time_corsi5","response_time_corsi6","response_time_instructions","response_time_new_mouse_response","round_decimals","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_corsi","time_corsi4","time_corsi5","time_corsi6","time_corsi_isa","time_corsi_response_sequence","time_corsi_sequence","time_experiment","time_instructions","time_logger","time_new_logger","time_new_loop","time_new_mouse_response","time_new_sequence_1","time_new_sketchpad","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"undefined","undefined","undefined","undefined","black","-288","psycho","0","uniform","undefined","undefined","NA","0","NA","NA","NA","0","0","0","0","0","NA","0","0","NA","NA","NA","NA","NA","NA","Mon Nov 21 15:19:57 2022","The main experiment item","yes","NA","Corsi_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","no","768","0","0","/Users/ethan/Documents/GitHub/OpenSesame/Dual-task_Reading_Comprehension/subject-0.csv","Lentiform Loewenfeld","3.3.12","0","space","NA","NA","NA","space","NA","7207.78383400102","NA","NA","NA","7207.78383400102","NA","2","1024","2","48000","-16","experiment","0","even","10713.715375000902","NA","NA","NA","9707.269083999563","NA","9701.838209002744","2451.841334001074","2463.1536250017234","NA","11714.918834000855","9683.00441700194","NA","NA","NA","New experiment","0","0","0","yes","1024"
"undefined","undefined","undefined","undefined","black","192","psycho","0","uniform","undefined","undefined","NA","1","NA","NA","NA","1","0","1","0","0","NA","1","0","NA","NA","NA","NA","NA","NA","Mon Nov 21 15:19:57 2022","The main experiment item","yes","NA","Corsi_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","no","768","1","1","/Users/ethan/Documents/GitHub/OpenSesame/Dual-task_Reading_Comprehension/subject-0.csv","Lentiform Loewenfeld","3.3.12","0","space","NA","NA","NA","space","NA","7207.78383400102","NA","NA","NA","7207.78383400102","NA","2","1024","2","48000","-16","experiment","0","even","12774.63304200137","NA","NA","NA","11768.57291700071","NA","11763.664083999174","2451.841334001074","2463.1536250017234","NA","13775.807959002123","9683.00441700194","NA","NA","NA","New experiment","0","0","0","yes","1024"
"undefined","undefined","undefined","undefined","black","-448","psycho","0","uniform","undefined","undefined","NA","2","NA","NA","NA","2","0","2","0","0","NA","2","0","NA","NA","NA","NA","NA","NA","Mon Nov 21 15:19:57 2022","The main experiment item","yes","NA","Corsi_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","no","768","2","2","/Users/ethan/Documents/GitHub/OpenSesame/Dual-task_Reading_Comprehension/subject-0.csv","Lentiform Loewenfeld","3.3.12","0","space","NA","NA","NA","space","NA","7207.78383400102","NA","NA","NA","7207.78383400102","NA","2","1024","2","48000","-16","experiment","0","even","14835.0819590014","NA","NA","NA","13828.885792001529","NA","13824.065959001018","2451.841334001074","2463.1536250017234","NA","15836.272750002536","9683.00441700194","NA","NA","NA","New experiment","0","0","0","yes","1024"
"undefined","undefined","undefined","undefined","black","-128","psycho","0","uniform","undefined","undefined","NA","3","NA","NA","NA","3","0","3","0","0","NA","3","0","NA","NA","NA","NA","NA","NA","Mon Nov 21 15:19:57 2022","The main experiment item","yes","NA","Corsi_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","no","768","3","3","/Users/ethan/Documents/GitHub/OpenSesame/Dual-task_Reading_Comprehension/subject-0.csv","Lentiform Loewenfeld","3.3.12","0","space","NA","NA","NA","space","NA","7207.78383400102","NA","NA","NA","7207.78383400102","NA","2","1024","2","48000","-16","experiment","0","even","16895.450125000934","NA","NA","NA","15889.230374999897","NA","15884.4799590006","2451.841334001074","2463.1536250017234","NA","17896.66220900108","9683.00441700194","NA","NA","NA","New experiment","0","0","0","yes","1024"
"undefined","undefined","undefined","undefined","black","352","psycho","0","uniform","undefined","undefined","NA","4","NA","NA","NA","4","0","4","0","0","NA","4","0","NA","NA","NA","NA","NA","NA","Mon Nov 21 15:19:57 2022","The main experiment item","yes","NA","Corsi_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","no","768","4","4","/Users/ethan/Documents/GitHub/OpenSesame/Dual-task_Reading_Comprehension/subject-0.csv","Lentiform Loewenfeld","3.3.12","0","space","NA","NA","NA","space","NA","7207.78383400102","NA","NA","NA","7207.78383400102","NA","2","1024","2","48000","-16","experiment","0","even","18955.024917002447","NA","NA","NA","17949.98783399933","NA","17945.128916999238","2451.841334001074","2463.1536250017234","NA","19956.24945900272","9683.00441700194","NA","NA","NA","New experiment","0","0","0","yes","1024"
"undefined","undefined","undefined","undefined","black","32","psycho","0","uniform","undefined","undefined","NA","5","NA","NA","NA","5","0","5","0","0","NA","5","0","NA","NA","NA","NA","NA","NA","Mon Nov 21 15:19:57 2022","The main experiment item","yes","NA","Corsi_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","no","768","5","5","/Users/ethan/Documents/GitHub/OpenSesame/Dual-task_Reading_Comprehension/subject-0.csv","Lentiform Loewenfeld","3.3.12","0","space","NA","NA","NA","space","NA","7207.78383400102","NA","NA","NA","7207.78383400102","NA","2","1024","2","48000","-16","experiment","0","even","21016.667209001753","NA","NA","NA","20010.27016700027","NA","20004.5249169998","2451.841334001074","2463.1536250017234","NA","22017.881209001644","9683.00441700194","NA","NA","NA","New experiment","0","0","0","yes","1024"
"undefined","undefined","1698.1532919999154","1698.1532919999154","black","32","psycho","0","uniform","undefined","undefined","undefined","5","NA","NA","NA","5","0","5","0","0","NA","6","0","0","0","0","undefined","-410","-15","Mon Nov 21 15:19:57 2022","The main experiment item","yes","","Corsi_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","no","768","0","5","/Users/ethan/Documents/GitHub/OpenSesame/Dual-task_Reading_Comprehension/subject-0.csv","Lentiform Loewenfeld","3.3.12","0","1","NA","NA","NA","space","1","1698.1532919999154","NA","NA","NA","7207.78383400102","1698.1532919999154","2","1024","2","48000","-16","experiment","0","even","21016.667209001753","NA","NA","NA","20010.27016700027","22047.876000000542","20004.5249169998","2451.841334001074","2463.1536250017234","NA","23766.920500002016","9683.00441700194","22066.986166999413","22061.539459002233","22066.852792002464","New experiment","0","1698.1532919999154","1","yes","1024"
"undefined","undefined","1221.9236875007482","1221.9236875007482","black","32","psycho","0","uniform","undefined","undefined","undefined","5","NA","NA","NA","5","0","5","0","0","NA","7","0","1","1","1","undefined","86","-26","Mon Nov 21 15:19:57 2022","The main experiment item","yes","","Corsi_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","no","768","1","5","/Users/ethan/Documents/GitHub/OpenSesame/Dual-task_Reading_Comprehension/subject-0.csv","Lentiform Loewenfeld","3.3.12","0","1","NA","NA","NA","space","1","745.694083001581","NA","NA","NA","7207.78383400102","745.694083001581","2","1024","2","48000","-16","experiment","0","even","21016.667209001753","NA","NA","NA","20010.27016700027","22047.876000000542","20004.5249169998","2451.841334001074","2463.1536250017234","NA","24561.899333999463","9683.00441700194","23814.631417000783","23809.53149999914","23814.480084001843","New experiment","0","2443.8473750014964","2","yes","1024"
"undefined","undefined","1013.0304723340183","1013.0304723340183","black","32","psycho","0","uniform","undefined","undefined","undefined","5","NA","NA","NA","5","0","5","0","0","NA","8","0","2","2","2","undefined","-72","-12","Mon Nov 21 15:19:57 2022","The main experiment item","yes","","Corsi_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","no","768","2","5","/Users/ethan/Documents/GitHub/OpenSesame/Dual-task_Reading_Comprehension/subject-0.csv","Lentiform Loewenfeld","3.3.12","0","1","NA","NA","NA","space","1","595.2440420005587","NA","NA","NA","7207.78383400102","595.2440420005587","2","1024","2","48000","-16","experiment","0","even","21016.667209001753","NA","NA","NA","20010.27016700027","22047.876000000542","20004.5249169998","2451.841334001074","2463.1536250017234","NA","25206.56512500136","9683.00441700194","24609.655917000055","24604.72149999987","24609.51579200264","New experiment","0","3039.091417002055","3","yes","1024"
"undefined","undefined","1020.9985522506031","1020.9985522506031","black","32","psycho","0","uniform","undefined","undefined","undefined","5","NA","NA","NA","5","0","5","0","0","NA","9","0","3","3","3","undefined","389","-28","Mon Nov 21 15:19:57 2022","The main experiment item","yes","","Corsi_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","no","768","3","5","/Users/ethan/Documents/GitHub/OpenSesame/Dual-task_Reading_Comprehension/subject-0.csv","Lentiform Loewenfeld","3.3.12","0","1","NA","NA","NA","space","1","1044.9027920003573","NA","NA","NA","7207.78383400102","1044.9027920003573","2","1024","2","48000","-16","experiment","0","even","21016.667209001753","NA","NA","NA","20010.27016700027","22047.876000000542","20004.5249169998","2451.841334001074","2463.1536250017234","NA","26304.832500001794","9683.00441700194","25253.208917001757","25249.17012500009","25253.08891700115","New experiment","0","4083.9942090024124","4","yes","1024"
