browser_codename,browser_name,browser_version,condition,congruence,correct,counterbalance,date_startdate,date_startdateUTC,date_starttime,experiment_debug,experiment_parameters,experiment_pilot,experiment_taskname,experiment_taskversion,jatosStudyResultId,jatosVersion,prime,queryParams_batchId,queryParams_generalMultiple,response_time,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,soa_condition,system_os,target,time_mask1,time_mask2,time_prime
Mozilla,Netscape,5.0 (Windows),practice,practice,1,None,03-10-22,03-10-22,09:26:43,0,0,0,0,0,792,3.6.1,nvoiuh,241,,1027,680,1280,24,720,24,-7,-7,1280,practice,Win32,HOUSE,47493,47593,47543
Mozilla,Netscape,5.0 (Windows),practice,practice,1,None,03-10-22,03-10-22,09:26:43,0,0,0,0,0,792,3.6.1,iweonf,241,,798,680,1280,24,720,24,-7,-7,1280,practice,Win32,BOAT,49243,49343,49293
Mozilla,Netscape,5.0 (Windows),practice,practice,1,None,03-10-22,03-10-22,09:26:43,0,0,0,0,0,792,3.6.1,abjdhjs,241,,916,680,1280,24,720,24,-7,-7,1280,practice,Win32,HORSE,50778,50876,50826
Mozilla,Netscape,5.0 (Windows),practice,practice,1,None,03-10-22,03-10-22,09:26:43,0,0,0,0,0,792,3.6.1,snjghf,241,,704,680,1280,24,720,24,-7,-7,1280,practice,Win32,SHEEP,52426,52526,52475
Mozilla,Netscape,5.0 (Windows),Con_Nat,congruent,1,B,03-10-22,03-10-22,09:26:43,0,0,0,0,0,792,3.6.1,reef,241,,801,680,1280,24,720,24,-7,-7,1280,long,Win32,REEF,52426,58908,58858
Mozilla,Netscape,5.0 (Windows),Con_Synth,congruent,1,B,03-10-22,03-10-22,09:26:43,0,0,0,0,0,792,3.6.1,canoe,241,,952,680,1280,24,720,24,-7,-7,1280,long,Win32,CANOE,52426,60457,60408
Mozilla,Netscape,5.0 (Windows),Inc_Nat_Nat,incongruent,0,B,03-10-22,03-10-22,09:26:43,0,0,0,0,0,792,3.6.1,ocean,241,,715,680,1280,24,720,24,-7,-7,1280,long,Win32,TREE,52426,62174,62123
Mozilla,Netscape,5.0 (Windows),Con_Synth,congruent,1,B,03-10-22,03-10-22,09:26:43,0,0,0,0,0,792,3.6.1,stove,241,,736,680,1280,24,720,24,-7,-7,1280,long,Win32,STOVE,52426,63657,63606
Mozilla,Netscape,5.0 (Windows),Inc_Synth_Nat,incongruent,1,B,03-10-22,03-10-22,09:26:43,0,0,0,0,0,792,3.6.1,bowl,241,,714,680,1280,24,720,24,-7,-7,1280,long,Win32,WOLF,52426,65140,65090
Mozilla,Netscape,5.0 (Windows),Con_Synth,congruent,1,B,03-10-22,03-10-22,09:26:43,0,0,0,0,0,792,3.6.1,crate,241,,1003,680,1280,24,720,24,-7,-7,1280,long,Win32,CRATE,52426,66590,66539
