browser_codename,browser_name,browser_version,condition,congruence,correct,date_startdate,date_startdateUTC,date_starttime,experiment_debug,experiment_parameters,experiment_pilot,experiment_taskname,experiment_taskversion,jatosStudyResultId,jatosVersion,prime,queryParams_batchId,queryParams_personalMultipleWorkerId,response_time,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,soa_condition,system_os,target,time_mask1,time_mask2,time_prime
Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14989.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",practice,practice,1,30-09-22,30-09-22,22:45:52,0,0,0,0,0,757,3.6.1,abjdhjs,233,804,803,816,1536,24,864,24,0,0,1536,practice,Linux aarch64,HORSE,39437,39537,39487
Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14989.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",practice,practice,1,30-09-22,30-09-22,22:45:52,0,0,0,0,0,757,3.6.1,nvoiuh,233,804,975,816,1536,24,864,24,0,0,1536,practice,Linux aarch64,HOUSE,40987,41085,41036
Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14989.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",practice,practice,1,30-09-22,30-09-22,22:45:52,0,0,0,0,0,757,3.6.1,snjghf,233,804,748,816,1536,24,864,24,0,0,1536,practice,Linux aarch64,SHEEP,42701,42800,42751
Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14989.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",practice,practice,1,30-09-22,30-09-22,22:45:52,0,0,0,0,0,757,3.6.1,iweonf,233,804,961,816,1536,24,864,24,0,0,1536,practice,Linux aarch64,BOAT,44183,44283,44233
Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14989.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",Con_Nat,congruent,1,30-09-22,30-09-22,22:45:52,0,0,0,0,0,757,3.6.1,seed,233,804,626,816,1536,24,864,24,0,0,1536,short,Linux aarch64,SEED,51312,51410,51360
Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14989.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",Con_Nat,congruent,1,30-09-22,30-09-22,22:45:52,0,0,0,0,0,757,3.6.1,deer,233,804,712,816,1536,24,864,24,0,0,1536,short,Linux aarch64,DEER,52676,52775,52725
Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14989.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",Inc_Nat_Synth,incongruent,1,30-09-22,30-09-22,22:45:52,0,0,0,0,0,757,3.6.1,finch,233,804,713,816,1536,24,864,24,0,0,1536,short,Linux aarch64,SPOON,54126,54224,54174
Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14989.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",Con_Synth,congruent,1,30-09-22,30-09-22,22:45:52,0,0,0,0,0,757,3.6.1,bike,233,804,598,816,1536,24,864,24,0,0,1536,short,Linux aarch64,BIKE,55574,55674,55623
Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14989.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",Con_Nat,congruent,1,30-09-22,30-09-22,22:45:52,0,0,0,0,0,757,3.6.1,creek,233,804,768,816,1536,24,864,24,0,0,1536,short,Linux aarch64,CREEK,56906,57005,56955
Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14989.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",Inc_Synth_Nat,incongruent,1,30-09-22,30-09-22,22:45:52,0,0,0,0,0,757,3.6.1,ruler,233,804,860,816,1536,24,864,24,0,0,1536,short,Linux aarch64,PANSY,58421,58522,58471
Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14989.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",Con_Synth,congruent,1,30-09-22,30-09-22,22:45:52,0,0,0,0,0,757,3.6.1,mail,233,804,709,816,1536,24,864,24,0,0,1536,short,Linux aarch64,MAIL,60020,60119,60069
Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14989.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",Con_Nat,congruent,1,30-09-22,30-09-22,22:45:52,0,0,0,0,0,757,3.6.1,worm,233,804,621,816,1536,24,864,24,0,0,1536,short,Linux aarch64,WORM,61468,61568,61518
Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14989.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",Inc_Nat_Synth,incongruent,1,30-09-22,30-09-22,22:45:52,0,0,0,0,0,757,3.6.1,cobra,233,804,768,816,1536,24,864,24,0,0,1536,short,Linux aarch64,RAZOR,62834,62933,62884
Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14989.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",Con_Synth,congruent,1,30-09-22,30-09-22,22:45:52,0,0,0,0,0,757,3.6.1,belt,233,804,641,816,1536,24,864,24,0,0,1536,short,Linux aarch64,BELT,64349,64449,64399
Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14989.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",Inc_Nat_Synth,incongruent,1,30-09-22,30-09-22,22:45:52,0,0,0,0,0,757,3.6.1,camel,233,804,768,816,1536,24,864,24,0,0,1536,short,Linux aarch64,BENCH,65731,65831,65781
Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14989.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",Inc_Nat_Synth,incongruent,1,30-09-22,30-09-22,22:45:52,0,0,0,0,0,757,3.6.1,water,233,804,685,816,1536,24,864,24,0,0,1536,short,Linux aarch64,MEDAL,67247,67346,67297
Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14989.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",Con_Synth,congruent,1,30-09-22,30-09-22,22:45:52,0,0,0,0,0,757,3.6.1,coat,233,804,607,816,1536,24,864,24,0,0,1536,short,Linux aarch64,COAT,68679,68779,68728
Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14989.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",Inc_Synth_Nat,incongruent,1,30-09-22,30-09-22,22:45:52,0,0,0,0,0,757,3.6.1,silo,233,804,678,816,1536,24,864,24,0,0,1536,short,Linux aarch64,OTTER,70028,70127,70078
Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14989.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",Con_Nat,congruent,1,30-09-22,30-09-22,22:45:52,0,0,0,0,0,757,3.6.1,corn,233,804,523,816,1536,24,864,24,0,0,1536,short,Linux aarch64,CORN,71443,71543,71493
Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14989.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",Inc_Nat_Synth,incongruent,1,30-09-22,30-09-22,22:45:52,0,0,0,0,0,757,3.6.1,lime,233,804,643,816,1536,24,864,24,0,0,1536,short,Linux aarch64,SOFA,72726,72825,72775
Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14989.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",Con_Nat,congruent,0,30-09-22,30-09-22,22:45:52,0,0,0,0,0,757,3.6.1,puppy,233,804,708,816,1536,24,864,24,0,0,1536,short,Linux aarch64,PUPPY,74108,74207,74157
Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14989.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",Con_Nat,congruent,1,30-09-22,30-09-22,22:45:52,0,0,0,0,0,757,3.6.1,hawk,233,804,705,816,1536,24,864,24,0,0,1536,short,Linux aarch64,HAWK,75556,75639,75605
Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14989.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",Inc_Synth_Nat,incongruent,1,30-09-22,30-09-22,22:45:52,0,0,0,0,0,757,3.6.1,wharf,233,804,858,816,1536,24,864,24,0,0,1536,short,Linux aarch64,TWIG,76989,77088,77038
Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14989.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",Con_Nat,congruent,1,30-09-22,30-09-22,22:45:52,0,0,0,0,0,757,3.6.1,goose,233,804,781,816,1536,24,864,24,0,0,1536,short,Linux aarch64,GOOSE,78587,78687,78637
Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14989.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",Con_Synth,congruent,1,30-09-22,30-09-22,22:45:52,0,0,0,0,0,757,3.6.1,doll,233,804,759,816,1536,24,864,24,0,0,1536,short,Linux aarch64,DOLL,80102,80184,80136
Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14989.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",Inc_Nat_Synth,incongruent,1,30-09-22,30-09-22,22:45:52,0,0,0,0,0,757,3.6.1,fern,233,804,729,816,1536,24,864,24,0,0,1536,short,Linux aarch64,CAFÉ,81567,81651,81601
Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14989.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",Con_Nat,congruent,1,30-09-22,30-09-22,22:45:52,0,0,0,0,0,757,3.6.1,cave,233,804,750,816,1536,24,864,24,0,0,1536,short,Linux aarch64,CAVE,83016,83116,83066
Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14989.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",Inc_Synth_Nat,incongruent,1,30-09-22,30-09-22,22:45:52,0,0,0,0,0,757,3.6.1,sash,233,804,856,816,1536,24,864,24,0,0,1536,short,Linux aarch64,DINGO,84499,84598,84548
Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14989.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",Con_Synth,congruent,1,30-09-22,30-09-22,22:45:52,0,0,0,0,0,757,3.6.1,drug,233,804,696,816,1536,24,864,24,0,0,1536,short,Linux aarch64,DRUG,86097,86197,86147
Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14989.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",Con_Synth,congruent,1,30-09-22,30-09-22,22:45:52,0,0,0,0,0,757,3.6.1,gate,233,804,1081,816,1536,24,864,24,0,0,1536,short,Linux aarch64,GATE,87530,87629,87579
Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14989.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",Con_Nat,congruent,1,30-09-22,30-09-22,22:45:52,0,0,0,0,0,757,3.6.1,soil,233,804,528,816,1536,24,864,24,0,0,1536,short,Linux aarch64,SOIL,89344,89444,89394
Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14989.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",Con_Synth,congruent,1,30-09-22,30-09-22,22:45:52,0,0,0,0,0,757,3.6.1,cable,233,804,555,816,1536,24,864,24,0,0,1536,short,Linux aarch64,CABLE,90610,90709,90660
