browser_codename,browser_name,browser_version,condition,congruence,correct,counterbalance,date_startdate,date_startdateUTC,date_starttime,experiment_debug,experiment_parameters,experiment_pilot,experiment_taskname,experiment_taskversion,jatosStudyResultId,jatosVersion,prime,queryParams_batchId,queryParams_jatosWorkerId,response_time,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,soa_condition,system_os,target,time_mask1,time_mask2,time_prime
Mozilla,Netscape,5.0 (Macintosh),practice,practice,0,None,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,snjghf,-1,1,573,1175,1920,30,1200,30,118,121,1920,practice,MacIntel,SHEEP,4101,4183,4135
Mozilla,Netscape,5.0 (Macintosh),practice,practice,0,None,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,iweonf,-1,1,455,1175,1920,30,1200,30,118,121,1920,practice,MacIntel,BOAT,5351,5434,5400
Mozilla,Netscape,5.0 (Macintosh),practice,practice,0,None,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,nvoiuh,-1,1,498,1175,1920,30,1200,30,118,121,1920,practice,MacIntel,HOUSE,6500,6585,6534
Mozilla,Netscape,5.0 (Macintosh),practice,practice,0,None,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,abjdhjs,-1,1,540,1175,1920,30,1200,30,118,121,1920,practice,MacIntel,HORSE,7682,7748,7715
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Nat,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,sink,-1,1,191,1175,1920,30,1200,30,118,121,1920,long,MacIntel,LAMB,7682,10532,10483
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,scarf,-1,1,2015,1175,1920,30,1200,30,118,121,1920,long,MacIntel,SCARF,7682,11434,11400
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,stone,-1,1,2016,1175,1920,30,1200,30,118,121,1920,long,MacIntel,STONE,7682,14183,14150
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Synth,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,deck,-1,1,2016,1175,1920,30,1200,30,118,121,1920,long,MacIntel,PLATE,7682,16949,16901
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,stove,-1,1,2001,1175,1920,30,1200,30,118,121,1920,long,MacIntel,STOVE,7682,19700,19651
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Synth,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,wire,-1,1,2016,1175,1920,30,1200,30,118,121,1920,long,MacIntel,CABIN,7682,22433,22384
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Synth,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,shoe,-1,1,2016,1175,1920,30,1200,30,118,121,1920,long,MacIntel,COUCH,7682,25184,25150
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,canon,-1,1,2015,1175,1920,30,1200,30,118,121,1920,long,MacIntel,CANON,7682,27935,27900
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,crate,-1,1,2015,1175,1920,30,1200,30,118,121,1920,long,MacIntel,CRATE,7682,30701,30650
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Synth,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,moose,-1,1,2016,1175,1920,30,1200,30,118,121,1920,long,MacIntel,PORCH,7682,33467,33416
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Synth,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,cake,-1,1,2016,1175,1920,30,1200,30,118,121,1920,long,MacIntel,TRASH,7682,36217,36183
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,hare,-1,1,2016,1175,1920,30,1200,30,118,121,1920,long,MacIntel,HARE,7682,38967,38933
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Nat,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,storm,-1,1,2017,1175,1920,30,1200,30,118,121,1920,long,MacIntel,LAND,7682,41734,41686
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,wasp,-1,1,2015,1175,1920,30,1200,30,118,121,1920,long,MacIntel,WASP,7682,44499,44450
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,crab,-1,1,2015,1175,1920,30,1200,30,118,121,1920,long,MacIntel,CRAB,7682,47250,47202
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Nat,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,fort,-1,1,2016,1175,1920,30,1200,30,118,121,1920,long,MacIntel,GOAT,7682,50016,49967
