browser_codename,browser_name,browser_version,condition,congruence,correct,counterbalance,date_startdate,date_startdateUTC,date_starttime,experiment_debug,experiment_parameters,experiment_pilot,experiment_taskname,experiment_taskversion,jatosStudyResultId,jatosVersion,prime,queryParams_batchId,queryParams_jatosWorkerId,response_time,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,soa_condition,system_os,target,time_mask1,time_mask2,time_prime
Mozilla,Netscape,5.0 (Macintosh),practice,practice,0,None,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,abjdhjs,-1,1,688,1175,1920,30,1200,30,0,25,1920,practice,MacIntel,HORSE,2775,2853,2817
Mozilla,Netscape,5.0 (Macintosh),practice,practice,1,None,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,snjghf,-1,1,254,1175,1920,30,1200,30,0,25,1920,practice,MacIntel,SHEEP,4170,4252,4218
Mozilla,Netscape,5.0 (Macintosh),practice,practice,0,None,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,iweonf,-1,1,270,1175,1920,30,1200,30,0,25,1920,practice,MacIntel,BOAT,5135,5217,5170
Mozilla,Netscape,5.0 (Macintosh),practice,practice,0,None,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,nvoiuh,-1,1,241,1175,1920,30,1200,30,0,25,1920,practice,MacIntel,HOUSE,6101,6201,6152
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,hare,-1,1,350,1175,1920,30,1200,30,0,25,1920,long,MacIntel,HARE,6101,8235,8201
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,peas,-1,1,2016,1175,1920,30,1200,30,0,25,1920,long,MacIntel,PEAS,6101,9333,9286
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,crate,-1,1,2018,1175,1920,30,1200,30,0,25,1920,long,MacIntel,CRATE,6101,12050,12016
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Synth,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,moose,-1,1,2017,1175,1920,30,1200,30,0,25,1920,long,MacIntel,PORCH,6101,14783,14734
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,earth,-1,1,2017,1175,1920,30,1200,30,0,25,1920,long,MacIntel,EARTH,6101,17551,17485
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,boar,-1,1,2014,1175,1920,30,1200,30,0,25,1920,long,MacIntel,BOAR,6101,20317,20283
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Nat,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,barn,-1,1,2015,1175,1920,30,1200,30,0,25,1920,long,MacIntel,TUNA,6101,23069,23034
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Synth,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,desk,-1,1,2014,1175,1920,30,1200,30,0,25,1920,long,MacIntel,CANDY,6101,25835,25785
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Nat,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,bowl,-1,1,2015,1175,1920,30,1200,30,0,25,1920,long,MacIntel,WOLF,6101,28585,28535
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,broom,-1,1,2015,1175,1920,30,1200,30,0,25,1920,long,MacIntel,BROOM,6101,31334,31300
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Nat,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,fruit,-1,1,2017,1175,1920,30,1200,30,0,25,1920,long,MacIntel,BEAR,6101,34123,34082
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Synth,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,taxi,-1,1,2015,1175,1920,30,1200,30,0,25,1920,long,MacIntel,CHAIN,6101,36885,36836
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,moss,-1,1,2014,1175,1920,30,1200,30,0,25,1920,long,MacIntel,MOSS,6101,39634,39601
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,clam,-1,1,2018,1175,1920,30,1200,30,0,25,1920,long,MacIntel,CLAM,6101,42384,42350
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Synth,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,deck,-1,1,2015,1175,1920,30,1200,30,0,25,1920,long,MacIntel,PLATE,6101,45151,45102
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,flask,-1,1,2014,1175,1920,30,1200,30,0,25,1920,long,MacIntel,FLASK,6101,47917,47868
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Synth,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,cake,-1,1,2015,1175,1920,30,1200,30,0,25,1920,long,MacIntel,TRASH,6101,50668,50618
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,stove,-1,1,2015,1175,1920,30,1200,30,0,25,1920,long,MacIntel,STOVE,6101,53417,53384
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Synth,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,wire,-1,1,2014,1175,1920,30,1200,30,0,25,1920,long,MacIntel,CABIN,6101,56169,56134
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,wasp,-1,1,2015,1175,1920,30,1200,30,0,25,1920,long,MacIntel,WASP,6101,58918,58884
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Synth,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,roof,-1,1,2015,1175,1920,30,1200,30,0,25,1920,long,MacIntel,PIANO,6101,61651,61618
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,ferry,-1,1,2014,1175,1920,30,1200,30,0,25,1920,long,MacIntel,FERRY,6101,64419,64370
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Nat,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,bunny,-1,1,2014,1175,1920,30,1200,30,0,25,1920,long,MacIntel,ROSE,6101,67185,67136
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,jeans,-1,1,2014,1175,1920,30,1200,30,0,25,1920,long,MacIntel,JEANS,6101,69940,69904
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Synth,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,shoe,-1,1,2015,1175,1920,30,1200,30,0,25,1920,long,MacIntel,COUCH,6101,72702,72652
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,arrow,-1,1,2013,1175,1920,30,1200,30,0,25,1920,long,MacIntel,ARROW,6101,75452,75418
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Synth,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,flood,-1,1,2016,1175,1920,30,1200,30,0,25,1920,long,MacIntel,SKIRT,6101,78204,78169
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Nat,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,fort,-1,1,2016,1175,1920,30,1200,30,0,25,1920,long,MacIntel,GOAT,6101,80968,80918
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Nat,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,shell,-1,1,2016,1175,1920,30,1200,30,0,25,1920,long,MacIntel,DIRT,6101,83734,83700
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Nat,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,storm,-1,1,2016,1175,1920,30,1200,30,0,25,1920,long,MacIntel,LAND,6101,86516,86468
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,apron,-1,1,2014,1175,1920,30,1200,30,0,25,1920,long,MacIntel,APRON,6101,89254,89217
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Synth,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,swamp,-1,1,2014,1175,1920,30,1200,30,0,25,1920,long,MacIntel,DRILL,6101,92001,91951
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,pear,-1,1,2015,1175,1920,30,1200,30,0,25,1920,long,MacIntel,PEAR,6101,94751,94702
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,reef,-1,1,2015,1175,1920,30,1200,30,0,25,1920,long,MacIntel,REEF,6101,97501,97453
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,scarf,-1,1,2014,1175,1920,30,1200,30,0,25,1920,long,MacIntel,SCARF,6101,100233,100199
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,canoe,-1,1,2017,1175,1920,30,1200,30,0,25,1920,long,MacIntel,CANOE,6101,102984,102935
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Nat,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,shark,-1,1,2016,1175,1920,30,1200,30,0,25,1920,long,MacIntel,HILL,6101,105719,105685
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Nat,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,mall,-1,1,2014,1175,1920,30,1200,30,0,25,1920,long,MacIntel,BUSH,6101,108467,108434
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Nat,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,soap,-1,1,2016,1175,1920,30,1200,30,0,25,1920,long,MacIntel,PONY,6101,111217,111169
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Nat,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,ocean,-1,1,2014,1175,1920,30,1200,30,0,25,1920,long,MacIntel,TREE,6101,113953,113918
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Nat,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,sheep,-1,1,2014,1175,1920,30,1200,30,0,25,1920,long,MacIntel,BULL,6101,116702,116668
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,linen,-1,1,1207,1175,1920,30,1200,30,0,25,1920,long,MacIntel,LINEN,6101,119456,119417
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Nat,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,pipe,-1,1,2013,1175,1920,30,1200,30,0,25,1920,long,MacIntel,LION,6101,121390,121351
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Synth,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,bell,-1,1,2016,1175,1920,30,1200,30,0,25,1920,long,MacIntel,WHEEL,6101,124138,124101
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,tongs,-1,1,2017,1175,1920,30,1200,30,0,25,1920,long,MacIntel,TONGS,6101,126901,126851
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Synth,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,olive,-1,1,2014,1175,1920,30,1200,30,0,25,1920,long,MacIntel,MOTOR,6101,129636,129601
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Synth,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,eagle,-1,1,2016,1175,1920,30,1200,30,0,25,1920,long,MacIntel,WAGON,6101,132386,132351
