"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_keyboard_response_short","count_experiment","count_fixation","count_keyboard_response_short","count_logger_short","count_mask1","count_mask2","count_mask3","count_new_sequence","count_prime","count_short_loop","count_target","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_short_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","prime","repeat_cycle","response","response_keyboard_response_short","response_time","response_time_keyboard_response_short","round_decimals","sampler_backend","soa_condition","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_experiment","time_fixation","time_keyboard_response_short","time_logger_short","time_mask1","time_mask2","time_mask3","time_new_sequence","time_prime","time_short_loop","time_target","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"undefined","undefined","756.0432079480961","756.0432079480961","black","psycho","psycho","psycho","0","Con_Nat","uniform","undefined","undefined","0","0","0","0","0","0","0","0","0","0","0","Thu Oct 27 13:28:47 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","0","0","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.12","corn","0","n","n","756.0432079480961","756.0432079480961","2","psycho","short","1024","2","48000","-16","experiment","0","even","corn","2035.6354160467163","2435.958833026234","5835.7721250504255","6605.584541044664","5444.720166036859","5725.890541041736","5801.7266660463065","2429.671958030667","5761.737207998522","2035.8145830105059","5835.628083033953","Masked_repetition_priming","0","756.0432079480961","1","yes","1024"
"undefined","undefined","946.2549579620827","946.2549579620827","black","psycho","psycho","psycho","0","Inc_Nat_Synth","uniform","undefined","undefined","0","1","1","1","1","1","1","1","1","0","1","Thu Oct 27 13:28:47 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","1","1","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.12","water","0","m","m","1136.4667079760693","1136.4667079760693","2","psycho","short","1024","2","48000","-16","experiment","0","even","medal","2035.6354160467163","6685.594333044719","10075.673750019632","11213.535415998194","9691.98804104235","9970.46916600084","10041.575208015274","6681.236583041027","10004.384208004922","2035.8145830105059","10075.55400003912","Masked_repetition_priming","0","1892.5099159241654","2","yes","1024"
"undefined","undefined","944.8924996540882","944.8924996540882","black","psycho","psycho","psycho","0","Con_Synth","uniform","undefined","undefined","0","2","2","2","2","2","2","2","2","0","2","Thu Oct 27 13:28:47 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","2","2","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.12","gate","0","m","m","942.1675830380991","942.1675830380991","2","psycho","short","1024","2","48000","-16","experiment","0","even","gate","2035.6354160467163","11288.233916042373","14679.68150001252","15629.246875003446","14295.231958036311","14575.795291049872","14645.781958010048","11285.840083030052","14609.618250047788","2035.8145830105059","14679.562000033911","Masked_repetition_priming","0","2834.6774989622645","3","yes","1024"
"undefined","undefined","931.3286247488577","931.3286247488577","black","psycho","psycho","psycho","0","Inc_Synth_Nat","uniform","undefined","undefined","0","3","3","3","3","3","3","3","3","0","3","Thu Oct 27 13:28:47 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","3","3","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.12","ladle","0","n","n","890.6370000331663","890.6370000331663","2","psycho","short","1024","2","48000","-16","experiment","0","even","gully","2035.6354160467163","15705.109666043427","19096.157416002825","19988.148750038818","18711.899000045378","18990.97675003577","19061.726000043564","15701.660125050694","19025.256749999244","2035.8145830105059","19096.00900002988","Masked_repetition_priming","0","3725.3144989954308","4","yes","1024"
"undefined","undefined","955.1778831984848","955.1778831984848","black","psycho","psycho","psycho","0","Con_Synth","uniform","undefined","undefined","0","4","4","4","4","4","4","4","4","0","4","Thu Oct 27 13:28:47 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","4","4","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.12","bread","0","m","m","1050.5749169969931","1050.5749169969931","2","psycho","short","1024","2","48000","-16","experiment","0","even","bread","2035.6354160467163","20063.08908300707","23451.898458006326","24503.797416051384","23069.563125027344","23347.961416002363","23418.035958020482","20060.147125041112","23381.83370803017","2035.8145830105059","23451.779833005276","Masked_repetition_priming","0","4775.889415992424","5","yes","1024"
"undefined","undefined","913.6618470074609","913.6618470074609","black","psycho","psycho","psycho","0","Con_Nat","uniform","undefined","undefined","0","5","5","5","5","5","5","5","5","0","5","Thu Oct 27 13:28:47 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","5","5","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.12","hawk","0","n","n","706.0816660523415","706.0816660523415","2","psycho","short","1024","2","48000","-16","experiment","0","even","hawk","2035.6354160467163","24576.685083040502","27966.02824999718","28673.39350003749","27583.82945804624","27861.997541040182","27932.04725004034","24574.091957998462","27895.786541048437","2035.8145830105059","27965.908500016667","Masked_repetition_priming","0","5481.971082044765","6","yes","1024"
"undefined","undefined","954.9609402976265","954.9609402976265","black","psycho","psycho","psycho","0","Inc_Nat_Synth","uniform","undefined","undefined","0","6","6","6","6","6","6","6","6","0","6","Thu Oct 27 13:28:47 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","6","6","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.12","poppy","0","m","m","1202.75550003862","1202.75550003862","2","psycho","short","1024","2","48000","-16","experiment","0","even","cloth","2035.6354160467163","28745.566416007932","32133.7782079936","33337.817916006315","31751.646666030865","32029.900416033342","32100.05533299409","28742.319750017487","32063.905458024237","2035.8145830105059","32133.661750005558","Masked_repetition_priming","0","6684.726582083385","7","yes","1024"
"undefined","undefined","989.7135675128084","989.7135675128084","black","psycho","psycho","psycho","0","Con_Nat","uniform","undefined","undefined","0","7","7","7","7","7","7","7","7","0","7","Thu Oct 27 13:28:47 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","7","7","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.12","soil","0","n","n","1232.9819580190815","1232.9819580190815","2","psycho","short","1024","2","48000","-16","experiment","0","even","soil","2035.6354160467163","33410.03141604597","36798.56095800642","38032.86320803454","36416.56533302739","36694.72491601482","36764.710333023686","33407.01970801456","36728.51350001292","2035.8145830105059","36798.433875024784","Masked_repetition_priming","0","7917.708540102467","8","yes","1024"
"undefined","undefined","986.7708377876422","986.7708377876422","black","psycho","psycho","psycho","0","Con_Synth","uniform","undefined","undefined","0","8","8","8","8","8","8","8","8","0","8","Thu Oct 27 13:28:47 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","8","8","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.12","toast","0","m","m","963.2289999863133","963.2289999863133","2","psycho","short","1024","2","48000","-16","experiment","0","even","toast","2035.6354160467163","38104.2012910475","41493.14979102928","42457.6907500159","41110.76845804928","41389.08500003163","41459.319874993525","38102.07837499911","41422.97479102854","2035.8145830105059","41493.030708050355","Masked_repetition_priming","0","8880.93754008878","9","yes","1024"
"undefined","undefined","1008.5615332121961","1008.5615332121961","black","psycho","psycho","psycho","0","Con_Synth","uniform","undefined","undefined","0","9","9","9","9","9","9","9","9","0","9","Thu Oct 27 13:28:47 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","9","9","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.12","tank","0","m","m","1204.6777920331806","1204.6777920331806","2","psycho","short","1024","2","48000","-16","experiment","0","even","tank","2035.6354160467163","42528.46016600961","45916.93666600622","47122.92024999624","45535.169500042684","45813.4154160507","45883.08645802317","42526.486375019886","45847.272791026626","2035.8145830105059","45916.81879101088","Masked_repetition_priming","0","10085.61533212196","10","yes","1024"
"undefined","undefined","982.3399431029843","982.3399431029843","black","psycho","psycho","psycho","0","Con_Synth","uniform","undefined","undefined","0","10","10","10","10","10","10","10","10","0","10","Thu Oct 27 13:28:47 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","10","10","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.12","cable","0","m","m","720.1240420108661","720.1240420108661","2","psycho","short","1024","2","48000","-16","experiment","0","even","cable","2035.6354160467163","47198.999500018544","50586.70508302748","51308.10658301925","50205.44508303283","50483.30966604408","50552.83395800507","47196.80500001414","50517.12375000352","2035.8145830105059","50586.57775004394","Masked_repetition_priming","0","10805.739374132827","11","yes","1024"
