"condition","congruence","prime","response_time","soa_condition","target"
"Con_Nat","congruent","corn","722.1526250359602","short","CORN"
"Inc_Synth_Nat","incongruent","harp","743.1173749500886","short","SNAIL"
"Con_Synth","congruent","belt","736.5375409717672","short","BELT"
"Con_Synth","congruent","coat","831.6945409751497","short","COAT"
"Con_Synth","congruent","paint","641.914582985919","short","PAINT"
"Inc_Synth_Nat","incongruent","spear","798.470665991772","short","MOTH"
"Inc_Nat_Synth","incongruent","lime","571.8357500154525","short","SOFA"
"Con_Nat","congruent","goose","599.2866670130752","short","GOOSE"
"Inc_Synth_Nat","incongruent","arena","863.2606669561937","short","VINE"
"Con_Nat","congruent","daisy","564.7087920224294","short","DAISY"
"Con_Synth","congruent","mail","624.7989170369692","short","MAIL"
"Con_Nat","congruent","grass","720.6962089985609","short","GRASS"
"Inc_Synth_Nat","incongruent","rake","986.892125045415","short","HUSKY"
"Inc_Nat_Synth","incongruent","toad","816.3719999720342","short","GLOVE"
"Con_Nat","congruent","creek","841.3143330253661","short","CREEK"
"Inc_Nat_Synth","incongruent","cobra","574.9024579999968","short","RAZOR"
"Inc_Nat_Synth","incongruent","peach","731.4719999558292","short","SHED"
"Con_Nat","congruent","worm","681.4426250057295","short","WORM"
"Con_Nat","congruent","whale","1209.04862502357","short","WHALE"
"Inc_Nat_Synth","incongruent","water","621.0100409807637","short","MEDAL"
"Con_Synth","congruent","bike","606.52187501546","short","BIKE"
"Con_Synth","congruent","rope","648.0038750451058","short","ROPE"
"Con_Nat","congruent","puppy","501.28762499662116","short","PUPPY"
"Inc_Nat_Synth","incongruent","grape","616.6246249922551","short","SHELF"
"Con_Nat","congruent","soil","584.2847500462085","short","SOIL"
"Inc_Nat_Synth","incongruent","leaf","613.6026250314899","short","COIN"
"Inc_Nat_Synth","incongruent","fern","638.5011249803938","short","CAFÉ"
"Con_Nat","congruent","tiger","587.6294590416364","short","TIGER"
"Con_Synth","congruent","drug","633.2152499817312","short","DRUG"
"Inc_Nat_Synth","incongruent","poppy","560.2977080270648","short","CLOTH"
"Con_Synth","congruent","sword","539.979790977668","short","SWORD"
"Inc_Synth_Nat","incongruent","ladle","588.0813749972731","short","GULLY"
"Inc_Nat_Synth","incongruent","mice","625.0446250196546","short","TOOLS"
"Con_Nat","congruent","deer","1028.2753750216216","short","DEER"
"Inc_Synth_Nat","incongruent","kiosk","624.4561659987085","short","PETAL"
"Inc_Synth_Nat","incongruent","sash","648.692040995229","short","DINGO"
"Con_Synth","congruent","toast","617.9542919853702","short","TOAST"
"Con_Nat","congruent","seed","766.7880419758148","short","SEED"
"Inc_Synth_Nat","incongruent","wharf","679.7800000058487","short","TWIG"
"Inc_Synth_Nat","incongruent","patio","652.9384170426056","short","SLOTH"
"Con_Nat","congruent","hawk","605.7942499755882","short","HAWK"
"Con_Synth","congruent","cable","794.3825420225039","short","CABLE"
"Con_Synth","congruent","tower","566.5061670006253","short","TOWER"
"Inc_Nat_Synth","incongruent","camel","1342.980749963317","short","BENCH"
"Con_Synth","congruent","doll","1224.175584036857","short","DOLL"
"Inc_Synth_Nat","incongruent","torch","922.3022920195945","short","CHIMP"
