"condition","congruence","correct","prime","response_time","soa_condition","target"
"practice","practice","1","nvoiuh","682.5128329801373","practice","HOUSE"
"practice","practice","1","snjghf","596.6413340065628","practice","SHEEP"
"practice","practice","1","abjdhjs","809.4063340104185","practice","HORSE"
"practice","practice","1","iweonf","779.0954160154797","practice","BOAT"
"Inc_Nat_Synth","incongruent","1","berry","568.0633750162087","short","PLAZA"
"Inc_Nat_Synth","incongruent","1","peach","539.4894579658285","short","SHED"
"Con_Nat","congruent","1","whale","596.4619170408696","short","WHALE"
"Inc_Synth_Nat","incongruent","1","patio","690.1017079944722","short","SLOTH"
"Con_Nat","congruent","1","goose","569.5490000071004","short","GOOSE"
"Con_Synth","congruent","1","belt","628.4367500338703","short","BELT"
"Con_Nat","congruent","1","corn","690.1890839799307","short","CORN"
"Con_Synth","congruent","1","coat","625.4445419763215","short","COAT"
"Inc_Synth_Nat","incongruent","1","spade","628.5938329529017","short","LLAMA"
"Con_Nat","congruent","1","tiger","538.0827090120874","short","TIGER"
"Con_Nat","congruent","1","hawk","540.3922499972396","short","HAWK"
"Con_Synth","congruent","1","paint","599.6708330349065","short","PAINT"
"Con_Nat","congruent","1","deer","567.6121669821441","short","DEER"
"Inc_Nat_Synth","incongruent","1","finch","568.8732500420883","short","SPOON"
"Inc_Nat_Synth","incongruent","1","crow","597.6091659977101","short","YACHT"
"Inc_Nat_Synth","incongruent","1","grape","718.0546660092659","short","SHELF"
"Inc_Nat_Synth","incongruent","1","camel","599.5148330111988","short","BENCH"
"Con_Synth","congruent","1","toast","660.4604999884032","short","TOAST"
"Con_Nat","congruent","0","cave","569.6522080106661","short","CAVE"
"Inc_Synth_Nat","incongruent","1","arena","574.9402919900604","short","VINE"
"Con_Synth","congruent","1","sword","713.834207970649","short","SWORD"
"Con_Nat","congruent","1","soil","630.197791964747","short","SOIL"
"Con_Synth","congruent","1","gate","690.0137910270132","short","GATE"
"Inc_Synth_Nat","incongruent","1","sewer","687.566832988523","short","CORAL"
"Con_Synth","congruent","1","rope","659.1725840116851","short","ROPE"
"Inc_Nat_Synth","incongruent","1","poppy","809.1939160367474","short","CLOTH"
"Inc_Nat_Synth","incongruent","1","water","659.4608750310726","short","MEDAL"
"Inc_Nat_Synth","incongruent","1","cobra","599.4722910108976","short","RAZOR"
"Con_Synth","congruent","1","cable","750.004125002306","short","CABLE"
"Inc_Synth_Nat","incongruent","1","rake","958.7910420377739","short","HUSKY"
"Con_Nat","congruent","1","puppy","535.1084170397371","short","PUPPY"
"Con_Nat","congruent","1","worm","539.881584001705","short","WORM"
"Con_Synth","congruent","1","drug","629.5556250261143","short","DRUG"
"Con_Synth","congruent","1","tower","630.1000000094064","short","TOWER"
