A,B,C,D,DotDur,E,F,G,H,ISIdur,NumDur,acc,accuracy,average_response_time,avg_rt,background,bidi,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,count_ISI,count_digit_loop_1,count_dot,count_experiment,count_get_input_digits,count_get_input_letters,count_get_input_loop_1,count_get_input_loop_2,count_get_input_sequence_1,count_get_input_sequence_2,count_init_1,count_init_2,count_intro_1,count_letter_loop_1,count_number_input_1,count_number_input_2,count_osweb,count_process_input_1,count_process_input_2,count_report_1,count_report_2,count_response_logger_1,count_response_logger_2,count_set_time_vars,count_stimA_1,count_stimA_2,count_stimB_1,count_stimB_2,count_stimC_1,count_stimC_2,count_stimD_1,count_stimD_2,count_stimE_1,count_stimE_2,count_stimF_1,count_stimF_2,count_stimG_1,count_stimG_2,count_stimH_1,count_stimH_2,count_trial_sequence_1,count_trial_sequence_2,datetime,description,disable_garbage_collection,empty_column,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,mouse_backend,multichar_response,opensesame_codename,opensesame_version,response,response_intro_1,response_number_input_1,response_number_input_2,response_time,response_time_intro_1,response_time_number_input_1,response_time_number_input_2,round_decimals,sampler_backend,sessionid,sound_buf_size,sound_channels,sound_freq,sound_sample_size,span,start,subject_nr,subject_parity,time_ISI,time_digit_loop_1,time_dot,time_get_input_digits,time_get_input_letters,time_get_input_loop_1,time_get_input_loop_2,time_init_1,time_init_2,time_intro_1,time_letter_loop_1,time_number_input_1,time_number_input_2,time_process_input_1,time_process_input_2,time_response_logger_1,time_response_logger_2,time_set_time_vars,time_stimA_1,time_stimA_2,time_stimB_1,time_stimB_2,time_stimC_1,time_stimC_2,time_stimD_1,time_stimD_2,time_stimE_1,time_stimE_2,time_stimF_1,time_stimF_2,time_stimG_1,time_stimG_2,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
v,j,y,w,3000,w,w,w,w,500,750,0,0,1008,1008,black,no,legacy,legacy,legacy,0,letters,uniform,,6,0,0,0,,3,,0,,3,,0,0,0,,3,0,,3,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,Thu Sep 03 2020 08:33:41 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,vjyenter,osweb,1.3.8,enter,space,,enter,784,19410,,784,2,legacy,1599114834532,1024,2,48000,-16,3,experiment,0,even,24848,29,25371,,31701,,19474,,19472,29,29,,31701,,32492,,32493,19451,,19474,,20729,,22014,,,,,,,,,MemorySpan_1,0,4033,4,yes,1024
z,v,y,w,3000,w,w,w,w,500,750,0,0,860,860,black,no,legacy,legacy,legacy,0,letters,uniform,,13,0,1,0,,7,,1,,7,,1,0,0,,7,0,,7,,1,,1,0,,1,,1,,1,,1,,1,,1,,1,,1,,1,Thu Sep 03 2020 08:33:41 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,zvyenter,osweb,1.3.8,enter,space,,enter,887,19410,,887,2,legacy,1599114834532,1024,2,48000,-16,3,experiment,0,even,37911,29,38428,,43449,,32511,,32509,29,29,,43449,,44341,,44341,19451,,32511,,33793,,35077,,,,,,,,,MemorySpan_1,0,6879,8,yes,1024
z,x,m,y,3000,w,w,w,w,500,750,0,0,793,793,black,no,legacy,legacy,legacy,0,letters,uniform,,20,0,2,0,,12,,2,,12,,2,0,0,,12,0,,12,,2,,2,0,,2,,2,,2,,2,,2,,2,,2,,2,,2,Thu Sep 03 2020 08:33:41 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,zxmyenter,osweb,1.3.8,enter,space,,enter,604,19410,,604,2,legacy,1599114834532,1024,2,48000,-16,4,experiment,0,even,50477,29,50995,,56897,,44357,,44355,29,29,,56897,,57505,,57506,19451,,44357,,45625,,46893,,48177,,,,,,,MemorySpan_1,0,10311,13,yes,1024
t,q,t,f,3000,w,w,w,w,500,750,0,0,696,696,black,no,legacy,legacy,legacy,0,letters,uniform,,27,0,3,0,,17,,3,,17,,3,0,0,,17,0,,17,,3,,3,0,,3,,3,,3,,3,,3,,3,,3,,3,,3,Thu Sep 03 2020 08:33:41 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,tqtfenter,osweb,1.3.8,enter,space,,enter,378,19410,,378,2,legacy,1599114834532,1024,2,48000,-16,4,experiment,0,even,63660,29,64179,,69121,,57522,,57521,29,29,,69121,,69512,,69513,19451,,57522,,58790,,60074,,61342,,,,,,,MemorySpan_1,0,12530,18,yes,1024
d,y,v,f,3000,x,w,w,w,500,750,0,0,635,635,black,no,legacy,legacy,legacy,0,letters,uniform,,34,0,4,0,,23,,4,,23,,4,0,0,,23,0,,23,,4,,4,0,,4,,4,,4,,4,,4,,4,,4,,4,,4,Thu Sep 03 2020 08:33:41 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,dyvfxenter,osweb,1.3.8,enter,space,,enter,733,19410,,733,2,legacy,1599114834532,1024,2,48000,-16,5,experiment,0,even,76438,29,76956,,82064,,69531,,69529,29,29,,82064,,82807,,82808,19451,,69531,,70813,,72097,,73381,,74648,,,,,MemorySpan_1,0,15250,24,yes,1024
i,m,v,t,3000,k,w,w,w,500,750,0,0,648,648,black,no,legacy,legacy,legacy,0,letters,uniform,,41,0,5,0,,29,,5,,29,,5,0,0,,29,0,,29,,5,,5,0,,5,,5,,5,,5,,5,,5,,5,,5,,5,Thu Sep 03 2020 08:33:41 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,imvtkenter,osweb,1.3.8,enter,space,,enter,1238,19410,,1238,2,legacy,1599114834532,1024,2,48000,-16,5,experiment,0,even,89698,29,90215,,96309,,82824,,82822,29,29,,96309,,97548,,97549,19451,,82823,,84075,,85359,,86630,,87913,,,,,MemorySpan_1,0,19441,30,yes,1024
g,r,y,p,3000,y,r,w,w,500,750,0,0,610,610,black,no,legacy,legacy,legacy,0,letters,uniform,,48,0,6,0,,36,,6,,36,,6,0,0,,36,0,,36,,6,,6,0,,6,,6,,6,,6,,6,,6,,6,,6,,6,Thu Sep 03 2020 08:33:41 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,grypyrenter,osweb,1.3.8,enter,space,,enter,781,19410,,781,2,legacy,1599114834532,1024,2,48000,-16,6,experiment,0,even,105236,29,105754,,111254,,97565,,97563,29,29,,111254,,112046,,112047,19451,,97565,,98833,,100100,,101384,,102668,,103952,,,MemorySpan_1,0,22583,37,yes,1024
i,m,u,u,3000,e,r,w,w,500,750,0,0,581,581,black,no,legacy,legacy,legacy,0,letters,uniform,,55,0,7,0,,43,,7,,43,,7,0,0,,43,0,,43,,7,,7,0,,7,,7,,7,,7,,7,,7,,7,,7,,7,Thu Sep 03 2020 08:33:41 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,imuuerenter,osweb,1.3.8,enter,space,,enter,714,19410,,714,2,legacy,1599114834532,1024,2,48000,-16,6,experiment,0,even,119757,29,120275,,125685,,112064,,112062,29,29,,125685,,126408,,126408,19451,,112064,,113347,,114631,,115915,,117189,,118473,,,MemorySpan_1,0,25578,44,yes,1024
v,e,z,g,3000,s,q,l,w,500,750,0,0,634,634,black,no,legacy,legacy,legacy,0,letters,uniform,,62,0,8,0,,51,,8,,51,,8,0,0,,51,0,,51,,8,,8,0,,8,,8,,8,,8,,8,,8,,8,,8,,8,Thu Sep 03 2020 08:33:41 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,vezglsqenter,osweb,1.3.8,enter,space,,enter,1508,19410,,1508,2,legacy,1599114834532,1024,2,48000,-16,7,experiment,0,even,134862,29,135379,,144467,,126424,,126422,29,29,,144467,,145990,,145991,19451,,126424,,127692,,128976,,130260,,131527,,132811,,134095,MemorySpan_1,0,32982,52,yes,1024
u,p,t,x,3000,i,p,f,w,500,750,0,0,744,744,black,no,legacy,legacy,legacy,0,letters,uniform,,69,0,9,0,,58,,9,,58,,9,0,0,,58,0,,58,,9,,9,0,,9,,9,,9,,9,,9,,9,,9,,9,,9,Thu Sep 03 2020 08:33:41 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,uptxifenter,osweb,1.3.8,enter,space,,enter,1989,19410,,1989,2,legacy,1599114834532,1024,2,48000,-16,7,experiment,0,even,154459,29,154976,,167019,,146008,,146006,29,29,,167019,,169008,,169009,19451,,146008,,147274,,148558,,149841,,151124,,152408,,153692,MemorySpan_1,0,43895,59,yes,1024
3,9,5,w,3000,w,w,w,w,500,750,0,0,732,732,black,no,legacy,legacy,legacy,0,numbers,uniform,,76,0,10,0,3,58,0,9,3,58,0,9,0,0,3,58,0,3,58,0,9,0,9,0,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,Thu Sep 03 2020 08:33:41 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,395enter,osweb,1.3.8,enter,space,enter,enter,1020,19410,1020,1989,2,legacy,1599114834532,1024,2,48000,-16,3,experiment,0,even,174402,29,174920,179230,167019,169025,146008,169024,146006,29,29,179230,167019,180253,169008,180254,169009,19451,169025,146008,170294,147274,171568,148558,,149841,,151124,,152408,,153692,MemorySpan_1,0,46126,63,yes,1024
1,8,3,w,3000,w,w,w,w,500,750,0,0,717,717,black,no,legacy,legacy,legacy,0,numbers,uniform,,83,0,11,0,7,58,1,9,7,58,1,9,0,0,7,58,0,7,58,1,9,1,9,0,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,9,Thu Sep 03 2020 08:33:41 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,183enter,osweb,1.3.8,enter,space,enter,enter,711,19410,711,1989,2,legacy,1599114834532,1024,2,48000,-16,3,experiment,0,even,185643,29,186161,190403,167019,180268,146008,180267,146006,29,29,190403,167019,191129,169008,191129,169009,19451,180268,146008,181524,147274,182809,148558,,149841,,151124,,152408,,153692,MemorySpan_1,0,48016,67,yes,1024
6,5,5,4,3000,w,w,w,w,500,750,0,0,691,691,black,no,legacy,legacy,legacy,0,numbers,uniform,,90,0,12,0,12,58,2,9,12,58,2,9,0,0,12,58,0,12,58,2,9,2,9,0,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,Thu Sep 03 2020 08:33:41 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,6554enter,osweb,1.3.8,enter,space,enter,enter,546,19410,546,1989,2,legacy,1599114834532,1024,2,48000,-16,4,experiment,0,even,197289,29,197806,202125,167019,191145,146008,191143,146006,29,29,202125,167019,202682,169008,202683,169009,19451,191145,146008,192420,147274,193687,148558,194971,149841,,151124,,152408,,153692,MemorySpan_1,0,49774,72,yes,1024
5,5,5,1,3000,w,w,w,w,500,750,0,0,674,674,black,no,legacy,legacy,legacy,0,numbers,uniform,,97,0,13,0,17,58,3,9,17,58,3,9,0,0,17,58,0,17,58,3,9,3,9,0,3,9,3,9,3,9,3,9,3,9,3,9,3,9,3,9,3,9,Thu Sep 03 2020 08:33:41 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,5551enter,osweb,1.3.8,enter,space,enter,enter,776,19410,776,1989,2,legacy,1599114834532,1024,2,48000,-16,4,experiment,0,even,208834,29,209352,213761,167019,202698,146008,202697,146006,29,29,213761,167019,214552,169008,214552,169009,19451,202698,146008,203982,147274,205266,148558,206534,149841,,151124,,152408,,153692,MemorySpan_1,0,51870,77,yes,1024
5,2,4,1,3000,2,w,w,w,500,750,0,0,663,663,black,no,legacy,legacy,legacy,0,numbers,uniform,,104,0,14,0,23,58,4,9,23,58,4,9,0,0,23,58,0,23,58,4,9,4,9,0,4,9,4,9,4,9,4,9,4,9,4,9,4,9,4,9,4,9,Thu Sep 03 2020 08:33:41 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,52412enter,osweb,1.3.8,enter,space,enter,enter,708,19410,708,1989,2,legacy,1599114834532,1024,2,48000,-16,5,experiment,0,even,221488,29,222009,227564,167019,214568,146008,214567,146006,29,29,227565,167019,228289,169008,228290,169009,19451,214568,146008,215852,147274,217135,148558,218403,149841,219688,151124,,152408,,153692,MemorySpan_1,0,55053,83,yes,1024
2,9,6,4,3000,6,w,w,w,500,750,0,0,681,681,black,no,legacy,legacy,legacy,0,numbers,uniform,,111,0,15,0,31,58,5,9,31,58,5,9,0,0,31,58,0,31,58,5,9,5,9,0,5,9,5,9,5,9,5,9,5,9,5,9,5,9,5,9,5,9,Thu Sep 03 2020 08:33:41 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,29646enter,osweb,1.3.8,enter,space,enter,enter,2453,19410,2453,1989,2,legacy,1599114834532,1024,2,48000,-16,5,experiment,0,even,235243,29,235760,243401,167019,228307,146008,228306,146006,29,29,243401,167019,245857,169008,245858,169009,19451,228307,146008,229591,147274,230874,148558,232158,149841,233442,151124,,152408,,153692,MemorySpan_1,0,61996,91,yes,1024
