A,B,C,D,DotDur,E,F,G,H,ISIdur,NumDur,acc,accuracy,average_response_time,avg_rt,background,bidi,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,count_ISI,count_digit_loop_1,count_dot,count_experiment,count_get_input_digits,count_get_input_letters,count_get_input_loop_1,count_get_input_loop_2,count_get_input_sequence_1,count_get_input_sequence_2,count_init_1,count_init_2,count_intro_1,count_letter_loop_1,count_number_input_1,count_number_input_2,count_osweb,count_process_input_1,count_process_input_2,count_report_1,count_report_2,count_response_logger_1,count_response_logger_2,count_set_time_vars,count_stimA_1,count_stimA_2,count_stimB_1,count_stimB_2,count_stimC_1,count_stimC_2,count_stimD_1,count_stimD_2,count_stimE_1,count_stimE_2,count_stimF_1,count_stimF_2,count_stimG_1,count_stimG_2,count_stimH_1,count_stimH_2,count_trial_sequence_1,count_trial_sequence_2,datetime,description,disable_garbage_collection,empty_column,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,mouse_backend,multichar_response,opensesame_codename,opensesame_version,response,response_intro_1,response_number_input_1,response_number_input_2,response_time,response_time_intro_1,response_time_number_input_1,response_time_number_input_2,round_decimals,sampler_backend,sessionid,sound_buf_size,sound_channels,sound_freq,sound_sample_size,span,start,subject_nr,subject_parity,time_ISI,time_digit_loop_1,time_dot,time_get_input_digits,time_get_input_letters,time_get_input_loop_1,time_get_input_loop_2,time_init_1,time_init_2,time_intro_1,time_letter_loop_1,time_number_input_1,time_number_input_2,time_process_input_1,time_process_input_2,time_response_logger_1,time_response_logger_2,time_set_time_vars,time_stimA_1,time_stimA_2,time_stimB_1,time_stimB_2,time_stimC_1,time_stimC_2,time_stimD_1,time_stimD_2,time_stimE_1,time_stimE_2,time_stimF_1,time_stimF_2,time_stimG_1,time_stimG_2,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
v,j,y,w,3000,w,w,w,w,500,750,0,0,506,506,black,no,legacy,legacy,legacy,0,letters,uniform,,6,0,0,0,,3,,0,,3,,0,0,0,,3,0,,3,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,Thu Sep 03 2020 10:27:21 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,vjyenter,osweb,1.3.8,enter,space,,enter,466,8496,,466,2,legacy,1599121707719,1024,2,48000,-16,3,experiment,0,even,83507,69609,84012,,88639,,78134,,78133,69609,69609,,88639,,89118,,89118,78110,,78134,,79409,,80692,,,,,,,,,MemorySpan_1,0,2025,4,yes,1024
z,v,y,w,3000,w,w,w,w,500,750,0,0,514,514,black,no,legacy,legacy,legacy,0,letters,uniform,,13,0,1,0,,7,,1,,7,,1,0,0,,7,0,,7,,1,,1,0,,1,,1,,1,,1,,1,,1,,1,,1,,1,Thu Sep 03 2020 10:27:21 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,zvyenter,osweb,1.3.8,enter,space,,enter,748,8496,,748,2,legacy,1599121707719,1024,2,48000,-16,3,experiment,0,even,94497,69609,95013,,99413,,89137,,89137,69609,69609,,99413,,100178,,100178,78110,,89137,,90417,,91682,,,,,,,,,MemorySpan_1,0,4109,8,yes,1024
z,x,m,y,3000,w,w,w,w,500,750,0,0,470,470,black,no,legacy,legacy,legacy,0,letters,uniform,,20,0,2,0,,12,,2,,12,,2,0,0,,12,0,,12,,2,,2,0,,2,,2,,2,,2,,2,,2,,2,,2,,2,Thu Sep 03 2020 10:27:21 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,zxmyenter,osweb,1.3.8,enter,space,,enter,333,8496,,333,2,legacy,1599121707719,1024,2,48000,-16,4,experiment,0,even,106306,69609,106820,,111569,,100194,,100194,69609,69609,,111569,,111914,,111915,78110,,100194,,101474,,102743,,104009,,,,,,,MemorySpan_1,0,6113,13,yes,1024
t,q,t,f,3000,w,w,w,w,500,750,0,0,473,473,black,no,legacy,legacy,legacy,0,letters,uniform,,27,0,3,0,,17,,3,,17,,3,0,0,,17,0,,17,,3,,3,0,,3,,3,,3,,3,,3,,3,,3,,3,,3,Thu Sep 03 2020 10:27:21 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,tqtfenter,osweb,1.3.8,enter,space,,enter,503,8496,,503,2,legacy,1599121707719,1024,2,48000,-16,4,experiment,0,even,118076,69609,118592,,123562,,111931,,111931,69609,69609,,123562,,124070,,124071,78110,,111931,,113200,,114479,,115762,,,,,,,MemorySpan_1,0,8512,18,yes,1024
d,y,v,f,3000,x,w,w,w,500,750,0,0,468,468,black,no,legacy,legacy,legacy,0,letters,uniform,,34,0,4,0,,23,,4,,23,,4,0,0,,23,0,,23,,4,,4,0,,4,,4,,4,,4,,4,,4,,4,,4,,4,Thu Sep 03 2020 10:27:21 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,dyvfxenter,osweb,1.3.8,enter,space,,enter,724,8496,,724,2,legacy,1599121707719,1024,2,48000,-16,5,experiment,0,even,131002,69609,131514,,136584,,124086,,124086,69609,69609,,136584,,137309,,137310,78110,,124086,,125353,,126635,,127918,,129200,,,,,MemorySpan_1,0,11234,24,yes,1024
i,m,v,t,3000,k,w,w,w,500,750,0,0,484,484,black,no,legacy,legacy,legacy,0,letters,uniform,,41,0,5,0,,29,,5,,29,,5,0,0,,29,0,,29,,5,,5,0,,5,,5,,5,,5,,5,,5,,5,,5,,5,Thu Sep 03 2020 10:27:21 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,imvtkenter,osweb,1.3.8,enter,space,,enter,1809,8496,,1809,2,legacy,1599121707719,1024,2,48000,-16,5,experiment,0,even,144219,69609,144736,,149306,,137326,,137326,69609,69609,,149306,,151129,,151130,78110,,137326,,138593,,139859,,141138,,142421,,,,,MemorySpan_1,0,14520,30,yes,1024
g,r,y,p,3000,y,r,w,w,500,750,0,0,474,474,black,no,legacy,legacy,legacy,0,letters,uniform,,48,0,6,0,,36,,6,,36,,6,0,0,,36,0,,36,,6,,6,0,,6,,6,,6,,6,,6,,6,,6,,6,,6,Thu Sep 03 2020 10:27:21 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,grypyrenter,osweb,1.3.8,enter,space,,enter,544,8496,,544,2,legacy,1599121707719,1024,2,48000,-16,6,experiment,0,even,158825,69609,159340,,164907,,151149,,151149,69609,69609,,164907,,165452,,165452,78110,,151149,,152429,,153711,,154994,,156276,,157558,,,MemorySpan_1,0,17535,37,yes,1024
i,m,u,u,3000,e,r,w,w,500,750,0,0,481,481,black,no,legacy,legacy,legacy,0,letters,uniform,,55,0,7,0,,43,,7,,43,,7,0,0,,43,0,,43,,7,,7,0,,7,,7,,7,,7,,7,,7,,7,,7,,7,Thu Sep 03 2020 10:27:21 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,imuuerenter,osweb,1.3.8,enter,space,,enter,1651,8496,,1651,2,legacy,1599121707719,1024,2,48000,-16,6,experiment,0,even,173127,69609,173644,,178729,,165469,,165469,69609,69609,,178729,,180387,,180388,78110,,165469,,166750,,168019,,169298,,170564,,171845,,,MemorySpan_1,0,21174,44,yes,1024
v,e,z,g,3000,s,q,l,w,500,750,0,0,573,573,black,no,legacy,legacy,legacy,0,letters,uniform,,62,0,8,0,,51,,8,,51,,8,0,0,,51,0,,51,,8,,8,0,,8,,8,,8,,8,,8,,8,,8,,8,,8,Thu Sep 03 2020 10:27:21 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,vezgqurenter,osweb,1.3.8,enter,space,,enter,899,8496,,899,2,legacy,1599121707719,1024,2,48000,-16,7,experiment,0,even,188864,69609,189381,,200241,,180408,,180407,69609,69609,,200241,,201157,,201157,78110,,180408,,181686,,182969,,184251,,185533,,186816,,188098,MemorySpan_1,0,29821,52,yes,1024
u,p,t,x,3000,i,p,f,w,500,750,0,0,577,577,black,no,legacy,legacy,legacy,0,letters,uniform,,69,0,9,0,,58,,9,,58,,9,0,0,,58,0,,58,,9,,9,0,,9,,9,,9,,9,,9,,9,,9,,9,,9,Thu Sep 03 2020 10:27:21 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,uptixrenter,osweb,1.3.8,enter,space,,enter,1346,8496,,1346,2,legacy,1599121707719,1024,2,48000,-16,7,experiment,0,even,209629,69609,210145,,216112,,201174,,201173,69609,69609,,216112,,217472,,217472,78110,,201174,,202452,,203734,,205016,,206298,,207580,,208863,MemorySpan_1,0,34035,59,yes,1024
