"","id","condition","span","correct_answer","participant_answer","correct","rt"
"1","3","letters",3,"vjy","vjy","TRUE",470
"2","3","letters",3,"zvy","zvy","TRUE",612
"3","3","letters",4,"zxmy","zxmy","TRUE",410
"4","3","letters",4,"tqtf","tqtf","TRUE",255
"5","3","letters",5,"dyvfxx","dyvfx","FALSE",94
"6","3","letters",5,"imvtkk","klsdg","FALSE",488
"7","3","letters",6,"grypyy","adge","FALSE",425
"8","3","letters",6,"imuuee","imuuer","FALSE",213
"9","3","letters",7,"vezgssl","vezkglag","FALSE",231
"10","3","letters",7,"uptxiif","jfief","FALSE",186
"11","3","numbers",3,"395","319","FALSE",412
"12","3","numbers",3,"183","185","FALSE",159
"13","3","numbers",4,"6554","6554","TRUE",1055
"14","3","numbers",4,"5551","5551","TRUE",971
"15","3","numbers",5,"524122","52412","FALSE",608
"16","3","numbers",5,"296466","293132","FALSE",596
"17","3","numbers",6,"433644","433654","FALSE",793
"18","3","numbers",6,"318444","4234","FALSE",505
"19","3","numbers",7,"6399664","623424","FALSE",576
"20","3","numbers",7,"9618554","542345","FALSE",375
"21","2","letters",3,"vjy","vjy","TRUE",395
"22","2","letters",3,"zvy","zvy","TRUE",388
"23","2","letters",4,"zxmy","ksdf","FALSE",287
"24","2","letters",4,"tqtf","lksdf","FALSE",323
"25","2","letters",5,"dyvfxx","dyvfx","FALSE",375
"26","2","letters",5,"imvtkk","imvftk","FALSE",474
"27","2","letters",6,"grypyy","adff","FALSE",364
"28","2","letters",6,"imuuee","uksdf","FALSE",409
"29","2","letters",7,"vezgssl","vjsdga","FALSE",248
"30","2","letters",7,"uptxiif","uptsdlkg","FALSE",362
"31","2","numbers",3,"395","395","TRUE",263
"32","2","numbers",3,"183","183","TRUE",217
"33","2","numbers",4,"6554","6554","TRUE",1131
"34","2","numbers",4,"5551","5551","TRUE",250
"35","2","numbers",5,"524122","54412","FALSE",829
"36","2","numbers",5,"296466","134","FALSE",440
"37","2","numbers",6,"433644","52534","FALSE",315
"38","2","numbers",6,"318444","43454","FALSE",493
"39","2","numbers",7,"6399664","879345","FALSE",614
"40","2","numbers",7,"9618554","987345","FALSE",411
"41","1","letters",3,"vjy","vjy","TRUE",360
"42","1","letters",3,"zvy","zvy","TRUE",458
"43","1","letters",4,"zxmy","zxmy","TRUE",632
"44","1","letters",4,"tqtf","tqtf","TRUE",419
"45","1","letters",5,"dyvfxx","dyvfx","FALSE",313
"46","1","letters",5,"imvtkk","imvtk","FALSE",639
"47","1","letters",6,"grypyy","grypyr","FALSE",429
"48","1","letters",6,"imuuee","imuuer","FALSE",329
"49","1","letters",7,"vezgssl","vezsqlr","FALSE",239
"50","1","letters",7,"uptxiif","uptxaer","FALSE",557
"51","1","numbers",3,"395","395","TRUE",371
"52","1","numbers",3,"183","183","TRUE",420
"53","1","numbers",4,"6554","6554","TRUE",340
"54","1","numbers",4,"5551","5551","TRUE",577
"55","1","numbers",5,"524122","54212","FALSE",679
"56","1","numbers",5,"296466","29646","FALSE",677
"57","1","numbers",6,"433644","433645","FALSE",752
"58","1","numbers",6,"318444","3318444","FALSE",272
"59","1","numbers",7,"6399664","6399654","FALSE",865
"60","1","numbers",7,"9618554","96185435","FALSE",247
