"","id","condition","span","correct_answer","participant_answer","correct","rt","percent_correct"
"1","26","letters","3","vjy","vjy","TRUE",466,100
"2","26","letters","3","zvy","zvy","TRUE",748,100
"3","26","letters","4","zxmy","zxmy","TRUE",333,100
"4","26","letters","4","tqtf","tqtf","TRUE",503,75
"5","26","letters","5","dyvfxx","dyvfx","FALSE",724,83.33
"6","26","letters","5","imvtkk","imvtk","FALSE",1809,83.33
"7","26","letters","6","grypyy","grypyr","FALSE",544,66.67
"8","26","letters","6","imuuee","imuuer","FALSE",1651,66.67
"9","26","letters","7","vezgssl","vezgqur","FALSE",899,57.14
"10","26","letters","7","uptxiif","uptixr","FALSE",1346,71.43
"11","26","numbers","3","395","395","TRUE",539,100
"12","26","numbers","3","183","183","TRUE",1117,100
"13","26","numbers","4","6554","6554","TRUE",669,75
"14","26","numbers","4","5551","5551","TRUE",407,50
"15","26","numbers","5","524122","52412","FALSE",368,66.67
"16","26","numbers","5","296466","29646","FALSE",607,66.67
"17","26","numbers","6","433644","433646","FALSE",646,50
"18","26","numbers","6","318444","318444","TRUE",548,66.67
"19","26","numbers","7","6399664","6399654","FALSE",5801,57.14
"20","26","numbers","7","9618554","961534","FALSE",295,71.43
"21","17","letters","3","vjy","vjy","TRUE",512,100
"22","17","letters","3","zvy","zvy","TRUE",575,100
"23","17","letters","4","zxmy","zxmy","TRUE",592,100
"24","17","letters","4","tqtf","tqtf","TRUE",995,75
"25","17","letters","5","dyvfxx","dyvxf","FALSE",1799,83.33
"26","17","letters","5","imvtkk","dvitm","FALSE",1425,66.67
"27","17","letters","6","grypyy","grypyr","FALSE",1650,66.67
"28","17","letters","6","imuuee","imuuer","FALSE",2098,66.67
"29","17","letters","7","vezgssl","vezgrl","FALSE",738,71.43
"30","17","letters","7","uptxiif","uptixpf","FALSE",559,85.71
"31","17","numbers","3","395","395","TRUE",874,100
"32","17","numbers","3","183","183","TRUE",711,100
"33","17","numbers","4","6554","6554","TRUE",671,75
"34","17","numbers","4","5551","5551","TRUE",500,50
"35","17","numbers","5","524122","51421","FALSE",710,66.67
"36","17","numbers","5","296466","24624","FALSE",583,50
"37","17","numbers","6","433644","433641","FALSE",460,50
"38","17","numbers","6","318444","31844","FALSE",1133,66.67
"39","17","numbers","7","6399664","45632","FALSE",639,42.86
"40","17","numbers","7","9618554","961838","FALSE",516,57.14
"41","18","letters","3","vjy","vjy","TRUE",774,100
"42","18","letters","3","zvy","zvy","TRUE",1212,100
"43","18","letters","4","zxmy","xmy","FALSE",614,75
"44","18","letters","4","tqtf","tqmy","FALSE",2709,50
"45","18","letters","5","dyvfxx","dtwmx","FALSE",700,33.33
"46","18","letters","5","imvtkk","imvtk","FALSE",627,83.33
"47","18","letters","6","grypyy","grympr","FALSE",813,66.67
"48","18","letters","6","imuuee","imuure","FALSE",741,66.67
"49","18","letters","7","vezgssl","vesql","FALSE",2895,57.14
"50","18","letters","7","uptxiif","uptxirt","FALSE",1155,71.43
"51","18","numbers","3","395","395","TRUE",624,100
"52","18","numbers","3","183","183","TRUE",357,100
"53","18","numbers","4","6554","6554","TRUE",694,75
"54","18","numbers","4","5551","5551","TRUE",700,50
"55","18","numbers","5","524122","52412","FALSE",609,66.67
"56","18","numbers","5","296466","29646","FALSE",610,66.67
"57","18","numbers","6","433644","433645","FALSE",651,50
"58","18","numbers","6","318444","318444","TRUE",643,66.67
"59","18","numbers","7","6399664","63996543","FALSE",903,57.14
"60","18","numbers","7","9618554","6918654","FALSE",464,85.71
"61","19","letters","3","vjy","vjy","TRUE",454,100
"62","19","letters","3","zvy","zvy","TRUE",494,100
"63","19","letters","4","zxmy","zxmy","TRUE",516,100
"64","19","letters","4","tqtf","tqtf","TRUE",372,75
"65","19","letters","5","dyvfxx","dyvfx","FALSE",285,83.33
"66","19","letters","5","imvtkk","imvtk","FALSE",456,83.33
"67","19","letters","6","grypyy","grypyr","FALSE",498,66.67
"68","19","letters","6","imuuee","imuuer","FALSE",400,66.67
"69","19","letters","7","vezgssl","vzesqr","FALSE",516,57.14
"70","19","letters","7","uptxiif","uptxitf","FALSE",962,85.71
"71","19","numbers","3","395","395","TRUE",412,100
"72","19","numbers","3","183","183","TRUE",334,100
"73","19","numbers","4","6554","6554","TRUE",478,75
"74","19","numbers","4","5551","5551","TRUE",206,50
"75","19","numbers","5","524122","52412","FALSE",343,66.67
