"","ID","Span","Condition","rt","percent_correct"
"1","1","3","letters",1027.5,100
"2","2","3","letters",804.5,100
"3","3","3","letters",8290.5,100
"4","4","3","letters",357.5,100
"5","5","3","letters",399.5,100
"6","6","3","letters",1760.5,100
"7","7","3","letters",1236.5,100
"8","8","3","letters",870.5,100
"9","9","3","letters",2155,100
"10","10","3","letters",1075,100
"11","11","3","letters",820,100
"12","12","3","letters",835.5,100
"13","13","3","letters",1926,100
"14","14","3","letters",608,100
"15","15","3","letters",695,100
"16","16","3","letters",598.5,100
"17","17","3","letters",543.5,100
"18","18","3","letters",993,100
"19","19","3","letters",474,100
"20","20","3","letters",395.5,100
"21","21","3","letters",579.5,100
"22","22","3","letters",524,100
"23","23","3","letters",1349,100
"24","24","3","letters",1181.5,100
"25","25","3","letters",845.5,100
"26","26","3","letters",607,100
"27","27","3","letters",2455.5,100
"28","1","4","letters",201.5,87.5
"29","2","4","letters",382.5,87.5
"30","3","4","letters",1492.5,87.5
"31","4","4","letters",467.5,87.5
"32","5","4","letters",406.5,75
"33","6","4","letters",1926,87.5
"34","7","4","letters",488,87.5
"35","8","4","letters",1268,87.5
"36","9","4","letters",4555.5,87.5
"37","10","4","letters",695,87.5
"38","11","4","letters",1286,87.5
"39","12","4","letters",491,87.5
"40","16","4","letters",364.5,87.5
"41","17","4","letters",793.5,87.5
"42","18","4","letters",1661.5,62.5
"43","19","4","letters",444,87.5
"44","20","4","letters",431.5,87.5
"45","21","4","letters",1012.5,87.5
"46","22","4","letters",483,87.5
"47","23","4","letters",632,87.5
"48","24","4","letters",1420.5,87.5
"49","25","4","letters",375.5,87.5
"50","26","4","letters",418,87.5
"51","1","5","letters",226,83.33
"52","2","5","letters",2291.5,83.33
"53","3","5","letters",1237.5,83.33
"54","4","5","letters",731.5,83.33
"55","5","5","letters",659.5,83.33
"56","6","5","letters",1152.5,83.33
"57","7","5","letters",892.5,83.33
"58","8","5","letters",1806.5,75
"59","9","5","letters",4956.5,83.33
"60","10","5","letters",1246.5,83.33
"61","11","5","letters",954.5,83.33
"62","12","5","letters",985.5,83.33
"63","16","5","letters",443,83.33
"64","17","5","letters",1612,75
"65","18","5","letters",663.5,58.33
"66","19","5","letters",370.5,83.33
"67","20","5","letters",332,83.33
"68","21","5","letters",1384,83.33
"69","22","5","letters",484,66.665
"70","23","5","letters",949.5,83.33
"71","24","5","letters",1210.5,83.33
"72","25","5","letters",2114,83.33
"73","26","5","letters",1266.5,83.33
"74","1","6","letters",1016,66.67
"75","2","6","letters",1677.5,66.67
"76","3","6","letters",1599,66.67
"77","4","6","letters",471.5,66.67
"78","5","6","letters",425,66.67
"79","6","6","letters",736.5,66.67
"80","7","6","letters",313.5,66.67
"81","8","6","letters",1058.5,66.67
"82","9","6","letters",4813.5,66.67
"83","10","6","letters",690.5,66.67
"84","11","6","letters",1448.5,66.67
"85","12","6","letters",747.5,66.67
"86","16","6","letters",842,66.67
"87","17","6","letters",1874,66.67
"88","18","6","letters",777,66.67
"89","19","6","letters",449,66.67
"90","20","6","letters",684,66.67
"91","21","6","letters",1136.5,66.67
"92","22","6","letters",495.5,66.67
"93","23","6","letters",372,66.67
"94","24","6","letters",980.5,66.67
"95","25","6","letters",605.5,66.67
"96","26","6","letters",1097.5,66.67
"97","1","7","letters",910,71.425
"98","2","7","letters",1588,71.43
"99","3","7","letters",1385.5,78.57
"100","4","7","letters",1535,78.57
"101","5","7","letters",1504.5,78.57
"102","6","7","letters",572,71.43
"103","7","7","letters",623.5,71.425
"104","8","7","letters",509,64.285
"105","9","7","letters",3035.5,78.57
"106","10","7","letters",419.5,64.285
"107","11","7","letters",1088,85.71
"108","12","7","letters",1748.5,85.71
"109","16","7","letters",403,64.285
"110","17","7","letters",648.5,78.57
"111","18","7","letters",2025,64.285
"112","19","7","letters",739,71.425
"113","20","7","letters",2175.5,71.425
"114","21","7","letters",712,71.43
"115","22","7","letters",434,57.145
"116","23","7","letters",355,85.71
"117","24","7","letters",3007.5,85.71
"118","25","7","letters",520.5,64.285
"119","26","7","letters",1122.5,64.285
"120","1","3","numbers",406.5,100
"121","2","3","numbers",540.5,100
"122","3","3","numbers",1249,100
"123","4","3","numbers",408.5,100
"124","5","3","numbers",447,100
"125","6","3","numbers",411.5,100
"126","7","3","numbers",358,100
"127","8","3","numbers",454,100
"128","9","3","numbers",2269.5,100
"129","10","3","numbers",323.5,100
"130","11","3","numbers",571,100
"131","12","3","numbers",865.5,100
"132","16","3","numbers",484,100
"133","17","3","numbers",792.5,100
"134","18","3","numbers",490.5,100
"135","19","3","numbers",373,100
"136","20","3","numbers",220.5,100
"137","21","3","numbers",721.5,100
"138","22","3","numbers",466.5,100
"139","23","3","numbers",434.5,100
"140","24","3","numbers",1687.5,100
"141","25","3","numbers",307,100
"142","26","3","numbers",828,100
"143","1","4","numbers",695,62.5
"144","2","4","numbers",590.5,62.5
"145","3","4","numbers",854.5,62.5
"146","4","4","numbers",420.5,62.5
"147","5","4","numbers",398,62.5
"148","6","4","numbers",470,62.5
"149","7","4","numbers",460,62.5
"150","8","4","numbers",491.5,62.5
"151","9","4","numbers",6793.5,62.5
"152","10","4","numbers",498.5,62.5
"153","11","4","numbers",626,62.5
"154","12","4","numbers",661,62.5
"155","16","4","numbers",813.5,62.5
"156","17","4","numbers",585.5,62.5
"157","18","4","numbers",697,62.5
"158","19","4","numbers",342,62.5
"159","20","4","numbers",350,62.5
"160","21","4","numbers",737.5,62.5
"161","22","4","numbers",593,62.5
"162","23","4","numbers",348,62.5
"163","24","4","numbers",1943,62.5
"164","25","4","numbers",330,62.5
"165","26","4","numbers",538,62.5
"166","1","5","numbers",1195.5,66.67
"167","2","5","numbers",1143,66.67
"168","3","5","numbers",1433.5,66.67
"169","4","5","numbers",453.5,66.67
"170","5","5","numbers",509.5,66.67
"171","6","5","numbers",1067,66.67
"172","7","5","numbers",461.5,66.67
"173","8","5","numbers",306.5,66.67
"174","9","5","numbers",3251.5,66.67
"175","10","5","numbers",1264.5,66.67
"176","11","5","numbers",1515.5,66.67
"177","12","5","numbers",1580.5,66.67
"178","16","5","numbers",1704.5,66.67
"179","17","5","numbers",646.5,58.335
"180","18","5","numbers",609.5,66.67
"181","19","5","numbers",428,66.67
"182","20","5","numbers",600.5,66.67
"183","21","5","numbers",1657.5,66.67
"184","22","5","numbers",308,50
"185","23","5","numbers",713.5,66.67
"186","24","5","numbers",1174.5,66.67
"187","25","5","numbers",668,66.67
"188","26","5","numbers",487.5,66.67
"189","1","6","numbers",3148.5,58.335
"190","2","6","numbers",443,58.335
"191","3","6","numbers",6753,58.335
"192","4","6","numbers",472,58.335
"193","5","6","numbers",432.5,58.335
"194","6","6","numbers",2197.5,50
"195","7","6","numbers",726,58.335
"196","8","6","numbers",1129,58.335
"197","9","6","numbers",3243,58.335
"198","10","6","numbers",902,58.335
"199","11","6","numbers",846,58.335
"200","12","6","numbers",1241,58.335
"201","16","6","numbers",426,58.335
"202","17","6","numbers",796.5,58.335
"203","18","6","numbers",647,58.335
"204","19","6","numbers",636,58.335
"205","20","6","numbers",567.5,50
"206","21","6","numbers",327.5,58.335
"207","22","6","numbers",603.5,41.665
"208","23","6","numbers",213.5,58.335
"209","24","6","numbers",1159.5,58.335
"210","25","6","numbers",287.5,58.335
"211","26","6","numbers",597,58.335
"212","1","7","numbers",1036.5,71.425
"213","2","7","numbers",1909.5,71.425
"214","3","7","numbers",1019.5,71.425
"215","4","7","numbers",793,71.425
"216","5","7","numbers",431,71.425
"217","6","7","numbers",538,71.425
"218","7","7","numbers",732.5,71.425
"219","8","7","numbers",241.5,57.14
"220","9","7","numbers",2089.5,71.425
"221","10","7","numbers",1171,71.425
"222","11","7","numbers",1381,71.425
"223","12","7","numbers",878,50
"224","16","7","numbers",2893.5,71.425
"225","17","7","numbers",577.5,50
"226","18","7","numbers",683.5,71.425
"227","19","7","numbers",2557,71.425
"228","20","7","numbers",1091,64.285
"229","21","7","numbers",445.5,64.285
"230","22","7","numbers",425,57.145
"231","23","7","numbers",650.5,71.425
"232","24","7","numbers",2190.5,71.425
"233","25","7","numbers",341,28.57
"234","26","7","numbers",3048,64.285
