"","ID","Span","Condition","rt"
"1","1",3,"letters",409
"2","2",3,"letters",391.5
"3","3",3,"letters",541
"4","1",4,"letters",525.5
"5","2",4,"letters",305
"6","3",4,"letters",332.5
"7","1",5,"letters",476
"8","2",5,"letters",424.5
"9","3",5,"letters",291
"10","1",6,"letters",379
"11","2",6,"letters",386.5
"12","3",6,"letters",319
"13","1",7,"letters",398
"14","2",7,"letters",305
"15","3",7,"letters",208.5
"16","1",3,"numbers",395.5
"17","2",3,"numbers",240
"18","3",3,"numbers",285.5
"19","1",4,"numbers",458.5
"20","2",4,"numbers",690.5
"21","3",4,"numbers",1013
"22","1",5,"numbers",678
"23","2",5,"numbers",634.5
"24","3",5,"numbers",602
"25","1",6,"numbers",512
"26","2",6,"numbers",404
"27","3",6,"numbers",649
"28","1",7,"numbers",556
"29","2",7,"numbers",512.5
"30","3",7,"numbers",475.5
