"A","B","C","Cue","D","DotDur","E","F","G","H","ISIdur","NumDur","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_intro_1","correct_number_input_1","correct_number_input_2","count_ISI","count_Intro","count_cue","count_digit_intro","count_digit_loop_1","count_dot","count_experiment","count_get_input_digits","count_get_input_letters","count_get_input_loop_1","count_get_input_loop_2","count_get_input_sequence_1","count_get_input_sequence_2","count_init_1","count_init_2","count_intro_1","count_letter_intro","count_letter_loop_1","count_new_feedback","count_new_sketchpad","count_new_sketchpad_1","count_new_sketchpad_2","count_number_input_1","count_number_input_2","count_process_input_1","count_process_input_2","count_report_1","count_report_2","count_response_logger_1","count_response_logger_2","count_set_time_vars","count_stimA_1","count_stimA_2","count_stimB_1","count_stimB_2","count_stimC_1","count_stimC_2","count_stimD_1","count_stimD_2","count_stimE_1","count_stimE_2","count_stimF_1","count_stimF_2","count_stimG_1","count_stimG_2","count_stimH_1","count_stimH_2","count_trial_sequence_1","count_trial_sequence_2","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_get_input_loop_2","live_row_letter_loop_1","logfile","mouse_backend","multichar_response","opensesame_codename","opensesame_version","repeat_cycle","response","response_Intro","response_digit_intro","response_intro_1","response_letter_intro","response_new_feedback","response_new_sketchpad","response_new_sketchpad_1","response_new_sketchpad_2","response_number_input_1","response_number_input_2","response_time","response_time_Intro","response_time_digit_intro","response_time_intro_1","response_time_letter_intro","response_time_new_feedback","response_time_new_sketchpad","response_time_new_sketchpad_1","response_time_new_sketchpad_2","response_time_number_input_1","response_time_number_input_2","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","span","start","subject_nr","subject_parity","time_ISI","time_Intro","time_cue","time_digit_intro","time_digit_loop_1","time_dot","time_experiment","time_get_input_digits","time_get_input_letters","time_get_input_loop_1","time_get_input_loop_2","time_get_input_sequence_1","time_get_input_sequence_2","time_init_1","time_init_2","time_intro_1","time_letter_intro","time_letter_loop_1","time_new_feedback","time_new_sketchpad","time_new_sketchpad_1","time_new_sketchpad_2","time_number_input_1","time_number_input_2","time_process_input_1","time_process_input_2","time_report_1","time_report_2","time_response_logger_1","time_response_logger_2","time_set_time_vars","time_stimA_1","time_stimA_2","time_stimB_1","time_stimB_2","time_stimC_1","time_stimC_2","time_stimD_1","time_stimD_2","time_stimE_1","time_stimE_2","time_stimF_1","time_stimF_2","time_stimG_1","time_stimG_2","time_stimH_1","time_stimH_2","time_trial_sequence_1","time_trial_sequence_2","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"v","j","y","1000","w","3000","w","w","w","w","500","750","undefined","undefined","338.6","338.6","#706f71","legacy","legacy","legacy","0","letters","uniform","undefined","undefined","NA","undefined","6","NA","0","NA","0","0","0","NA","4","NA","0","NA","4","NA","0","0","NA","0","NA","NA","NA","NA","NA","4","NA","4","NA","0","NA","0","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","Thu Sep 10 09:38:25 2020","The main experiment item","yes","","MemorySpan_2.osexp","/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan/experiment_files","no","mono","no","20","no","white","no","no","768","legacy","5","5","0","/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan/experiment_files/quickrun.csv","legacy","sjfdreturn","Lentiform Loewenfeld","3.3.3","0","return","NA","NA","space","NA","NA","NA","NA","NA","NA","return","317","NA","NA","1108","NA","NA","NA","NA","NA","NA","317","2","legacy","1024","2","48000","-16","3","experiment","999","odd","10643","NA","3000","NA","NA","11276","1472","NA","16611","NA","14276","NA","16474","NA","2853","1638","NA","2764","NA","NA","NA","NA","NA","16611","NA","16929","NA","14276","NA","16982","2764","NA","4133","NA","5671","NA","7195","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2852","MemorySpan_1","0","1693","5","yes","1024"
"z","v","y","1000","w","3000","w","w","w","w","500","750","undefined","undefined","329.8888888888889","329.8888888888889","#706f71","legacy","legacy","legacy","0","letters","uniform","undefined","undefined","NA","undefined","13","NA","1","NA","0","1","0","NA","8","NA","1","NA","8","NA","1","0","NA","0","NA","NA","NA","NA","NA","8","NA","8","NA","1","NA","1","0","NA","1","NA","1","NA","1","NA","1","NA","1","NA","1","NA","1","NA","1","NA","1","Thu Sep 10 09:38:25 2020","The main experiment item","yes","","MemorySpan_2.osexp","/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan/experiment_files","no","mono","no","20","no","white","no","no","768","legacy","4","4","1","/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan/experiment_files/quickrun.csv","legacy","sgsreturn","Lentiform Loewenfeld","3.3.3","0","return","NA","NA","space","NA","NA","NA","NA","NA","NA","return","365","NA","NA","1108","NA","NA","NA","NA","NA","NA","365","2","legacy","1024","2","48000","-16","3","experiment","999","odd","24892","NA","17249","NA","NA","25527","1472","NA","30204","NA","28527","NA","30068","NA","17114","1638","NA","2764","NA","NA","NA","NA","NA","30204","NA","30570","NA","28527","NA","30624","2764","NA","18380","NA","19914","NA","21433","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","17114","MemorySpan_1","0","2969","9","yes","1024"
"z","x","m","1000","y","3000","w","w","w","w","500","750","undefined","undefined","345.35714285714283","345.35714285714283","#706f71","legacy","legacy","legacy","0","letters","uniform","undefined","undefined","NA","undefined","20","NA","2","NA","0","2","0","NA","13","NA","2","NA","13","NA","2","0","NA","0","NA","NA","NA","NA","NA","13","NA","13","NA","2","NA","2","0","NA","2","NA","2","NA","2","NA","2","NA","2","NA","2","NA","2","NA","2","NA","2","Thu Sep 10 09:38:25 2020","The main experiment item","yes","","MemorySpan_2.osexp","/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan/experiment_files","no","mono","no","20","no","white","no","no","768","legacy","5","5","2","/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan/experiment_files/quickrun.csv","legacy","dfefreturn","Lentiform Loewenfeld","3.3.3","0","return","NA","NA","space","NA","NA","NA","NA","NA","NA","return","171","NA","NA","1108","NA","NA","NA","NA","NA","NA","171","2","legacy","1024","2","48000","-16","4","experiment","999","odd","39369","NA","30894","NA","NA","39999","1472","NA","45643","NA","42999","NA","45509","NA","30758","1638","NA","2764","NA","NA","NA","NA","NA","45644","NA","45816","NA","42999","NA","45872","2764","NA","32032","NA","33568","NA","35089","NA","36605","NA","NA","NA","NA","NA","NA","NA","NA","NA","30758","MemorySpan_1","0","4835","14","yes","1024"
"t","q","t","1000","f","3000","w","w","w","w","500","750","undefined","undefined","323.4736842105263","323.4736842105263","#706f71","legacy","legacy","legacy","0","letters","uniform","undefined","undefined","NA","undefined","27","NA","3","NA","0","3","0","NA","18","NA","3","NA","18","NA","3","0","NA","0","NA","NA","NA","NA","NA","18","NA","18","NA","3","NA","3","0","NA","3","NA","3","NA","3","NA","3","NA","3","NA","3","NA","3","NA","3","NA","3","Thu Sep 10 09:38:25 2020","The main experiment item","yes","","MemorySpan_2.osexp","/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan/experiment_files","no","mono","no","20","no","white","no","no","768","legacy","5","5","3","/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan/experiment_files/quickrun.csv","legacy","kjjdreturn","Lentiform Loewenfeld","3.3.3","0","return","NA","NA","space","NA","NA","NA","NA","NA","NA","return","417","NA","NA","1108","NA","NA","NA","NA","NA","NA","417","2","legacy","1024","2","48000","-16","4","experiment","999","odd","54614","NA","46135","NA","NA","55254","1472","NA","60124","NA","58254","NA","59990","NA","46002","1638","NA","2764","NA","NA","NA","NA","NA","60124","NA","60542","NA","58254","NA","60596","2764","NA","47277","NA","48789","NA","50296","NA","51805","NA","NA","NA","NA","NA","NA","NA","NA","NA","46002","MemorySpan_1","0","6146","19","yes","1024"
"d","y","v","1000","f","3000","x","w","w","w","500","750","undefined","undefined","338","338","#706f71","legacy","legacy","legacy","0","letters","uniform","undefined","undefined","NA","undefined","34","NA","4","NA","0","4","0","NA","22","NA","4","NA","22","NA","4","0","NA","0","NA","NA","NA","NA","NA","22","NA","22","NA","4","NA","4","0","NA","4","NA","4","NA","4","NA","4","NA","4","NA","4","NA","4","NA","4","NA","4","Thu Sep 10 09:38:25 2020","The main experiment item","yes","","MemorySpan_2.osexp","/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan/experiment_files","no","mono","no","20","no","white","no","no","768","legacy","4","4","4","/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan/experiment_files/quickrun.csv","legacy","kkjreturn","Lentiform Loewenfeld","3.3.3","0","return","NA","NA","space","NA","NA","NA","NA","NA","NA","return","661","NA","NA","1108","NA","NA","NA","NA","NA","NA","661","2","legacy","1024","2","48000","-16","5","experiment","999","odd","70322","NA","60864","NA","NA","70962","1472","NA","75679","NA","73962","NA","75549","NA","60731","1638","NA","2764","NA","NA","NA","NA","NA","75679","NA","76341","NA","73962","NA","76388","2764","NA","62006","NA","63541","NA","65071","NA","66606","NA","68138","NA","NA","NA","NA","NA","NA","NA","60731","MemorySpan_1","0","7774","23","yes","1024"
"i","m","v","1000","t","3000","k","w","w","w","500","750","undefined","undefined","312.41379310344826","312.41379310344826","#706f71","legacy","legacy","legacy","0","letters","uniform","undefined","undefined","NA","undefined","41","NA","5","NA","0","5","0","NA","28","NA","5","NA","28","NA","5","0","NA","0","NA","NA","NA","NA","NA","28","NA","28","NA","5","NA","5","0","NA","5","NA","5","NA","5","NA","5","NA","5","NA","5","NA","5","NA","5","NA","5","Thu Sep 10 09:38:25 2020","The main experiment item","yes","","MemorySpan_2.osexp","/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan/experiment_files","no","mono","no","20","no","white","no","no","768","legacy","6","6","5","/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan/experiment_files/quickrun.csv","legacy","lfjgdreturn","Lentiform Loewenfeld","3.3.3","0","return","NA","NA","space","NA","NA","NA","NA","NA","NA","return","495","NA","NA","1108","NA","NA","NA","NA","NA","NA","495","2","legacy","1024","2","48000","-16","5","experiment","999","odd","86051","NA","76628","NA","NA","86687","1472","NA","91668","NA","89687","NA","91526","NA","76499","1638","NA","2764","NA","NA","NA","NA","NA","91668","NA","92164","NA","89687","NA","92215","2764","NA","77768","NA","79300","NA","80828","NA","82358","NA","83894","NA","NA","NA","NA","NA","NA","NA","76499","MemorySpan_1","0","9060","29","yes","1024"
"g","r","y","1000","p","3000","y","r","w","w","500","750","undefined","undefined","303.02941176470586","303.02941176470586","#706f71","legacy","legacy","legacy","0","letters","uniform","undefined","undefined","NA","undefined","48","NA","6","NA","0","6","0","NA","33","NA","6","NA","33","NA","6","0","NA","0","NA","NA","NA","NA","NA","33","NA","33","NA","6","NA","6","0","NA","6","NA","6","NA","6","NA","6","NA","6","NA","6","NA","6","NA","6","NA","6","Thu Sep 10 09:38:25 2020","The main experiment item","yes","","MemorySpan_2.osexp","/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan/experiment_files","no","mono","no","20","no","white","no","no","768","legacy","5","5","6","/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan/experiment_files/quickrun.csv","legacy","saggreturn","Lentiform Loewenfeld","3.3.3","0","return","NA","NA","space","NA","NA","NA","NA","NA","NA","return","359","NA","NA","1108","NA","NA","NA","NA","NA","NA","359","2","legacy","1024","2","48000","-16","6","experiment","999","odd","102759","NA","92456","NA","NA","103390","1472","NA","108255","NA","106390","NA","108118","NA","92320","1638","NA","2764","NA","NA","NA","NA","NA","108255","NA","108614","NA","106390","NA","108670","2764","NA","93596","NA","95115","NA","96648","NA","98180","NA","99714","NA","101245","NA","NA","NA","NA","NA","92320","MemorySpan_1","0","10303","34","yes","1024"
"i","m","u","1000","u","3000","e","r","w","w","500","750","undefined","undefined","317.1142857142857","317.1142857142857","#706f71","legacy","legacy","legacy","0","letters","uniform","undefined","undefined","NA","undefined","55","NA","7","NA","0","7","0","NA","34","NA","7","NA","34","NA","7","0","NA","0","NA","NA","NA","NA","NA","34","NA","34","NA","7","NA","7","0","NA","7","NA","7","NA","7","NA","7","NA","7","NA","7","NA","7","NA","7","NA","7","Thu Sep 10 09:38:25 2020","The main experiment item","yes","","MemorySpan_2.osexp","/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan/experiment_files","no","mono","no","20","no","white","no","no","768","legacy","1","1","7","/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan/experiment_files/quickrun.csv","legacy","return","Lentiform Loewenfeld","3.3.3","0","return","NA","NA","space","NA","NA","NA","NA","NA","NA","return","796","NA","NA","1108","NA","NA","NA","NA","NA","NA","796","2","legacy","1024","2","48000","-16","6","experiment","999","odd","119263","NA","108946","NA","NA","119904","1472","NA","123075","NA","122904","NA","122945","NA","108807","1638","NA","2764","NA","NA","NA","NA","NA","123075","NA","123872","NA","122904","NA","123933","2764","NA","110083","NA","111617","NA","113143","NA","114675","NA","116202","NA","117734","NA","NA","NA","NA","NA","108806","MemorySpan_1","0","11099","35","yes","1024"
"v","e","z","1000","g","3000","s","q","l","w","500","750","undefined","undefined","332.47222222222223","332.47222222222223","#706f71","legacy","legacy","legacy","0","letters","uniform","undefined","undefined","NA","undefined","62","NA","8","NA","0","8","0","NA","35","NA","8","NA","35","NA","8","0","NA","0","NA","NA","NA","NA","NA","35","NA","35","NA","8","NA","8","0","NA","8","NA","8","NA","8","NA","8","NA","8","NA","8","NA","8","NA","8","NA","8","Thu Sep 10 09:38:25 2020","The main experiment item","yes","","MemorySpan_2.osexp","/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan/experiment_files","no","mono","no","20","no","white","no","no","768","legacy","1","1","8","/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan/experiment_files/quickrun.csv","legacy","return","Lentiform Loewenfeld","3.3.3","0","return","NA","NA","space","NA","NA","NA","NA","NA","NA","return","870","NA","NA","1108","NA","NA","NA","NA","NA","NA","870","2","legacy","1024","2","48000","-16","7","experiment","999","odd","135403","NA","124198","NA","NA","136041","1472","NA","139217","NA","139041","NA","139085","NA","124061","1638","NA","2764","NA","NA","NA","NA","NA","139217","NA","140088","NA","139041","NA","140152","2764","NA","125334","NA","126869","NA","128400","NA","129933","NA","131457","NA","132984","NA","134511","NA","NA","NA","124061","MemorySpan_1","0","11969","36","yes","1024"
"u","p","t","1000","x","3000","i","p","f","w","500","750","undefined","undefined","339.86486486486484","339.86486486486484","#706f71","legacy","legacy","legacy","0","letters","uniform","undefined","undefined","NA","undefined","69","NA","9","NA","0","9","0","NA","36","NA","9","NA","36","NA","9","0","NA","0","NA","NA","NA","NA","NA","36","NA","36","NA","9","NA","9","0","NA","9","NA","9","NA","9","NA","9","NA","9","NA","9","NA","9","NA","9","NA","9","Thu Sep 10 09:38:25 2020","The main experiment item","yes","","MemorySpan_2.osexp","/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan/experiment_files","no","mono","no","20","no","white","no","no","768","legacy","1","1","9","/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan/experiment_files/quickrun.csv","legacy","return","Lentiform Loewenfeld","3.3.3","0","return","NA","NA","space","NA","NA","NA","NA","NA","NA","return","606","NA","NA","1108","NA","NA","NA","NA","NA","NA","606","2","legacy","1024","2","48000","-16","7","experiment","999","odd","151608","NA","140415","NA","NA","152250","1472","NA","155430","NA","155250","NA","155297","NA","140280","1638","NA","2764","NA","NA","NA","NA","NA","155430","NA","156037","NA","155250","NA","156104","2764","NA","141551","NA","143068","NA","144599","NA","146131","NA","147655","NA","149190","NA","150712","NA","NA","NA","140280","MemorySpan_1","0","12575","37","yes","1024"
