"A","B","C","D","E","F","G","H","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","compensation","coordinates","correct","correct_number_input","count_digit_loop","count_experiment","count_get_input_loop","count_get_input_sequence","count_init","count_letter_loop","count_new_logger_1","count_number_input","count_process_input","count_report","count_show_input","count_stimA","count_stimB","count_stimC","count_stimD","count_stimE","count_stimF","count_stimG","count_stimH","count_trial_sequence","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","live_row","live_row_digit_loop","live_row_get_input_loop","logfile","multichar_response","opensesame_codename","opensesame_version","repeat_cycle","response","response_number_input","response_time","response_time_number_input","round_decimals","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_digit_loop","time_experiment","time_get_input_loop","time_get_input_sequence","time_init","time_letter_loop","time_new_logger_1","time_number_input","time_process_input","time_report","time_show_input","time_stimA","time_stimB","time_stimC","time_stimD","time_stimE","time_stimF","time_stimG","time_stimH","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"5","2","4","1","2","$","$","$","undefined","undefined","598.6678157999904","598.6678157999904","black","psycho","0","uniform","undefined","undefined","0","0","0","4","0","0","0","4","4","0","4","0","0","0","0","0","0","0","0","0","Fri Aug 21 23:26:20 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","no","768","5","0","5","/Users/ethan/Documents/GitHub/OpenSesame/quickrun.csv","6572return","Lentiform Loewenfeld","3.3.3","0","return","return","766.3955049999913","766.3955049999913","2","1024","2","48000","-16","experiment","999","odd","2238.5351619999483","2236.4010950000193","4784.190457000022","7354.811816000051","2934.684143000027","NA","8219.634171000052","7366.147191999971","8134.138204999999","4784.067743000037","7365.8068769999545","2965.71566800003","3332.290444000023","3700.190998000039","4066.012092000051","4433.438872000011","NA","NA","NA","2933.9939400000503","New experiment","0","2993.339078999952","5","yes","1024"
"6","5","5","4","$","$","$","$","undefined","undefined","535.172510399991","535.172510399991","black","psycho","0","uniform","undefined","undefined","0","0","1","9","1","0","1","9","9","1","9","1","1","1","1","1","1","1","1","1","Fri Aug 21 23:26:20 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","no","768","5","1","5","/Users/ethan/Documents/GitHub/OpenSesame/quickrun.csv","323ereturn","Lentiform Loewenfeld","3.3.3","0","return","return","724.1661670000212","724.1661670000212","2","1024","2","48000","-16","experiment","999","odd","2238.5351619999483","2236.4010950000193","9802.068131000055","11781.725756000014","8336.174583999991","NA","12616.082601000016","11801.529973000015","12527.186910999944","9801.937946999942","11799.798420000003","8350.953638999954","8716.061792000004","9082.432820000009","9450.34995499998","4433.438872000011","NA","NA","NA","8335.403253999972","New experiment","0","5351.72510399991","10","yes","1024"
"6","3","9","9","6","5","4","$","undefined","undefined","449.8028148666663","449.8028148666663","black","psycho","0","uniform","undefined","undefined","0","0","2","14","2","0","2","14","14","2","14","2","2","2","2","2","2","2","2","2","Fri Aug 21 23:26:20 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","no","768","5","2","5","/Users/ethan/Documents/GitHub/OpenSesame/quickrun.csv","3232return","Lentiform Loewenfeld","3.3.3","0","return","return","327.8834190000489","327.8834190000489","2","1024","2","48000","-16","experiment","999","odd","2238.5351619999483","2236.4010950000193","15300.797320000016","16686.779988000013","12741.132561999962","NA","17104.43821399997","16699.495611999962","17028.84789999996","15300.68229899996","16699.04306700005","12750.264646999995","13116.019148999952","13483.498813999973","13849.267837999945","14216.021179999985","14583.858017000011","14949.322035000023","NA","12740.472576000002","New experiment","0","6747.042222999995","15","yes","1024"
"9","6","1","8","5","3","4","$","undefined","undefined","434.63572605000417","434.63572605000417","black","psycho","0","uniform","undefined","undefined","0","0","3","19","3","0","3","19","19","3","19","3","3","3","3","3","3","3","3","3","Fri Aug 21 23:26:20 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","no","768","5","3","5","/Users/ethan/Documents/GitHub/OpenSesame/quickrun.csv","22d2return","Lentiform Loewenfeld","3.3.3","0","return","return","306.1554700000197","306.1554700000197","2","1024","2","48000","-16","experiment","999","odd","2238.5351619999483","2236.4010950000193","19750.905816","21690.087573000026","17193.828491999964","NA","22082.74209900003","21699.162628999944","22006.858220000027","19750.786637000034","21698.84639199995","17199.044866000007","17567.173767999975","17932.653949000043","18299.28313300002","18667.150343","19032.691675000024","19399.38513200002","NA","17193.603188999987","New experiment","0","8692.714521000084","20","yes","1024"
"3","9","5","$","$","$","$","$","undefined","undefined","455.12841483333017","455.12841483333017","black","psycho","0","uniform","undefined","undefined","0","0","4","23","4","0","4","23","23","4","23","4","4","4","4","4","4","4","4","4","Fri Aug 21 23:26:20 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","no","768","4","4","4","/Users/ethan/Documents/GitHub/OpenSesame/quickrun.csv","875return","Lentiform Loewenfeld","3.3.3","0","return","return","333.5578909999422","333.5578909999422","2","1024","2","48000","-16","experiment","999","odd","2238.5351619999483","2236.4010950000193","23267.27599200001","25404.550029999995","22169.552633999956","NA","25844.537051999963","25415.728799000022","25750.980127000046","23267.161070000042","25415.374070999973","22181.997543999954","22551.011130000006","22915.74893899997","18299.28313300002","18667.150343","19032.691675000024","19399.38513200002","NA","22169.36685899998","New experiment","0","10923.081955999924","24","yes","1024"
"5","5","5","1","$","$","$","$","undefined","undefined","404.030371166664","404.030371166664","black","psycho","0","uniform","undefined","undefined","0","0","5","29","5","0","5","29","29","5","29","5","5","5","5","5","5","5","5","5","Fri Aug 21 23:26:20 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","no","768","6","5","6","/Users/ethan/Documents/GitHub/OpenSesame/quickrun.csv","34535return","Lentiform Loewenfeld","3.3.3","0","return","return","389.6668159999317","389.6668159999317","2","1024","2","48000","-16","experiment","999","odd","2238.5351619999483","2236.4010950000193","27432.998961999943","28620.600058000036","25964.62897699996","NA","29098.072132999958","28634.444461000043","29025.719578999997","27432.88290700002","28634.015245000002","25983.65810200005","26349.03319700004","26716.904066999974","27082.35195999998","18667.150343","19032.691675000024","19399.38513200002","NA","25963.977325999964","New experiment","0","12120.91113499992","30","yes","1024"
"4","3","3","6","4","5","$","$","undefined","undefined","382.05619879410943","382.05619879410943","black","psycho","0","uniform","undefined","undefined","0","0","6","33","6","0","6","33","33","6","33","6","6","6","6","6","6","6","6","6","Fri Aug 21 23:26:20 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","no","768","4","6","4","/Users/ethan/Documents/GitHub/OpenSesame/quickrun.csv","345return","Lentiform Loewenfeld","3.3.3","0","return","return","187.58790399999634","187.58790399999634","2","1024","2","48000","-16","experiment","999","odd","2238.5351619999483","2236.4010950000193","31383.96253999997","32290.429990000008","29188.84920300002","NA","32561.448620999952","32299.262663000038","32488.41914000002","31383.84910499997","32298.94845000001","29199.118459000034","29567.288220000024","29933.577182000023","30299.053140999946","30666.983626000045","31032.414732000005","19399.38513200002","NA","29188.11144899996","New experiment","0","12989.91075899972","34","yes","1024"
"3","1","8","4","4","4","$","$","undefined","undefined","375.91685325639895","375.91685325639895","black","psycho","0","uniform","undefined","undefined","0","0","7","38","7","0","7","38","38","7","38","7","7","7","7","7","7","7","7","7","Fri Aug 21 23:26:20 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","no","768","5","7","5","/Users/ethan/Documents/GitHub/OpenSesame/quickrun.csv","3453return","Lentiform Loewenfeld","3.3.3","0","return","return","395.5718139999299","395.5718139999299","2","1024","2","48000","-16","experiment","999","odd","2238.5351619999483","2236.4010950000193","34850.66782399997","36440.51466999997","32655.283880999945","NA","36925.07356999999","36450.11261100001","36847.27639599999","34850.55199299996","36449.79708100004","32667.141336999975","33032.35179700005","33399.03374300002","33766.91744599998","34132.43189599996","34499.13617000004","19399.38513200002","NA","32654.820678999953","New experiment","0","14660.757276999559","39","yes","1024"
"1","8","3","$","$","$","$","$","undefined","undefined","351.3661404090813","351.3661404090813","black","psycho","0","uniform","undefined","undefined","0","0","8","43","8","0","8","43","43","8","43","8","8","8","8","8","8","8","8","8","Fri Aug 21 23:26:20 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","no","768","5","8","5","/Users/ethan/Documents/GitHub/OpenSesame/quickrun.csv","4234return","Lentiform Loewenfeld","3.3.3","0","return","return","210.74048700006824","210.74048700006824","2","1024","2","48000","-16","experiment","999","odd","2238.5351619999483","2236.4010950000193","38118.64596700002","39038.96088399995","37012.67927000004","NA","39336.887301000046","39049.995085999966","39262.413856999956","38118.53086300004","39049.650617","37033.25212499999","37398.670057","37766.87443100002","33766.91744599998","34132.43189599996","34499.13617000004","19399.38513200002","NA","37012.49310699996","New experiment","0","15460.110177999579","44","yes","1024"
"2","9","6","4","6","$","$","$","undefined","undefined","334.66558383999217","334.66558383999217","black","psycho","0","uniform","undefined","undefined","0","0","9","49","9","0","9","49","49","9","49","9","9","9","9","9","9","9","9","9","Fri Aug 21 23:26:20 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","no","768","6","9","6","/Users/ethan/Documents/GitHub/OpenSesame/quickrun.csv","23423return","Lentiform Loewenfeld","3.3.3","0","return","return","273.46787100009533","273.46787100009533","2","1024","2","48000","-16","experiment","999","odd","2238.5351619999483","2236.4010950000193","41268.13301200002","42644.84590500001","39426.82025099998","NA","43017.46763699998","42666.09797499995","42941.073821000035","41268.018559999975","42665.33067199998","39449.228510000015","39816.648765999955","40182.05882200004","40548.77318399997","40916.43353699999","34499.13617000004","19399.38513200002","NA","39425.82477400004","New experiment","0","16733.27919199961","50","yes","1024"
