acc,accuracy,average_response_time,avg_rt,background,bidi,browser_codename,browser_name,browser_version,canvas_backend,category,clock_backend,color,color_backend,compensation,condition,coordinates,correct,correct_keyboard_response_1,correct_response,count_WM_load,count_WM_sequence,count_WM_trials_loop,count_WM_trials_sequence,count_block_loop,count_block_sequence,count_color_choice,count_color_choice_multi,count_color_choice_multi_sequence,count_color_multi_loop,count_color_multi_sequence,count_color_target_1,count_color_target_1_1,count_color_word_id,count_color_word_id_sequence,count_color_word_id_trial_loop,count_color_word_id_trial_sequence,count_correct_1,count_counterbalance_javascript,count_experiment,count_feedback,count_feedback_1,count_feedback_1_1,count_fixation,count_fixation_1,count_fixation_color,count_fixation_food_tools,count_food_tools_loop,count_food_tools_trial_loop,count_food_tools_trial_sequence,count_goodbye,count_incorrect_1,count_instructions,count_instructions0,count_instructions1,count_instructions2,count_instructions_1,count_instructions_WM_1,count_instructions_WM_2,count_instructions_WM_3,count_isa,count_isa_1,count_keyboard_response_1,count_letter_number_loop,count_letter_target_1,count_letter_target_2,count_logger,count_new_reset_feedback_1,count_new_reset_feedback_2,count_new_reset_feedback_3,count_new_sequence,count_osweb,count_pick_numbers,count_pure_response,count_pure_response_sequence,count_reset_feedback,count_rt_block_loop,count_rt_target,count_rt_trial_sequence,count_set_soa,count_soa,count_symbol,count_symbol_1,count_trial_sequence,counterbalance,date_startdate,date_startdateUTC,date_starttime,datetime,description,disable_garbage_collection,empty_column,experiment_debug,experiment_parameters,experiment_path,experiment_pilot,experiment_taskname,experiment_taskversion,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,jatosStudyResultId,jatosVersion,keyboard_backend,letter1,letter2,letter_response,mouse_backend,num,number_response,opensesame_codename,opensesame_version,penwidth,practice,queryParams_batchId,queryParams_generalMultiple,repeat_cycle,response,response_feedback,response_feedback_1,response_feedback_1_1,response_instructions,response_instructions0,response_instructions1,response_instructions2,response_instructions_1,response_instructions_WM_1,response_instructions_WM_2,response_instructions_WM_3,response_keyboard_response_1,response_time,response_time_feedback,response_time_feedback_1,response_time_feedback_1_1,response_time_instructions,response_time_instructions0,response_time_instructions1,response_time_instructions2,response_time_instructions_1,response_time_instructions_WM_1,response_time_instructions_WM_2,response_time_instructions_WM_3,response_time_keyboard_response_1,round_decimals,sampler_backend,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,sessionid,soa,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,synth_backend,system_os,target,time_WM_load,time_WM_trials_loop,time_block_loop,time_color_choice,time_color_choice_multi,time_color_multi_loop,time_color_target_1,time_color_target_1_1,time_color_word_id,time_color_word_id_trial_loop,time_correct_1,time_feedback,time_feedback_1,time_feedback_1_1,time_fixation,time_fixation_1,time_fixation_color,time_fixation_food_tools,time_food_tools_loop,time_food_tools_trial_loop,time_incorrect_1,time_instructions,time_instructions0,time_instructions1,time_instructions2,time_instructions_1,time_instructions_WM_1,time_instructions_WM_2,time_instructions_WM_3,time_isa,time_isa_1,time_keyboard_response_1,time_letter_number_loop,time_letter_target_1,time_letter_target_2,time_logger,time_pick_numbers,time_pure_response,time_rt_block_loop,time_rt_target,time_set_soa,time_soa,time_symbol,time_symbol_1,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,237,237,gray,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.56",legacy,,legacy,blue,legacy,0,pure_rt,relative,1,1,b,0,,,,,,0,0,,,,,,0,,,,,0,0,,,,,,,,0,,,0,,0,0,0,2,0,0,0,0,0,,0,0,,,0,,,,,0,,0,0,0,0,0,0,0,0,,,,8,29-10-22,29-10-22,10:32:45,Tue Nov 29 2022 10:32:45 GMT+0100 (Central European Standard Time),A simple lexical-decision example experiment,yes,,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing,0,0,0,no,mono,no,32,no,white,no,no,768,967,3.6.1,legacy,,,b,legacy,,z,osweb,1.4.11,1,,267,,0,b,,,,,space,space,,,,,,b,237,,,,,2796,17461,,,,,,237,2,legacy,834,1536,24,864,24,0,0,1536,1669714388541,767,1024,2,48000,-16,experiment,1,odd,legacy,Win32,,51,,,51,51,,,,51,,,,,,,,,,51,,,,51,2850,,,,,,21347,,21098,51,,,21413,,51,20318,21098,20318,20318,,,Response_time_timing,1,237,1,no,1024
100,100,241,241,gray,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.56",legacy,,legacy,blue,legacy,0,pure_rt,relative,1,1,b,0,,,,,,0,0,,,,,,0,,,,,0,0,,,,,,,,0,,,0,,0,0,0,2,0,0,0,0,1,,1,0,,,1,,,,,0,,0,0,0,0,1,1,1,1,,,,8,29-10-22,29-10-22,10:32:45,Tue Nov 29 2022 10:32:45 GMT+0100 (Central European Standard Time),A simple lexical-decision example experiment,yes,,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing,0,0,0,no,mono,no,32,no,white,no,no,768,967,3.6.1,legacy,,,b,legacy,,z,osweb,1.4.11,1,,267,,0,b,,,,,space,space,,,,,,b,244,,,,,2796,17461,,,,,,244,2,legacy,834,1536,24,864,24,0,0,1536,1669714388541,581,1024,2,48000,-16,experiment,1,odd,legacy,Win32,,51,,,51,51,,,,51,,,,,,,,,,51,,,,51,2850,,,,,,22263,,22014,51,,,22330,,51,20318,22014,21415,21415,,,Response_time_timing,2,481,2,no,1024
100,100,252,252,gray,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.56",legacy,,legacy,blue,legacy,0,pure_rt,relative,1,1,b,0,,,,,,0,0,,,,,,0,,,,,0,0,,,,,,,,0,,,0,,0,0,0,2,0,0,0,0,2,,2,0,,,2,,,,,0,,0,0,0,0,2,2,2,2,,,,8,29-10-22,29-10-22,10:32:45,Tue Nov 29 2022 10:32:45 GMT+0100 (Central European Standard Time),A simple lexical-decision example experiment,yes,,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing,0,0,0,no,mono,no,32,no,white,no,no,768,967,3.6.1,legacy,,,b,legacy,,z,osweb,1.4.11,1,,267,,0,b,,,,,space,space,,,,,,b,274,,,,,2796,17461,,,,,,274,2,legacy,834,1536,24,864,24,0,0,1536,1669714388541,1061,1024,2,48000,-16,experiment,1,odd,legacy,Win32,,51,,,51,51,,,,51,,,,,,,,,,51,,,,51,2850,,,,,,23680,,23397,51,,,23746,,51,20318,23397,22331,22331,,,Response_time_timing,3,755,3,no,1024
100,100,244,244,gray,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.56",legacy,,legacy,blue,legacy,0,pure_rt,relative,1,1,b,0,,,,,,0,0,,,,,,0,,,,,0,0,,,,,,,,0,,,0,,0,0,0,2,0,0,0,0,3,,3,0,,,3,,,,,0,,0,0,0,0,3,3,3,3,,,,8,29-10-22,29-10-22,10:32:45,Tue Nov 29 2022 10:32:45 GMT+0100 (Central European Standard Time),A simple lexical-decision example experiment,yes,,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing,0,0,0,no,mono,no,32,no,white,no,no,768,967,3.6.1,legacy,,,b,legacy,,z,osweb,1.4.11,1,,267,,0,b,,,,,space,space,,,,,,b,220,,,,,2796,17461,,,,,,220,2,legacy,834,1536,24,864,24,0,0,1536,1669714388541,661,1024,2,48000,-16,experiment,1,odd,legacy,Win32,,51,,,51,51,,,,51,,,,,,,,,,51,,,,51,2850,,,,,,24646,,24413,51,,,24713,,51,20318,24413,23747,23748,,,Response_time_timing,4,975,4,no,1024
100,100,269,269,gray,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.56",legacy,,legacy,blue,legacy,0,pure_rt,relative,1,1,b,0,,,,,,0,0,,,,,,0,,,,,0,0,,,,,,,,0,,,0,,0,0,0,2,0,0,0,0,4,,4,0,,,4,,,,,0,,0,0,0,0,4,4,4,4,,,,8,29-10-22,29-10-22,10:32:45,Tue Nov 29 2022 10:32:45 GMT+0100 (Central European Standard Time),A simple lexical-decision example experiment,yes,,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing,0,0,0,no,mono,no,32,no,white,no,no,768,967,3.6.1,legacy,,,b,legacy,,z,osweb,1.4.11,1,,267,,0,b,,,,,space,space,,,,,,b,368,,,,,2796,17461,,,,,,368,2,legacy,834,1536,24,864,24,0,0,1536,1669714388541,1646,1024,2,48000,-16,experiment,1,odd,legacy,Win32,,51,,,51,51,,,,51,,,,,,,,,,51,,,,51,2850,,,,,,26746,,26363,51,,,26812,,51,20318,26363,24713,24714,,,Response_time_timing,5,1343,5,no,1024
100,100,279,279,gray,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.56",legacy,,legacy,blue,legacy,0,pure_rt,relative,1,1,b,0,,,,,,0,0,,,,,,0,,,,,0,0,,,,,,,,0,,,0,,0,0,0,2,0,0,0,0,5,,5,0,,,5,,,,,0,,0,0,0,0,5,5,5,5,,,,8,29-10-22,29-10-22,10:32:45,Tue Nov 29 2022 10:32:45 GMT+0100 (Central European Standard Time),A simple lexical-decision example experiment,yes,,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing,0,0,0,no,mono,no,32,no,white,no,no,768,967,3.6.1,legacy,,,b,legacy,,z,osweb,1.4.11,1,,267,,0,b,,,,,space,space,,,,,,b,332,,,,,2796,17461,,,,,,332,2,legacy,834,1536,24,864,24,0,0,1536,1669714388541,529,1024,2,48000,-16,experiment,1,odd,legacy,Win32,,51,,,51,51,,,,51,,,,,,,,,,51,,,,51,2850,,,,,,27679,,27346,51,,,27746,,51,20318,27346,26813,26813,,,Response_time_timing,6,1675,6,no,1024
100,100,282,282,gray,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.56",legacy,,legacy,blue,legacy,0,pure_rt,relative,1,1,b,0,,,,,,0,0,,,,,,0,,,,,0,0,,,,,,,,0,,,0,,0,0,0,2,0,0,0,0,6,,6,0,,,6,,,,,0,,0,0,0,0,6,6,6,6,,,,8,29-10-22,29-10-22,10:32:45,Tue Nov 29 2022 10:32:45 GMT+0100 (Central European Standard Time),A simple lexical-decision example experiment,yes,,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing,0,0,0,no,mono,no,32,no,white,no,no,768,967,3.6.1,legacy,,,b,legacy,,z,osweb,1.4.11,1,,267,,0,b,,,,,space,space,,,,,,b,296,,,,,2796,17461,,,,,,296,2,legacy,834,1536,24,864,24,0,0,1536,1669714388541,1162,1024,2,48000,-16,experiment,1,odd,legacy,Win32,,51,,,51,51,,,,51,,,,,,,,,,51,,,,51,2850,,,,,,29212,,28913,51,,,29279,,51,20318,28913,27746,27747,,,Response_time_timing,7,1971,7,no,1024
100,100,284,284,gray,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.56",legacy,,legacy,blue,legacy,0,pure_rt,relative,1,1,b,0,,,,,,0,0,,,,,,0,,,,,0,0,,,,,,,,0,,,0,,0,0,0,2,0,0,0,0,7,,7,0,,,7,,,,,0,,0,0,0,0,7,7,7,7,,,,8,29-10-22,29-10-22,10:32:45,Tue Nov 29 2022 10:32:45 GMT+0100 (Central European Standard Time),A simple lexical-decision example experiment,yes,,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing,0,0,0,no,mono,no,32,no,white,no,no,768,967,3.6.1,legacy,,,b,legacy,,z,osweb,1.4.11,1,,267,,0,b,,,,,space,space,,,,,,b,297,,,,,2796,17461,,,,,,297,2,legacy,834,1536,24,864,24,0,0,1536,1669714388541,1563,1024,2,48000,-16,experiment,1,odd,legacy,Win32,,51,,,51,51,,,,51,,,,,,,,,,51,,,,51,2850,,,,,,31145,,30846,51,,,31212,,51,20318,30846,29280,29280,,,Response_time_timing,8,2268,8,no,1024
100,100,280,280,gray,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.56",legacy,,legacy,blue,legacy,0,pure_rt,relative,1,1,b,0,,,,,,0,0,,,,,,0,,,,,0,0,,,,,,,,0,,,0,,0,0,0,2,0,0,0,0,8,,8,0,,,8,,,,,0,,0,0,0,0,8,8,8,8,,,,8,29-10-22,29-10-22,10:32:45,Tue Nov 29 2022 10:32:45 GMT+0100 (Central European Standard Time),A simple lexical-decision example experiment,yes,,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing,0,0,0,no,mono,no,32,no,white,no,no,768,967,3.6.1,legacy,,,b,legacy,,z,osweb,1.4.11,1,,267,,0,b,,,,,space,space,,,,,,b,255,,,,,2796,17461,,,,,,255,2,legacy,834,1536,24,864,24,0,0,1536,1669714388541,917,1024,2,48000,-16,experiment,1,odd,legacy,Win32,,51,,,51,51,,,,51,,,,,,,,,,51,,,,51,2850,,,,,,32412,,32146,51,,,32478,,51,20318,32146,31213,31213,,,Response_time_timing,9,2523,9,no,1024
100,100,278,278,gray,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.56",legacy,,legacy,blue,legacy,0,pure_rt,relative,1,1,b,0,,,,,,0,0,,,,,,0,,,,,0,0,,,,,,,,0,,,0,,0,0,0,2,0,0,0,0,9,,9,0,,,9,,,,,0,,0,0,0,0,9,9,9,9,,,,8,29-10-22,29-10-22,10:32:45,Tue Nov 29 2022 10:32:45 GMT+0100 (Central European Standard Time),A simple lexical-decision example experiment,yes,,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing,0,0,0,no,mono,no,32,no,white,no,no,768,967,3.6.1,legacy,,,b,legacy,,z,osweb,1.4.11,1,,267,,0,b,,,,,space,space,,,,,,b,261,,,,,2796,17461,,,,,,261,2,legacy,834,1536,24,864,24,0,0,1536,1669714388541,582,1024,2,48000,-16,experiment,1,odd,legacy,Win32,,51,,,51,51,,,,51,,,,,,,,,,51,,,,51,2850,,,,,,33328,,33062,51,,,33395,,51,20318,33062,32479,32479,,,Response_time_timing,10,2784,10,no,1024
