acc,accuracy,average_response_time,avg_rt,background,bidi,browser_codename,browser_name,browser_version,canvas_backend,category,clock_backend,color,color_backend,compensation,condition,coordinates,correct,correct_keyboard_response_1,correct_response,count_WM_load,count_WM_sequence,count_WM_trials_loop,count_WM_trials_sequence,count_block_loop,count_block_sequence,count_color_choice,count_color_choice_multi,count_color_choice_multi_sequence,count_color_multi_loop,count_color_multi_sequence,count_color_target_1,count_color_target_1_1,count_color_word_id,count_color_word_id_sequence,count_color_word_id_trial_loop,count_color_word_id_trial_sequence,count_correct_1,count_counterbalance_javascript,count_experiment,count_feedback,count_feedback_1,count_feedback_1_1,count_fixation,count_fixation_1,count_fixation_color,count_fixation_food_tools,count_food_tools_loop,count_food_tools_trial_loop,count_food_tools_trial_sequence,count_goodbye,count_incorrect_1,count_instructions,count_instructions0,count_instructions1,count_instructions2,count_instructions_1,count_instructions_WM_1,count_instructions_WM_2,count_instructions_WM_3,count_isa,count_isa_1,count_keyboard_response_1,count_letter_number_loop,count_letter_target_1,count_letter_target_2,count_logger,count_new_reset_feedback_1,count_new_reset_feedback_2,count_new_reset_feedback_3,count_new_sequence,count_osweb,count_pick_numbers,count_pure_response,count_pure_response_sequence,count_reset_feedback,count_rt_block_loop,count_rt_target,count_rt_trial_sequence,count_set_soa,count_soa,count_symbol,count_symbol_1,count_trial_sequence,counterbalance,date_startdate,date_startdateUTC,date_starttime,datetime,description,disable_garbage_collection,empty_column,experiment_debug,experiment_parameters,experiment_path,experiment_pilot,experiment_taskname,experiment_taskversion,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,jatosStudyResultId,jatosVersion,keyboard_backend,letter1,letter2,letter_response,mouse_backend,num,number_response,opensesame_codename,opensesame_version,penwidth,practice,queryParams_batchId,queryParams_jatosWorkerId,repeat_cycle,response,response_feedback,response_feedback_1,response_feedback_1_1,response_instructions,response_instructions0,response_instructions1,response_instructions2,response_instructions_1,response_instructions_WM_1,response_instructions_WM_2,response_instructions_WM_3,response_keyboard_response_1,response_time,response_time_feedback,response_time_feedback_1,response_time_feedback_1_1,response_time_instructions,response_time_instructions0,response_time_instructions1,response_time_instructions2,response_time_instructions_1,response_time_instructions_WM_1,response_time_instructions_WM_2,response_time_instructions_WM_3,response_time_keyboard_response_1,round_decimals,sampler_backend,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,sessionid,soa,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,synth_backend,system_os,target,time_WM_load,time_WM_trials_loop,time_block_loop,time_color_choice,time_color_choice_multi,time_color_multi_loop,time_color_target_1,time_color_target_1_1,time_color_word_id,time_color_word_id_trial_loop,time_correct_1,time_feedback,time_feedback_1,time_feedback_1_1,time_fixation,time_fixation_1,time_fixation_color,time_fixation_food_tools,time_food_tools_loop,time_food_tools_trial_loop,time_incorrect_1,time_instructions,time_instructions0,time_instructions1,time_instructions2,time_instructions_1,time_instructions_WM_1,time_instructions_WM_2,time_instructions_WM_3,time_isa,time_isa_1,time_keyboard_response_1,time_letter_number_loop,time_letter_target_1,time_letter_target_2,time_logger,time_pick_numbers,time_pure_response,time_rt_block_loop,time_rt_target,time_set_soa,time_soa,time_symbol,time_symbol_1,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,249,249,gray,no,Mozilla,Netscape,5.0 (Macintosh),legacy,,legacy,blue,legacy,0,pure_rt,relative,1,1,b,0,,,,,,0,0,,,,,,0,,,,,0,0,,,,,,,,0,,,0,,0,0,0,2,0,0,0,0,0,,0,0,,,0,,,,,0,,0,0,0,0,0,0,0,0,,,,5,29-10-22,29-10-22,06:31:41,Tue Nov 29 2022 06:31:41 GMT+0100 (Central European Standard Time),A simple lexical-decision example experiment,yes,,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing,0,0,0,no,mono,no,32,no,white,no,no,768,939,3.6.1,legacy,,,b,legacy,,z,osweb,1.4.11,1,,-1,1,0,b,,,,,space,space,,,,,,b,249,,,,,4017,2981,,,,,,249,2,legacy,1079,1728,30,1117,30,0,62,1728,1669699941011,945,1024,2,48000,-16,experiment,1,odd,legacy,MacIntel,,32,,,32,32,,,,32,,,,,,,,,,32,,,,32,4053,,,,,,8251,,7997,32,,,8308,,32,7042,7997,7041,7042,,,Response_time_timing,1,249,1,no,1024
100,100,265,265,gray,no,Mozilla,Netscape,5.0 (Macintosh),legacy,,legacy,blue,legacy,0,pure_rt,relative,1,1,b,0,,,,,,0,0,,,,,,0,,,,,0,0,,,,,,,,0,,,0,,0,0,0,2,0,0,0,0,1,,1,0,,,1,,,,,0,,0,0,0,0,1,1,1,1,,,,5,29-10-22,29-10-22,06:31:41,Tue Nov 29 2022 06:31:41 GMT+0100 (Central European Standard Time),A simple lexical-decision example experiment,yes,,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing,0,0,0,no,mono,no,32,no,white,no,no,768,939,3.6.1,legacy,,,b,legacy,,z,osweb,1.4.11,1,,-1,1,0,b,,,,,space,space,,,,,,b,280,,,,,4017,2981,,,,,,280,2,legacy,1079,1728,30,1117,30,0,62,1728,1669699941011,1831,1024,2,48000,-16,experiment,1,odd,legacy,MacIntel,,32,,,32,32,,,,32,,,,,,,,,,32,,,,32,4053,,,,,,10443,,10162,32,,,10500,,32,7042,10162,8320,8320,,,Response_time_timing,2,529,2,no,1024
100,100,267,267,gray,no,Mozilla,Netscape,5.0 (Macintosh),legacy,,legacy,blue,legacy,0,pure_rt,relative,1,1,b,0,,,,,,0,0,,,,,,0,,,,,0,0,,,,,,,,0,,,0,,0,0,0,2,0,0,0,0,2,,2,0,,,2,,,,,0,,0,0,0,0,2,2,2,2,,,,5,29-10-22,29-10-22,06:31:41,Tue Nov 29 2022 06:31:41 GMT+0100 (Central European Standard Time),A simple lexical-decision example experiment,yes,,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing,0,0,0,no,mono,no,32,no,white,no,no,768,939,3.6.1,legacy,,,b,legacy,,z,osweb,1.4.11,1,,-1,1,0,b,,,,,space,space,,,,,,b,271,,,,,4017,2981,,,,,,271,2,legacy,1079,1728,30,1117,30,0,62,1728,1669699941011,886,1024,2,48000,-16,experiment,1,odd,legacy,MacIntel,,32,,,32,32,,,,32,,,,,,,,,,32,,,,32,4053,,,,,,11677,,11403,32,,,11733,,32,7042,11403,10506,10506,,,Response_time_timing,3,800,3,no,1024
100,100,270,270,gray,no,Mozilla,Netscape,5.0 (Macintosh),legacy,,legacy,blue,legacy,0,pure_rt,relative,1,1,b,0,,,,,,0,0,,,,,,0,,,,,0,0,,,,,,,,0,,,0,,0,0,0,2,0,0,0,0,3,,3,0,,,3,,,,,0,,0,0,0,0,3,3,3,3,,,,5,29-10-22,29-10-22,06:31:41,Tue Nov 29 2022 06:31:41 GMT+0100 (Central European Standard Time),A simple lexical-decision example experiment,yes,,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing,0,0,0,no,mono,no,32,no,white,no,no,768,939,3.6.1,legacy,,,b,legacy,,z,osweb,1.4.11,1,,-1,1,0,b,,,,,space,space,,,,,,b,279,,,,,4017,2981,,,,,,279,2,legacy,1079,1728,30,1117,30,0,62,1728,1669699941011,1570,1024,2,48000,-16,experiment,1,odd,legacy,MacIntel,,32,,,32,32,,,,32,,,,,,,,,,32,,,,32,4053,,,,,,13599,,13319,32,,,13658,,32,7042,13319,11738,11739,,,Response_time_timing,4,1079,4,no,1024
100,100,268,268,gray,no,Mozilla,Netscape,5.0 (Macintosh),legacy,,legacy,blue,legacy,0,pure_rt,relative,1,1,b,0,,,,,,0,0,,,,,,0,,,,,0,0,,,,,,,,0,,,0,,0,0,0,2,0,0,0,0,4,,4,0,,,4,,,,,0,,0,0,0,0,4,4,4,4,,,,5,29-10-22,29-10-22,06:31:41,Tue Nov 29 2022 06:31:41 GMT+0100 (Central European Standard Time),A simple lexical-decision example experiment,yes,,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing,0,0,0,no,mono,no,32,no,white,no,no,768,939,3.6.1,legacy,,,b,legacy,,z,osweb,1.4.11,1,,-1,1,0,b,,,,,space,space,,,,,,b,261,,,,,4017,2981,,,,,,261,2,legacy,1079,1728,30,1117,30,0,62,1728,1669699941011,1876,1024,2,48000,-16,experiment,1,odd,legacy,MacIntel,,32,,,32,32,,,,32,,,,,,,,,,32,,,,32,4053,,,,,,15816,,15552,32,,,15875,,32,7042,15552,13663,13665,,,Response_time_timing,5,1340,5,no,1024
100,100,278,278,gray,no,Mozilla,Netscape,5.0 (Macintosh),legacy,,legacy,blue,legacy,0,pure_rt,relative,1,1,b,0,,,,,,0,0,,,,,,0,,,,,0,0,,,,,,,,0,,,0,,0,0,0,2,0,0,0,0,5,,5,0,,,5,,,,,0,,0,0,0,0,5,5,5,5,,,,5,29-10-22,29-10-22,06:31:41,Tue Nov 29 2022 06:31:41 GMT+0100 (Central European Standard Time),A simple lexical-decision example experiment,yes,,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing,0,0,0,no,mono,no,32,no,white,no,no,768,939,3.6.1,legacy,,,b,legacy,,z,osweb,1.4.11,1,,-1,1,0,b,,,,,space,space,,,,,,b,326,,,,,4017,2981,,,,,,326,2,legacy,1079,1728,30,1117,30,0,62,1728,1669699941011,1327,1024,2,48000,-16,experiment,1,odd,legacy,MacIntel,,32,,,32,32,,,,32,,,,,,,,,,32,,,,32,4053,,,,,,17542,,17212,32,,,17600,,32,7042,17212,15879,15880,,,Response_time_timing,6,1666,6,no,1024
100,100,278,278,gray,no,Mozilla,Netscape,5.0 (Macintosh),legacy,,legacy,blue,legacy,0,pure_rt,relative,1,1,b,0,,,,,,0,0,,,,,,0,,,,,0,0,,,,,,,,0,,,0,,0,0,0,2,0,0,0,0,6,,6,0,,,6,,,,,0,,0,0,0,0,6,6,6,6,,,,5,29-10-22,29-10-22,06:31:41,Tue Nov 29 2022 06:31:41 GMT+0100 (Central European Standard Time),A simple lexical-decision example experiment,yes,,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing,0,0,0,no,mono,no,32,no,white,no,no,768,939,3.6.1,legacy,,,b,legacy,,z,osweb,1.4.11,1,,-1,1,0,b,,,,,space,space,,,,,,b,281,,,,,4017,2981,,,,,,281,2,legacy,1079,1728,30,1117,30,0,62,1728,1669699941011,1228,1024,2,48000,-16,experiment,1,odd,legacy,MacIntel,,32,,,32,32,,,,32,,,,,,,,,,32,,,,32,4053,,,,,,19125,,18836,32,,,19183,,32,7042,18836,17604,17604,,,Response_time_timing,7,1947,7,no,1024
100,100,283,283,gray,no,Mozilla,Netscape,5.0 (Macintosh),legacy,,legacy,blue,legacy,0,pure_rt,relative,1,1,b,0,,,,,,0,0,,,,,,0,,,,,0,0,,,,,,,,0,,,0,,0,0,0,2,0,0,0,0,7,,7,0,,,7,,,,,0,,0,0,0,0,7,7,7,7,,,,5,29-10-22,29-10-22,06:31:41,Tue Nov 29 2022 06:31:41 GMT+0100 (Central European Standard Time),A simple lexical-decision example experiment,yes,,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing,0,0,0,no,mono,no,32,no,white,no,no,768,939,3.6.1,legacy,,,b,legacy,,z,osweb,1.4.11,1,,-1,1,0,b,,,,,space,space,,,,,,b,318,,,,,4017,2981,,,,,,318,2,legacy,1079,1728,30,1117,30,0,62,1728,1669699941011,1061,1024,2,48000,-16,experiment,1,odd,legacy,MacIntel,,32,,,32,32,,,,32,,,,,,,,,,32,,,,32,4053,,,,,,20584,,20261,32,,,20641,,32,7042,20261,19186,19187,,,Response_time_timing,8,2265,8,no,1024
100,100,283,283,gray,no,Mozilla,Netscape,5.0 (Macintosh),legacy,,legacy,blue,legacy,0,pure_rt,relative,1,1,b,0,,,,,,0,0,,,,,,0,,,,,0,0,,,,,,,,0,,,0,,0,0,0,2,0,0,0,0,8,,8,0,,,8,,,,,0,,0,0,0,0,8,8,8,8,,,,5,29-10-22,29-10-22,06:31:41,Tue Nov 29 2022 06:31:41 GMT+0100 (Central European Standard Time),A simple lexical-decision example experiment,yes,,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing,0,0,0,no,mono,no,32,no,white,no,no,768,939,3.6.1,legacy,,,b,legacy,,z,osweb,1.4.11,1,,-1,1,0,b,,,,,space,space,,,,,,b,284,,,,,4017,2981,,,,,,284,2,legacy,1079,1728,30,1117,30,0,62,1728,1669699941011,1082,1024,2,48000,-16,experiment,1,odd,legacy,MacIntel,,32,,,32,32,,,,32,,,,,,,,,,32,,,,32,4053,,,,,,22026,,21736,32,,,22083,,32,7042,21736,20646,20647,,,Response_time_timing,9,2549,9,no,1024
100,100,281,281,gray,no,Mozilla,Netscape,5.0 (Macintosh),legacy,,legacy,blue,legacy,0,pure_rt,relative,1,1,b,0,,,,,,0,0,,,,,,0,,,,,0,0,,,,,,,,0,,,0,,0,0,0,2,0,0,0,0,9,,9,0,,,9,,,,,0,,0,0,0,0,9,9,9,9,,,,5,29-10-22,29-10-22,06:31:41,Tue Nov 29 2022 06:31:41 GMT+0100 (Central European Standard Time),A simple lexical-decision example experiment,yes,,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing,0,0,0,no,mono,no,32,no,white,no,no,768,939,3.6.1,legacy,,,b,legacy,,z,osweb,1.4.11,1,,-1,1,0,b,,,,,space,space,,,,,,b,256,,,,,4017,2981,,,,,,256,2,legacy,1079,1728,30,1117,30,0,62,1728,1669699941011,1456,1024,2,48000,-16,experiment,1,odd,legacy,MacIntel,,32,,,32,32,,,,32,,,,,,,,,,32,,,,32,4053,,,,,,23810,,23551,32,,,23866,,32,7042,23551,22087,22088,,,Response_time_timing,10,2805,10,no,1024
