"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","category","clock_backend","color","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_keyboard_response_1","correct_response","count_about_this_example","count_block_loop","count_block_sequence","count_color_","count_color_block_loop","count_color_choice","count_color_choice_multi","count_color_choice_multi_sequence","count_color_multi_loop","count_color_multi_sequence","count_color_sequence","count_color_target_1","count_color_target_1_1","count_color_trial_sequence","count_color_word_id","count_color_word_id_sequence","count_color_word_id_trial_loop","count_color_word_id_trial_sequence","count_correct_color_1","count_counterbalance_javascript","count_end_of_practice","count_experiment","count_experimental_loop","count_feedback","count_feedback_1","count_feedback_rt","count_fixation","count_fixation_color","count_goodbye","count_green_fix","count_incorrect","count_incorrect_color_1","count_instructions","count_instructions1","count_instructions2","count_isa","count_isa_1","count_keyboard_response","count_keyboard_response_1","count_logger","count_new_logger","count_new_reset_feedback","count_new_reset_feedback_1","count_new_reset_feedback_2","count_pure_response","count_pure_response_sequence","count_red_fix","count_reset_feedback","count_rt_block_loop","count_rt_target","count_rt_trial_sequence","count_set_soa","count_set_vars_2","count_simple_decision_loop","count_soa","count_soa_1","count_symbol","count_trial_sequence","counterbalance","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","letter_response","live_row","live_row_pure_response","live_row_rt_block_loop","logfile","mouse_backend","number_response","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_end_of_practice","response_feedback","response_feedback_1","response_feedback_rt","response_instructions","response_instructions1","response_instructions2","response_keyboard_response","response_keyboard_response_1","response_time","response_time_end_of_practice","response_time_feedback","response_time_feedback_1","response_time_feedback_rt","response_time_instructions","response_time_instructions1","response_time_instructions2","response_time_keyboard_response","response_time_keyboard_response_1","round_decimals","sampler_backend","soa","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","synth_backend","target","time_about_this_example","time_block_loop","time_block_sequence","time_color_","time_color_block_loop","time_color_choice","time_color_choice_multi","time_color_choice_multi_sequence","time_color_multi_loop","time_color_multi_sequence","time_color_sequence","time_color_target_1","time_color_target_1_1","time_color_trial_sequence","time_color_word_id","time_color_word_id_sequence","time_color_word_id_trial_loop","time_color_word_id_trial_sequence","time_correct_color_1","time_counterbalance_javascript","time_end_of_practice","time_experiment","time_experimental_loop","time_feedback","time_feedback_1","time_feedback_rt","time_fixation","time_fixation_color","time_goodbye","time_green_fix","time_incorrect","time_incorrect_color_1","time_instructions","time_instructions1","time_instructions2","time_isa","time_isa_1","time_keyboard_response","time_keyboard_response_1","time_logger","time_new_logger","time_new_reset_feedback","time_new_reset_feedback_1","time_new_reset_feedback_2","time_pure_response","time_pure_response_sequence","time_red_fix","time_reset_feedback","time_rt_block_loop","time_rt_target","time_rt_trial_sequence","time_set_soa","time_set_vars_2","time_simple_decision_loop","time_soa","time_soa_1","time_symbol","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"undefined","undefined","402","402","gray","no","legacy","NA","legacy","NA","legacy","0","pure_rt","relative","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","0","NA","0","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","0","0","2","0","NA","NA","0","0","NA","NA","NA","NA","0","0","NA","0","0","0","0","0","NA","0","0","NA","NA","NA","3","Mon Nov 28 20:57:51 2022","A simple lexical-decision example experiment","yes","","Response_timing.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing","no","mono","no","32","no","white","no","no","768","legacy","b","0","0","0","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing/subject-1.csv","legacy","z","Lentiform Loewenfeld","3.3.12","NA","0","b","NA","NA","NA","NA","NA","space","NA","NA","b","402","NA","NA","NA","NA","NA","1447","NA","NA","402","2","legacy","513","1024","2","48000","-16","experiment","1","odd","legacy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1315","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1377","NA","3787","NA","NA","3378","3837","NA","NA","NA","NA","2841","2843","NA","NA","2843","3378","2854","2854","NA","NA","2857","NA","NA","NA","Response_time_timing","0","402","1","no","1024"
"undefined","undefined","306.5","306.5","gray","no","legacy","NA","legacy","NA","legacy","0","pure_rt","relative","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","0","NA","0","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","0","0","2","1","NA","NA","1","1","NA","NA","NA","NA","0","0","NA","0","0","1","1","1","NA","0","1","NA","NA","NA","3","Mon Nov 28 20:57:51 2022","A simple lexical-decision example experiment","yes","","Response_timing.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing","no","mono","no","32","no","white","no","no","768","legacy","b","1","0","1","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing/subject-1.csv","legacy","z","Lentiform Loewenfeld","3.3.12","NA","0","b","NA","NA","NA","NA","NA","space","NA","NA","b","211","NA","NA","NA","NA","NA","1447","NA","NA","211","2","legacy","1865","1024","2","48000","-16","experiment","1","odd","legacy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1315","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1377","NA","5971","NA","NA","5751","6021","NA","NA","NA","NA","2841","2843","NA","NA","2843","5751","3871","3872","NA","NA","3875","NA","NA","NA","Response_time_timing","0","613","2","no","1024"
"undefined","undefined","287","287","gray","no","legacy","NA","legacy","NA","legacy","0","pure_rt","relative","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","0","NA","0","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","0","0","2","2","NA","NA","2","2","NA","NA","NA","NA","0","0","NA","0","0","2","2","2","NA","0","2","NA","NA","NA","3","Mon Nov 28 20:57:51 2022","A simple lexical-decision example experiment","yes","","Response_timing.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing","no","mono","no","32","no","white","no","no","768","legacy","b","2","0","2","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing/subject-1.csv","legacy","z","Lentiform Loewenfeld","3.3.12","NA","0","b","NA","NA","NA","NA","NA","space","NA","NA","b","248","NA","NA","NA","NA","NA","1447","NA","NA","248","2","legacy","1906","1024","2","48000","-16","experiment","1","odd","legacy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1315","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1377","NA","8218","NA","NA","7965","8268","NA","NA","NA","NA","2841","2843","NA","NA","2843","7965","6049","6049","NA","NA","6053","NA","NA","NA","Response_time_timing","0","861","3","no","1024"
"undefined","undefined","294.75","294.75","gray","no","legacy","NA","legacy","NA","legacy","0","pure_rt","relative","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","0","NA","0","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","0","0","2","3","NA","NA","3","3","NA","NA","NA","NA","0","0","NA","0","0","3","3","3","NA","0","3","NA","NA","NA","3","Mon Nov 28 20:57:51 2022","A simple lexical-decision example experiment","yes","","Response_timing.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing","no","mono","no","32","no","white","no","no","768","legacy","b","3","0","3","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing/subject-1.csv","legacy","z","Lentiform Loewenfeld","3.3.12","NA","0","b","NA","NA","NA","NA","NA","space","NA","NA","b","318","NA","NA","NA","NA","NA","1447","NA","NA","318","2","legacy","572","1024","2","48000","-16","experiment","1","odd","legacy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1315","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1377","NA","9204","NA","NA","8882","9254","NA","NA","NA","NA","2841","2843","NA","NA","2843","8882","8295","8296","NA","NA","8299","NA","NA","NA","Response_time_timing","0","1179","4","no","1024"
"undefined","undefined","291.6","291.6","gray","no","legacy","NA","legacy","NA","legacy","0","pure_rt","relative","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","0","NA","0","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","0","0","2","4","NA","NA","4","4","NA","NA","NA","NA","0","0","NA","0","0","4","4","4","NA","0","4","NA","NA","NA","3","Mon Nov 28 20:57:51 2022","A simple lexical-decision example experiment","yes","","Response_timing.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing","no","mono","no","32","no","white","no","no","768","legacy","b","4","0","4","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing/subject-1.csv","legacy","z","Lentiform Loewenfeld","3.3.12","NA","0","b","NA","NA","NA","NA","NA","space","NA","NA","b","279","NA","NA","NA","NA","NA","1447","NA","NA","279","2","legacy","533","1024","2","48000","-16","experiment","1","odd","legacy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1315","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1377","NA","10119","NA","NA","9836","10169","NA","NA","NA","NA","2841","2843","NA","NA","2843","9836","9281","9282","NA","NA","9286","NA","NA","NA","Response_time_timing","0","1458","5","no","1024"
"undefined","undefined","299","299","gray","no","legacy","NA","legacy","NA","legacy","0","pure_rt","relative","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","0","NA","0","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","0","0","2","5","NA","NA","5","5","NA","NA","NA","NA","0","0","NA","0","0","5","5","5","NA","0","5","NA","NA","NA","3","Mon Nov 28 20:57:51 2022","A simple lexical-decision example experiment","yes","","Response_timing.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing","no","mono","no","32","no","white","no","no","768","legacy","b","5","0","5","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing/subject-1.csv","legacy","z","Lentiform Loewenfeld","3.3.12","NA","0","b","NA","NA","NA","NA","NA","space","NA","NA","b","336","NA","NA","NA","NA","NA","1447","NA","NA","336","2","legacy","839","1024","2","48000","-16","experiment","1","odd","legacy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1315","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1377","NA","11388","NA","NA","11047","11438","NA","NA","NA","NA","2841","2843","NA","NA","2843","11047","10198","10199","NA","NA","10202","NA","NA","NA","Response_time_timing","0","1794","6","no","1024"
"undefined","undefined","300.7142857142857","300.7142857142857","gray","no","legacy","NA","legacy","NA","legacy","0","pure_rt","relative","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","0","NA","0","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","0","0","2","6","NA","NA","6","6","NA","NA","NA","NA","0","0","NA","0","0","6","6","6","NA","0","6","NA","NA","NA","3","Mon Nov 28 20:57:51 2022","A simple lexical-decision example experiment","yes","","Response_timing.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing","no","mono","no","32","no","white","no","no","768","legacy","b","6","0","6","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing/subject-1.csv","legacy","z","Lentiform Loewenfeld","3.3.12","NA","0","b","NA","NA","NA","NA","NA","space","NA","NA","b","311","NA","NA","NA","NA","NA","1447","NA","NA","311","2","legacy","579","1024","2","48000","-16","experiment","1","odd","legacy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1315","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1377","NA","12368","NA","NA","12053","12418","NA","NA","NA","NA","2841","2843","NA","NA","2843","12053","11465","11466","NA","NA","11469","NA","NA","NA","Response_time_timing","0","2105","7","no","1024"
"undefined","undefined","292.25","292.25","gray","no","legacy","NA","legacy","NA","legacy","0","pure_rt","relative","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","0","NA","0","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","0","0","2","7","NA","NA","7","7","NA","NA","NA","NA","0","0","NA","0","0","7","7","7","NA","0","7","NA","NA","NA","3","Mon Nov 28 20:57:51 2022","A simple lexical-decision example experiment","yes","","Response_timing.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing","no","mono","no","32","no","white","no","no","768","legacy","b","7","0","7","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing/subject-1.csv","legacy","z","Lentiform Loewenfeld","3.3.12","NA","0","b","NA","NA","NA","NA","NA","space","NA","NA","b","233","NA","NA","NA","NA","NA","1447","NA","NA","233","2","legacy","1943","1024","2","48000","-16","experiment","1","odd","legacy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1315","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1377","NA","14640","NA","NA","14403","14690","NA","NA","NA","NA","2841","2843","NA","NA","2843","14403","12445","12446","NA","NA","12449","NA","NA","NA","Response_time_timing","0","2338","8","no","1024"
"undefined","undefined","286.77777777777777","286.77777777777777","gray","no","legacy","NA","legacy","NA","legacy","0","pure_rt","relative","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","0","NA","0","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","0","0","2","8","NA","NA","8","8","NA","NA","NA","NA","0","0","NA","0","0","8","8","8","NA","0","8","NA","NA","NA","3","Mon Nov 28 20:57:51 2022","A simple lexical-decision example experiment","yes","","Response_timing.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing","no","mono","no","32","no","white","no","no","768","legacy","b","8","0","8","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing/subject-1.csv","legacy","z","Lentiform Loewenfeld","3.3.12","NA","0","b","NA","NA","NA","NA","NA","space","NA","NA","b","243","NA","NA","NA","NA","NA","1447","NA","NA","243","2","legacy","1233","1024","2","48000","-16","experiment","1","odd","legacy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1315","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1377","NA","16213","NA","NA","15967","16264","NA","NA","NA","NA","2841","2843","NA","NA","2843","15967","14717","14717","NA","NA","14721","NA","NA","NA","Response_time_timing","0","2581","9","no","1024"
"undefined","undefined","293.6","293.6","gray","no","legacy","NA","legacy","NA","legacy","0","pure_rt","relative","undefined","undefined","NA","undefined","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","0","NA","0","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","0","0","2","9","NA","NA","9","9","NA","NA","NA","NA","0","0","NA","0","0","9","9","9","NA","0","9","NA","NA","NA","3","Mon Nov 28 20:57:51 2022","A simple lexical-decision example experiment","yes","","Response_timing.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing","no","mono","no","32","no","white","no","no","768","legacy","b","9","0","9","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing/subject-1.csv","legacy","z","Lentiform Loewenfeld","3.3.12","NA","0","b","NA","NA","NA","NA","NA","space","NA","NA","b","355","NA","NA","NA","NA","NA","1447","NA","NA","355","2","legacy","523","1024","2","48000","-16","experiment","1","odd","legacy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1315","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1377","NA","17187","NA","NA","16829","17237","NA","NA","NA","NA","2841","2843","NA","NA","2843","16829","16291","16292","NA","NA","16295","NA","NA","NA","Response_time_timing","0","2936","10","no","1024"
