"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","category","clock_backend","color","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboard_response_1","correct_response","count_WM_load","count_WM_sequence","count_WM_trials_loop","count_WM_trials_sequence","count_block_loop","count_block_sequence","count_color_block_loop","count_color_choice","count_color_choice_multi","count_color_choice_multi_sequence","count_color_multi_loop","count_color_multi_sequence","count_color_sequence","count_color_target_1","count_color_target_1_1","count_color_trial_sequence","count_color_word_id","count_color_word_id_sequence","count_color_word_id_trial_loop","count_color_word_id_trial_sequence","count_correct_1","count_counterbalance_javascript","count_experiment","count_feedback","count_feedback_1","count_feedback_rt","count_fixation","count_fixation_1","count_fixation_color","count_fixation_food_tools","count_food_tools_loop","count_food_tools_trial_loop","count_food_tools_trial_sequence","count_goodbye","count_incorrect_1","count_instructions","count_instructions1","count_instructions2","count_instructions_1","count_instructions_WM_1","count_instructions_WM_2","count_instructions_WM_3","count_isa","count_isa_1","count_keyboard_response_1","count_letter_number_loop","count_letter_target_1","count_letter_target_2","count_logger","count_new_reset_feedback_1","count_new_reset_feedback_2","count_new_reset_feedback_3","count_new_sequence","count_pick_numbers","count_pure_response","count_pure_response_sequence","count_reset_feedback","count_rt_block_loop","count_rt_target","count_rt_trial_sequence","count_set_soa","count_soa","count_symbol","count_symbol_1","count_trial_sequence","counterbalance","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","letter_response","live_row","live_row_pure_response","live_row_rt_block_loop","logfile","mouse_backend","number_response","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_feedback","response_feedback_1","response_feedback_rt","response_instructions","response_instructions1","response_instructions2","response_instructions_1","response_instructions_WM_1","response_instructions_WM_2","response_instructions_WM_3","response_keyboard_response_1","response_time","response_time_feedback","response_time_feedback_1","response_time_feedback_rt","response_time_instructions","response_time_instructions1","response_time_instructions2","response_time_instructions_1","response_time_instructions_WM_1","response_time_instructions_WM_2","response_time_instructions_WM_3","response_time_keyboard_response_1","round_decimals","sampler_backend","soa","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","synth_backend","target","time_WM_load","time_WM_sequence","time_WM_trials_loop","time_WM_trials_sequence","time_block_loop","time_block_sequence","time_color_block_loop","time_color_choice","time_color_choice_multi","time_color_choice_multi_sequence","time_color_multi_loop","time_color_multi_sequence","time_color_sequence","time_color_target_1","time_color_target_1_1","time_color_trial_sequence","time_color_word_id","time_color_word_id_sequence","time_color_word_id_trial_loop","time_color_word_id_trial_sequence","time_correct_1","time_counterbalance_javascript","time_experiment","time_feedback","time_feedback_1","time_feedback_rt","time_fixation","time_fixation_1","time_fixation_color","time_fixation_food_tools","time_food_tools_loop","time_food_tools_trial_loop","time_food_tools_trial_sequence","time_goodbye","time_incorrect_1","time_instructions","time_instructions1","time_instructions2","time_instructions_1","time_instructions_WM_1","time_instructions_WM_2","time_instructions_WM_3","time_isa","time_isa_1","time_keyboard_response_1","time_letter_number_loop","time_letter_target_1","time_letter_target_2","time_logger","time_new_reset_feedback_1","time_new_reset_feedback_2","time_new_reset_feedback_3","time_new_sequence","time_pick_numbers","time_pure_response","time_pure_response_sequence","time_reset_feedback","time_rt_block_loop","time_rt_target","time_rt_trial_sequence","time_set_soa","time_soa","time_symbol","time_symbol_1","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"undefined","undefined","265","265","gray","no","legacy","NA","legacy","NA","legacy","0","pure_rt","relative","undefined","undefined","undefined","NA","0","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","2","0","0","0","0","0","NA","0","0","NA","NA","0","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","NA","NA","NA","10","Mon Nov 28 23:47:49 2022","A simple lexical-decision example experiment","yes","","Response_timing.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing","no","mono","no","32","no","white","no","no","768","legacy","b","0","0","0","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing/subject-5.csv","legacy","z","Lentiform Loewenfeld","3.3.12","NA","0","b","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","b","265","NA","NA","NA","NA","4853","NA","NA","NA","NA","NA","265","2","legacy","615","1024","2","48000","-16","experiment","5","odd","legacy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1389","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1444","NA","NA","NA","NA","NA","7222","NA","6952","NA","NA","NA","7272","NA","NA","NA","NA","NA","6314","6316","NA","6316","6952","6328","6328","6332","NA","NA","NA","Response_time_timing","0","265","1","no","1024"
"undefined","undefined","259.5","259.5","gray","no","legacy","NA","legacy","NA","legacy","0","pure_rt","relative","undefined","undefined","undefined","NA","0","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","2","0","0","0","0","1","NA","1","0","NA","NA","1","NA","NA","NA","NA","NA","0","0","0","0","1","1","1","1","NA","NA","NA","10","Mon Nov 28 23:47:49 2022","A simple lexical-decision example experiment","yes","","Response_timing.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing","no","mono","no","32","no","white","no","no","768","legacy","b","1","0","1","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing/subject-5.csv","legacy","z","Lentiform Loewenfeld","3.3.12","NA","0","b","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","b","254","NA","NA","NA","NA","4853","NA","NA","NA","NA","NA","254","2","legacy","837","1024","2","48000","-16","experiment","5","odd","legacy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1389","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1444","NA","NA","NA","NA","NA","8414","NA","8152","NA","NA","NA","8464","NA","NA","NA","NA","NA","6314","6316","NA","6316","8152","7302","7303","7306","NA","NA","NA","Response_time_timing","0","519","2","no","1024"
"undefined","undefined","246","246","gray","no","legacy","NA","legacy","NA","legacy","0","pure_rt","relative","undefined","undefined","undefined","NA","0","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","2","0","0","0","0","2","NA","2","0","NA","NA","2","NA","NA","NA","NA","NA","0","0","0","0","2","2","2","2","NA","NA","NA","10","Mon Nov 28 23:47:49 2022","A simple lexical-decision example experiment","yes","","Response_timing.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing","no","mono","no","32","no","white","no","no","768","legacy","b","2","0","2","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing/subject-5.csv","legacy","z","Lentiform Loewenfeld","3.3.12","NA","0","b","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","b","219","NA","NA","NA","NA","4853","NA","NA","NA","NA","NA","219","2","legacy","1829","1024","2","48000","-16","experiment","5","odd","legacy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1389","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1444","NA","NA","NA","NA","NA","10556","NA","10333","NA","NA","NA","10606","NA","NA","NA","NA","NA","6314","6316","NA","6316","10333","8492","8492","8495","NA","NA","NA","Response_time_timing","0","738","3","no","1024"
"undefined","undefined","264.75","264.75","gray","no","legacy","NA","legacy","NA","legacy","0","pure_rt","relative","undefined","undefined","undefined","NA","0","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","2","0","0","0","0","3","NA","3","0","NA","NA","3","NA","NA","NA","NA","NA","0","0","0","0","3","3","3","3","NA","NA","NA","10","Mon Nov 28 23:47:49 2022","A simple lexical-decision example experiment","yes","","Response_timing.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing","no","mono","no","32","no","white","no","no","768","legacy","b","3","0","3","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing/subject-5.csv","legacy","z","Lentiform Loewenfeld","3.3.12","NA","0","b","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","b","321","NA","NA","NA","NA","4853","NA","NA","NA","NA","NA","321","2","legacy","623","1024","2","48000","-16","experiment","5","odd","legacy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1389","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1444","NA","NA","NA","NA","NA","11594","NA","11269","NA","NA","NA","11644","NA","NA","NA","NA","NA","6314","6316","NA","6316","11269","10633","10633","10637","NA","NA","NA","Response_time_timing","0","1059","4","no","1024"
"undefined","undefined","275.2","275.2","gray","no","legacy","NA","legacy","NA","legacy","0","pure_rt","relative","undefined","undefined","undefined","NA","0","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","2","0","0","0","0","4","NA","4","0","NA","NA","4","NA","NA","NA","NA","NA","0","0","0","0","4","4","4","4","NA","NA","NA","10","Mon Nov 28 23:47:49 2022","A simple lexical-decision example experiment","yes","","Response_timing.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing","no","mono","no","32","no","white","no","no","768","legacy","b","4","0","4","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing/subject-5.csv","legacy","z","Lentiform Loewenfeld","3.3.12","NA","0","b","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","b","317","NA","NA","NA","NA","4853","NA","NA","NA","NA","NA","317","2","legacy","1618","1024","2","48000","-16","experiment","5","odd","legacy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1389","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1444","NA","NA","NA","NA","NA","13623","NA","13302","NA","NA","NA","13674","NA","NA","NA","NA","NA","6314","6316","NA","6316","13302","11672","11672","11675","NA","NA","NA","Response_time_timing","0","1376","5","no","1024"
"undefined","undefined","266","266","gray","no","legacy","NA","legacy","NA","legacy","0","pure_rt","relative","undefined","undefined","undefined","NA","0","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","2","0","0","0","0","5","NA","5","0","NA","NA","5","NA","NA","NA","NA","NA","0","0","0","0","5","5","5","5","NA","NA","NA","10","Mon Nov 28 23:47:49 2022","A simple lexical-decision example experiment","yes","","Response_timing.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing","no","mono","no","32","no","white","no","no","768","legacy","b","5","0","5","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing/subject-5.csv","legacy","z","Lentiform Loewenfeld","3.3.12","NA","0","b","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","b","220","NA","NA","NA","NA","4853","NA","NA","NA","NA","NA","220","2","legacy","1161","1024","2","48000","-16","experiment","5","odd","legacy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1389","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1444","NA","NA","NA","NA","NA","15101","NA","14877","NA","NA","NA","15151","NA","NA","NA","NA","NA","6314","6316","NA","6316","14876","13701","13701","13705","NA","NA","NA","Response_time_timing","0","1596","6","no","1024"
"undefined","undefined","260","260","gray","no","legacy","NA","legacy","NA","legacy","0","pure_rt","relative","undefined","undefined","undefined","NA","0","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","2","0","0","0","0","6","NA","6","0","NA","NA","6","NA","NA","NA","NA","NA","0","0","0","0","6","6","6","6","NA","NA","NA","10","Mon Nov 28 23:47:49 2022","A simple lexical-decision example experiment","yes","","Response_timing.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing","no","mono","no","32","no","white","no","no","768","legacy","b","6","0","6","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing/subject-5.csv","legacy","z","Lentiform Loewenfeld","3.3.12","NA","0","b","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","b","224","NA","NA","NA","NA","4853","NA","NA","NA","NA","NA","224","2","legacy","1951","1024","2","48000","-16","experiment","5","odd","legacy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1389","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1444","NA","NA","NA","NA","NA","17365","NA","17137","NA","NA","NA","17415","NA","NA","NA","NA","NA","6314","6316","NA","6316","17137","15178","15178","15181","NA","NA","NA","Response_time_timing","0","1820","7","no","1024"
"undefined","undefined","263","263","gray","no","legacy","NA","legacy","NA","legacy","0","pure_rt","relative","undefined","undefined","undefined","NA","0","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","2","0","0","0","0","7","NA","7","0","NA","NA","7","NA","NA","NA","NA","NA","0","0","0","0","7","7","7","7","NA","NA","NA","10","Mon Nov 28 23:47:49 2022","A simple lexical-decision example experiment","yes","","Response_timing.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing","no","mono","no","32","no","white","no","no","768","legacy","b","7","0","7","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing/subject-5.csv","legacy","z","Lentiform Loewenfeld","3.3.12","NA","0","b","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","b","284","NA","NA","NA","NA","4853","NA","NA","NA","NA","NA","284","2","legacy","1370","1024","2","48000","-16","experiment","5","odd","legacy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1389","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1444","NA","NA","NA","NA","NA","19119","NA","18831","NA","NA","NA","19169","NA","NA","NA","NA","NA","6314","6316","NA","6316","18831","17442","17443","17446","NA","NA","NA","Response_time_timing","0","2104","8","no","1024"
"undefined","undefined","260.22222222222223","260.22222222222223","gray","no","legacy","NA","legacy","NA","legacy","0","pure_rt","relative","undefined","undefined","undefined","NA","0","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","2","0","0","0","0","8","NA","8","0","NA","NA","8","NA","NA","NA","NA","NA","0","0","0","0","8","8","8","8","NA","NA","NA","10","Mon Nov 28 23:47:49 2022","A simple lexical-decision example experiment","yes","","Response_timing.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing","no","mono","no","32","no","white","no","no","768","legacy","b","8","0","8","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing/subject-5.csv","legacy","z","Lentiform Loewenfeld","3.3.12","NA","0","b","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","b","238","NA","NA","NA","NA","4853","NA","NA","NA","NA","NA","238","2","legacy","1720","1024","2","48000","-16","experiment","5","odd","legacy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1389","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1444","NA","NA","NA","NA","NA","21179","NA","20937","NA","NA","NA","21229","NA","NA","NA","NA","NA","6314","6316","NA","6316","20937","19200","19200","19204","NA","NA","NA","Response_time_timing","0","2342","9","no","1024"
"undefined","undefined","261.8","261.8","gray","no","legacy","NA","legacy","NA","legacy","0","pure_rt","relative","undefined","undefined","undefined","NA","0","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","0","2","0","0","0","0","9","NA","9","0","NA","NA","9","NA","NA","NA","NA","NA","0","0","0","0","9","9","9","9","NA","NA","NA","10","Mon Nov 28 23:47:49 2022","A simple lexical-decision example experiment","yes","","Response_timing.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing","no","mono","no","32","no","white","no","no","768","legacy","b","9","0","9","/Users/ethan/Documents/GitHub/OpenSesame/Response_time_timing/subject-5.csv","legacy","z","Lentiform Loewenfeld","3.3.12","NA","0","b","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","b","276","NA","NA","NA","NA","4853","NA","NA","NA","NA","NA","276","2","legacy","1297","1024","2","48000","-16","experiment","5","odd","legacy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1389","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1444","NA","NA","NA","NA","NA","22849","NA","22569","NA","NA","NA","22899","NA","NA","NA","NA","NA","6314","6316","NA","6316","22569","21255","21255","21258","NA","NA","NA","Response_time_timing","0","2618","10","no","1024"
