Related,Unrelated,Nonwords,,,
table-chair,fable-chair,rable-chait,,,
,,,,,
slow-fast,slob-fast,slom-wast,,,
,,,,,
hot-cold,pot-cold,yot-colp,,,
,,,,,
young-old,yours-old,boung-oid,,,
,,,,,
lion-tiger,limp-tiger,fion-siger,,,
,,,,,
wash-rinse,cash-rinse,jash-ronse,,,
,,,,,
lost-found,cost-found,lort-gound,,,
,,,,,
dusk-dawn,dish-dawn,dosk-dawl,,,
,,,,,
lock-key,luck-key,nock-kry,,,
,,,,,
circle-round,carves-round,bircle-rount,,,
,,,,,
plant-flower,slant-flower,plang-fluwer,,,
,,,,,
army-soldier,arch-soldier,arsy-goldier,,,
,,,,,
tall-short,till-short,talp-chort,,,
,,,,,
king-queen,sing-queen,fing-sueen,,,
,,,,,
spider-web,glider-web,spiler-heb,,,
,,,,,
hammer-nail,farmer-nail,gammer-yail,,,
,,,,,
nurse-doctor,purse-doctor,furse-loctor,,,
,,,,,
life-death,wife-death,lige-ceath,,,
,,,,,
true-false,tune-false,frue-halse,,,
,,,,,
earth-ground,early-ground,barth-groond,,,
,,,,,
joy-happy,boy-happy,hoy-wappy,,,
,,,,,
leaf-stem,lean-stem,geaf-ster,,,
,,,,,
wine-grapes,fine-grapes,wone-brapes,,,
,,,,,
dance-waltz,ranch-waltz,jance-maltz,,,
,,,,,
fat-thin,bat-thin,fot-thip,,,
,,,,,
peace-war,peach-war,pease-har,,,
,,,,,
pen-inka,men-inkª,ren-onka,,,
,,,,,
good-bada,gold-bada,goid-nada,,,
,,,,,
hop-skipa,mop-skipa,fop-skupa,,,
,,,,,
rip-tear*,rid-teara,rin-meara,,,
,,,,,
hill-mountainb,will-mountainb,hilp-bountain',,,
,,,,,
scissors-cutb,scorpion-cutb,scyssors-cetb,,,
,,,,,
health-sicknessa,wealth-sicknessb,dealth-ficknessb,,,
,,,,,
add-subtractb,age-subtractb,ald-rubtractb,,,
,,,,,
blue-sky,glue-sky,alue-sko,,,
,,,,,
dark-night,park-night,darl-nighp,,,
,,,,,
high-low,sigh-low,figh-lew,,,
,,,,,
trout-fish,treat-fish,frout-hish,,,
,,,,,
black-white,slack-white,block-whote,,,
,,,,,
boy-girl,toy-girl,bey-wirl,,,
,,,,,
dog-cat,dig-cat,dou-cit,,,
,,,,,
hard-soft,harp-soft,hird-seft,,,
,,,,,
eagle-bird,weasel-bird,eable-wird,,,
,,,,,
church-steeple,churn-steeple,chorch-steeble,,,
,,,,,
law-justice,paw-justice,liw-justoce,,,
,,,,,
sheep-lamb,steep-lamb,sheex-famb,,,
,,,,,
eat-food,ear-food,eas-jood,,,
,,,,,
insect-bug,invest-bug,onsect-fug,,,
,,,,,
frown-smile,brown-smile,browt-smice,,,
,,,,,
fruit-apple,stout-apple,fruid-asple,,,
,,,,,
square-box,squash-box,squame-bor,,,
,,,,,
village-town,pillage-town,villane-towp,,,
,,,,,
hand-foot,land-foot,yand-foox,,,
,,,,,
ice-snow,ace-snow,oce-snaw,,,
,,,,,
baby-child,busy-child,boby-shild,,,
,,,,,
moon-star,mood-star,hoon-stad,,,
,,,,,
oil-gas,foil-gas,oim-tas,,,
,,,,,
thought-mind,fought-mind,thoughf-mand,,,
,,,,,
play-work,slay-work,galy-hork,,,
,,,,,
shallow-deep,hallow-deep,shandow-meep,,,
,,,,,
egg-yolk,peg-yolk,ege-bolk,,,
,,,,,
pain-hurt,gain-hurt,hort-sain,,,
,,,,,
sharp-dulla,shark-dulla,shart-dulpa,,,
,,,,,
buy-sella,bun-sella,bup-rellª,,,
,,,,,
salt-pepperb,sand-pepperb,suet-hepperb,,,
,,,,,
up-downd,us-down',in-bownt,,,
,,,,,
