hot-cold,Related,A,left
young-old,Related,A,left
lion-tiger,Related,A,left
wash-rinse,Related,A,left
lost-found,Related,A,left
dusk-dawn,Related,A,left
lock-key,Related,A,left
circle-round,Related,A,left
plant-flower,Related,A,left
army-soldier,Related,A,left
tall-short,Related,A,left
spider-web,Related,A,left
hammer-nail,Related,A,left
life-death,Related,A,left
true-false,Related,A,left
earth-ground,Related,A,left
joy-happy,Related,A,left
leaf-stem,Related,A,left
pot-cold,Unrelated,A,right
yours-old,Unrelated,A,right
limp-tiger,Unrelated,A,right
cash-rinse,Unrelated,A,right
cost-found,Unrelated,A,right
dish-dawn,Unrelated,A,right
luck-key,Unrelated,A,right
carves-round,Unrelated,A,right
slant-flower,Unrelated,A,right
till-short,Unrelated,A,right
sing-queen,Unrelated,A,right
glider-web,Unrelated,A,right
farmer-nail,Unrelated,A,right
purse-doctor,Unrelated,A,right
wife-death,Unrelated,A,right
tune-false,Related,A,right
early-ground,Related,A,right
boy-happy,Related,A,right
rable-chait,Nonword,A,right
slom-wast,Nonword,A,right
yot-colp,Nonword,A,right
boung-oid,Nonword,A,right
fion-siger,Nonword,A,right
jash-ronse,Nonword,A,right
lont-gound,Nonword,A,right
dosk-dawl,Nonword,A,right
nock-kry,Nonword,A,right
bircle-rount,Nonword,A,right
plang-fluwer,Nonword,A,right
arsy-goldier,Nonword,A,right
talp-chort,Nonword,A,right
fing-sueen,Nonword,A,right
spiler-heb,Nonword,A,right
gammer-yail,Nonword,A,right
furse-loctor,Nonword,A,right
barth-groond,Nonword,A,right
man-wotar,Filler,A,right
rough-smoat,Filler,A,right
bread-bottin,Filler,A,right
bitter-sweax,Filler,A,right
green-gliss,Filler,A,right
large-smipo,Filler,A,right
bed-slorg,Filler,A,right
afraid-scobet,Filler,A,right
cabbage-lottir,Filler,A,right
door-wingew,Filler,A,right
moship-father,Filler,A,right
neibon-thread,Filler,A,right
brothog-sister,Filler,A,right
capsute-pill,Filler,A,right
boeh-ale,Filler,A,right
bosh-water,Filler,A,right
nirey-south,Filler,A,right
honip-bee,Filler,A,right
sconix-marble,Filler,A,right
porry-cent,Filler,A,right
