"block","condition","correct_response","response","response_time","stim"
"practice","Related","LEFT","left","818","buy-sell"
"practice","Unrelated","LEFT","left","849","sand-pepper"
"practice","Related","LEFT","left","592","table-chair"
"practice","Nonword","RIGHT","right","661","hort-sain"
"practice","Unrelated","LEFT","left","789","shark-dull"
"practice","Nonword","RIGHT","right","598","ip-bown"
"B","Related","LEFT","left","842","hop-skip"
"B","Filler","RIGHT","left","2180","sconix-marble"
"B","Unrelated","LEFT","left","1160","treat-fish"
"B","Nonword","RIGHT","right","865","bey-wirl"
"B","Nonword","RIGHT","right","1518","wone-brapes"
"B","Related","LEFT","left","1062","boy-girl"
"B","Related","LEFT","left","884","black-white"
"B","Nonword","RIGHT","right","1251","goid-nad"
"B","Related","LEFT","left","795","fat-thin"
"B","Related","LEFT","left","738","dark-night"
"B","Filler","RIGHT","right","2274","afraid-scobet"
"B","Related","LEFT","left","909","pen-ink"
"B","Unrelated","LEFT","left","847","age-subtract"
"B","Unrelated","LEFT","left","815","peach-war"
"B","Filler","RIGHT","left","1719","bitter-sweax"
"B","Nonword","RIGHT","right","1144","jance-maltz"
"B","Unrelated","LEFT","left","688","fine-grapes"
"B","Filler","RIGHT","left","1013","rough-smoat"
"B","Unrelated","LEFT","left","730","dig-cat"
"B","Nonword","RIGHT","right","936","ren-onk"
"B","Filler","RIGHT","right","1368","brothog-sister"
"B","Related","LEFT","left","1007","hill-mountain"
"B","Unrelated","LEFT","left","946","park-night"
"B","Filler","RIGHT","right","2267","capsute-pill"
"B","Nonword","RIGHT","right","1565","ald-rubtract"
"B","Related","LEFT","left","972","wine-grapes"
"B","Related","LEFT","left","1890","high-low"
"B","Nonword","RIGHT","right","1886","dealth-fickness"
"B","Nonword","RIGHT","right","878","hoy-wappy"
"B","Related","LEFT","left","1110","scissors-cut"
"B","Filler","RIGHT","right","2246","honip-bee"
"B","Nonword","RIGHT","right","1187","darl-nighp"
"B","Related","LEFT","left","2273","trout-fish"
"B","Unrelated","LEFT","left","1384","rid-tear"
"B","Nonword","RIGHT","right","1595","block-whote"
"B","Filler","RIGHT","right","1532","cabbage-lottir"
"B","Unrelated","LEFT","left","1251","will-mountain"
"B","Related","LEFT","left","1225","health-sickness"
"B","Filler","RIGHT","right","1035","bread-bottin"
"B","Filler","RIGHT","right","1817","moship-father"
"B","Filler","RIGHT","right","1811","bosh-water"
"B","Filler","RIGHT","left","1821","neibon-thread"
"B","Nonword","RIGHT","right","1412","geaf-ster"
"B","Unrelated","LEFT","left","2491","glue-sky"
"B","Filler","RIGHT","right","1382","large-smipo"
"B","Unrelated","LEFT","left","2447","wealth-sickness"
"B","Unrelated","LEFT","left","1943","lean-stem"
"B","Nonword","RIGHT","right","1037","hilp-bountain"
"B","Unrelated","LEFT","left","1310","bat-thin"
"B","Filler","RIGHT","right","967","bed-slorg"
"B","Filler","RIGHT","right","1985","porry-cent"
"B","Filler","RIGHT","right","1670","nirey-south"
"B","Filler","RIGHT","right","1848","door-wingew"
"B","Unrelated","LEFT","left","1500","toy-girl"
"B","Related","LEFT","left","1024","dance-waltz"
"B","Unrelated","LEFT","left","1703","slack-white"
"B","Nonword","RIGHT","right","856","rin-mear"
"B","Related","LEFT","left","906","blue-sky"
"B","Related","LEFT","left","1423","add-subtract"
"B","Related","LEFT","left","1538","peace-war"
"B","Nonword","RIGHT","right","916","figh-lew"
"B","Unrelated","LEFT","left","2464","scorpion-cut"
"B","Related","LEFT","left","660","rip-tear"
"B","Nonword","RIGHT","right","958","fop-skup"
"B","Unrelated","LEFT","left","1509","men-ink"
"B","Nonword","RIGHT","right","845","scyssors-cet"
"B","Unrelated","LEFT","left","1510","mop-skip"
"B","Unrelated","LEFT","left","1262","gold-bad"
"B","Unrelated","LEFT","left","2424","ranch-waltz"
"B","Related","LEFT","left","697","dog-cat"
"B","Filler","RIGHT","right","897","man-wotar"
"B","Related","LEFT","left","1032","good-bad"
"B","Nonword","RIGHT","right","1011","fot-thip"
"B","Filler","RIGHT","right","971","boeh-ale"
"B","Nonword","RIGHT","right","1197","frout-hish"
"B","Filler","RIGHT","right","1239","green-gliss"
"B","Unrelated","LEFT","left","1034","sigh-low"
"B","Related","LEFT","left","908","hard-soft"
