true_false,condition,stim,correct_response
FALSE,P1,Ping Pong has baskets.,[false_response]
FALSE,P1,London has pig farms.,[false_response]
FALSE,P1,A daisy is black.,[false_response]
FALSE,P1,A banana has bones.,[false_response]
FALSE,P1,Mints are salty.,[false_response]
FALSE,P1,A shrimp can fly.,[false_response]
FALSE,P1,A canoe has a sail.,[false_response]
FALSE,P1,Japan has Biden.,[false_response]
FALSE,P1,A dove has fins.,[false_response]
FALSE,P1,Satin is rough.,[false_response]
FALSE,P2,A sycamore has fruit.,[false_response]
FALSE,P2,Bourbon is gritty.,[false_response]
FALSE,P2,A brigade can fly.,[false_response]
FALSE,PO,Checkers has pawns.,[false_response]
FALSE,PO,Miami has snow.,[false_response]
FALSE,PO,A rose has bark.,[false_response]
FALSE,PO,A berry is large.,[false_response]
FALSE,PO,Fudge is sour.,[false_response]
FALSE,PO,A tuna is purple.,[false_response]
FALSE,PO,A rowboat has a motor.,[false_response]
FALSE,PO,Russia is an island.,[false_response]
FALSE,PO,A crow is green.,[false_response]
FALSE,PO,Polyester is grown.,[false_response]
FALSE,S1,Football is a lottery.,[false_response]
FALSE,S1,Aarhus is a region.,[false_response]
FALSE,S1,A zinnia is a mammal.,[false_response]
FALSE,S1,An apple is a building.,[false_response]
FALSE,S1,Cremes are cookies.,[false_response]
FALSE,S1,A catfish is a whale.,[false_response]
FALSE,S1,A submarine is a car.,[false_response]
FALSE,S1,Peru is a city.,[false_response]
FALSE,S1,A mockingbird is a snake.,[false_response]
FALSE,S1,Denim is a food.,[false_response]
FALSE,S2,A mesquite is a mineral.,[false_response]
FALSE,S2,Cognac is gas.,[false_response]
FALSE,S2,A general is a monkey.,[false_response]
FALSE,SO,Hockey is a race.,[false_response]
FALSE,SO,Chicago is a state.,[false_response]
FALSE,SO,A petunia is thorny.,[false_response]
FALSE,SO,An apple is an orange.,[false_response]
FALSE,SO,Caramel is cotton candy.,[false_response]
FALSE,SO,A bass is a crab.,[false_response]
FALSE,SO,A raft is a destroyer.,[false_response]
FALSE,SO,Egypt is Europe.,[false_response]
FALSE,SO,A parakeet is an eagle.,[false_response]
FALSE,SO,Canvas is wool.,[false_response]
TRUE,P1,Basketball has rules. ,[true_response]
TRUE,P1,Pittsburg has people. ,[true_response]
TRUE,P1,A violet has a stem. ,[true_response]
TRUE,P1,A pistol can fire. ,[true_response]
TRUE,P1,Taffy is sweet. ,[true_response]
TRUE,P1,A shark has gills. ,[true_response]
TRUE,P1,A schooner has a rudder.,[true_response]
TRUE,P1,Italy has borders.,[true_response]
TRUE,P1,A wren can fly.,[true_response]
TRUE,P1,Silk is woven.,[true_response]
TRUE,P2,A birch has seeds.,[true_response]
TRUE,P2,Gin is wet.,[true_response]
TRUE,P2,A lieutenant can talk.,[true_response]
TRUE,PO,Football has goals. ,[true_response]
TRUE,PO,San Francisco has fog. ,[true_response]
TRUE,PO,A sunflower is yellow. ,[true_response]
TRUE,PO,A rifle is long. ,[true_response]
TRUE,PO,A lollypop has a stick. ,[true_response]
TRUE,PO,A salmon is pink. ,[true_response]
TRUE,PO,A tugboat can pull.,[true_response]
TRUE,PO,France has DeGaulle.,[true_response]
TRUE,PO,A canary can sing.,[true_response]
TRUE,PO,Nylon is smooth.,[true_response]
TRUE,S1,Tennis is a game,[true_response]
TRUE,S1,Baltimore is a city.,[true_response]
TRUE,S1,An orchid is a flower.,[true_response]
TRUE,S1,A revolver is a gun.,[true_response]
TRUE,S1,A gumdrop is candy.,[true_response]
TRUE,S1,A trout is a fish.,[true_response]
TRUE,S1,An ocean liner is a boat.,[true_response]
TRUE,S1,Belgium is a nation.,[true_response]
TRUE,S1,A parrot is a bird.,[true_response]
TRUE,S1,Velvet is a fabric.,[true_response]
TRUE,S2,An elm is a plant.,[true_response]
TRUE,S2,Vermouth is liquid.,[true_response]
TRUE,S2,A corporal is a person.,[true_response]
TRUE,SO,Chess is chess. ,[true_response]
TRUE,SO,Boston is Boston. ,[true_response]
TRUE,SO,A gardenia is a gardenia. ,[true_response]
TRUE,SO,A shotgun is a shotgun. ,[true_response]
TRUE,SO,Licorice is licorice. ,[true_response]
TRUE,SO,A sardine is a sardine. ,[true_response]
TRUE,SO,A sailboat is a sailboat.,[true_response]
TRUE,SO,England is England.,[true_response]
TRUE,SO,A robin is a robin.,[true_response]
