"","id","block","correct","present","setSize","response_time","rt"
"1","18","experiment",1,"y",3,628,628
"2","18","experiment",1,"y",6,753,753
"3","18","experiment",1,"y",4,750,750
"4","18","experiment",1,"n",4,694,694
"5","18","experiment",1,"n",4,716,716
"6","18","experiment",1,"y",6,888,888
"7","18","experiment",1,"n",4,567,567
"8","18","experiment",1,"n",5,537,537
"9","18","experiment",1,"y",2,405,405
"10","18","experiment",1,"y",4,859,859
"11","18","experiment",1,"n",6,798,798
"12","18","experiment",1,"n",4,561,561
"13","18","experiment",1,"n",3,569,569
"14","18","experiment",1,"y",3,408,408
"15","18","experiment",1,"y",6,787,787
"16","18","experiment",1,"n",6,762,762
"17","18","experiment",1,"n",2,761,761
"18","18","experiment",1,"y",5,1401,1401
"19","18","experiment",1,"y",2,470,470
"20","18","experiment",1,"n",1,533,533
"21","18","experiment",1,"n",6,743,743
"22","18","experiment",1,"y",4,728,728
"23","18","experiment",1,"y",5,679,679
"24","18","experiment",1,"n",4,970,970
"25","18","experiment",1,"y",6,1547,1547
"26","18","experiment",1,"n",3,609,609
"27","18","experiment",1,"n",3,838,838
"28","18","experiment",1,"n",5,659,659
"29","18","experiment",1,"n",6,643,643
"30","18","experiment",1,"n",2,750,750
"31","18","experiment",1,"y",5,1065,1065
"32","18","experiment",1,"n",3,1329,1329
"33","18","experiment",1,"n",6,859,859
"34","18","experiment",1,"n",4,1169,1169
"35","18","experiment",1,"n",5,626,626
"36","18","experiment",1,"y",2,954,954
"37","18","experiment",1,"n",4,662,662
"38","18","experiment",1,"n",2,618,618
"39","18","experiment",1,"n",6,1203,1203
"40","18","experiment",1,"n",5,704,704
"41","18","experiment",1,"n",6,692,692
"42","18","experiment",1,"n",5,650,650
"43","18","experiment",1,"y",4,1438,1438
"44","18","experiment",1,"y",6,969,969
"45","18","experiment",1,"n",6,1037,1037
"46","18","experiment",1,"n",4,644,644
"47","18","experiment",1,"y",4,711,711
"48","18","experiment",1,"y",6,920,920
"49","18","experiment",1,"y",5,1118,1118
"50","18","experiment",1,"n",5,696,696
"51","18","experiment",1,"n",3,698,698
"52","18","experiment",1,"y",2,593,593
"53","18","experiment",1,"n",5,976,976
"54","18","experiment",1,"n",5,852,852
"55","18","experiment",1,"y",3,938,938
"56","18","experiment",1,"y",4,1018,1018
"57","18","experiment",1,"y",1,518,518
"58","18","experiment",1,"y",4,553,553
"59","18","experiment",1,"y",6,712,712
"60","18","experiment",1,"n",6,736,736
"61","18","experiment",1,"n",4,688,688
"62","18","experiment",1,"n",5,652,652
"63","18","experiment",1,"n",5,769,769
"64","18","experiment",1,"y",5,1119,1119
"65","18","experiment",1,"n",6,1199,1199
"66","18","experiment",1,"y",6,634,634
"67","18","experiment",1,"n",6,1103,1103
"68","18","experiment",1,"y",4,502,502
"69","18","experiment",1,"n",3,720,720
"70","18","experiment",1,"n",4,638,638
"71","18","experiment",1,"y",6,1047,1047
"72","18","experiment",1,"y",4,616,616
"73","18","experiment",1,"n",6,665,665
"74","18","experiment",1,"n",5,708,708
"75","18","experiment",1,"y",1,409,409
"76","18","experiment",1,"y",5,781,781
"77","18","experiment",1,"y",3,577,577
"78","18","experiment",1,"y",3,490,490
"79","18","experiment",1,"n",2,758,758
"80","18","experiment",1,"n",5,593,593
"81","18","experiment",1,"y",6,602,602
"82","18","experiment",1,"n",5,677,677
"83","18","experiment",1,"y",3,409,409
"84","18","experiment",1,"y",3,1176,1176
"85","18","experiment",1,"n",3,972,972
"86","18","experiment",1,"n",3,563,563
"87","18","experiment",1,"n",6,1036,1036
"88","18","experiment",1,"n",6,682,682
"89","18","experiment",1,"y",5,641,641
"90","18","experiment",1,"y",5,616,616
"91","18","experiment",1,"y",6,559,559
"92","18","experiment",1,"y",4,858,858
