acc,accuracy,average_response_time,avg_rt,background,bidi,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_response,count_ISI,count_break1,count_break_2,count_correct_feedback,count_credits,count_experiment,count_experimentLoop,count_fixation,count_incorrect_feedback,count_instructions1,count_instructions2,count_keyboard_response,count_memory_set,count_new_logger,count_osweb,count_practiceLoop,count_practiceSequence,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,response,response_break1,response_break_2,response_instructions1,response_instructions2,response_keyboard_response,response_time,response_time_break1,response_time_break_2,response_time_instructions1,response_time_instructions2,response_time_keyboard_response,round_decimals,sampler_backend,sessionid,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_break1,time_break_2,time_correct_feedback,time_experimentLoop,time_fixation,time_incorrect_feedback,time_instructions1,time_instructions2,time_keyboard_response,time_memory_set,time_new_logger,time_practiceLoop,time_probe,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
0,0,898,898,black,no,practice,legacy,legacy,legacy,0,uniform,0,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wed Sep 23 2020 22:27:07 GMT+0200 (CEST),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,2 9 4,osweb,1.3.8,3,y,left,,,right,,left,898,,,89681,,898,2,legacy,1600892911945,3,1024,2,48000,-16,experiment,1,odd,4,91997,,,,58,89777,,58,,94016,90784,94930,58,94016,Sternberg,0,898,1,yes,1024
50,50,694,694,black,no,practice,legacy,legacy,legacy,0,uniform,1,right,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,Wed Sep 23 2020 22:27:07 GMT+0200 (CEST),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,4 3 1 7 9 8,osweb,1.3.8,1,y,right,,,right,,right,490,,,89681,,490,2,legacy,1600892911945,6,1024,2,48000,-16,experiment,1,odd,4,98197,,,,58,95974,94937,58,,100217,96983,100713,58,100216,Sternberg,1,1388,2,yes,1024
33,33,739,739,black,no,practice,legacy,legacy,legacy,0,uniform,0,left,2,2,2,2,0,0,0,2,2,0,0,2,2,2,0,0,2,2,0,Wed Sep 23 2020 22:27:07 GMT+0200 (CEST),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,5 7 8 4 1 2,osweb,1.3.8,0,n,right,,,right,,right,829,,,89681,,829,2,legacy,1600892911945,6,1024,2,48000,-16,experiment,1,odd,6,103980,,,100718,58,101753,94937,58,,105999,102766,106828,58,105999,Sternberg,1,2217,3,yes,1024
50,50,857,857,black,no,practice,legacy,legacy,legacy,0,uniform,1,right,3,3,3,3,0,0,0,3,3,0,0,3,3,3,0,0,3,3,0,Wed Sep 23 2020 22:27:07 GMT+0200 (CEST),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,6,osweb,1.3.8,1,y,right,,,right,,right,1210,,,89681,,1210,2,legacy,1600892911945,1,1024,2,48000,-16,experiment,1,odd,6,110097,,,100718,58,107870,106834,58,,112117,108882,113328,58,112117,Sternberg,2,3427,4,yes,1024
60,60,830,830,black,no,practice,legacy,legacy,legacy,0,uniform,1,left,4,4,4,4,0,0,0,4,4,0,0,4,4,4,0,0,4,4,0,Wed Sep 23 2020 22:27:07 GMT+0200 (CEST),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,2 1,osweb,1.3.8,0,n,left,,,right,,left,724,,,89681,,724,2,legacy,1600892911945,2,1024,2,48000,-16,experiment,1,odd,5,116597,,,113333,58,114368,106834,58,,118617,115382,119345,58,118617,Sternberg,3,4151,5,yes,1024
67,67,830,830,black,no,practice,legacy,legacy,legacy,0,uniform,1,right,5,5,5,5,0,0,0,5,5,0,0,5,5,5,0,0,5,5,0,Wed Sep 23 2020 22:27:07 GMT+0200 (CEST),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,1 5 2 9,osweb,1.3.8,2,y,right,,,right,,right,829,,,89681,,829,2,legacy,1600892911945,4,1024,2,48000,-16,experiment,1,odd,5,122613,,,119350,58,120384,106834,58,,124632,121399,125463,58,124631,Sternberg,4,4980,6,yes,1024
71,71,795,795,black,no,practice,legacy,legacy,legacy,0,uniform,1,left,6,6,6,6,0,0,0,6,6,0,0,6,6,6,0,0,6,6,0,Wed Sep 23 2020 22:27:07 GMT+0200 (CEST),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,4 1 5,osweb,1.3.8,0,n,left,,,right,,left,584,,,89681,,584,2,legacy,1600892911945,3,1024,2,48000,-16,experiment,1,odd,2,128730,,,125467,58,126501,106834,58,,130749,127515,131346,58,130749,Sternberg,5,5564,7,yes,1024
75,75,773,773,black,no,practice,legacy,legacy,legacy,0,uniform,1,left,7,7,7,7,0,0,0,7,7,0,0,7,7,7,0,0,7,7,0,Wed Sep 23 2020 22:27:07 GMT+0200 (CEST),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,5,osweb,1.3.8,0,n,left,,,right,,left,618,,,89681,,618,2,legacy,1600892911945,1,1024,2,48000,-16,experiment,1,odd,3,134611,,,131350,58,132382,106834,58,,136630,133396,137261,58,136630,Sternberg,6,6182,8,yes,1024
78,78,766,766,black,no,practice,legacy,legacy,legacy,0,uniform,1,right,8,8,8,8,0,0,0,8,8,0,0,8,8,8,0,0,8,8,0,Wed Sep 23 2020 22:27:07 GMT+0200 (CEST),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,1 7 9 8 5,osweb,1.3.8,4,y,right,,,right,,right,710,,,89681,,710,2,legacy,1600892911945,5,1024,2,48000,-16,experiment,1,odd,8,140529,,,137264,58,138294,106834,58,,142547,139312,143261,58,142547,Sternberg,7,6892,9,yes,1024
70,70,782,782,black,no,practice,legacy,legacy,legacy,0,uniform,0,left,9,9,9,9,0,0,0,9,9,0,0,9,9,9,0,0,9,9,0,Wed Sep 23 2020 22:27:07 GMT+0200 (CEST),The main experiment item,yes,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,no,mono,no,18,no,white,no,no,768,legacy,legacy,3 1 9 4,osweb,1.3.8,0,n,right,,,right,,right,926,,,89681,,926,2,legacy,1600892911945,4,1024,2,48000,-16,experiment,1,odd,6,146529,,,143264,58,144300,106834,58,,148548,145313,149478,58,148548,Sternberg,7,7818,10,yes,1024
