"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","cong","coordinates","correct","correct_instructions1","correct_instructions2","correct_new_keyboard_response","correct_response","count_ISI","count_Naming","count_Reading","count_experiment","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_new_keyboard_response","count_new_logger","count_stim","count_trial_sequence","datetime","description","disable_garbage_collection","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","letterColor","live_row","live_row_Reading","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_instructions1","response_instructions2","response_instructions3","response_new_keyboard_response","response_time","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_new_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","text","time_ISI","time_Naming","time_Reading","time_experiment","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_new_keyboard_response","time_new_logger","time_stim","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","1405.7847379999657","1405.7847379999657","black","reading","psycho","psycho","psycho","0","0","uniform","1","undefined","undefined","1","right","0","0","0","0","0","0","0","0","0","0","0","0","Fri Sep 25 10:07:21 2020","The main experiment item","yes","/Users/ethan/Documents/GitHub/OpenSesame/Stroop_2/Stroop_2.osexp","no","mono","no","30","no","white","no","yes","768","psycho","blue","0","0","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/Stroop_2/data/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.3","0","right","up","up","NA","right","1405.7847379999657","1862.2711600000912","1785.9383480003999","NA","1405.7847379999657","2","psycho","1024","2","48000","-16","experiment","0","even","gul","NA","NA","6447.807505000128","2674.5152640000924","6489.657500999783","2740.625375000036","4657.660527999724","NA","7507.845603000078","8914.942066000094","7506.970170999921","6466.804438000054","Stroop_2","1","1405.7847379999657","1","yes","1024"
"100","100","1017.3425840000618","1017.3425840000618","black","reading","psycho","psycho","psycho","0","1","uniform","1","undefined","undefined","1","left","1","0","0","0","1","0","0","0","1","1","1","1","Fri Sep 25 10:07:21 2020","The main experiment item","yes","/Users/ethan/Documents/GitHub/OpenSesame/Stroop_2/Stroop_2.osexp","no","mono","no","30","no","white","no","yes","768","psycho","red","1","1","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/Stroop_2/data/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.3","0","left","up","up","NA","left","628.9004300001579","1862.2711600000912","1785.9383480003999","NA","628.9004300001579","2","psycho","1024","2","48000","-16","experiment","0","even","rød","8940.343586999916","NA","6447.807505000128","2674.5152640000924","10006.656057999862","2740.625375000036","4657.660527999724","NA","11023.561990999951","11653.918448999775","11023.217875999762","9991.092126999774","Stroop_2","2","2034.6851680001237","2","yes","1024"
"100","100","987.1665480000047","987.1665480000047","black","reading","psycho","psycho","psycho","0","1","uniform","1","undefined","undefined","1","right","2","0","0","0","2","0","0","0","2","2","2","2","Fri Sep 25 10:07:21 2020","The main experiment item","yes","/Users/ethan/Documents/GitHub/OpenSesame/Stroop_2/Stroop_2.osexp","no","mono","no","30","no","white","no","yes","768","psycho","yellow","2","2","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/Stroop_2/data/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.3","0","right","up","up","NA","right","926.8144759998904","1862.2711600000912","1785.9383480003999","NA","926.8144759998904","2","psycho","1024","2","48000","-16","experiment","0","even","gul","11673.447059999944","NA","6447.807505000128","2674.5152640000924","12740.052104999904","2740.625375000036","4657.660527999724","NA","13757.497444999899","14685.628223000094","13756.748242999947","12726.999607999915","Stroop_2","3","2961.499644000014","3","yes","1024"
"100","100","1070.2651737500446","1070.2651737500446","black","reading","psycho","psycho","psycho","0","0","uniform","1","undefined","undefined","1","right","3","0","0","0","3","0","0","0","3","3","3","3","Fri Sep 25 10:07:21 2020","The main experiment item","yes","/Users/ethan/Documents/GitHub/OpenSesame/Stroop_2/Stroop_2.osexp","no","mono","no","30","no","white","no","yes","768","psycho","red","3","3","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/Stroop_2/data/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.3","0","right","up","up","NA","right","1319.5610510001643","1862.2711600000912","1785.9383480003999","NA","1319.5610510001643","2","psycho","1024","2","48000","-16","experiment","0","even","gul","14706.79142500012","NA","6447.807505000128","2674.5152640000924","15773.182420000012","2740.625375000036","4657.660527999724","NA","16790.14585899995","18111.031378000007","16789.801548000014","15757.160163999743","Stroop_2","4","4281.060695000178","4","yes","1024"
"100","100","1049.9092800000653","1049.9092800000653","black","reading","psycho","psycho","psycho","0","1","uniform","1","undefined","undefined","1","down","4","0","0","0","4","0","0","0","4","4","4","4","Fri Sep 25 10:07:21 2020","The main experiment item","yes","/Users/ethan/Documents/GitHub/OpenSesame/Stroop_2/Stroop_2.osexp","no","mono","no","30","no","white","no","yes","768","psycho","blue","4","4","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/Stroop_2/data/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.3","0","down","up","up","NA","down","968.4857050001483","1862.2711600000912","1785.9383480003999","NA","968.4857050001483","2","psycho","1024","2","48000","-16","experiment","0","even","blå","18122.889433999717","NA","6447.807505000128","2674.5152640000924","19189.917458999844","2740.625375000036","4657.660527999724","NA","20206.59610599978","21176.503561000118","20206.31985","19174.192907999895","Stroop_2","5","5249.546400000327","5","yes","1024"
"100","100","1051.3162896667534","1051.3162896667534","black","reading","psycho","psycho","psycho","0","0","uniform","1","undefined","undefined","1","down","5","0","0","0","5","0","0","0","5","5","5","5","Fri Sep 25 10:07:21 2020","The main experiment item","yes","/Users/ethan/Documents/GitHub/OpenSesame/Stroop_2/Stroop_2.osexp","no","mono","no","30","no","white","no","yes","768","psycho","red","5","5","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/Stroop_2/data/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.3","0","down","up","up","NA","down","1058.3513380001932","1862.2711600000912","1785.9383480003999","NA","1058.3513380001932","2","psycho","1024","2","48000","-16","experiment","0","even","blå","21190.215051999985","NA","6447.807505000128","2674.5152640000924","22256.55427599986","2740.625375000036","4657.660527999724","NA","23273.679144999733","24333.425543999965","23273.21988599988","22239.717406999716","Stroop_2","6","6307.89773800052","6","yes","1024"
"100","100","1033.2660092857882","1033.2660092857882","black","reading","psycho","psycho","psycho","0","0","uniform","1","undefined","undefined","1","down","6","0","0","0","6","0","0","0","6","6","6","6","Fri Sep 25 10:07:21 2020","The main experiment item","yes","/Users/ethan/Documents/GitHub/OpenSesame/Stroop_2/Stroop_2.osexp","no","mono","no","30","no","white","no","yes","768","psycho","yellow","6","6","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/Stroop_2/data/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.3","0","down","up","up","NA","down","924.9643269999979","1862.2711600000912","1785.9383480003999","NA","924.9643269999979","2","psycho","1024","2","48000","-16","experiment","0","even","blå","24356.425975000093","NA","6447.807505000128","2674.5152640000924","25422.951812000065","2740.625375000036","4657.660527999724","NA","26440.130971000144","27366.193738999755","26439.750516999993","25406.45004399994","Stroop_2","7","7232.862065000518","7","yes","1024"
"100","100","1081.9133035000732","1081.9133035000732","black","reading","psycho","psycho","psycho","0","0","uniform","1","undefined","undefined","1","left","7","0","0","0","7","0","0","0","7","7","7","7","Fri Sep 25 10:07:21 2020","The main experiment item","yes","/Users/ethan/Documents/GitHub/OpenSesame/Stroop_2/Stroop_2.osexp","no","mono","no","30","no","white","no","yes","768","psycho","blue","7","7","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/Stroop_2/data/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.3","0","left","up","up","NA","left","1422.4443630000678","1862.2711600000912","1785.9383480003999","NA","1422.4443630000678","2","psycho","1024","2","48000","-16","experiment","0","even","rød","27389.45684600003","NA","6447.807505000128","2674.5152640000924","28456.086806999792","2740.625375000036","4657.660527999724","NA","29473.252198999944","30897.232212999825","29472.87669699972","28445.300015000157","Stroop_2","8","8655.306428000586","8","yes","1024"
"100","100","1045.5658190000274","1045.5658190000274","black","reading","psycho","psycho","psycho","0","0","uniform","1","undefined","undefined","1","left","8","0","0","0","8","0","0","0","8","8","8","8","Fri Sep 25 10:07:21 2020","The main experiment item","yes","/Users/ethan/Documents/GitHub/OpenSesame/Stroop_2/Stroop_2.osexp","no","mono","no","30","no","white","no","yes","768","psycho","yellow","8","8","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/Stroop_2/data/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.3","0","left","up","up","NA","left","754.7859429996606","1862.2711600000912","1785.9383480003999","NA","754.7859429996606","2","psycho","1024","2","48000","-16","experiment","0","even","rød","30906.435269999747","NA","6447.807505000128","2674.5152640000924","31973.27409599984","2740.625375000036","4657.660527999724","NA","32989.91590100013","33746.059186999904","32989.386386999744","31958.948314999816","Stroop_2","9","9410.092371000246","9","yes","1024"
"90","90","1141.0165813000283","1141.0165813000283","black","naming","psycho","psycho","psycho","0","0","uniform","0","undefined","undefined","0","down","9","0","0","0","9","0","0","0","9","9","9","9","Fri Sep 25 10:07:21 2020","The main experiment item","yes","/Users/ethan/Documents/GitHub/OpenSesame/Stroop_2/Stroop_2.osexp","no","mono","no","30","no","white","no","yes","768","psycho","blue","0","8","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/Stroop_2/data/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.3","0","None","up","up","up","None","2000.0734420000372","1862.2711600000912","1785.9383480003999","3554.4184999998834","2000.0734420000372","2","psycho","1024","2","48000","-16","experiment","0","even","gul","33756.20640099987","38378.06579700009","6447.807505000128","2674.5152640000924","38406.47987200009","2740.625375000036","4657.660527999724","34822.21406000008","39423.72376499997","41424.032698999785","39423.291987000084","38391.25859199976","Stroop_2","9","11410.165813000283","10","yes","1024"
