acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color,color_backend,compensation,coordinates,correct,correct_instructions,correct_keyboard_response,correct_reading_instructions,correct_response,count_ISI,count_experiment,count_fixation,count_instructions,count_keyboard_response,count_logger,count_naming_instructions,count_naming_loop,count_reading_instructions,count_reading_loop,count_stim,count_trial_sequence,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,interference,keyboard_backend,live_row,live_row_reading_loop,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_instructions,response_keyboard_response,response_naming_instructions,response_reading_instructions,response_time,response_time_instructions,response_time_keyboard_response,response_time_naming_instructions,response_time_reading_instructions,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,task,time_ISI,time_experiment,time_fixation,time_instructions,time_keyboard_response,time_logger,time_naming_instructions,time_naming_loop,time_reading_instructions,time_reading_loop,time_stim,time_trial_sequence,title,total_correct,total_response_time,total_responses,uniform_coordinates,width,word
100,100,890,890,black,legacy,legacy,blue,legacy,0,uniform,1,undefined,1,undefined,right,0,0,0,0,0,0,0,0,0,0,0,0,Fri Oct  2 11:44:28 2020,The main experiment item,yes,Stroop.osexp,C:\Users\isabe\OneDrive\Skrivebord\Aarhus Universitet\3. Sprog. kognition og hjerne,no,mono,no,18,no,white,no,no,768,1,legacy,0,0,C:/Users/isabe/OneDrive/Skrivebord/Aarhus Universitet/3. Sprog. kognition og hjerne/subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,right,right,right,NA,space,890,6355,890,NA,1920,2,legacy,1024,2,48000,-16,experiment,0,even,reading,NA,1969,10287,1972,11042,11933,NA,NA,8330,10250,11042,10286,Stroop,1,890,1,yes,1024,gul
100,100,884,884,black,legacy,legacy,red,legacy,0,uniform,1,undefined,1,undefined,right,1,0,1,0,1,1,0,0,0,0,1,1,Fri Oct  2 11:44:28 2020,The main experiment item,yes,Stroop.osexp,C:\Users\isabe\OneDrive\Skrivebord\Aarhus Universitet\3. Sprog. kognition og hjerne,no,mono,no,18,no,white,no,no,768,1,legacy,1,1,C:/Users/isabe/OneDrive/Skrivebord/Aarhus Universitet/3. Sprog. kognition og hjerne/subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,right,right,right,NA,space,878,6355,878,NA,1920,2,legacy,1024,2,48000,-16,experiment,0,even,reading,11940,1969,12989,1972,13741,14619,NA,NA,8330,10250,13740,12987,Stroop,2,1768,2,yes,1024,gul
100,100,8.516.666.666.666.660,8.516.666.666.666.660,black,legacy,legacy,red,legacy,0,uniform,1,undefined,1,undefined,down,2,0,2,0,2,2,0,0,0,0,2,2,Fri Oct  2 11:44:28 2020,The main experiment item,yes,Stroop.osexp,C:\Users\isabe\OneDrive\Skrivebord\Aarhus Universitet\3. Sprog. kognition og hjerne,no,mono,no,18,no,white,no,no,768,1,legacy,2,2,C:/Users/isabe/OneDrive/Skrivebord/Aarhus Universitet/3. Sprog. kognition og hjerne/subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,down,right,down,NA,space,787,6355,787,NA,1920,2,legacy,1024,2,48000,-16,experiment,0,even,reading,14623,1969,15666,1972,16417,17204,NA,NA,8330,10250,16417,15664,Stroop,3,2555,3,yes,1024,blå
100,100,773.75,773.75,black,legacy,legacy,blue,legacy,0,uniform,1,undefined,1,undefined,down,3,0,3,0,3,3,0,0,0,0,3,3,Fri Oct  2 11:44:28 2020,The main experiment item,yes,Stroop.osexp,C:\Users\isabe\OneDrive\Skrivebord\Aarhus Universitet\3. Sprog. kognition og hjerne,no,mono,no,18,no,white,no,no,768,0,legacy,3,3,C:/Users/isabe/OneDrive/Skrivebord/Aarhus Universitet/3. Sprog. kognition og hjerne/subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,down,right,down,NA,space,540,6355,540,NA,1920,2,legacy,1024,2,48000,-16,experiment,0,even,reading,17209,1969,18265,1972,19020,19560,NA,NA,8330,10250,19020,18262,Stroop,4,3095,4,yes,1024,blå
100,100,752,752,black,legacy,legacy,blue,legacy,0,uniform,1,undefined,1,undefined,left,4,0,4,0,4,4,0,0,0,0,4,4,Fri Oct  2 11:44:28 2020,The main experiment item,yes,Stroop.osexp,C:\Users\isabe\OneDrive\Skrivebord\Aarhus Universitet\3. Sprog. kognition og hjerne,no,mono,no,18,no,white,no,no,768,1,legacy,4,4,C:/Users/isabe/OneDrive/Skrivebord/Aarhus Universitet/3. Sprog. kognition og hjerne/subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,left,right,left,NA,space,665,6355,665,NA,1920,2,legacy,1024,2,48000,-16,experiment,0,even,reading,19565,1969,20614,1972,21366,22031,NA,NA,8330,10250,21366,20611,Stroop,5,3760,5,yes,1024,rød
100,100,723.5,723.5,black,legacy,legacy,yellow,legacy,0,uniform,1,undefined,1,undefined,down,5,0,5,0,5,5,0,0,0,0,5,5,Fri Oct  2 11:44:28 2020,The main experiment item,yes,Stroop.osexp,C:\Users\isabe\OneDrive\Skrivebord\Aarhus Universitet\3. Sprog. kognition og hjerne,no,mono,no,18,no,white,no,no,768,1,legacy,5,5,C:/Users/isabe/OneDrive/Skrivebord/Aarhus Universitet/3. Sprog. kognition og hjerne/subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,down,right,down,NA,space,581,6355,581,NA,1920,2,legacy,1024,2,48000,-16,experiment,0,even,reading,22035,1969,23098,1972,23853,24434,NA,NA,8330,10250,23853,23095,Stroop,6,4341,6,yes,1024,blå
100,100,7.025.714.285.714.280,7.025.714.285.714.280,black,legacy,legacy,red,legacy,0,uniform,1,undefined,1,undefined,left,6,0,6,0,6,6,0,0,0,0,6,6,Fri Oct  2 11:44:28 2020,The main experiment item,yes,Stroop.osexp,C:\Users\isabe\OneDrive\Skrivebord\Aarhus Universitet\3. Sprog. kognition og hjerne,no,mono,no,18,no,white,no,no,768,0,legacy,6,6,C:/Users/isabe/OneDrive/Skrivebord/Aarhus Universitet/3. Sprog. kognition og hjerne/subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,left,right,left,NA,space,577,6355,577,NA,1920,2,legacy,1024,2,48000,-16,experiment,0,even,reading,24438,1969,25487,1972,26239,26817,NA,NA,8330,10250,26239,25485,Stroop,7,4918,7,yes,1024,rød
100,100,679.875,679.875,black,legacy,legacy,yellow,legacy,0,uniform,1,undefined,1,undefined,left,7,0,7,0,7,7,0,0,0,0,7,7,Fri Oct  2 11:44:28 2020,The main experiment item,yes,Stroop.osexp,C:\Users\isabe\OneDrive\Skrivebord\Aarhus Universitet\3. Sprog. kognition og hjerne,no,mono,no,18,no,white,no,no,768,1,legacy,7,7,C:/Users/isabe/OneDrive/Skrivebord/Aarhus Universitet/3. Sprog. kognition og hjerne/subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,left,right,left,NA,space,521,6355,521,NA,1920,2,legacy,1024,2,48000,-16,experiment,0,even,reading,26820,1969,27873,1972,28626,29147,NA,NA,8330,10250,28626,27871,Stroop,8,5439,8,yes,1024,rød
100,100,6.457.777.777.777.770,6.457.777.777.777.770,black,legacy,legacy,yellow,legacy,0,uniform,1,undefined,1,undefined,right,8,0,8,0,8,8,0,0,0,0,8,8,Fri Oct  2 11:44:28 2020,The main experiment item,yes,Stroop.osexp,C:\Users\isabe\OneDrive\Skrivebord\Aarhus Universitet\3. Sprog. kognition og hjerne,no,mono,no,18,no,white,no,no,768,0,legacy,8,8,C:/Users/isabe/OneDrive/Skrivebord/Aarhus Universitet/3. Sprog. kognition og hjerne/subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,right,right,right,NA,space,373,6355,373,NA,1920,2,legacy,1024,2,48000,-16,experiment,0,even,reading,29151,1969,30197,1972,30948,31321,NA,NA,8330,10250,30948,30194,Stroop,9,5812,9,yes,1024,gul
100,100,636.3,636.3,black,legacy,legacy,blue,legacy,0,uniform,1,undefined,1,undefined,down,9,0,9,0,9,9,0,0,0,0,9,9,Fri Oct  2 11:44:28 2020,The main experiment item,yes,Stroop.osexp,C:\Users\isabe\OneDrive\Skrivebord\Aarhus Universitet\3. Sprog. kognition og hjerne,no,mono,no,18,no,white,no,no,768,0,legacy,0,8,C:/Users/isabe/OneDrive/Skrivebord/Aarhus Universitet/3. Sprog. kognition og hjerne/subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,down,right,down,space,space,551,6355,551,7079,1920,2,legacy,1024,2,48000,-16,experiment,0,even,naming,31325,1969,39461,1972,40216,40767,32358,39438,8330,10250,40215,39459,Stroop,10,6363,10,yes,1024,blå
