acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color,color_backend,compensation,coordinates,correct,correct_Instructions,correct_keyboard_response,correct_keyboard_response_1,correct_reading_instructions,correct_response,count_Instructions,count_InterStimulusInterval,count_InterStimulusInterval_1,count_experiment,count_fixation,count_fixation_1,count_getting_started,count_keyboard_response,count_keyboard_response_1,count_logger,count_logger_1,count_naming,count_naming_instructions,count_reading,count_reading_instructions,count_stimulus,count_stimulus_1,count_trial,count_trial_1,count_welcome,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,interference,keyboard_backend,live_row,live_row_reading,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Instructions,response_keyboard_response,response_keyboard_response_1,response_naming_instructions,response_reading_instructions,response_time,response_time_Instructions,response_time_keyboard_response,response_time_keyboard_response_1,response_time_naming_instructions,response_time_reading_instructions,response_time_welcome,response_welcome,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,task,time_Instructions,time_InterStimulusInterval,time_InterStimulusInterval_1,time_experiment,time_fixation,time_fixation_1,time_getting_started,time_keyboard_response,time_keyboard_response_1,time_logger,time_logger_1,time_naming,time_naming_instructions,time_reading,time_reading_instructions,time_stimulus,time_stimulus_1,time_trial,time_trial_1,time_welcome,title,total_correct,total_response_time,total_responses,uniform_coordinates,width,word
100,100,1801,1801,black,legacy,legacy,yellow,legacy,0,uniform,1,undefined,1,NA,undefined,right,0,0,NA,0,0,NA,NA,0,NA,0,NA,0,0,0,0,0,NA,0,NA,NA,Fri Oct  2 11:42:08 2020,The main experiment item,yes,Stroop_inClass.osexp,C:\Users\kenny\Desktop,no,mono,no,18,no,white,no,no,768,0,legacy,0,0,C:/Users/kenny/Desktop/subject-4.csv,legacy,Lentiform Loewenfeld,3.3.3,0,right,return,right,NA,NA,return,1801,4661,1801,NA,NA,2121,NA,NA,2,legacy,1024,2,48000,-16,experiment,4,even,reading,1949,NA,NA,1946,8781,NA,NA,9533,NA,11336,NA,NA,NA,8737,6614,9533,NA,8779,NA,NA,Stroop_inClass,1,1801,1,yes,1024,gul
100,100,1173,1173,black,legacy,legacy,red,legacy,0,uniform,1,undefined,1,NA,undefined,left,0,1,NA,0,1,NA,NA,1,NA,1,NA,0,0,0,0,1,NA,1,NA,NA,Fri Oct  2 11:42:08 2020,The main experiment item,yes,Stroop_inClass.osexp,C:\Users\kenny\Desktop,no,mono,no,18,no,white,no,no,768,0,legacy,1,1,C:/Users/kenny/Desktop/subject-4.csv,legacy,Lentiform Loewenfeld,3.3.3,0,left,return,left,NA,NA,return,545,4661,545,NA,NA,2121,NA,NA,2,legacy,1024,2,48000,-16,experiment,4,even,reading,1949,11348,NA,1946,12415,NA,NA,13167,NA,13713,NA,NA,NA,8737,6614,13166,NA,12412,NA,NA,Stroop_inClass,2,2346,2,yes,1024,rød
100,100,1217.6666666666667,1217.6666666666667,black,legacy,legacy,red,legacy,0,uniform,1,undefined,1,NA,undefined,down,0,2,NA,0,2,NA,NA,2,NA,2,NA,0,0,0,0,2,NA,2,NA,NA,Fri Oct  2 11:42:08 2020,The main experiment item,yes,Stroop_inClass.osexp,C:\Users\kenny\Desktop,no,mono,no,18,no,white,no,no,768,1,legacy,2,2,C:/Users/kenny/Desktop/subject-4.csv,legacy,Lentiform Loewenfeld,3.3.3,0,down,return,down,NA,NA,return,1307,4661,1307,NA,NA,2121,NA,NA,2,legacy,1024,2,48000,-16,experiment,4,even,reading,1949,13719,NA,1946,14788,NA,NA,15540,NA,16848,NA,NA,NA,8737,6614,15540,NA,14785,NA,NA,Stroop_inClass,3,3653,3,yes,1024,blå
100,100,1214,1214,black,legacy,legacy,blue,legacy,0,uniform,1,undefined,1,NA,undefined,right,0,3,NA,0,3,NA,NA,3,NA,3,NA,0,0,0,0,3,NA,3,NA,NA,Fri Oct  2 11:42:08 2020,The main experiment item,yes,Stroop_inClass.osexp,C:\Users\kenny\Desktop,no,mono,no,18,no,white,no,no,768,1,legacy,3,3,C:/Users/kenny/Desktop/subject-4.csv,legacy,Lentiform Loewenfeld,3.3.3,0,right,return,right,NA,NA,return,1203,4661,1203,NA,NA,2121,NA,NA,2,legacy,1024,2,48000,-16,experiment,4,even,reading,1949,16854,NA,1946,17915,NA,NA,18668,NA,19873,NA,NA,NA,8737,6614,18668,NA,17913,NA,NA,Stroop_inClass,4,4856,4,yes,1024,gul
100,100,1107.6,1107.6,black,legacy,legacy,red,legacy,0,uniform,1,undefined,1,NA,undefined,right,0,4,NA,0,4,NA,NA,4,NA,4,NA,0,0,0,0,4,NA,4,NA,NA,Fri Oct  2 11:42:08 2020,The main experiment item,yes,Stroop_inClass.osexp,C:\Users\kenny\Desktop,no,mono,no,18,no,white,no,no,768,1,legacy,4,4,C:/Users/kenny/Desktop/subject-4.csv,legacy,Lentiform Loewenfeld,3.3.3,0,right,return,right,NA,NA,return,682,4661,682,NA,NA,2121,NA,NA,2,legacy,1024,2,48000,-16,experiment,4,even,reading,1949,19891,NA,1946,20960,NA,NA,21712,NA,22395,NA,NA,NA,8737,6614,21712,NA,20957,NA,NA,Stroop_inClass,5,5538,5,yes,1024,gul
100,100,1139,1139,black,legacy,legacy,yellow,legacy,0,uniform,1,undefined,1,NA,undefined,down,0,5,NA,0,5,NA,NA,5,NA,5,NA,0,0,0,0,5,NA,5,NA,NA,Fri Oct  2 11:42:08 2020,The main experiment item,yes,Stroop_inClass.osexp,C:\Users\kenny\Desktop,no,mono,no,18,no,white,no,no,768,1,legacy,5,5,C:/Users/kenny/Desktop/subject-4.csv,legacy,Lentiform Loewenfeld,3.3.3,0,down,return,down,NA,NA,return,1296,4661,1296,NA,NA,2121,NA,NA,2,legacy,1024,2,48000,-16,experiment,4,even,reading,1949,22401,NA,1946,23462,NA,NA,24214,NA,25511,NA,NA,NA,8737,6614,24214,NA,23459,NA,NA,Stroop_inClass,6,6834,6,yes,1024,blå
100,100,1042.2857142857142,1042.2857142857142,black,legacy,legacy,yellow,legacy,0,uniform,1,undefined,1,NA,undefined,left,0,6,NA,0,6,NA,NA,6,NA,6,NA,0,0,0,0,6,NA,6,NA,NA,Fri Oct  2 11:42:08 2020,The main experiment item,yes,Stroop_inClass.osexp,C:\Users\kenny\Desktop,no,mono,no,18,no,white,no,no,768,1,legacy,6,6,C:/Users/kenny/Desktop/subject-4.csv,legacy,Lentiform Loewenfeld,3.3.3,0,left,return,left,NA,NA,return,462,4661,462,NA,NA,2121,NA,NA,2,legacy,1024,2,48000,-16,experiment,4,even,reading,1949,25517,NA,1946,26581,NA,NA,27333,NA,27797,NA,NA,NA,8737,6614,27333,NA,26578,NA,NA,Stroop_inClass,7,7296,7,yes,1024,rød
100,100,1045.125,1045.125,black,legacy,legacy,blue,legacy,0,uniform,1,undefined,1,NA,undefined,left,0,7,NA,0,7,NA,NA,7,NA,7,NA,0,0,0,0,7,NA,7,NA,NA,Fri Oct  2 11:42:08 2020,The main experiment item,yes,Stroop_inClass.osexp,C:\Users\kenny\Desktop,no,mono,no,18,no,white,no,no,768,1,legacy,7,7,C:/Users/kenny/Desktop/subject-4.csv,legacy,Lentiform Loewenfeld,3.3.3,0,left,return,left,NA,NA,return,1065,4661,1065,NA,NA,2121,NA,NA,2,legacy,1024,2,48000,-16,experiment,4,even,reading,1949,27803,NA,1946,28864,NA,NA,29616,NA,30683,NA,NA,NA,8737,6614,29616,NA,28861,NA,NA,Stroop_inClass,8,8361,8,yes,1024,rød
100,100,1056.2222222222222,1056.2222222222222,black,legacy,legacy,blue,legacy,0,uniform,1,undefined,1,NA,undefined,down,0,8,NA,0,8,NA,NA,8,NA,8,NA,0,0,0,0,8,NA,8,NA,NA,Fri Oct  2 11:42:08 2020,The main experiment item,yes,Stroop_inClass.osexp,C:\Users\kenny\Desktop,no,mono,no,18,no,white,no,no,768,0,legacy,8,8,C:/Users/kenny/Desktop/subject-4.csv,legacy,Lentiform Loewenfeld,3.3.3,0,down,return,down,NA,NA,return,1145,4661,1145,NA,NA,2121,NA,NA,2,legacy,1024,2,48000,-16,experiment,4,even,reading,1949,30702,NA,1946,31763,NA,NA,32515,NA,33661,NA,NA,NA,8737,6614,32515,NA,31761,NA,NA,Stroop_inClass,9,9506,9,yes,1024,blå
90,90,1150.6,1150.6,black,legacy,legacy,yellow,legacy,0,uniform,0,undefined,1,0,undefined,right,0,8,0,0,8,0,NA,8,0,8,0,0,0,0,0,8,0,8,0,NA,Fri Oct  2 11:42:08 2020,The main experiment item,yes,Stroop_inClass.osexp,C:\Users\kenny\Desktop,no,mono,no,18,no,white,no,no,768,1,legacy,0,8,C:/Users/kenny/Desktop/subject-4.csv,legacy,Lentiform Loewenfeld,3.3.3,0,None,return,down,None,return,return,2000,4661,1145,2000,3035,2121,NA,NA,2,legacy,1024,2,48000,-16,experiment,4,even,naming,1949,33667,NA,1946,31763,37767,NA,32515,38519,33661,40519,37728,34692,8737,6614,32515,38519,31761,37765,NA,Stroop_inClass,9,11506,10,yes,1024,blå
