acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,colour,compensation,coordinates,correct,correct_instructions,correct_keyboard_response,correct_reading_instructions,correct_response,count_ISI,count_experiment,count_fixation,count_instructions,count_keyboard_response,count_logger,count_naming_instructions,count_naming_loop,count_reading_instructions,count_reading_loop,count_stim,count_trial_sequence,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,interference,keyboard_backend,live_row,live_row_reading_loop,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_instructions,response_keyboard_response,response_naming_instructions,response_reading_instructions,response_time,response_time_instructions,response_time_keyboard_response,response_time_naming_instructions,response_time_reading_instructions,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,task,time_ISI,time_experiment,time_fixation,time_instructions,time_keyboard_response,time_logger,time_naming_instructions,time_naming_loop,time_reading_instructions,time_reading_loop,time_stim,time_trial_sequence,title,total_correct,total_response_time,total_responses,uniform_coordinates,width,word
100,100,848,848,black,legacy,legacy,legacy,red,0,uniform,1,undefined,1,undefined,left,0,0,0,0,0,0,0,0,0,0,0,0,Fri Oct  2 11:44:20 2020,The main experiment item,yes,T4_Stroop_inClass.osexp,C:\Aarhus Universitet\Lingvistik\3. semester\LaCoBra,no,mono,no,18,no,white,no,no,768,0,legacy,0,0,C:/Aarhus Universitet/Lingvistik/3. semester/LaCoBra/subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,left,left,left,NA,down,848,5780,848,NA,6041,2,legacy,1024,2,48000,-16,experiment,1,odd,reading,NA,2635,14510,2638,15265,16113,NA,NA,8420,14462,15264,14508,T4_Stroop_inClass,1,848,1,yes,1024,rød
100,100,763,763,black,legacy,legacy,legacy,yellow,0,uniform,1,undefined,1,undefined,left,1,0,1,0,1,1,0,0,0,0,1,1,Fri Oct  2 11:44:20 2020,The main experiment item,yes,T4_Stroop_inClass.osexp,C:\Aarhus Universitet\Lingvistik\3. semester\LaCoBra,no,mono,no,18,no,white,no,no,768,1,legacy,1,1,C:/Aarhus Universitet/Lingvistik/3. semester/LaCoBra/subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,left,left,left,NA,down,678,5780,678,NA,6041,2,legacy,1024,2,48000,-16,experiment,1,odd,reading,16132,2635,17244,2638,17999,18677,NA,NA,8420,14462,17999,17241,T4_Stroop_inClass,2,1526,2,yes,1024,rød
100,100,730.6666667,730.6666667,black,legacy,legacy,legacy,yellow,0,uniform,1,undefined,1,undefined,right,2,0,2,0,2,2,0,0,0,0,2,2,Fri Oct  2 11:44:20 2020,The main experiment item,yes,T4_Stroop_inClass.osexp,C:\Aarhus Universitet\Lingvistik\3. semester\LaCoBra,no,mono,no,18,no,white,no,no,768,0,legacy,2,2,C:/Aarhus Universitet/Lingvistik/3. semester/LaCoBra/subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,right,left,right,NA,down,666,5780,666,NA,6041,2,legacy,1024,2,48000,-16,experiment,1,odd,reading,18683,2635,19798,2638,20553,21221,NA,NA,8420,14462,20553,19794,T4_Stroop_inClass,3,2192,3,yes,1024,gul
100,100,668.75,668.75,black,legacy,legacy,legacy,red,0,uniform,1,undefined,1,undefined,down,3,0,3,0,3,3,0,0,0,0,3,3,Fri Oct  2 11:44:20 2020,The main experiment item,yes,T4_Stroop_inClass.osexp,C:\Aarhus Universitet\Lingvistik\3. semester\LaCoBra,no,mono,no,18,no,white,no,no,768,1,legacy,3,3,C:/Aarhus Universitet/Lingvistik/3. semester/LaCoBra/subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,down,left,down,NA,down,483,5780,483,NA,6041,2,legacy,1024,2,48000,-16,experiment,1,odd,reading,21232,2635,22431,2638,23186,23670,NA,NA,8420,14462,23186,22426,T4_Stroop_inClass,4,2675,4,yes,1024,blå
100,100,662,662,black,legacy,legacy,legacy,red,0,uniform,1,undefined,1,undefined,right,4,0,4,0,4,4,0,0,0,0,4,4,Fri Oct  2 11:44:20 2020,The main experiment item,yes,T4_Stroop_inClass.osexp,C:\Aarhus Universitet\Lingvistik\3. semester\LaCoBra,no,mono,no,18,no,white,no,no,768,1,legacy,4,4,C:/Aarhus Universitet/Lingvistik/3. semester/LaCoBra/subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,right,left,right,NA,down,635,5780,635,NA,6041,2,legacy,1024,2,48000,-16,experiment,1,odd,reading,23677,2635,24838,2638,25591,26226,NA,NA,8420,14462,25591,24834,T4_Stroop_inClass,5,3310,5,yes,1024,gul
100,100,650.6666667,650.6666667,black,legacy,legacy,legacy,yellow,0,uniform,1,undefined,1,undefined,down,5,0,5,0,5,5,0,0,0,0,5,5,Fri Oct  2 11:44:20 2020,The main experiment item,yes,T4_Stroop_inClass.osexp,C:\Aarhus Universitet\Lingvistik\3. semester\LaCoBra,no,mono,no,18,no,white,no,no,768,1,legacy,5,5,C:/Aarhus Universitet/Lingvistik/3. semester/LaCoBra/subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,down,left,down,NA,down,594,5780,594,NA,6041,2,legacy,1024,2,48000,-16,experiment,1,odd,reading,26231,2635,27361,2638,28116,28711,NA,NA,8420,14462,28116,27357,T4_Stroop_inClass,6,3904,6,yes,1024,blå
100,100,669.2857143,669.2857143,black,legacy,legacy,legacy,blue,0,uniform,1,undefined,1,undefined,left,6,0,6,0,6,6,0,0,0,0,6,6,Fri Oct  2 11:44:20 2020,The main experiment item,yes,T4_Stroop_inClass.osexp,C:\Aarhus Universitet\Lingvistik\3. semester\LaCoBra,no,mono,no,18,no,white,no,no,768,1,legacy,6,6,C:/Aarhus Universitet/Lingvistik/3. semester/LaCoBra/subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,left,left,left,NA,down,781,5780,781,NA,6041,2,legacy,1024,2,48000,-16,experiment,1,odd,reading,28728,2635,29880,2638,30635,31417,NA,NA,8420,14462,30635,29874,T4_Stroop_inClass,7,4685,7,yes,1024,rød
100,100,662.375,662.375,black,legacy,legacy,legacy,blue,0,uniform,1,undefined,1,undefined,right,7,0,7,0,7,7,0,0,0,0,7,7,Fri Oct  2 11:44:20 2020,The main experiment item,yes,T4_Stroop_inClass.osexp,C:\Aarhus Universitet\Lingvistik\3. semester\LaCoBra,no,mono,no,18,no,white,no,no,768,1,legacy,7,7,C:/Aarhus Universitet/Lingvistik/3. semester/LaCoBra/subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,right,left,right,NA,down,614,5780,614,NA,6041,2,legacy,1024,2,48000,-16,experiment,1,odd,reading,31425,2635,32559,2638,33314,33928,NA,NA,8420,14462,33314,32555,T4_Stroop_inClass,8,5299,8,yes,1024,gul
100,100,663.3333333,663.3333333,black,legacy,legacy,legacy,blue,0,uniform,1,undefined,1,undefined,down,8,0,8,0,8,8,0,0,0,0,8,8,Fri Oct  2 11:44:20 2020,The main experiment item,yes,T4_Stroop_inClass.osexp,C:\Aarhus Universitet\Lingvistik\3. semester\LaCoBra,no,mono,no,18,no,white,no,no,768,0,legacy,8,8,C:/Aarhus Universitet/Lingvistik/3. semester/LaCoBra/subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,down,left,down,NA,down,671,5780,671,NA,6041,2,legacy,1024,2,48000,-16,experiment,1,odd,reading,33938,2635,35046,2638,35800,36471,NA,NA,8420,14462,35800,35042,T4_Stroop_inClass,9,5970,9,yes,1024,blå
100,100,677.4,677.4,black,legacy,legacy,legacy,red,0,uniform,1,undefined,1,undefined,left,9,0,9,0,9,9,0,0,0,0,9,9,Fri Oct  2 11:44:20 2020,The main experiment item,yes,T4_Stroop_inClass.osexp,C:\Aarhus Universitet\Lingvistik\3. semester\LaCoBra,no,mono,no,18,no,white,no,no,768,0,legacy,0,8,C:/Aarhus Universitet/Lingvistik/3. semester/LaCoBra/subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,left,left,left,down,down,804,5780,804,2509,6041,2,legacy,1024,2,48000,-16,experiment,1,odd,naming,36479,2635,40070,2638,40826,41631,37528,40038,8420,14462,40826,40069,T4_Stroop_inClass,10,6774,10,yes,1024,rød
