Color,interference,task,Word,acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_Instructions,correct_NowReading,correct_keyboard_response,correct_response,count_Instructions,count_NowNaming,count_NowReading,count_ReadingLoop,count_experiment,count_fixation,count_getting_started,count_isi,count_keyboard_response,count_logger,count_namingLoop,count_new_sketchpad,count_stim,count_trial_sequence,count_welcome,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_ReadingLoop,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Instructions,response_NowNaming,response_NowReading,response_keyboard_response,response_new_sketchpad,response_time,response_time_Instructions,response_time_NowNaming,response_time_NowReading,response_time_keyboard_response,response_time_new_sketchpad,response_time_welcome,response_welcome,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,time_Instructions,time_NowNaming,time_NowReading,time_ReadingLoop,time_experiment,time_fixation,time_getting_started,time_isi,time_keyboard_response,time_logger,time_namingLoop,time_new_sketchpad,time_stim,time_trial_sequence,time_welcome,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
Yellow,1,Reading,Blå,0,0,1488,1488,black,legacy,legacy,legacy,0,uniform,0,undefined,undefined,0,down,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,Fri Oct  2 11:39:35 2020,The main experiment item,yes,Stroop.osexp,C:/Users/lasse/Documents/Uni/3rd Semester/LaCoBra,no,mono,no,18,no,white,no,no,768,legacy,0,0,C:/Users/lasse/Documents/Uni/3rd Semester/LaCoBra/ExperimentData/subject-0skrr.csv,legacy,Lentiform Loewenfeld,03.03.03,0,left,down,NA,down,left,NA,1488,4171,NA,2300,1488,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,0,even,1957,NA,6131,8431,1954,8484,NA,NA,9237,10726,NA,NA,9237,8482,NA,Stroop,0,1488,1,yes,1024
Red,1,Reading,Blå,50,50,1245,1245,black,legacy,legacy,legacy,0,uniform,1,undefined,undefined,1,down,0,0,0,0,0,1,NA,1,1,1,0,NA,1,1,NA,Fri Oct  2 11:39:35 2020,The main experiment item,yes,Stroop.osexp,C:/Users/lasse/Documents/Uni/3rd Semester/LaCoBra,no,mono,no,18,no,white,no,no,768,legacy,1,1,C:/Users/lasse/Documents/Uni/3rd Semester/LaCoBra/ExperimentData/subject-0skrr.csv,legacy,Lentiform Loewenfeld,03.03.03,0,down,down,NA,down,down,NA,1002,4171,NA,2300,1002,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,0,even,1957,NA,6131,8431,1954,11801,NA,10735,12554,13557,NA,NA,12554,11799,NA,Stroop,1,2490,2,yes,1024
Red,1,Reading,Gul,66.66666667,66.66666667,1002,1002,black,legacy,legacy,legacy,0,uniform,1,undefined,undefined,1,right,0,0,0,0,0,2,NA,2,2,2,0,NA,2,2,NA,Fri Oct  2 11:39:35 2020,The main experiment item,yes,Stroop.osexp,C:/Users/lasse/Documents/Uni/3rd Semester/LaCoBra,no,mono,no,18,no,white,no,no,768,legacy,2,2,C:/Users/lasse/Documents/Uni/3rd Semester/LaCoBra/ExperimentData/subject-0skrr.csv,legacy,Lentiform Loewenfeld,03.03.03,0,right,down,NA,down,right,NA,516,4171,NA,2300,516,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,0,even,1957,NA,6131,8431,1954,14634,NA,13567,15386,15903,NA,NA,15385,14631,NA,Stroop,2,3006,3,yes,1024
Yellow,1,Reading,Rød,75,75,900.5,900.5,black,legacy,legacy,legacy,0,uniform,1,undefined,undefined,1,left,0,0,0,0,0,3,NA,3,3,3,0,NA,3,3,NA,Fri Oct  2 11:39:35 2020,The main experiment item,yes,Stroop.osexp,C:/Users/lasse/Documents/Uni/3rd Semester/LaCoBra,no,mono,no,18,no,white,no,no,768,legacy,3,3,C:/Users/lasse/Documents/Uni/3rd Semester/LaCoBra/ExperimentData/subject-0skrr.csv,legacy,Lentiform Loewenfeld,03.03.03,0,left,down,NA,down,left,NA,596,4171,NA,2300,596,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,0,even,1957,NA,6131,8431,1954,16990,NA,15914,17754,18351,NA,NA,17754,16987,NA,Stroop,3,3602,4,yes,1024
Blue,0,Reading,Blå,80,80,854.4,854.4,black,legacy,legacy,legacy,0,uniform,1,undefined,undefined,1,down,0,0,0,0,0,4,NA,4,4,4,0,NA,4,4,NA,Fri Oct  2 11:39:35 2020,The main experiment item,yes,Stroop.osexp,C:/Users/lasse/Documents/Uni/3rd Semester/LaCoBra,no,mono,no,18,no,white,no,no,768,legacy,4,4,C:/Users/lasse/Documents/Uni/3rd Semester/LaCoBra/ExperimentData/subject-0skrr.csv,legacy,Lentiform Loewenfeld,03.03.03,0,down,down,NA,down,down,NA,670,4171,NA,2300,670,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,0,even,1957,NA,6131,8431,1954,19424,NA,18356,20176,20846,NA,NA,20176,19421,NA,Stroop,4,4272,5,yes,1024
Red,0,Reading,Rød,83.33333333,83.33333333,813.1666667,813.1666667,black,legacy,legacy,legacy,0,uniform,1,undefined,undefined,1,left,0,0,0,0,0,5,NA,5,5,5,0,NA,5,5,NA,Fri Oct  2 11:39:35 2020,The main experiment item,yes,Stroop.osexp,C:/Users/lasse/Documents/Uni/3rd Semester/LaCoBra,no,mono,no,18,no,white,no,no,768,legacy,5,5,C:/Users/lasse/Documents/Uni/3rd Semester/LaCoBra/ExperimentData/subject-0skrr.csv,legacy,Lentiform Loewenfeld,03.03.03,0,left,down,NA,down,left,NA,607,4171,NA,2300,607,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,0,even,1957,NA,6131,8431,1954,21943,NA,20858,22695,23303,NA,NA,22695,21940,NA,Stroop,5,4879,6,yes,1024
Blue,1,Reading,Rød,85.71428571,85.71428571,792.7142857,792.7142857,black,legacy,legacy,legacy,0,uniform,1,undefined,undefined,1,left,0,0,0,0,0,6,NA,6,6,6,0,NA,6,6,NA,Fri Oct  2 11:39:35 2020,The main experiment item,yes,Stroop.osexp,C:/Users/lasse/Documents/Uni/3rd Semester/LaCoBra,no,mono,no,18,no,white,no,no,768,legacy,6,6,C:/Users/lasse/Documents/Uni/3rd Semester/LaCoBra/ExperimentData/subject-0skrr.csv,legacy,Lentiform Loewenfeld,03.03.03,0,left,down,NA,down,left,NA,670,4171,NA,2300,670,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,0,even,1957,NA,6131,8431,1954,24379,NA,23314,25132,25803,NA,NA,25132,24377,NA,Stroop,6,5549,7,yes,1024
Blue,1,Reading,Gul,87.5,87.5,748.75,748.75,black,legacy,legacy,legacy,0,uniform,1,undefined,undefined,1,right,0,0,0,0,0,7,NA,7,7,7,0,NA,7,7,NA,Fri Oct  2 11:39:35 2020,The main experiment item,yes,Stroop.osexp,C:/Users/lasse/Documents/Uni/3rd Semester/LaCoBra,no,mono,no,18,no,white,no,no,768,legacy,7,7,C:/Users/lasse/Documents/Uni/3rd Semester/LaCoBra/ExperimentData/subject-0skrr.csv,legacy,Lentiform Loewenfeld,03.03.03,0,right,down,NA,down,right,NA,441,4171,NA,2300,441,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,0,even,1957,NA,6131,8431,1954,26880,NA,25814,27633,28075,NA,NA,27633,26877,NA,Stroop,7,5990,8,yes,1024
Yellow,0,Reading,Gul,88.88888889,88.88888889,723.4444444,723.4444444,black,legacy,legacy,legacy,0,uniform,1,undefined,undefined,1,right,0,0,0,0,0,8,NA,8,8,8,0,NA,8,8,NA,Fri Oct  2 11:39:35 2020,The main experiment item,yes,Stroop.osexp,C:/Users/lasse/Documents/Uni/3rd Semester/LaCoBra,no,mono,no,18,no,white,no,no,768,legacy,8,8,C:/Users/lasse/Documents/Uni/3rd Semester/LaCoBra/ExperimentData/subject-0skrr.csv,legacy,Lentiform Loewenfeld,03.03.03,0,right,down,NA,down,right,NA,521,4171,NA,2300,521,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,0,even,1957,NA,6131,8431,1954,29158,NA,28086,29911,30432,NA,NA,29911,29156,NA,Stroop,8,6511,9,yes,1024
Blue,1,Naming,Rød,90,90,751.4,751.4,black,legacy,legacy,legacy,0,uniform,1,undefined,undefined,1,down,0,0,0,0,0,9,NA,9,9,9,0,NA,9,9,NA,Fri Oct  2 11:39:35 2020,The main experiment item,yes,Stroop.osexp,C:/Users/lasse/Documents/Uni/3rd Semester/LaCoBra,no,mono,no,18,no,white,no,no,768,legacy,0,8,C:/Users/lasse/Documents/Uni/3rd Semester/LaCoBra/ExperimentData/subject-0skrr.csv,legacy,Lentiform Loewenfeld,03.03.03,0,down,down,right,down,down,NA,1003,4171,2102,2300,1003,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,0,even,1957,31474,6131,8431,1954,33614,NA,30444,34366,35369,33577,NA,34366,33612,NA,Stroop,9,7514,10,yes,1024
Yellow,1,Naming,Rød,90.90909091,90.90909091,735.3636364,735.3636364,black,legacy,legacy,legacy,0,uniform,1,undefined,undefined,1,right,0,0,0,0,0,10,NA,10,10,10,0,NA,10,10,NA,Fri Oct  2 11:39:35 2020,The main experiment item,yes,Stroop.osexp,C:/Users/lasse/Documents/Uni/3rd Semester/LaCoBra,no,mono,no,18,no,white,no,no,768,legacy,1,8,C:/Users/lasse/Documents/Uni/3rd Semester/LaCoBra/ExperimentData/subject-0skrr.csv,legacy,Lentiform Loewenfeld,03.03.03,0,right,down,right,down,right,NA,575,4171,2102,2300,575,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,0,even,1957,31474,6131,8431,1954,36450,NA,35380,37202,37777,33577,NA,37201,36447,NA,Stroop,10,8089,11,yes,1024
Blue,1,Naming,Gul,91.66666667,91.66666667,773,773,black,legacy,legacy,legacy,0,uniform,1,undefined,undefined,1,down,0,0,0,0,0,11,NA,11,11,11,0,NA,11,11,NA,Fri Oct  2 11:39:35 2020,The main experiment item,yes,Stroop.osexp,C:/Users/lasse/Documents/Uni/3rd Semester/LaCoBra,no,mono,no,18,no,white,no,no,768,legacy,2,8,C:/Users/lasse/Documents/Uni/3rd Semester/LaCoBra/ExperimentData/subject-0skrr.csv,legacy,Lentiform Loewenfeld,03.03.03,0,down,down,right,down,down,NA,1187,4171,2102,2300,1187,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,0,even,1957,31474,6131,8431,1954,38855,NA,37788,39607,40794,33577,NA,39606,38853,NA,Stroop,11,9276,12,yes,1024
Red,1,Naming,Gul,92.30769231,92.30769231,781.6153846,781.6153846,black,legacy,legacy,legacy,0,uniform,1,undefined,undefined,1,left,0,0,0,0,0,12,NA,12,12,12,0,NA,12,12,NA,Fri Oct  2 11:39:35 2020,The main experiment item,yes,Stroop.osexp,C:/Users/lasse/Documents/Uni/3rd Semester/LaCoBra,no,mono,no,18,no,white,no,no,768,legacy,3,8,C:/Users/lasse/Documents/Uni/3rd Semester/LaCoBra/ExperimentData/subject-0skrr.csv,legacy,Lentiform Loewenfeld,03.03.03,0,left,down,right,down,left,NA,885,4171,2102,2300,885,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,0,even,1957,31474,6131,8431,1954,41869,NA,40805,42622,43507,33577,NA,42621,41867,NA,Stroop,12,10161,13,yes,1024
Red,1,Naming,Blå,92.85714286,92.85714286,817.7142857,817.7142857,black,legacy,legacy,legacy,0,uniform,1,undefined,undefined,1,left,0,0,0,0,0,13,NA,13,13,13,0,NA,13,13,NA,Fri Oct  2 11:39:35 2020,The main experiment item,yes,Stroop.osexp,C:/Users/lasse/Documents/Uni/3rd Semester/LaCoBra,no,mono,no,18,no,white,no,no,768,legacy,4,8,C:/Users/lasse/Documents/Uni/3rd Semester/LaCoBra/ExperimentData/subject-0skrr.csv,legacy,Lentiform Loewenfeld,03.03.03,0,left,down,right,down,left,NA,1287,4171,2102,2300,1287,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,0,even,1957,31474,6131,8431,1954,44577,NA,43512,45329,46617,33577,NA,45328,44574,NA,Stroop,13,11448,14,yes,1024
