acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,colour,compensation,coordinates,correct,correct_instruction,correct_keyboard_response,correct_keyboard_response_1,correct_reading,correct_response,count_ISI,count_experiment,count_fixation,count_fixation_1,count_getting_started,count_instruction,count_isi_1,count_keyboard_response,count_keyboard_response_1,count_logger,count_logger_1,count_naming,count_naming_loop,count_new_loop,count_new_sequence,count_new_sketchpad,count_reading,count_reading_loop,count_stim,count_stim_1,count_trial_sequence,count_welcome,datetime,description,disable_garbage_collection,empty_column,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,interference,keyboard_backend,live_row,live_row_reading_loop,logfile,mouse_backend,new_column_1,opensesame_codename,opensesame_version,repeat_cycle,response,response_instruction,response_keyboard_response,response_keyboard_response_1,response_naming,response_new_sketchpad,response_reading,response_time,response_time_instruction,response_time_keyboard_response,response_time_keyboard_response_1,response_time_naming,response_time_new_sketchpad,response_time_reading,response_time_welcome,response_welcome,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,task,time_ISI,time_experiment,time_fixation,time_fixation_1,time_getting_started,time_instruction,time_isi_1,time_keyboard_response,time_keyboard_response_1,time_logger,time_logger_1,time_naming,time_naming_loop,time_new_loop,time_new_sequence,time_new_sketchpad,time_reading,time_reading_loop,time_stim,time_stim_1,time_trial_sequence,time_welcome,title,total_correct,total_response_time,total_responses,uniform_coordinates,width,word
100,100,878.4624001,878.4624001,black,psycho,psycho,psycho,blue,0,uniform,1,undefined,1,NA,undefined,down,0,0,0,NA,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,0,0,0,NA,0,NA,Fri Oct  2 11:47:36 2020,The main experiment item,yes,NA,Stoop_InClassNew.osexp,C:/Users/mhols,no,mono,no,18,no,white,no,no,768,0,psycho,0,0,C:/Users/mhols/subject-2.csv,psycho,NA,Lentiform Loewenfeld,3.3.3,0,down,left,down,NA,NA,NA,left,878.4624001,4617.9502,878.4624001,NA,NA,NA,1260.9291,NA,NA,2,psycho,1024,2,48000,-16,experiment,2,even,reading,NA,4262.1344,10241.9751,NA,NA,4297.8543,NA,11009.1069,NA,11888.2071,NA,NA,NA,NA,NA,NA,8926.0781,10187.6377,11008.9419,NA,10223.7564,NA,Stoop_InClass,1,878.4624001,1,yes,1024,blå
100,100,909.192,909.192,black,psycho,psycho,psycho,blue,0,uniform,1,undefined,1,NA,undefined,left,1,0,1,NA,NA,0,NA,1,NA,1,NA,0,0,NA,NA,NA,0,0,1,NA,1,NA,Fri Oct  2 11:47:36 2020,The main experiment item,yes,NA,Stoop_InClassNew.osexp,C:/Users/mhols,no,mono,no,18,no,white,no,no,768,1,psycho,1,1,C:/Users/mhols/subject-2.csv,psycho,NA,Lentiform Loewenfeld,3.3.3,0,left,left,left,NA,NA,NA,left,939.9215999,4617.9502,939.9215999,NA,NA,NA,1260.9291,NA,NA,2,psycho,1024,2,48000,-16,experiment,2,even,reading,11959.643,4262.1344,13025.3589,NA,NA,4297.8543,NA,13792.3049,NA,14732.8078,NA,NA,NA,NA,NA,NA,8926.0781,10187.6377,13791.9522,NA,13019.4034,NA,Stoop_InClass,2,1818.384,2,yes,1024,rød
100,100,796.9866333,796.9866333,black,psycho,psycho,psycho,yellow,0,uniform,1,undefined,1,NA,undefined,left,2,0,2,NA,NA,0,NA,2,NA,2,NA,0,0,NA,NA,NA,0,0,2,NA,2,NA,Fri Oct  2 11:47:36 2020,The main experiment item,yes,NA,Stoop_InClassNew.osexp,C:/Users/mhols,no,mono,no,18,no,white,no,no,768,1,psycho,2,2,C:/Users/mhols/subject-2.csv,psycho,NA,Lentiform Loewenfeld,3.3.3,0,left,left,left,NA,NA,NA,left,572.5759,4617.9502,572.5759,NA,NA,NA,1260.9291,NA,NA,2,psycho,1024,2,48000,-16,experiment,2,even,reading,14792.0796,4262.1344,15858.1958,NA,NA,4297.8543,NA,16625.1825,NA,17198.2329,NA,NA,NA,NA,NA,NA,8926.0781,10187.6377,16624.9992,NA,15854.6823,NA,Stoop_InClass,3,2390.9599,3,yes,1024,rød
100,100,777.7865,777.7865,black,psycho,psycho,psycho,red,0,uniform,1,undefined,1,NA,undefined,down,3,0,3,NA,NA,0,NA,3,NA,3,NA,0,0,NA,NA,NA,0,0,3,NA,3,NA,Fri Oct  2 11:47:36 2020,The main experiment item,yes,NA,Stoop_InClassNew.osexp,C:/Users/mhols,no,mono,no,18,no,white,no,no,768,1,psycho,3,3,C:/Users/mhols/subject-2.csv,psycho,NA,Lentiform Loewenfeld,3.3.3,0,down,left,down,NA,NA,NA,left,720.1861,4617.9502,720.1861,NA,NA,NA,1260.9291,NA,NA,2,psycho,1024,2,48000,-16,experiment,2,even,reading,17258.5924,4262.1344,18324.6966,NA,NA,4297.8543,NA,19091.3117,NA,19811.9608,NA,NA,NA,NA,NA,NA,8926.0781,10187.6377,19091.1004,NA,18317.1458,NA,Stoop_InClass,4,3111.146,4,yes,1024,blå
100,100,757.46354,757.46354,black,psycho,psycho,psycho,red,0,uniform,1,undefined,1,NA,undefined,right,4,0,4,NA,NA,0,NA,4,NA,4,NA,0,0,NA,NA,NA,0,0,4,NA,4,NA,Fri Oct  2 11:47:36 2020,The main experiment item,yes,NA,Stoop_InClassNew.osexp,C:/Users/mhols,no,mono,no,18,no,white,no,no,768,1,psycho,4,4,C:/Users/mhols/subject-2.csv,psycho,NA,Lentiform Loewenfeld,3.3.3,0,right,left,right,NA,NA,NA,left,676.1717,4617.9502,676.1717,NA,NA,NA,1260.9291,NA,NA,2,psycho,1024,2,48000,-16,experiment,2,even,reading,19874.9381,4262.1344,20958.3544,NA,NA,4297.8543,NA,21724.6741,NA,22401.4456,NA,NA,NA,NA,NA,NA,8926.0781,10187.6377,21724.3105,NA,20940.1855,NA,Stoop_InClass,5,3787.3177,5,yes,1024,gul
100,100,766.0961167,766.0961167,black,psycho,psycho,psycho,red,0,uniform,1,undefined,1,NA,undefined,left,5,0,5,NA,NA,0,NA,5,NA,5,NA,0,0,NA,NA,NA,0,0,5,NA,5,NA,Fri Oct  2 11:47:36 2020,The main experiment item,yes,NA,Stoop_InClassNew.osexp,C:/Users/mhols,no,mono,no,18,no,white,no,no,768,0,psycho,5,5,C:/Users/mhols/subject-2.csv,psycho,NA,Lentiform Loewenfeld,3.3.3,0,left,left,left,NA,NA,NA,left,809.259,4617.9502,809.259,NA,NA,NA,1260.9291,NA,NA,2,psycho,1024,2,48000,-16,experiment,2,even,reading,22457.4547,4262.1344,23541.503,NA,NA,4297.8543,NA,24307.5988,NA,25117.4487,NA,NA,NA,NA,NA,NA,8926.0781,10187.6377,24307.2653,NA,23520.8525,NA,Stoop_InClass,6,4596.5767,6,yes,1024,rød
100,100,745.8577429,745.8577429,black,psycho,psycho,psycho,yellow,0,uniform,1,undefined,1,NA,undefined,right,6,0,6,NA,NA,0,NA,6,NA,6,NA,0,0,NA,NA,NA,0,0,6,NA,6,NA,Fri Oct  2 11:47:36 2020,The main experiment item,yes,NA,Stoop_InClassNew.osexp,C:/Users/mhols,no,mono,no,18,no,white,no,no,768,0,psycho,6,6,C:/Users/mhols/subject-2.csv,psycho,NA,Lentiform Loewenfeld,3.3.3,0,right,left,right,NA,NA,NA,left,624.4275001,4617.9502,624.4275001,NA,NA,NA,1260.9291,NA,NA,2,psycho,1024,2,48000,-16,experiment,2,even,reading,25174.3925,4262.1344,26266.2891,NA,NA,4297.8543,NA,27023.8597,NA,27648.8004,NA,NA,NA,NA,NA,NA,8926.0781,10187.6377,27023.7015,NA,26241.5532,NA,Stoop_InClass,7,5221.0042,7,yes,1024,gul
100,100,710.522525,710.522525,black,psycho,psycho,psycho,yellow,0,uniform,1,undefined,1,NA,undefined,down,7,0,7,NA,NA,0,NA,7,NA,7,NA,0,0,NA,NA,NA,0,0,7,NA,7,NA,Fri Oct  2 11:47:36 2020,The main experiment item,yes,NA,Stoop_InClassNew.osexp,C:/Users/mhols,no,mono,no,18,no,white,no,no,768,1,psycho,7,7,C:/Users/mhols/subject-2.csv,psycho,NA,Lentiform Loewenfeld,3.3.3,0,down,left,down,NA,NA,NA,left,463.1759999,4617.9502,463.1759999,NA,NA,NA,1260.9291,NA,NA,2,psycho,1024,2,48000,-16,experiment,2,even,reading,27706.5578,4262.1344,28790.2836,NA,NA,4297.8543,NA,29573.7275,NA,30037.396,NA,NA,NA,NA,NA,NA,8926.0781,10187.6377,29573.3658,NA,28773.7974,NA,Stoop_InClass,8,5684.1802,8,yes,1024,blå
100,100,711.2776333,711.2776333,black,psycho,psycho,psycho,blue,0,uniform,1,undefined,1,NA,undefined,right,8,0,8,NA,NA,0,NA,8,NA,8,NA,0,0,NA,NA,NA,0,0,8,NA,8,NA,Fri Oct  2 11:47:36 2020,The main experiment item,yes,NA,Stoop_InClassNew.osexp,C:/Users/mhols,no,mono,no,18,no,white,no,no,768,1,psycho,8,8,C:/Users/mhols/subject-2.csv,psycho,NA,Lentiform Loewenfeld,3.3.3,0,right,left,right,NA,NA,NA,left,717.3185,4617.9502,717.3185,NA,NA,NA,1260.9291,NA,NA,2,psycho,1024,2,48000,-16,experiment,2,even,reading,30106.5058,4262.1344,31189.7582,NA,NA,4297.8543,NA,31939.8219,NA,32657.8317,NA,NA,NA,NA,NA,NA,8926.0781,10187.6377,31939.6677,NA,31170.4078,NA,Stoop_InClass,9,6401.4987,9,yes,1024,gul
100,100,716.89481,716.89481,black,psycho,psycho,psycho,red,0,uniform,1,undefined,1,1,undefined,left,8,0,8,0,NA,0,0,8,0,8,0,0,0,NA,0,NA,0,0,8,0,8,NA,Fri Oct  2 11:47:36 2020,The main experiment item,yes,NA,Stoop_InClassNew.osexp,C:/Users/mhols,no,mono,no,18,no,white,no,no,768,1,psycho,0,8,C:/Users/mhols/subject-2.csv,psycho,NA,Lentiform Loewenfeld,3.3.3,0,left,left,right,left,right,NA,left,767.4493999,4617.9502,717.3185,767.4493999,3052.2306,NA,1260.9291,NA,NA,2,psycho,1024,2,48000,-16,experiment,2,even,naming,32723.2768,4262.1344,31189.7582,36855.7369,NA,4297.8543,NA,31939.8219,37605.7567,32657.8317,38373.752,33772.7534,36825.5983,NA,36845.4096,NA,8926.0781,10187.6377,31939.6677,37605.6001,31170.4078,NA,Stoop_InClass,10,7168.9481,10,yes,1024,blå
