acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,colour,compensation,coordinates,correct,correct_Instructions,correct_keyboard_response,correct_reading_instructions,correct_response,count_ISI,count_Instructions,count_experiment,count_fixation,count_getting_started,count_keyboard_response,count_logger,count_naming_instructions,count_naming_loop,count_new_sketchpad,count_new_sketchpad_1,count_reading_instructions,count_reading_loop,count_stim,count_trial_sequence,count_welcome,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,interference,keyboard_backend,live_row,live_row_reading_loop,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Instructions,response_keyboard_response,response_naming_instructions,response_new_sketchpad,response_new_sketchpad_1,response_reading_instructions,response_time,response_time_Instructions,response_time_keyboard_response,response_time_naming_instructions,response_time_new_sketchpad,response_time_new_sketchpad_1,response_time_reading_instructions,response_time_welcome,response_welcome,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,task,time_ISI,time_Instructions,time_experiment,time_fixation,time_getting_started,time_keyboard_response,time_logger,time_naming_instructions,time_naming_loop,time_new_sketchpad,time_new_sketchpad_1,time_reading_instructions,time_reading_loop,time_stim,time_trial_sequence,time_welcome,title,total_correct,total_response_time,total_responses,uniform_coordinates,width,word
0,0,2000,2000,black,legacy,legacy,legacy,blue,0,uniform,0,undefined,0,undefined,left,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,NA,Fri Oct  2 11:55:00 2020,The main experiment item,yes,Stroop_inClass.osexp2.osexp,C:/Users/arnfr/Desktop/Arnfríð Study/LaCoBra,no,mono,no,18,no,white,no,yes,768,1,legacy,0,0,C:/Users/arnfr/Desktop/Arnfríð Study/LaCoBra/subject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,None,space,None,NA,NA,NA,space,2000,11037,2000,NA,NA,NA,1600,NA,NA,2,legacy,1024,2,48000,-16,experiment,2,even,reading,NA,4106,4101,16820,NA,17574,19574,NA,NA,NA,NA,15146,16746,17574,16817,NA,Stroop_inClass,0,2000,1,yes,1024,rød
0,0,1095.5,1095.5,black,legacy,legacy,legacy,yellow,0,uniform,0,undefined,0,undefined,down,1,0,0,1,NA,1,1,0,0,NA,NA,0,0,1,1,NA,Fri Oct  2 11:55:00 2020,The main experiment item,yes,Stroop_inClass.osexp2.osexp,C:/Users/arnfr/Desktop/Arnfríð Study/LaCoBra,no,mono,no,18,no,white,no,yes,768,1,legacy,1,1,C:/Users/arnfr/Desktop/Arnfríð Study/LaCoBra/subject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,left,space,left,NA,NA,NA,space,191,11037,191,NA,NA,NA,1600,NA,NA,2,legacy,1024,2,48000,-16,experiment,2,even,reading,19589,4106,4101,20721,NA,21475,21667,NA,NA,NA,NA,15146,16746,21475,20717,NA,Stroop_inClass,0,2191,2,yes,1024,blå
0,0,1397,1397,black,legacy,legacy,legacy,red,0,uniform,0,undefined,0,undefined,left,2,0,0,2,NA,2,2,0,0,NA,NA,0,0,2,2,NA,Fri Oct  2 11:55:00 2020,The main experiment item,yes,Stroop_inClass.osexp2.osexp,C:/Users/arnfr/Desktop/Arnfríð Study/LaCoBra,no,mono,no,18,no,white,no,yes,768,0,legacy,2,2,C:/Users/arnfr/Desktop/Arnfríð Study/LaCoBra/subject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,None,space,None,NA,NA,NA,space,2000,11037,2000,NA,NA,NA,1600,NA,NA,2,legacy,1024,2,48000,-16,experiment,2,even,reading,21679,4106,4101,22817,NA,23573,25573,NA,NA,NA,NA,15146,16746,23573,22812,NA,Stroop_inClass,0,4191,3,yes,1024,rød
0,0,1214.25,1214.25,black,legacy,legacy,legacy,yellow,0,uniform,0,undefined,0,undefined,right,3,0,0,3,NA,3,3,0,0,NA,NA,0,0,3,3,NA,Fri Oct  2 11:55:00 2020,The main experiment item,yes,Stroop_inClass.osexp2.osexp,C:/Users/arnfr/Desktop/Arnfríð Study/LaCoBra,no,mono,no,18,no,white,no,yes,768,0,legacy,3,3,C:/Users/arnfr/Desktop/Arnfríð Study/LaCoBra/subject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,down,space,down,NA,NA,NA,space,666,11037,666,NA,NA,NA,1600,NA,NA,2,legacy,1024,2,48000,-16,experiment,2,even,reading,25582,4106,4101,26718,NA,27473,28139,NA,NA,NA,NA,15146,16746,27473,26712,NA,Stroop_inClass,0,4857,4,yes,1024,gul
0,0,1065,1065,black,legacy,legacy,legacy,blue,0,uniform,0,undefined,0,undefined,down,4,0,0,4,NA,4,4,0,0,NA,NA,0,0,4,4,NA,Fri Oct  2 11:55:00 2020,The main experiment item,yes,Stroop_inClass.osexp2.osexp,C:/Users/arnfr/Desktop/Arnfríð Study/LaCoBra,no,mono,no,18,no,white,no,yes,768,0,legacy,4,4,C:/Users/arnfr/Desktop/Arnfríð Study/LaCoBra/subject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,right,space,right,NA,NA,NA,space,468,11037,468,NA,NA,NA,1600,NA,NA,2,legacy,1024,2,48000,-16,experiment,2,even,reading,28151,4106,4101,29281,NA,30036,30504,NA,NA,NA,NA,15146,16746,30035,29278,NA,Stroop_inClass,0,5325,5,yes,1024,blå
0,0,1220.8333333333333,1220.8333333333333,black,legacy,legacy,legacy,yellow,0,uniform,0,undefined,0,undefined,left,5,0,0,5,NA,5,5,0,0,NA,NA,0,0,5,5,NA,Fri Oct  2 11:55:00 2020,The main experiment item,yes,Stroop_inClass.osexp2.osexp,C:/Users/arnfr/Desktop/Arnfríð Study/LaCoBra,no,mono,no,18,no,white,no,yes,768,1,legacy,5,5,C:/Users/arnfr/Desktop/Arnfríð Study/LaCoBra/subject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,None,space,None,NA,NA,NA,space,2000,11037,2000,NA,NA,NA,1600,NA,NA,2,legacy,1024,2,48000,-16,experiment,2,even,reading,30517,4106,4101,31652,NA,32407,34407,NA,NA,NA,NA,15146,16746,32407,31647,NA,Stroop_inClass,0,7325,6,yes,1024,rød
0,0,1332.142857142857,1332.142857142857,black,legacy,legacy,legacy,red,0,uniform,0,undefined,0,undefined,right,6,0,0,6,NA,6,6,0,0,NA,NA,0,0,6,6,NA,Fri Oct  2 11:55:00 2020,The main experiment item,yes,Stroop_inClass.osexp2.osexp,C:/Users/arnfr/Desktop/Arnfríð Study/LaCoBra,no,mono,no,18,no,white,no,yes,768,1,legacy,6,6,C:/Users/arnfr/Desktop/Arnfríð Study/LaCoBra/subject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,None,space,None,NA,NA,NA,space,2000,11037,2000,NA,NA,NA,1600,NA,NA,2,legacy,1024,2,48000,-16,experiment,2,even,reading,34418,4106,4101,35548,NA,36304,38304,NA,NA,NA,NA,15146,16746,36304,35543,NA,Stroop_inClass,0,9325,7,yes,1024,gul
12.5,12.5,1351,1351,black,legacy,legacy,legacy,red,0,uniform,1,undefined,1,undefined,down,7,0,0,7,NA,7,7,0,0,NA,NA,0,0,7,7,NA,Fri Oct  2 11:55:00 2020,The main experiment item,yes,Stroop_inClass.osexp2.osexp,C:/Users/arnfr/Desktop/Arnfríð Study/LaCoBra,no,mono,no,18,no,white,no,yes,768,1,legacy,7,7,C:/Users/arnfr/Desktop/Arnfríð Study/LaCoBra/subject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,down,space,down,NA,NA,NA,space,1483,11037,1483,NA,NA,NA,1600,NA,NA,2,legacy,1024,2,48000,-16,experiment,2,even,reading,38313,4106,4101,39430,NA,40185,41668,NA,NA,NA,NA,15146,16746,40184,39427,NA,Stroop_inClass,1,10808,8,yes,1024,blå
22.22222222222222,22.22222222222222,1320.111111111111,1320.111111111111,black,legacy,legacy,legacy,blue,0,uniform,1,undefined,1,undefined,right,8,0,0,8,NA,8,8,0,0,NA,NA,0,0,8,8,NA,Fri Oct  2 11:55:00 2020,The main experiment item,yes,Stroop_inClass.osexp2.osexp,C:/Users/arnfr/Desktop/Arnfríð Study/LaCoBra,no,mono,no,18,no,white,no,yes,768,1,legacy,8,8,C:/Users/arnfr/Desktop/Arnfríð Study/LaCoBra/subject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,right,space,right,NA,NA,NA,space,1073,11037,1073,NA,NA,NA,1600,NA,NA,2,legacy,1024,2,48000,-16,experiment,2,even,reading,41678,4106,4101,42808,NA,43563,44637,NA,NA,NA,NA,15146,16746,43562,42803,NA,Stroop_inClass,2,11881,9,yes,1024,gul
20,20,1388.1,1388.1,black,legacy,legacy,legacy,yellow,0,uniform,0,undefined,0,undefined,right,9,0,0,9,NA,9,9,0,0,NA,NA,0,0,9,9,NA,Fri Oct  2 11:55:00 2020,The main experiment item,yes,Stroop_inClass.osexp2.osexp,C:/Users/arnfr/Desktop/Arnfríð Study/LaCoBra,no,mono,no,18,no,white,no,yes,768,1,legacy,0,8,C:/Users/arnfr/Desktop/Arnfríð Study/LaCoBra/subject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,None,space,None,left,NA,NA,space,2000,11037,2000,2820,NA,NA,1600,NA,NA,2,legacy,1024,2,48000,-16,experiment,2,even,naming,44647,4106,4101,48556,NA,49311,51311,45703,48524,NA,NA,15146,16746,49310,48554,NA,Stroop_inClass,2,13881,10,yes,1024,blå
