acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,colour,compensation,coordinates,correct,correct_Instructions1,correct_Keyboard_response,correct_Keyboard_response_1,correct_Keyboard_response_2,correct_Keyboard_response_3,correct_Keyboard_response_4,correct_responce,correct_response,count_Instruction2,count_Instructions1,count_InterStimulusInterval,count_InterStimulusInterval_1,count_InterStimulusInterval_2,count_InterStimulusInterval_3,count_InterStimulusInterval_4,count_Keyboard_response,count_Keyboard_response_1,count_Keyboard_response_2,count_Keyboard_response_3,count_Keyboard_response_4,count_Logger,count_Logger_1,count_Logger_2,count_Logger_3,count_Logger_4,count_Naming,count_experiment,count_fixation,count_fixation_1,count_fixation_2,count_fixation_3,count_fixation_4,count_getting_started,count_reading,count_stimulus,count_stimulus_1,count_stimulus_2,count_stimulus_3,count_stimulus_4,count_trial,count_trial_1,count_trial_2,count_trial_3,count_trial_4,count_welcome,datetime,description,disable_garbage_collection,experiment_file,experiment_path,path2,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,interference,keyboard_backend,live_row,live_row_reading,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Instruction2,response_Instructions1,response_Keyboard_response,response_Keyboard_response_1,response_Keyboard_response_2,response_Keyboard_response_3,response_Keyboard_response_4,response_time,response_time_Instruction2,response_time_Instructions1,response_time_Keyboard_response,response_time_Keyboard_response_1,response_time_Keyboard_response_2,response_time_Keyboard_response_3,response_time_Keyboard_response_4,response_time_welcome,response_welcome,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,task,time_Instruction2,time_Instructions1,time_InterStimulusInterval,time_InterStimulusInterval_1,time_InterStimulusInterval_2,time_InterStimulusInterval_3,time_InterStimulusInterval_4,time_Keyboard_response,time_Keyboard_response_1,time_Keyboard_response_2,time_Keyboard_response_3,time_Keyboard_response_4,time_Logger,time_Logger_1,time_Logger_2,time_Logger_3,time_Logger_4,time_Naming,time_experiment,time_fixation,time_fixation_1,time_fixation_2,time_fixation_3,time_fixation_4,time_getting_started,time_reading,time_stimulus,time_stimulus_1,time_stimulus_2,time_stimulus_3,time_stimulus_4,time_trial,time_trial_1,time_trial_2,time_trial_3,time_trial_4,time_welcome,title,total_correct,total_response_time,total_responses,uniform_coordinates,width,word
100,100,920,920,black,legacy,legacy,legacy,red,0,uniform,1,undefined,1,NA,NA,NA,NA,NA,down,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,Fri Oct  2 11:54:05 2020,The main experiment item,yes,Stroop_inClassStimu.osexp,C:/Users/Amalie/Desktop/Universitet/3. Semester/LaCoBra - Sprog, kognition og hjerne,no,mono,no,18,no,white,no,no,768,1,legacy,0,0,C:/Users/Amalie/Desktop/subject-0.csv,legacy,Lentiform Loewenfeld,03.03.03,0,down,NA,down,down,NA,NA,NA,NA,920,NA,1372,920,NA,NA,NA,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,0,even,reading,NA,1424,NA,NA,NA,NA,NA,3592,NA,NA,NA,NA,4513,NA,NA,NA,NA,NA,1422,2837,NA,NA,NA,NA,NA,2796,3592,NA,NA,NA,NA,2835,NA,NA,NA,NA,NA,Stroop_inClass,1,920,1,yes,1024,blå
100,100,743,743,black,legacy,legacy,legacy,blue,0,uniform,1,undefined,1,NA,NA,NA,NA,NA,down,0,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Fri Oct  2 11:54:05 2020,The main experiment item,yes,Stroop_inClassStimu.osexp,C:/Users/Amalie/Desktop/Universitet/3. Semester/LaCoBra - Sprog, kognition og hjerne,no,mono,no,18,no,white,no,no,768,0,legacy,1,1,C:/Users/Amalie/Desktop/subject-0.csv,legacy,Lentiform Loewenfeld,03.03.03,0,down,NA,down,down,NA,NA,NA,NA,566,NA,1372,566,NA,NA,NA,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,0,even,reading,NA,1424,4527,NA,NA,NA,NA,6384,NA,NA,NA,NA,6951,NA,NA,NA,NA,NA,1422,5628,NA,NA,NA,NA,NA,2796,6384,NA,NA,NA,NA,5627,NA,NA,NA,NA,NA,Stroop_inClass,2,1486,2,yes,1024,blå
100,100,678.3333333,678.3333333,black,legacy,legacy,legacy,yellow,0,uniform,1,undefined,1,NA,NA,NA,NA,NA,right,0,0,2,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,Fri Oct  2 11:54:05 2020,The main experiment item,yes,Stroop_inClassStimu.osexp,C:/Users/Amalie/Desktop/Universitet/3. Semester/LaCoBra - Sprog, kognition og hjerne,no,mono,no,18,no,white,no,no,768,0,legacy,2,2,C:/Users/Amalie/Desktop/subject-0.csv,legacy,Lentiform Loewenfeld,03.03.03,0,right,NA,down,right,NA,NA,NA,NA,549,NA,1372,549,NA,NA,NA,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,0,even,reading,NA,1424,6959,NA,NA,NA,NA,8820,NA,NA,NA,NA,9370,NA,NA,NA,NA,NA,1422,8065,NA,NA,NA,NA,NA,2796,8820,NA,NA,NA,NA,8062,NA,NA,NA,NA,NA,Stroop_inClass,3,2035,3,yes,1024,gul
100,100,650,650,black,legacy,legacy,legacy,yellow,0,uniform,1,undefined,1,NA,NA,NA,NA,NA,down,0,0,3,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,0,0,3,NA,NA,NA,NA,NA,0,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,Fri Oct  2 11:54:05 2020,The main experiment item,yes,Stroop_inClassStimu.osexp,C:/Users/Amalie/Desktop/Universitet/3. Semester/LaCoBra - Sprog, kognition og hjerne,no,mono,no,18,no,white,no,no,768,1,legacy,3,3,C:/Users/Amalie/Desktop/subject-0.csv,legacy,Lentiform Loewenfeld,03.03.03,0,down,NA,down,down,NA,NA,NA,NA,565,NA,1372,565,NA,NA,NA,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,0,even,reading,NA,1424,9378,NA,NA,NA,NA,11243,NA,NA,NA,NA,11809,NA,NA,NA,NA,NA,1422,10488,NA,NA,NA,NA,NA,2796,11243,NA,NA,NA,NA,10485,NA,NA,NA,NA,NA,Stroop_inClass,4,2600,4,yes,1024,blå
100,100,627.6,627.6,black,legacy,legacy,legacy,yellow,0,uniform,1,undefined,1,NA,NA,NA,NA,NA,left,0,0,4,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,0,0,4,NA,NA,NA,NA,NA,0,4,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,Fri Oct  2 11:54:05 2020,The main experiment item,yes,Stroop_inClassStimu.osexp,C:/Users/Amalie/Desktop/Universitet/3. Semester/LaCoBra - Sprog, kognition og hjerne,no,mono,no,18,no,white,no,no,768,1,legacy,4,4,C:/Users/Amalie/Desktop/subject-0.csv,legacy,Lentiform Loewenfeld,03.03.03,0,left,NA,down,left,NA,NA,NA,NA,538,NA,1372,538,NA,NA,NA,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,0,even,reading,NA,1424,11817,NA,NA,NA,NA,13680,NA,NA,NA,NA,14219,NA,NA,NA,NA,NA,1422,12925,NA,NA,NA,NA,NA,2796,13680,NA,NA,NA,NA,12922,NA,NA,NA,NA,NA,Stroop_inClass,5,3138,5,yes,1024,rød
100,100,636.6666667,636.6666667,black,legacy,legacy,legacy,red,0,uniform,1,undefined,1,NA,NA,NA,NA,NA,right,0,0,5,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,0,0,5,NA,NA,NA,NA,NA,0,5,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,Fri Oct  2 11:54:05 2020,The main experiment item,yes,Stroop_inClassStimu.osexp,C:/Users/Amalie/Desktop/Universitet/3. Semester/LaCoBra - Sprog, kognition og hjerne,no,mono,no,18,no,white,no,no,768,1,legacy,5,5,C:/Users/Amalie/Desktop/subject-0.csv,legacy,Lentiform Loewenfeld,03.03.03,0,right,NA,down,right,NA,NA,NA,NA,682,NA,1372,682,NA,NA,NA,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,0,even,reading,NA,1424,14227,NA,NA,NA,NA,16092,NA,NA,NA,NA,16775,NA,NA,NA,NA,NA,1422,15337,NA,NA,NA,NA,NA,2796,16092,NA,NA,NA,NA,15334,NA,NA,NA,NA,NA,Stroop_inClass,6,3820,6,yes,1024,gul
100,100,636.5714286,636.5714286,black,legacy,legacy,legacy,blue,0,uniform,1,undefined,1,NA,NA,NA,NA,NA,left,0,0,6,NA,NA,NA,NA,6,NA,NA,NA,NA,6,NA,NA,NA,NA,0,0,6,NA,NA,NA,NA,NA,0,6,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,Fri Oct  2 11:54:05 2020,The main experiment item,yes,Stroop_inClassStimu.osexp,C:/Users/Amalie/Desktop/Universitet/3. Semester/LaCoBra - Sprog, kognition og hjerne,no,mono,no,18,no,white,no,no,768,1,legacy,6,6,C:/Users/Amalie/Desktop/subject-0.csv,legacy,Lentiform Loewenfeld,03.03.03,0,left,NA,down,left,NA,NA,NA,NA,636,NA,1372,636,NA,NA,NA,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,0,even,reading,NA,1424,16783,NA,NA,NA,NA,18685,NA,NA,NA,NA,19322,NA,NA,NA,NA,NA,1422,17930,NA,NA,NA,NA,NA,2796,18685,NA,NA,NA,NA,17926,NA,NA,NA,NA,NA,Stroop_inClass,7,4456,7,yes,1024,rød
100,100,660.625,660.625,black,legacy,legacy,legacy,blue,0,uniform,1,undefined,1,NA,NA,NA,NA,NA,right,0,0,7,NA,NA,NA,NA,7,NA,NA,NA,NA,7,NA,NA,NA,NA,0,0,7,NA,NA,NA,NA,NA,0,7,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,Fri Oct  2 11:54:05 2020,The main experiment item,yes,Stroop_inClassStimu.osexp,C:/Users/Amalie/Desktop/Universitet/3. Semester/LaCoBra - Sprog, kognition og hjerne,no,mono,no,18,no,white,no,no,768,1,legacy,7,7,C:/Users/Amalie/Desktop/subject-0.csv,legacy,Lentiform Loewenfeld,03.03.03,0,right,NA,down,right,NA,NA,NA,NA,829,NA,1372,829,NA,NA,NA,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,0,even,reading,NA,1424,19328,NA,NA,NA,NA,21215,NA,NA,NA,NA,22045,NA,NA,NA,NA,NA,1422,20459,NA,NA,NA,NA,NA,2796,21215,NA,NA,NA,NA,20455,NA,NA,NA,NA,NA,Stroop_inClass,8,5285,8,yes,1024,gul
100,100,663.7777778,663.7777778,black,legacy,legacy,legacy,red,0,uniform,1,undefined,1,NA,NA,NA,NA,NA,left,0,0,8,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,NA,NA,0,0,8,NA,NA,NA,NA,NA,0,8,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,Fri Oct  2 11:54:05 2020,The main experiment item,yes,Stroop_inClassStimu.osexp,C:/Users/Amalie/Desktop/Universitet/3. Semester/LaCoBra - Sprog, kognition og hjerne,no,mono,no,18,no,white,no,no,768,0,legacy,8,8,C:/Users/Amalie/Desktop/subject-0.csv,legacy,Lentiform Loewenfeld,03.03.03,0,left,NA,down,left,NA,NA,NA,NA,689,NA,1372,689,NA,NA,NA,NA,NA,NA,2,legacy,1024,2,48000,-16,experiment,0,even,reading,NA,1424,22053,NA,NA,NA,NA,23976,NA,NA,NA,NA,24666,NA,NA,NA,NA,NA,1422,23221,NA,NA,NA,NA,NA,2796,23976,NA,NA,NA,NA,23215,NA,NA,NA,NA,NA,Stroop_inClass,9,5974,9,yes,1024,rød
90,90,688,688,black,legacy,legacy,legacy,blue,0,uniform,0,undefined,1,NA,NA,NA,0,down,left,0,0,8,NA,NA,NA,0,8,NA,NA,NA,0,8,NA,NA,NA,0,0,0,8,NA,NA,NA,0,NA,0,8,NA,NA,NA,0,8,NA,NA,NA,0,NA,Fri Oct  2 11:54:05 2020,The main experiment item,yes,Stroop_inClassStimu.osexp,C:/Users/Amalie/Desktop/Universitet/3. Semester/LaCoBra - Sprog, kognition og hjerne,no,mono,no,18,no,white,no,no,768,1,legacy,0,8,C:/Users/Amalie/Desktop/subject-0.csv,legacy,Lentiform Loewenfeld,03.03.03,0,down,down,down,left,NA,NA,NA,down,906,5588,1372,689,NA,NA,NA,906,NA,NA,2,legacy,1024,2,48000,-16,experiment,0,even,naming,25734,1424,24674,NA,NA,NA,NA,23976,NA,NA,NA,32117,24666,NA,NA,NA,33024,31323,1422,23221,NA,NA,NA,31356,NA,2796,23976,NA,NA,NA,32117,23215,NA,NA,NA,31354,NA,Stroop_inClass,9,6880,10,yes,1024,gul
