acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color,color_backend,compensation,coordinates,correct,correct_Instructions,correct_Reading_instructions,correct_keyboard_response,correct_response,count_Fixation,count_ISI,count_Instructions,count_Naming_instructions,count_Naming_loop,count_Reading_instructions,count_Reading_loop,count_Stim,count_Trial_sequence,count_experiment,count_getting_started,count_keyboard_response,count_logger,count_welcome,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,interference,keyboard_backend,live_row,live_row_Reading_loop,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Instructions,response_Naming_instructions,response_Reading_instructions,response_keyboard_response,response_time,response_time_Instructions,response_time_Naming_instructions,response_time_Reading_instructions,response_time_keyboard_response,response_time_welcome,response_welcome,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,task,time_Fixation,time_ISI,time_Instructions,time_Naming_instructions,time_Naming_loop,time_Reading_instructions,time_Reading_loop,time_Stim,time_Trial_sequence,time_experiment,time_getting_started,time_keyboard_response,time_logger,time_welcome,title,total_correct,total_response_time,total_responses,uniform_coordinates,width,word
100,100,1346,1346,black,legacy,legacy,blue,legacy,0,uniform,1,undefined,undefined,1,down,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,Fri Oct  2 11:44:23 2020,The main experiment item,yes,Stroop_inClass.osexp,/Users/annesandfeldholstnielsen/Documents/3. semester/LaCoBra,no,mono,no,18,no,white,no,yes,768,0,legacy,0,0,/Users/annesandfeldholstnielsen/Documents/3. semester/LaCoBra/subject-2.csv,legacy,Lentiform Loewenfeld,03.03.2003,0,down,right,NA,right,down,1346,7500,NA,12356,1346,NA,NA,2,legacy,1024,2,48000,-16,experiment,0,even,reading,23961,NA,4008,NA,NA,11548,23904,24730,23947,3983,NA,24730,26077,NA,Stroop_inClass,1,1346,1,yes,1024,blå
100,100,1179.5,1179.5,black,legacy,legacy,blue,legacy,0,uniform,1,undefined,undefined,1,right,1,1,0,0,0,0,0,1,1,0,NA,1,1,NA,Fri Oct  2 11:44:23 2020,The main experiment item,yes,Stroop_inClass.osexp,/Users/annesandfeldholstnielsen/Documents/3. semester/LaCoBra,no,mono,no,18,no,white,no,yes,768,1,legacy,1,1,/Users/annesandfeldholstnielsen/Documents/3. semester/LaCoBra/subject-2.csv,legacy,Lentiform Loewenfeld,03.03.2003,0,right,right,NA,right,right,1013,7500,NA,12356,1013,NA,NA,2,legacy,1024,2,48000,-16,experiment,0,even,reading,27217,26110,4008,NA,NA,11548,23904,27984,27199,3983,NA,27984,28998,NA,Stroop_inClass,2,2359,2,yes,1024,gul
100,100,1036.666667,1036.666667,black,legacy,legacy,red,legacy,0,uniform,1,undefined,undefined,1,right,2,2,0,0,0,0,0,2,2,0,NA,2,2,NA,Fri Oct  2 11:44:23 2020,The main experiment item,yes,Stroop_inClass.osexp,/Users/annesandfeldholstnielsen/Documents/3. semester/LaCoBra,no,mono,no,18,no,white,no,yes,768,1,legacy,2,2,/Users/annesandfeldholstnielsen/Documents/3. semester/LaCoBra/subject-2.csv,legacy,Lentiform Loewenfeld,03.03.2003,0,right,right,NA,right,right,751,7500,NA,12356,751,NA,NA,2,legacy,1024,2,48000,-16,experiment,0,even,reading,30095,29025,4008,NA,NA,11548,23904,30861,30080,3983,NA,30861,31613,NA,Stroop_inClass,3,3110,3,yes,1024,gul
100,100,912.75,912.75,black,legacy,legacy,yellow,legacy,0,uniform,1,undefined,undefined,1,down,3,3,0,0,0,0,0,3,3,0,NA,3,3,NA,Fri Oct  2 11:44:23 2020,The main experiment item,yes,Stroop_inClass.osexp,/Users/annesandfeldholstnielsen/Documents/3. semester/LaCoBra,no,mono,no,18,no,white,no,yes,768,1,legacy,3,3,/Users/annesandfeldholstnielsen/Documents/3. semester/LaCoBra/subject-2.csv,legacy,Lentiform Loewenfeld,03.03.2003,0,down,right,NA,right,down,541,7500,NA,12356,541,NA,NA,2,legacy,1024,2,48000,-16,experiment,0,even,reading,32697,31628,4008,NA,NA,11548,23904,33465,32683,3983,NA,33465,34007,NA,Stroop_inClass,4,3651,4,yes,1024,blå
100,100,828.2,828.2,black,legacy,legacy,yellow,legacy,0,uniform,1,undefined,undefined,1,left,4,4,0,0,0,0,0,4,4,0,NA,4,4,NA,Fri Oct  2 11:44:23 2020,The main experiment item,yes,Stroop_inClass.osexp,/Users/annesandfeldholstnielsen/Documents/3. semester/LaCoBra,no,mono,no,18,no,white,no,yes,768,1,legacy,4,4,/Users/annesandfeldholstnielsen/Documents/3. semester/LaCoBra/subject-2.csv,legacy,Lentiform Loewenfeld,03.03.2003,0,left,right,NA,right,left,490,7500,NA,12356,490,NA,NA,2,legacy,1024,2,48000,-16,experiment,0,even,reading,35104,34034,4008,NA,NA,11548,23904,35871,35090,3983,NA,35871,36362,NA,Stroop_inClass,5,4141,5,yes,1024,rød
100,100,807.3333333,807.3333333,black,legacy,legacy,blue,legacy,0,uniform,1,undefined,undefined,1,left,5,5,0,0,0,0,0,5,5,0,NA,5,5,NA,Fri Oct  2 11:44:23 2020,The main experiment item,yes,Stroop_inClass.osexp,/Users/annesandfeldholstnielsen/Documents/3. semester/LaCoBra,no,mono,no,18,no,white,no,yes,768,1,legacy,5,5,/Users/annesandfeldholstnielsen/Documents/3. semester/LaCoBra/subject-2.csv,legacy,Lentiform Loewenfeld,03.03.2003,0,left,right,NA,right,left,703,7500,NA,12356,703,NA,NA,2,legacy,1024,2,48000,-16,experiment,0,even,reading,37463,36390,4008,NA,NA,11548,23904,38227,37445,3983,NA,38227,38930,NA,Stroop_inClass,6,4844,6,yes,1024,rød
100,100,810,810,black,legacy,legacy,yellow,legacy,0,uniform,1,undefined,undefined,1,right,6,6,0,0,0,0,0,6,6,0,NA,6,6,NA,Fri Oct  2 11:44:23 2020,The main experiment item,yes,Stroop_inClass.osexp,/Users/annesandfeldholstnielsen/Documents/3. semester/LaCoBra,no,mono,no,18,no,white,no,yes,768,0,legacy,6,6,/Users/annesandfeldholstnielsen/Documents/3. semester/LaCoBra/subject-2.csv,legacy,Lentiform Loewenfeld,03.03.2003,0,right,right,NA,right,right,826,7500,NA,12356,826,NA,NA,2,legacy,1024,2,48000,-16,experiment,0,even,reading,40030,38962,4008,NA,NA,11548,23904,40795,40016,3983,NA,40795,41622,NA,Stroop_inClass,7,5670,7,yes,1024,gul
100,100,758.875,758.875,black,legacy,legacy,red,legacy,0,uniform,1,undefined,undefined,1,down,7,7,0,0,0,0,0,7,7,0,NA,7,7,NA,Fri Oct  2 11:44:23 2020,The main experiment item,yes,Stroop_inClass.osexp,/Users/annesandfeldholstnielsen/Documents/3. semester/LaCoBra,no,mono,no,18,no,white,no,yes,768,1,legacy,7,7,/Users/annesandfeldholstnielsen/Documents/3. semester/LaCoBra/subject-2.csv,legacy,Lentiform Loewenfeld,03.03.2003,0,down,right,NA,right,down,401,7500,NA,12356,401,NA,NA,2,legacy,1024,2,48000,-16,experiment,0,even,reading,42721,41649,4008,NA,NA,11548,23904,43487,42706,3983,NA,43487,43889,NA,Stroop_inClass,8,6071,8,yes,1024,blå
100,100,720.6666667,720.6666667,black,legacy,legacy,red,legacy,0,uniform,1,undefined,undefined,1,left,8,8,0,0,0,0,0,8,8,0,NA,8,8,NA,Fri Oct  2 11:44:23 2020,The main experiment item,yes,Stroop_inClass.osexp,/Users/annesandfeldholstnielsen/Documents/3. semester/LaCoBra,no,mono,no,18,no,white,no,yes,768,0,legacy,8,8,/Users/annesandfeldholstnielsen/Documents/3. semester/LaCoBra/subject-2.csv,legacy,Lentiform Loewenfeld,03.03.2003,0,left,right,NA,right,left,415,7500,NA,12356,415,NA,NA,2,legacy,1024,2,48000,-16,experiment,0,even,reading,44990,43921,4008,NA,NA,11548,23904,45758,44976,3983,NA,45758,46174,NA,Stroop_inClass,9,6486,9,yes,1024,rød
100,100,740.4,740.4,black,legacy,legacy,red,legacy,0,uniform,1,undefined,undefined,1,left,9,9,0,0,0,0,0,9,9,0,NA,9,9,NA,Fri Oct  2 11:44:23 2020,The main experiment item,yes,Stroop_inClass.osexp,/Users/annesandfeldholstnielsen/Documents/3. semester/LaCoBra,no,mono,no,18,no,white,no,yes,768,1,legacy,0,8,/Users/annesandfeldholstnielsen/Documents/3. semester/LaCoBra/subject-2.csv,legacy,Lentiform Loewenfeld,03.03.2003,0,left,right,right,right,left,918,7500,6518,12356,918,NA,NA,2,legacy,1024,2,48000,-16,experiment,0,even,naming,53806,46201,4008,47255,53774,11548,23904,54571,53793,3983,NA,54572,55491,NA,Stroop_inClass,10,7404,10,yes,1024,blå
