acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,colour,compensation,coordinates,correct,correct_Instructions,correct_keyboard_response,correct_reading_instructions,correct_response,count_ISI,count_Instructions,count_experiment,count_fixation,count_keyboard_response,count_logger,count_naming_instructions,count_namingloop,count_readingLoop,count_reading_instructions,count_stim,count_trial_sequence,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,interference,keyboard_backend,live_row,live_row_readingLoop,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Instructions,response_keyboard_response,response_naming_instructions,response_reading_instructions,response_time,response_time_Instructions,response_time_keyboard_response,response_time_naming_instructions,response_time_reading_instructions,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,task,time_ISI,time_Instructions,time_experiment,time_fixation,time_keyboard_response,time_logger,time_naming_instructions,time_namingloop,time_readingLoop,time_reading_instructions,time_stim,time_trial_sequence,title,total_correct,total_response_time,total_responses,uniform_coordinates,width,word
100,100,859,859,black,legacy,legacy,legacy,red,0,uniform,1,undefined,1,undefined,left,0,0,0,0,0,0,0,0,0,0,0,0,Fri Oct  2 11:44:27 2020,The main experiment item,yes,StroopinClass.osexp,C:/Users/matti/Desktop,no,mono,no,18,no,white,no,no,768,0,legacy,0,0,C:/Users/matti/Downloads/Stroopinclassselftestadvanced.csv,legacy,Lentiform Loewenfeld,3.3.3,0,left,down,left,NA,down,859,3962,859,NA,1831,2,legacy,1024,2,48000,-16,experiment,0,even,reading,NA,3556,3547,9439,10194,11053,NA,NA,9352,7521,10194,9436,StroopinClass,1,859,1,yes,1024,rød
100,100,778,778,black,legacy,legacy,legacy,yellow,0,uniform,1,undefined,1,undefined,left,1,0,0,1,1,1,0,0,0,0,1,1,Fri Oct  2 11:44:27 2020,The main experiment item,yes,StroopinClass.osexp,C:/Users/matti/Desktop,no,mono,no,18,no,white,no,no,768,1,legacy,1,1,C:/Users/matti/Downloads/Stroopinclassselftestadvanced.csv,legacy,Lentiform Loewenfeld,3.3.3,0,left,down,left,NA,down,697,3962,697,NA,1831,2,legacy,1024,2,48000,-16,experiment,0,even,reading,11071,3556,3547,12160,12914,13612,NA,NA,9352,7521,12914,12157,StroopinClass,2,1556,2,yes,1024,rød
100,100,865.3333333333334,865.3333333333334,black,legacy,legacy,legacy,blue,0,uniform,1,undefined,1,undefined,right,2,0,0,2,2,2,0,0,0,0,2,2,Fri Oct  2 11:44:27 2020,The main experiment item,yes,StroopinClass.osexp,C:/Users/matti/Desktop,no,mono,no,18,no,white,no,no,768,1,legacy,2,2,C:/Users/matti/Downloads/Stroopinclassselftestadvanced.csv,legacy,Lentiform Loewenfeld,3.3.3,0,right,down,right,NA,down,1040,3962,1040,NA,1831,2,legacy,1024,2,48000,-16,experiment,0,even,reading,13626,3556,3547,14711,15463,16505,NA,NA,9352,7521,15463,14708,StroopinClass,3,2596,3,yes,1024,gul
100,100,803.75,803.75,black,legacy,legacy,legacy,red,0,uniform,1,undefined,1,undefined,right,3,0,0,3,3,3,0,0,0,0,3,3,Fri Oct  2 11:44:27 2020,The main experiment item,yes,StroopinClass.osexp,C:/Users/matti/Desktop,no,mono,no,18,no,white,no,no,768,1,legacy,3,3,C:/Users/matti/Downloads/Stroopinclassselftestadvanced.csv,legacy,Lentiform Loewenfeld,3.3.3,0,right,down,right,NA,down,619,3962,619,NA,1831,2,legacy,1024,2,48000,-16,experiment,0,even,reading,16513,3556,3547,17602,18356,18976,NA,NA,9352,7521,18356,17598,StroopinClass,4,3215,4,yes,1024,gul
100,100,774.8,774.8,black,legacy,legacy,legacy,blue,0,uniform,1,undefined,1,undefined,left,4,0,0,4,4,4,0,0,0,0,4,4,Fri Oct  2 11:44:27 2020,The main experiment item,yes,StroopinClass.osexp,C:/Users/matti/Desktop,no,mono,no,18,no,white,no,no,768,1,legacy,4,4,C:/Users/matti/Downloads/Stroopinclassselftestadvanced.csv,legacy,Lentiform Loewenfeld,3.3.3,0,left,down,left,NA,down,659,3962,659,NA,1831,2,legacy,1024,2,48000,-16,experiment,0,even,reading,18985,3556,3547,20075,20830,21490,NA,NA,9352,7521,20830,20072,StroopinClass,5,3874,5,yes,1024,rød
100,100,716.6666666666666,716.6666666666666,black,legacy,legacy,legacy,yellow,0,uniform,1,undefined,1,undefined,down,5,0,0,5,5,5,0,0,0,0,5,5,Fri Oct  2 11:44:27 2020,The main experiment item,yes,StroopinClass.osexp,C:/Users/matti/Desktop,no,mono,no,18,no,white,no,no,768,1,legacy,5,5,C:/Users/matti/Downloads/Stroopinclassselftestadvanced.csv,legacy,Lentiform Loewenfeld,3.3.3,0,down,down,down,NA,down,426,3962,426,NA,1831,2,legacy,1024,2,48000,-16,experiment,0,even,reading,21498,3556,3547,22589,23342,23769,NA,NA,9352,7521,23341,22585,StroopinClass,6,4300,6,yes,1024,blå
100,100,756,756,black,legacy,legacy,legacy,yellow,0,uniform,1,undefined,1,undefined,right,6,0,0,6,6,6,0,0,0,0,6,6,Fri Oct  2 11:44:27 2020,The main experiment item,yes,StroopinClass.osexp,C:/Users/matti/Desktop,no,mono,no,18,no,white,no,no,768,0,legacy,6,6,C:/Users/matti/Downloads/Stroopinclassselftestadvanced.csv,legacy,Lentiform Loewenfeld,3.3.3,0,right,down,right,NA,down,992,3962,992,NA,1831,2,legacy,1024,2,48000,-16,experiment,0,even,reading,23781,3556,3547,24867,25623,26616,NA,NA,9352,7521,25623,24864,StroopinClass,7,5292,7,yes,1024,gul
100,100,696.625,696.625,black,legacy,legacy,legacy,red,0,uniform,1,undefined,1,undefined,down,7,0,0,7,7,7,0,0,0,0,7,7,Fri Oct  2 11:44:27 2020,The main experiment item,yes,StroopinClass.osexp,C:/Users/matti/Desktop,no,mono,no,18,no,white,no,no,768,1,legacy,7,7,C:/Users/matti/Downloads/Stroopinclassselftestadvanced.csv,legacy,Lentiform Loewenfeld,3.3.3,0,down,down,down,NA,down,281,3962,281,NA,1831,2,legacy,1024,2,48000,-16,experiment,0,even,reading,26624,3556,3547,27714,28468,28750,NA,NA,9352,7521,28468,27710,StroopinClass,8,5573,8,yes,1024,blå
100,100,646.1111111111111,646.1111111111111,black,legacy,legacy,legacy,blue,0,uniform,1,undefined,1,undefined,down,8,0,0,8,8,8,0,0,0,0,8,8,Fri Oct  2 11:44:27 2020,The main experiment item,yes,StroopinClass.osexp,C:/Users/matti/Desktop,no,mono,no,18,no,white,no,no,768,0,legacy,8,8,C:/Users/matti/Downloads/Stroopinclassselftestadvanced.csv,legacy,Lentiform Loewenfeld,3.3.3,0,down,down,down,NA,down,242,3962,242,NA,1831,2,legacy,1024,2,48000,-16,experiment,0,even,reading,28759,3556,3547,29867,30622,30865,NA,NA,9352,7521,30621,29863,StroopinClass,9,5815,9,yes,1024,blå
100,100,689.5,689.5,black,legacy,legacy,legacy,yellow,0,uniform,1,undefined,1,undefined,right,9,0,0,9,9,9,0,0,0,0,9,9,Fri Oct  2 11:44:27 2020,The main experiment item,yes,StroopinClass.osexp,C:/Users/matti/Desktop,no,mono,no,18,no,white,no,no,768,1,legacy,0,8,C:/Users/matti/Downloads/Stroopinclassselftestadvanced.csv,legacy,Lentiform Loewenfeld,3.3.3,0,right,down,right,right,down,1080,3962,1080,1954,1831,2,legacy,1024,2,48000,-16,experiment,0,even,naming,30879,3556,3547,33942,34697,35778,31946,33900,9352,7521,34696,33939,StroopinClass,10,6895,10,yes,1024,rød
