acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color,color_backend,compensation,coordinates,correct,correct_Instructions,correct_keyboard_response,correct_reading_instructions,correct_response,count_Instructions,count_experiment,count_fixation,count_isi,count_keyboard_response,count_logger,count_naming_instructions,count_naming_loop,count_reading_instructions,count_reading_loop,count_stimulus,count_trial_sequence,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,interference,keyboard_backend,live_row,live_row_reading_loop,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Instructions,response_keyboard_response,response_naming_instructions,response_reading_instructions,response_time,response_time_Instructions,response_time_keyboard_response,response_time_naming_instructions,response_time_reading_instructions,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,task,time_Instructions,time_experiment,time_fixation,time_isi,time_keyboard_response,time_logger,time_naming_instructions,time_naming_loop,time_reading_instructions,time_reading_loop,time_stimulus,time_trial_sequence,title,total_correct,total_response_time,total_responses,uniform_coordinates,width,word
0,0,1335,1335,black,legacy,legacy,red,legacy,0,uniform,0,undefined,0,undefined,down,0,0,0,0,0,0,0,0,0,0,0,0,Fri Oct  2 11:45:06 2020,The main experiment item,yes,Experiment La Cobra.osexp,/Users/maja/Library/Mobile Documents/com~apple~CloudDocs,no,mono,no,18,no,white,no,yes,768,1,legacy,0,0,/Users/maja/Library/Mobile Documents/com~apple~CloudDocs/subject-1.csv,legacy,Lentiform Loewenfeld,03.03.2003,0,left,left,left,NA,left,1335,6853,1335,NA,20446,2,legacy,1024,2,48000,-16,experiment,1,odd,reading,2438,2422,29803,NA,30574,31909,NA,NA,9313,29760,30573,29789,Scoop,0,1335,1,yes,1024,blå
50,50,1114.5,1114.5,black,legacy,legacy,blue,legacy,0,uniform,1,undefined,1,undefined,left,0,0,1,1,1,1,0,0,0,0,1,1,Fri Oct  2 11:45:06 2020,The main experiment item,yes,Experiment La Cobra.osexp,/Users/maja/Library/Mobile Documents/com~apple~CloudDocs,no,mono,no,18,no,white,no,yes,768,1,legacy,1,1,/Users/maja/Library/Mobile Documents/com~apple~CloudDocs/subject-1.csv,legacy,Lentiform Loewenfeld,03.03.2003,0,left,left,left,NA,left,894,6853,894,NA,20446,2,legacy,1024,2,48000,-16,experiment,1,odd,reading,2438,2422,32989,31927,33758,34653,NA,NA,9313,29760,33758,32976,Scoop,1,2229,2,yes,1024,rød
6.666.666.666.666.660,6.666.666.666.666.660,10.433.333.333.333.300,10.433.333.333.333.300,black,legacy,legacy,yellow,legacy,0,uniform,1,undefined,1,undefined,left,0,0,2,2,2,2,0,0,0,0,2,2,Fri Oct  2 11:45:06 2020,The main experiment item,yes,Experiment La Cobra.osexp,/Users/maja/Library/Mobile Documents/com~apple~CloudDocs,no,mono,no,18,no,white,no,yes,768,1,legacy,2,2,/Users/maja/Library/Mobile Documents/com~apple~CloudDocs/subject-1.csv,legacy,Lentiform Loewenfeld,03.03.2003,0,left,left,left,NA,left,901,6853,901,NA,20446,2,legacy,1024,2,48000,-16,experiment,1,odd,reading,2438,2422,35720,34666,36489,37390,NA,NA,9313,29760,36489,35705,Scoop,2,3130,3,yes,1024,rød
50,50,1282.5,1282.5,black,legacy,legacy,yellow,legacy,0,uniform,0,undefined,0,undefined,right,0,0,3,3,3,3,0,0,0,0,3,3,Fri Oct  2 11:45:06 2020,The main experiment item,yes,Experiment La Cobra.osexp,/Users/maja/Library/Mobile Documents/com~apple~CloudDocs,no,mono,no,18,no,white,no,yes,768,0,legacy,3,3,/Users/maja/Library/Mobile Documents/com~apple~CloudDocs/subject-1.csv,legacy,Lentiform Loewenfeld,03.03.2003,0,None,left,None,NA,left,2000,6853,2000,NA,20446,2,legacy,1024,2,48000,-16,experiment,1,odd,reading,2438,2422,38457,37403,39226,41226,NA,NA,9313,29760,39226,38442,Scoop,2,5130,4,yes,1024,gul
40,40,1426,1426,black,legacy,legacy,red,legacy,0,uniform,0,undefined,0,undefined,right,0,0,4,4,4,4,0,0,0,0,4,4,Fri Oct  2 11:45:06 2020,The main experiment item,yes,Experiment La Cobra.osexp,/Users/maja/Library/Mobile Documents/com~apple~CloudDocs,no,mono,no,18,no,white,no,yes,768,1,legacy,4,4,/Users/maja/Library/Mobile Documents/com~apple~CloudDocs/subject-1.csv,legacy,Lentiform Loewenfeld,03.03.2003,0,None,left,None,NA,left,2000,6853,2000,NA,20446,2,legacy,1024,2,48000,-16,experiment,1,odd,reading,2438,2422,42294,41240,43063,45063,NA,NA,9313,29760,43063,42279,Scoop,2,7130,5,yes,1024,gul
50,50,13.181.666.666.666.600,13.181.666.666.666.600,black,legacy,legacy,red,legacy,0,uniform,1,undefined,1,undefined,left,0,0,5,5,5,5,0,0,0,0,5,5,Fri Oct  2 11:45:06 2020,The main experiment item,yes,Experiment La Cobra.osexp,/Users/maja/Library/Mobile Documents/com~apple~CloudDocs,no,mono,no,18,no,white,no,yes,768,0,legacy,5,5,/Users/maja/Library/Mobile Documents/com~apple~CloudDocs/subject-1.csv,legacy,Lentiform Loewenfeld,03.03.2003,0,left,left,left,NA,left,779,6853,779,NA,20446,2,legacy,1024,2,48000,-16,experiment,1,odd,reading,2438,2422,46131,45078,46901,47681,NA,NA,9313,29760,46901,46116,Scoop,3,7909,6,yes,1024,rød
42.857.142.857.142.800,42.857.142.857.142.800,14.155.714.285.714.200,14.155.714.285.714.200,black,legacy,legacy,blue,legacy,0,uniform,0,undefined,0,undefined,down,0,0,6,6,6,6,0,0,0,0,6,6,Fri Oct  2 11:45:06 2020,The main experiment item,yes,Experiment La Cobra.osexp,/Users/maja/Library/Mobile Documents/com~apple~CloudDocs,no,mono,no,18,no,white,no,yes,768,0,legacy,6,6,/Users/maja/Library/Mobile Documents/com~apple~CloudDocs/subject-1.csv,legacy,Lentiform Loewenfeld,03.03.2003,0,None,left,None,NA,left,2000,6853,2000,NA,20446,2,legacy,1024,2,48000,-16,experiment,1,odd,reading,2438,2422,48751,47696,49521,51521,NA,NA,9313,29760,49521,48736,Scoop,3,9909,7,yes,1024,blå
37.5,37.5,1.488.625,1.488.625,black,legacy,legacy,yellow,legacy,0,uniform,0,undefined,0,undefined,down,0,0,7,7,7,7,0,0,0,0,7,7,Fri Oct  2 11:45:06 2020,The main experiment item,yes,Experiment La Cobra.osexp,/Users/maja/Library/Mobile Documents/com~apple~CloudDocs,no,mono,no,18,no,white,no,yes,768,1,legacy,7,7,/Users/maja/Library/Mobile Documents/com~apple~CloudDocs/subject-1.csv,legacy,Lentiform Loewenfeld,03.03.2003,0,None,left,None,NA,left,2000,6853,2000,NA,20446,2,legacy,1024,2,48000,-16,experiment,1,odd,reading,2438,2422,52591,51536,53361,55361,NA,NA,9313,29760,53361,52576,Scoop,3,11909,8,yes,1024,blå
33.333.333.333.333.300,33.333.333.333.333.300,15.454.444.444.444.400,15.454.444.444.444.400,black,legacy,legacy,blue,legacy,0,uniform,0,undefined,0,undefined,right,0,0,8,8,8,8,0,0,0,0,8,8,Fri Oct  2 11:45:06 2020,The main experiment item,yes,Experiment La Cobra.osexp,/Users/maja/Library/Mobile Documents/com~apple~CloudDocs,no,mono,no,18,no,white,no,yes,768,1,legacy,8,8,/Users/maja/Library/Mobile Documents/com~apple~CloudDocs/subject-1.csv,legacy,Lentiform Loewenfeld,03.03.2003,0,None,left,None,NA,left,2000,6853,2000,NA,20446,2,legacy,1024,2,48000,-16,experiment,1,odd,reading,2438,2422,56429,55376,57199,59199,NA,NA,9313,29760,57199,56414,Scoop,3,13909,9,yes,1024,gul
30,30,1590.9,1590.9,black,legacy,legacy,blue,legacy,0,uniform,0,undefined,0,undefined,down,0,0,9,9,9,9,0,0,0,0,9,9,Fri Oct  2 11:45:06 2020,The main experiment item,yes,Experiment La Cobra.osexp,/Users/maja/Library/Mobile Documents/com~apple~CloudDocs,no,mono,no,18,no,white,no,yes,768,1,legacy,0,8,/Users/maja/Library/Mobile Documents/com~apple~CloudDocs/subject-1.csv,legacy,Lentiform Loewenfeld,03.03.2003,0,None,left,None,left,left,2000,6853,2000,13256,20446,2,legacy,1024,2,48000,-16,experiment,1,odd,naming,2438,2422,73537,59213,74307,76307,60256,73513,9313,29760,74307,73524,Scoop,3,15909,10,yes,1024,gul
