ReadingNoInt,ReadingInt,NamingNoInt,NamingInt
860.7448333,1165.02735,1160.994033,1154.890417
496.6666667,720.3333333,526,689.3333333
1163.666667,1002.5,1200.333333,1349.333333
728.3333333,630.8333333,1039.333333,929.6666667
599.3333333,785.5,810,1017.166667
1382.474042,1500.700765,1143.830836,1203.9206
770.7163001,681.5583,305.3754666,595.8679667
1044.666667,1457.833333,756.3333333,1207.5
601.3333333,695,589.3333333,717
505.6666667,722.5,707.3333333,675.5
572.3333333,728.8333333,571.3333333,1003.833333
822.3333333,982.6666667,1152.666667,1278.166667
601.3333333,695,589.3333333,717
862.3333333,649.8333333,639.6666667,971.3333333
697.6666667,620.3333333,601,639.1666667
1593,1521.666667,1549.333333,1707.333333
