"task","interference","ID","rt"
"reading",1,1,1913.6333
"reading",1,1,1887.3042
"reading",0,1,847.3402
"reading",0,1,1108.3277
"reading",1,1,1159.7599
"reading",1,1,732.66
"reading",0,1,626.5665999
"reading",1,1,664.3554
"reading",1,1,632.4513
"naming",0,1,1225.4436
"naming",1,1,1421.2492
"naming",1,1,1033.7046
"naming",1,1,1046.46
"naming",1,1,860.4224999
"naming",0,1,1145.1411
"naming",1,1,1023.9136
"naming",1,1,1543.5926
"naming",0,1,1112.3974
"reading",1,2,890
"reading",1,2,878
"reading",1,2,787
"reading",0,2,540
"reading",1,2,665
"reading",1,2,581
"reading",0,2,577
"reading",1,2,521
"reading",0,2,373
"naming",0,2,551
"naming",0,2,531
"naming",1,2,1140
"naming",1,2,768
"naming",1,2,780
"naming",1,2,633
"naming",0,2,496
"naming",1,2,266
"naming",1,2,549
"reading",0,3,1801
"reading",0,3,545
"reading",1,3,1307
"reading",1,3,1203
"reading",1,3,682
"reading",1,3,1296
"reading",1,3,462
"reading",1,3,1065
"reading",0,3,1145
"naming",1,3,2000
"naming",1,3,2000
"naming",1,3,1680
"naming",0,3,1260
"naming",0,3,783
"naming",1,3,864
"naming",1,3,833
"naming",0,3,1558
"naming",1,3,719
"reading",0,4,848
"reading",1,4,678
"reading",0,4,666
"reading",1,4,483
"reading",1,4,635
"reading",1,4,594
"reading",1,4,781
"reading",1,4,614
"reading",0,4,671
"naming",0,4,804
"naming",1,4,893
"naming",1,4,870
"naming",0,4,885
"naming",1,4,949
"naming",1,4,1122
"naming",1,4,879
"naming",1,4,865
"naming",0,4,1429
"reading",1,5,1488
"reading",1,5,1002
"reading",1,5,516
"reading",1,5,596
"reading",0,5,670
"reading",0,5,607
"reading",1,5,670
"reading",1,5,441
"reading",0,5,521
"naming",1,5,1003
"naming",1,5,575
"naming",1,5,1187
"naming",1,5,885
"naming",1,5,1287
"naming",0,5,1012
"naming",0,5,826
"naming",0,5,592
"naming",1,5,1166
"reading",1,6,2000.061563
"reading",0,6,1976.748039
"reading",1,6,1988.237303
"reading",1,6,823.641501
"reading",1,6,924.002226
"reading",0,6,799.603665
"reading",0,6,1371.070423
"reading",1,6,1474.327222
"reading",1,6,1793.934776
"naming",1,6,1580.430586
"naming",0,6,1756.571325
"naming",0,6,989.569995
"naming",0,6,685.351188
"naming",1,6,2000.158469
"naming",1,6,1383.894661
"naming",1,6,637.376559
"naming",1,6,998.327674
"naming",1,6,623.335652
"reading",0,7,878.4624001
"reading",1,7,939.9215999
"reading",1,7,572.5759
"reading",1,7,720.1861
"reading",1,7,676.1717
"reading",0,7,809.259
"reading",0,7,624.4275001
"reading",1,7,463.1759999
"reading",1,7,717.3185
"naming",1,7,767.4493999
"naming",1,7,365.1958001
"naming",0,7,350.0085999
"naming",1,7,717.7792999
"naming",1,7,879.4998
"naming",1,7,540.1124
"naming",1,7,305.1711
"naming",0,7,328.8927
"naming",0,7,237.2250999
"reading",1,8,2000
"reading",1,8,191
"reading",0,8,2000
"reading",0,8,666
"reading",0,8,468
"reading",1,8,2000
"reading",1,8,2000
"reading",1,8,1483
"reading",1,8,1073
"naming",1,8,2000
"naming",1,8,1050
"naming",0,8,409
"naming",1,8,710
"naming",0,8,969
"naming",1,8,1017
"naming",0,8,891
"naming",1,8,1161
"naming",1,8,1307
"reading",1,9,920
"reading",0,9,566
"reading",0,9,549
"reading",1,9,565
"reading",1,9,538
"reading",1,9,682
"reading",1,9,636
"reading",1,9,829
"reading",0,9,689
"naming",1,9,906
"naming",0,9,556
"naming",1,9,959
"naming",0,9,599
"naming",1,9,635
"naming",0,9,613
"naming",1,9,392
"naming",1,9,638
"naming",1,9,772
"reading",1,10,1140
"reading",1,10,624
"reading",1,10,767
"reading",0,10,449
"reading",0,10,445
"reading",1,10,574
"reading",1,10,647
"reading",0,10,623
"reading",1,10,583
"naming",1,10,757
"naming",0,10,894
"naming",1,10,1254
"naming",0,10,568
"naming",1,10,656
"naming",0,10,660
"naming",1,10,324
"naming",1,10,659
"naming",1,10,403
"reading",1,11,909
"reading",1,11,685
"reading",1,11,724
"reading",1,11,662
"reading",0,11,572
"reading",0,11,414
"reading",1,11,621
"reading",0,11,731
"reading",1,11,772
"naming",1,11,1257
"naming",1,11,1003
"naming",1,11,1130
"naming",1,11,600
"naming",1,11,1010
"naming",0,11,638
"naming",0,11,494
"naming",0,11,582
"naming",1,11,1023
"reading",1,12,1015
"reading",0,12,766
"reading",1,12,791
"reading",1,12,1991
"reading",1,12,690
"reading",0,12,704
"reading",1,12,838
"reading",1,12,571
"reading",0,12,997
"naming",1,12,884
"naming",1,12,1712
"naming",1,12,795
"naming",1,12,884
"naming",1,12,1404
"naming",0,12,1973
"naming",1,12,1990
"naming",0,12,737
"naming",0,12,748
"reading",1,13,920
"reading",0,13,566
"reading",0,13,549
"reading",1,13,565
"reading",1,13,538
"reading",1,13,682
"reading",1,13,636
"reading",1,13,829
"reading",0,13,689
"naming",1,13,906
"naming",0,13,556
"naming",1,13,959
"naming",0,13,599
"naming",1,13,635
"naming",0,13,613
"naming",1,13,392
"naming",1,13,638
"naming",1,13,772
"reading",0,14,1346
"reading",1,14,1013
"reading",1,14,751
"reading",1,14,541
"reading",1,14,490
"reading",1,14,703
"reading",0,14,826
"reading",1,14,401
"reading",0,14,415
"naming",1,14,918
"naming",1,14,1141
"naming",0,14,638
"naming",1,14,1129
"naming",0,14,595
"naming",1,14,1001
"naming",1,14,858
"naming",0,14,686
"naming",1,14,781
"reading",0,15,859
"reading",1,15,697
"reading",1,15,1040
"reading",1,15,619
"reading",1,15,659
"reading",1,15,426
"reading",0,15,992
"reading",1,15,281
"reading",0,15,242
"naming",1,15,1080
"naming",1,15,636
"naming",0,15,752
"naming",1,15,790
"naming",0,15,623
"naming",1,15,588
"naming",1,15,456
"naming",0,15,428
"naming",1,15,285
"reading",1,16,1335
"reading",1,16,894
"reading",1,16,901
"reading",0,16,2000
"reading",1,16,2000
"reading",0,16,779
"reading",0,16,2000
"reading",1,16,2000
"reading",1,16,2000
"naming",1,16,2000
"naming",0,16,2000
"naming",1,16,1056
"naming",1,16,2000
"naming",0,16,2000
"naming",1,16,2001
"naming",1,16,2000
"naming",0,16,648
"naming",1,16,1187
