"Color","NamingInt","Naming_NoInt","ReadNoInt","Reading_NoInt","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instructions_1","correct_Instructions_2","correct_Instructions_3","correct_Instructions_4","correct_Naming_Int_Response","correct_Reading_Int_response","correct_Reading_NoInt_Response","correct_new_keyboard_response","correct_new_keyboard_response_1","correct_new_keyboard_response_2","correct_new_sketchpad","correct_new_sketchpad_1","correct_response","count_Instructions_1","count_Instructions_2","count_Instructions_3","count_Instructions_4","count_Naming_Int_Response","count_Naming_Int_loop","count_Naming_NoInt","count_Naming_NoInt_Sequence","count_Naming_int_Sequence","count_Reading_Int","count_Reading_Int_1","count_Reading_Int_response","count_Reading_NoInt_Response","count_Reading_NoInt_Sequence","count_Reading_NoInt_loop","count_experiment","count_new_keyboard_response","count_new_keyboard_response_1","count_new_keyboard_response_2","count_new_logger","count_new_logger_1","count_new_logger_2","count_new_logger_3","count_new_sketchpad","count_new_sketchpad_1","count_stim_1","count_stim_2","count_stim_3","count_stim_4","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Reading_NoInt_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Instructions_1","response_Instructions_2","response_Instructions_3","response_Instructions_4","response_Naming_Int_Response","response_Reading_Int_response","response_Reading_NoInt_Response","response_new_keyboard_response","response_new_keyboard_response_1","response_new_keyboard_response_2","response_new_sketchpad","response_new_sketchpad_1","response_time","response_time_Instructions_1","response_time_Instructions_2","response_time_Instructions_3","response_time_Instructions_4","response_time_Naming_Int_Response","response_time_Reading_Int_response","response_time_Reading_NoInt_Response","response_time_new_keyboard_response","response_time_new_keyboard_response_1","response_time_new_keyboard_response_2","response_time_new_sketchpad","response_time_new_sketchpad_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Instructions_1","time_Instructions_2","time_Instructions_3","time_Instructions_4","time_Naming_Int_Response","time_Naming_Int_loop","time_Naming_NoInt","time_Naming_NoInt_Sequence","time_Naming_int_Sequence","time_Reading_Int","time_Reading_Int_1","time_Reading_Int_response","time_Reading_NoInt_Response","time_Reading_NoInt_Sequence","time_Reading_NoInt_loop","time_experiment","time_new_keyboard_response","time_new_keyboard_response_1","time_new_keyboard_response_2","time_new_logger","time_new_logger_1","time_new_logger_2","time_new_logger_3","time_new_sketchpad","time_new_sketchpad_1","time_stim_1","time_stim_2","time_stim_3","time_stim_4","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"NA","NA","NA","rød","NA","100","100","2928.7046380001507","2928.7046380001507","black","psycho","psycho","psycho","0","uniform","1","undefined","undefined","undefined","undefined","NA","NA","1","NA","undefined","undefined","undefined","undefined","UP","0","0","0","0","NA","0","0","NA","NA","0","NA","NA","0","0","0","0","NA","0","0","0","NA","NA","NA","0","0","0","NA","NA","NA","Mon Aug 31 09:03:40 2020","The main experiment item","yes","Stroop_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Stroop","no","mono","no","18","no","white","no","no","768","psycho","0","0","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.3","0","up","space","space","left","up","NA","NA","up","NA","up","left","space","space","806.0676360037178","2471.3607919984497","3907.082811994769","2824.9482160026673","17940.726888002246","NA","NA","806.0676360037178","NA","5289.750992997142","2690.2952849995927","14755.499396997038","7982.538176998787","2","psycho","1024","2","48000","-16","experiment","999","odd","2487.4904910029727","4988.35613400297","8928.11482399702","17072.88522199815","NA","NA","NA","NA","NA","NA","NA","NA","60522.61923599872","60511.8889439982","60506.27155099937","2439.9466550021316","NA","11754.92413900065","35015.09706900106","61330.157837001025","NA","NA","NA","37738.5531530017","52521.16980199935","60521.7157809966","NA","NA","NA","Stroop_1","1","8786.113914000452","3","yes","1024"
"NA","NA","NA","grøn","NA","100","100","2440.1743059988803","2440.1743059988803","black","psycho","psycho","psycho","0","uniform","1","undefined","undefined","undefined","undefined","NA","NA","1","NA","undefined","undefined","undefined","undefined","LEFT","0","0","0","0","NA","0","0","NA","NA","0","NA","NA","1","1","0","0","NA","0","0","1","NA","NA","NA","0","0","1","NA","NA","NA","Mon Aug 31 09:03:40 2020","The main experiment item","yes","Stroop_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Stroop","no","mono","no","18","no","white","no","no","768","psycho","1","1","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.3","0","left","space","space","left","up","NA","NA","left","NA","up","left","space","space","974.5833099950687","2471.3607919984497","3907.082811994769","2824.9482160026673","17940.726888002246","NA","NA","974.5833099950687","NA","5289.750992997142","2690.2952849995927","14755.499396997038","7982.538176998787","2","psycho","1024","2","48000","-16","experiment","999","odd","2487.4904910029727","4988.35613400297","8928.11482399702","17072.88522199815","NA","NA","NA","NA","NA","NA","NA","NA","61404.04131900141","61381.2293459996","60506.27155099937","2439.9466550021316","NA","11754.92413900065","35015.09706900106","62380.47108899627","NA","NA","NA","37738.5531530017","52521.16980199935","61403.20615199744","NA","NA","NA","Stroop_1","2","9760.697223995521","4","yes","1024"
"NA","NA","NA","gul","NA","100","100","2126.794620399596","2126.794620399596","black","psycho","psycho","psycho","0","uniform","1","undefined","undefined","undefined","undefined","NA","NA","1","NA","undefined","undefined","undefined","undefined","RIGHT","0","0","0","0","NA","0","0","NA","NA","0","NA","NA","2","2","0","0","NA","0","0","2","NA","NA","NA","0","0","2","NA","NA","NA","Mon Aug 31 09:03:40 2020","The main experiment item","yes","Stroop_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Stroop","no","mono","no","18","no","white","no","no","768","psycho","2","2","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.3","0","right","space","space","left","up","NA","NA","right","NA","up","left","space","space","873.2758780024596","2471.3607919984497","3907.082811994769","2824.9482160026673","17940.726888002246","NA","NA","873.2758780024596","NA","5289.750992997142","2690.2952849995927","14755.499396997038","7982.538176998787","2","psycho","1024","2","48000","-16","experiment","999","odd","2487.4904910029727","4988.35613400297","8928.11482399702","17072.88522199815","NA","NA","NA","NA","NA","NA","NA","NA","62438.31233899982","62429.74206300278","60506.27155099937","2439.9466550021316","NA","11754.92413900065","35015.09706900106","63313.139231002424","NA","NA","NA","37738.5531530017","52521.16980199935","62437.89835200005","NA","NA","NA","Stroop_1","3","10633.97310199798","5","yes","1024"
"NA","NA","NA","rød","NA","100","100","1903.3141748332127","1903.3141748332127","black","psycho","psycho","psycho","0","uniform","1","undefined","undefined","undefined","undefined","NA","NA","1","NA","undefined","undefined","undefined","undefined","UP","0","0","0","0","NA","0","0","NA","NA","0","NA","NA","3","3","0","0","NA","0","0","3","NA","NA","NA","0","0","3","NA","NA","NA","Mon Aug 31 09:03:40 2020","The main experiment item","yes","Stroop_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Stroop","no","mono","no","18","no","white","no","no","768","psycho","3","3","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.3","0","up","space","space","left","up","NA","NA","up","NA","up","left","space","space","785.9119470012956","2471.3607919984497","3907.082811994769","2824.9482160026673","17940.726888002246","NA","NA","785.9119470012956","NA","5289.750992997142","2690.2952849995927","14755.499396997038","7982.538176998787","2","psycho","1024","2","48000","-16","experiment","999","odd","2487.4904910029727","4988.35613400297","8928.11482399702","17072.88522199815","NA","NA","NA","NA","NA","NA","NA","NA","63371.63943699852","63360.52093499893","60506.27155099937","2439.9466550021316","NA","11754.92413900065","35015.09706900106","64159.20625400031","NA","NA","NA","37738.5531530017","52521.16980199935","63371.17730399768","NA","NA","NA","Stroop_1","4","11419.885048999276","6","yes","1024"
"NA","NA","NA","blå","NA","100","100","1729.825230714466","1729.825230714466","black","psycho","psycho","psycho","0","uniform","1","undefined","undefined","undefined","undefined","NA","NA","1","NA","undefined","undefined","undefined","undefined","DOWN","0","0","0","0","NA","0","0","NA","NA","0","NA","NA","4","4","0","0","NA","0","0","4","NA","NA","NA","0","0","4","NA","NA","NA","Mon Aug 31 09:03:40 2020","The main experiment item","yes","Stroop_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Stroop","no","mono","no","18","no","white","no","no","768","psycho","4","4","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.3","0","down","space","space","left","up","NA","NA","down","NA","up","left","space","space","688.8915660019848","2471.3607919984497","3907.082811994769","2824.9482160026673","17940.726888002246","NA","NA","688.8915660019848","NA","5289.750992997142","2690.2952849995927","14755.499396997038","7982.538176998787","2","psycho","1024","2","48000","-16","experiment","999","odd","2487.4904910029727","4988.35613400297","8928.11482399702","17072.88522199815","NA","NA","NA","NA","NA","NA","NA","NA","64238.688716999604","64214.93126000132","60506.27155099937","2439.9466550021316","NA","11754.92413900065","35015.09706900106","64929.15330299729","NA","NA","NA","37738.5531530017","52521.16980199935","64237.852796999505","NA","NA","NA","Stroop_1","5","12108.776615001261","7","yes","1024"
"NA","NA","NA","grøn","NA","100","100","1612.4958359996526","1612.4958359996526","black","psycho","psycho","psycho","0","uniform","1","undefined","undefined","undefined","undefined","NA","NA","1","NA","undefined","undefined","undefined","undefined","LEFT","0","0","0","0","NA","0","0","NA","NA","0","NA","NA","5","5","0","0","NA","0","0","5","NA","NA","NA","0","0","5","NA","NA","NA","Mon Aug 31 09:03:40 2020","The main experiment item","yes","Stroop_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Stroop","no","mono","no","18","no","white","no","no","768","psycho","5","5","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.3","0","left","space","space","left","up","NA","NA","left","NA","up","left","space","space","791.1900729959598","2471.3607919984497","3907.082811994769","2824.9482160026673","17940.726888002246","NA","NA","791.1900729959598","NA","5289.750992997142","2690.2952849995927","14755.499396997038","7982.538176998787","2","psycho","1024","2","48000","-16","experiment","999","odd","2487.4904910029727","4988.35613400297","8928.11482399702","17072.88522199815","NA","NA","NA","NA","NA","NA","NA","NA","65005.337909002264","64987.54519299837","60506.27155099937","2439.9466550021316","NA","11754.92413900065","35015.09706900106","65798.2650949998","NA","NA","NA","37738.5531530017","52521.16980199935","65004.47916900157","NA","NA","NA","Stroop_1","6","12899.966687997221","8","yes","1024"
"NA","NA","NA","blå","NA","100","100","1523.4937688890366","1523.4937688890366","black","psycho","psycho","psycho","0","uniform","1","undefined","undefined","undefined","undefined","NA","NA","1","NA","undefined","undefined","undefined","undefined","DOWN","0","0","0","0","NA","0","0","NA","NA","0","NA","NA","6","6","0","0","NA","0","0","6","NA","NA","NA","0","0","6","NA","NA","NA","Mon Aug 31 09:03:40 2020","The main experiment item","yes","Stroop_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Stroop","no","mono","no","18","no","white","no","no","768","psycho","6","6","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.3","0","down","space","space","left","up","NA","NA","down","NA","up","left","space","space","811.4772320041084","2471.3607919984497","3907.082811994769","2824.9482160026673","17940.726888002246","NA","NA","811.4772320041084","NA","5289.750992997142","2690.2952849995927","14755.499396997038","7982.538176998787","2","psycho","1024","2","48000","-16","experiment","999","odd","2487.4904910029727","4988.35613400297","8928.11482399702","17072.88522199815","NA","NA","NA","NA","NA","NA","NA","NA","65871.97194199689","65849.91989300033","60506.27155099937","2439.9466550021316","NA","11754.92413900065","35015.09706900106","66685.1601620001","NA","NA","NA","37738.5531530017","52521.16980199935","65871.05030899693","NA","NA","NA","Stroop_1","7","13711.44392000133","9","yes","1024"
"NA","NA","NA","rød","NA","100","100","1450.098391600477","1450.098391600477","black","psycho","psycho","psycho","0","uniform","1","undefined","undefined","undefined","undefined","NA","NA","1","NA","undefined","undefined","undefined","undefined","UP","0","0","0","0","NA","0","0","NA","NA","0","NA","NA","7","7","0","0","NA","0","0","7","NA","NA","NA","0","0","7","NA","NA","NA","Mon Aug 31 09:03:40 2020","The main experiment item","yes","Stroop_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Stroop","no","mono","no","18","no","white","no","no","768","psycho","7","7","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.3","0","up","space","space","left","up","NA","NA","up","NA","up","left","space","space","789.539996003441","2471.3607919984497","3907.082811994769","2824.9482160026673","17940.726888002246","NA","NA","789.539996003441","NA","5289.750992997142","2690.2952849995927","14755.499396997038","7982.538176998787","2","psycho","1024","2","48000","-16","experiment","999","odd","2487.4904910029727","4988.35613400297","8928.11482399702","17072.88522199815","NA","NA","NA","NA","NA","NA","NA","NA","66755.22572299815","66732.260398996","60506.27155099937","2439.9466550021316","NA","11754.92413900065","35015.09706900106","67546.20067199721","NA","NA","NA","37738.5531530017","52521.16980199935","66754.3496090002","NA","NA","NA","Stroop_1","8","14500.98391600477","10","yes","1024"
"NA","NA","NA","gul","NA","100","100","1386.2830754548088","1386.2830754548088","black","psycho","psycho","psycho","0","uniform","1","undefined","undefined","undefined","undefined","NA","NA","1","NA","undefined","undefined","undefined","undefined","RIGHT","0","0","0","0","NA","0","0","NA","NA","0","NA","NA","8","8","0","0","NA","0","0","8","NA","NA","NA","0","0","8","NA","NA","NA","Mon Aug 31 09:03:40 2020","The main experiment item","yes","Stroop_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Stroop","no","mono","no","18","no","white","no","no","768","psycho","8","8","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.3","0","right","space","space","left","up","NA","NA","right","NA","up","left","space","space","748.1299139981274","2471.3607919984497","3907.082811994769","2824.9482160026673","17940.726888002246","NA","NA","748.1299139981274","NA","5289.750992997142","2690.2952849995927","14755.499396997038","7982.538176998787","2","psycho","1024","2","48000","-16","experiment","999","odd","2487.4904910029727","4988.35613400297","8928.11482399702","17072.88522199815","NA","NA","NA","NA","NA","NA","NA","NA","67605.21544999938","67591.56625600008","60506.27155099937","2439.9466550021316","NA","11754.92413900065","35015.09706900106","68354.95769800036","NA","NA","NA","37738.5531530017","52521.16980199935","67604.85023599904","NA","NA","NA","Stroop_1","9","15249.113830002898","11","yes","1024"
"NA","NA","NA","blå","NA","100","100","1349.9964869164007","1349.9964869164007","black","psycho","psycho","psycho","0","uniform","1","undefined","undefined","undefined","undefined","NA","NA","1","NA","undefined","undefined","undefined","undefined","DOWN","0","0","0","0","NA","0","0","NA","NA","0","NA","NA","9","9","0","0","NA","0","0","9","NA","NA","NA","0","0","9","NA","NA","NA","Mon Aug 31 09:03:40 2020","The main experiment item","yes","Stroop_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Stroop","no","mono","no","18","no","white","no","no","768","psycho","9","9","/Users/ethan/Documents/GitHub/OpenSesame/Stroop/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.3","0","down","space","space","left","up","NA","NA","down","NA","up","left","space","space","950.8440129939117","2471.3607919984497","3907.082811994769","2824.9482160026673","17940.726888002246","NA","NA","950.8440129939117","NA","5289.750992997142","2690.2952849995927","14755.499396997038","7982.538176998787","2","psycho","1024","2","48000","-16","experiment","999","odd","2487.4904910029727","4988.35613400297","8928.11482399702","17072.88522199815","NA","NA","NA","NA","NA","NA","NA","NA","68420.70123000303","68400.3973200015","60506.27155099937","2439.9466550021316","NA","11754.92413900065","35015.09706900106","69373.2099810004","NA","NA","NA","37738.5531530017","52521.16980199935","68419.68362699845","NA","NA","NA","Stroop_1","10","16199.95784299681","12","yes","1024"
