acc,accuracy,avg_rt,browser_codename,browser_name,browser_version,category,correct,correct_response,count_reset_feedback,count_trial_sequence,date_startdate,date_startdateUTC,date_starttime,experiment_debug,experiment_parameters,experiment_pilot,experiment_taskname,experiment_taskversion,jatosStudyResultId,jatosVersion,queryParams_batchId,queryParams_generalMultiple,response_keyboard_response,response_time,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,subject_nr,system_os,target
100,100,298,,,,None,1,m,0,0,,,,,,,,,,,,,m,298,,,,,,,,,1,,None
100,100,203,,,,None,1,m,0,1,,,,,,,,,,,,,m,107,,,,,,,,,1,,None
100,100,181,,,,None,1,m,0,2,,,,,,,,,,,,,m,138,,,,,,,,,1,,None
100,100,161,,,,None,1,m,0,3,,,,,,,,,,,,,m,100,,,,,,,,,1,,None
100,100,154,,,,None,1,m,0,4,,,,,,,,,,,,,m,129,,,,,,,,,1,,None
100,100,149,,,,None,1,m,0,5,,,,,,,,,,,,,m,119,,,,,,,,,1,,None
100,100,143,,,,None,1,m,0,6,,,,,,,,,,,,,m,111,,,,,,,,,1,,None
100,100,140,,,,None,1,m,0,7,,,,,,,,,,,,,m,118,,,,,,,,,1,,None
100,100,139,,,,None,1,m,0,8,,,,,,,,,,,,,m,129,,,,,,,,,1,,None
100,100,138,,,,None,1,m,0,9,,,,,,,,,,,,,m,131,,,,,,,,,1,,None
100,100,135,,,,None,1,m,0,10,,,,,,,,,,,,,m,105,,,,,,,,,1,,None
100,100,134,,,,None,1,m,0,11,,,,,,,,,,,,,m,122,,,,,,,,,1,,None
100,100,133,,,,None,1,m,0,12,,,,,,,,,,,,,m,125,,,,,,,,,1,,None
100,100,132,,,,None,1,m,0,13,,,,,,,,,,,,,m,116,,,,,,,,,1,,None
100,100,131,,,,None,1,m,0,14,,,,,,,,,,,,,m,118,,,,,,,,,1,,None
100,100,131,,,,None,1,m,0,15,,,,,,,,,,,,,m,131,,,,,,,,,1,,None
100,100,131,,,,None,1,m,0,16,,,,,,,,,,,,,m,131,,,,,,,,,1,,None
100,100,129,,,,None,1,m,0,17,,,,,,,,,,,,,m,94,,,,,,,,,1,,None
100,100,129,,,,None,1,m,0,18,,,,,,,,,,,,,m,130,,,,,,,,,1,,None
100,100,130,,,,None,1,m,0,19,,,,,,,,,,,,,m,142,,,,,,,,,1,,None
100,100,129,,,,None,1,m,0,20,,,,,,,,,,,,,m,117,,,,,,,,,1,,None
100,100,129,,,,None,1,m,0,21,,,,,,,,,,,,,m,118,,,,,,,,,1,,None
100,100,128,,,,None,1,m,0,22,,,,,,,,,,,,,m,119,,,,,,,,,1,,None
100,100,128,,,,None,1,m,0,23,,,,,,,,,,,,,m,120,,,,,,,,,1,,None
100,100,128,,,,None,1,m,0,24,,,,,,,,,,,,,m,122,,,,,,,,,1,,None
100,100,127,,,,None,1,m,0,25,,,,,,,,,,,,,m,123,,,,,,,,,1,,None
100,100,127,,,,None,1,m,0,26,,,,,,,,,,,,,m,125,,,,,,,,,1,,None
100,100,127,,,,None,1,m,0,27,,,,,,,,,,,,,m,116,,,,,,,,,1,,None
100,100,127,,,,None,1,m,0,28,,,,,,,,,,,,,m,128,,,,,,,,,1,,None
100,100,127,,,,None,1,m,0,29,,,,,,,,,,,,,m,129,,,,,,,,,1,,None
100,100,127,,,,None,1,m,0,30,,,,,,,,,,,,,m,132,,,,,,,,,1,,None
100,100,127,,,,None,1,m,0,31,,,,,,,,,,,,,m,126,,,,,,,,,1,,None
100,100,127,,,,None,1,m,0,32,,,,,,,,,,,,,m,129,,,,,,,,,1,,None
100,100,127,,,,None,1,m,0,33,,,,,,,,,,,,,m,132,,,,,,,,,1,,None
100,100,127,,,,None,1,m,0,34,,,,,,,,,,,,,m,127,,,,,,,,,1,,None
100,100,128,,,,None,1,m,0,35,,,,,,,,,,,,,m,152,,,,,,,,,1,,None
100,100,128,,,,None,1,m,0,36,,,,,,,,,,,,,m,131,,,,,,,,,1,,None
100,100,128,,,,None,1,m,0,37,,,,,,,,,,,,,m,134,,,,,,,,,1,,None
100,100,128,,,,None,1,m,0,38,,,,,,,,,,,,,m,116,,,,,,,,,1,,None
100,100,128,,,,None,1,m,0,39,,,,,,,,,,,,,m,117,,,,,,,,,1,,None
100,100,127,,,,None,1,m,0,40,,,,,,,,,,,,,m,118,,,,,,,,,1,,None
100,100,127,,,,None,1,m,0,41,,,,,,,,,,,,,m,123,,,,,,,,,1,,None
100,100,128,,,,None,1,m,0,42,,,,,,,,,,,,,m,146,,,,,,,,,1,,None
100,100,128,,,,None,1,m,0,43,,,,,,,,,,,,,m,141,,,,,,,,,1,,None
100,100,128,,,,None,1,m,0,44,,,,,,,,,,,,,m,126,,,,,,,,,1,,None
