acc,accuracy,avg_rt,browser_codename,browser_name,browser_version,category,correct,correct_response,count_reset_feedback,count_trial_sequence,date_startdate,date_startdateUTC,date_starttime,experiment_debug,experiment_parameters,experiment_pilot,experiment_taskname,experiment_taskversion,jatosStudyResultId,jatosVersion,queryParams_batchId,queryParams_generalMultiple,response_keyboard_response,response_time,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,subject_nr,system_os,target
100,100,90,Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14588.123.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.72 Safari/537.36",None,1,m,0,0,27-05-22,27-05-22,16:07:47,0,0,0,0,0,653,3.6.1,226,,m,90,816,1536,24,864,24,0,0,1536,0,Linux aarch64,None
100,100,88,Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14588.123.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.72 Safari/537.36",None,1,m,0,1,27-05-22,27-05-22,16:07:47,0,0,0,0,0,653,3.6.1,226,,m,85,816,1536,24,864,24,0,0,1536,0,Linux aarch64,None
100,100,83,Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14588.123.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.72 Safari/537.36",None,1,m,0,2,27-05-22,27-05-22,16:07:47,0,0,0,0,0,653,3.6.1,226,,m,73,816,1536,24,864,24,0,0,1536,0,Linux aarch64,None
100,100,84,Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14588.123.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.72 Safari/537.36",None,1,m,0,3,27-05-22,27-05-22,16:07:47,0,0,0,0,0,653,3.6.1,226,,m,89,816,1536,24,864,24,0,0,1536,0,Linux aarch64,None
100,100,81,Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14588.123.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.72 Safari/537.36",None,1,m,0,4,27-05-22,27-05-22,16:07:47,0,0,0,0,0,653,3.6.1,226,,m,70,816,1536,24,864,24,0,0,1536,0,Linux aarch64,None
100,100,81,Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14588.123.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.72 Safari/537.36",None,1,m,0,5,27-05-22,27-05-22,16:07:47,0,0,0,0,0,653,3.6.1,226,,m,76,816,1536,24,864,24,0,0,1536,0,Linux aarch64,None
100,100,103,Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14588.123.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.72 Safari/537.36",None,1,m,0,6,27-05-22,27-05-22,16:07:47,0,0,0,0,0,653,3.6.1,226,,m,240,816,1536,24,864,24,0,0,1536,0,Linux aarch64,None
100,100,106,Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14588.123.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.72 Safari/537.36",None,1,m,0,7,27-05-22,27-05-22,16:07:47,0,0,0,0,0,653,3.6.1,226,,m,125,816,1536,24,864,24,0,0,1536,0,Linux aarch64,None
100,100,106,Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14588.123.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.72 Safari/537.36",None,1,m,0,8,27-05-22,27-05-22,16:07:47,0,0,0,0,0,653,3.6.1,226,,m,105,816,1536,24,864,24,0,0,1536,0,Linux aarch64,None
100,100,106,Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14588.123.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.72 Safari/537.36",None,1,m,0,9,27-05-22,27-05-22,16:07:47,0,0,0,0,0,653,3.6.1,226,,m,104,816,1536,24,864,24,0,0,1536,0,Linux aarch64,None
100,100,104,Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14588.123.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.72 Safari/537.36",None,1,m,0,10,27-05-22,27-05-22,16:07:47,0,0,0,0,0,653,3.6.1,226,,m,92,816,1536,24,864,24,0,0,1536,0,Linux aarch64,None
100,100,104,Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14588.123.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.72 Safari/537.36",None,1,m,0,11,27-05-22,27-05-22,16:07:47,0,0,0,0,0,653,3.6.1,226,,m,95,816,1536,24,864,24,0,0,1536,0,Linux aarch64,None
100,100,102,Mozilla,Netscape,"5.0 (X11; CrOS aarch64 14588.123.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.72 Safari/537.36",None,1,m,0,12,27-05-22,27-05-22,16:07:47,0,0,0,0,0,653,3.6.1,226,,m,88,816,1536,24,864,24,0,0,1536,0,Linux aarch64,None
