"acc","accuracy","avg_rt","category","correct","correct_response","count_reset_feedback","count_symbol","count_trial_sequence","response_keyboard_response","response_time","subject_nr","subject_parity","target"
"100","100","706.0038750059903","letter","1","[letter_response]","0","0","0","z","706.0038750059903","999","odd","I"
"100","100","670.08583349525","letter","1","[letter_response]","0","1","1","z","634.1677919845097","999","odd","H"
"100","100","661.4687223142633","letter","1","[letter_response]","0","2","2","z","644.2344999522902","999","odd","G"
"100","100","601.8676772364415","letter","1","[letter_response]","0","3","3","z","423.06454200297594","999","odd","D"
"100","100","572.6405083900318","number","1","[number_response]","0","4","4","m","455.7318330043927","999","odd","4"
"100","100","556.0576944844797","number","1","[number_response]","0","5","5","m","473.1436249567196","999","odd","6"
"100","100","530.6138394101124","number","1","[number_response]","0","6","6","m","377.95070896390826","999","odd","6"
"100","100","514.2786927317502","letter","1","[letter_response]","0","7","7","z","399.932665983215","999","odd","E"
"100","100","507.69922686999456","letter","1","[letter_response]","0","8","8","z","455.0634999759495","999","odd","E"
"100","100","498.09690418769605","letter","1","[letter_response]","0","9","9","z","411.67600004700944","999","odd","I"
"100","100","492.34094698807564","letter","1","[letter_response]","0","10","10","z","434.7813749918714","999","odd","F"
"91.66666666666667","91.66666666666667","489.1534305740303","number","0","[number_response]","0","11","11","z","454.0907500195317","999","odd","8"
"92.3076923076923","92.3076923076923","493.3986794516946","letter","1","[letter_response]","0","12","12","z","544.3416659836657","999","odd","C"
"92.85714285714286","92.85714285714286","487.4599226334664","number","1","[number_response]","0","13","13","m","410.2560839965008","999","odd","3"
"93.33333333333333","93.33333333333333","482.40487506069866","number","1","[number_response]","0","14","14","m","411.63420904194936","999","odd","3"
"93.75","93.75","477.9987526817422","letter","1","[letter_response]","0","15","15","z","411.90691699739546","999","odd","B"
"94.11764705882354","94.11764705882354","479.2459019945989","letter","1","[letter_response]","0","16","16","z","499.2002910003066","999","odd","A"
"94.44444444444444","94.44444444444444","477.9649653258578","number","1","[number_response]","0","17","17","m","456.1890419572592","999","odd","4"
"94.73684210526316","94.73684210526316","475.5136908344483","number","1","[number_response]","0","18","18","m","431.39074998907745","999","odd","1"
"90","90","469.96740214526653","number","0","[number_response]","0","19","19","z","364.5879170508124","999","odd","5"
"90.47619047619048","90.47619047619048","468.2480576143245","number","1","[number_response]","0","20","20","m","433.8611669954844","999","odd","9"
"90.9090909090909","90.9090909090909","475.86227658691564","letter","1","[letter_response]","0","21","21","z","635.7608750113286","999","odd","C"
"91.30434782608695","91.30434782608695","477.9722373856677","number","1","[number_response]","0","22","22","m","524.3913749582134","999","odd","2"
"91.66666666666667","91.66666666666667","476.9256667035127","letter","1","[letter_response]","0","23","23","z","452.8545410139486","999","odd","G"
"92","92","476.5008783945814","number","1","[number_response]","0","24","24","m","466.30595898022875","999","odd","1"
"92.3076923076923","92.3076923076923","475.6442724946492","number","1","[number_response]","0","25","25","m","454.2291249963455","999","odd","2"
"92.5925925925926","92.5925925925926","475.31306795793137","letter","1","[letter_response]","0","26","26","z","466.7017500032671","999","odd","F"
"92.85714285714286","92.85714285714286","475.41394202978285","number","1","[number_response]","0","27","27","m","478.1375419697724","999","odd","7"
"93.10344827586206","93.10344827586206","476.36501730524066","letter","1","[letter_response]","0","28","28","z","502.9951250180602","999","odd","A"
"93.33333333333333","93.33333333333333","476.1559625621885","number","1","[number_response]","0","29","29","m","470.09337501367554","999","odd","8"
"93.54838709677419","93.54838709677419","482.6204274788559","letter","1","[letter_response]","0","30","30","z","676.5543749788776","999","odd","B"
"93.75","93.75","481.7053464012133","letter","1","[letter_response]","0","31","31","z","453.3378329942934","999","odd","H"
"93.93939393939394","93.93939393939394","478.9227879355718","number","1","[number_response]","0","32","32","m","389.88091703504324","999","odd","9"
"94.11764705882354","94.11764705882354","482.83993755638437","number","1","[number_response]","0","33","33","m","612.1058750431985","999","odd","5"
"94.28571428571429","94.28571428571429","482.03820839657317","letter","1","[letter_response]","0","34","34","z","454.7794169629924","999","odd","D"
"94.44444444444444","94.44444444444444","483.81225930158206","number","1","[number_response]","0","35","35","m","545.9040409768932","999","odd","7"
